from;from_log_fc;TYPE(e);to;to_log_fc
Fn1;0.003243;Interact;Serpina3n;0.003243
Serpina3n;0.000123;Interact;Fn1;0.000123
Fn1;0.003243;Interact;Lcn2;0.003243
Lcn2;0.01251;Interact;Fn1;0.01251
Fn1;0.003243;Interact;Tgfbi;0.003243
Tgfbi;0.01528;Interact;Fn1;0.01528
Fn1;0.003243;Interact;Iqgap1;0.003243
Iqgap1;0.019697;Interact;Fn1;0.019697
Fn1;0.003243;Interact;S100a4;0.003243
S100a4;0.019697;Interact;Fn1;0.019697
Fn1;0.003243;Interact;Itgb4;0.003243
Itgb4;0.024264;Interact;Fn1;0.024264
Fn1;0.003243;Interact;Nfkbia;0.003243
Nfkbia;0.030998;Interact;Fn1;0.030998
Fn1;0.003243;Interact;Spp1;0.003243
Spp1;0.031431;Interact;Fn1;0.031431
C1qc;0.007617;Interact;Cyba;0.007617
Cyba;0.009121;Interact;C1qc;0.009121
C1qc;0.007617;Interact;Ccl9;0.007617
Ccl9;0.011454;Interact;C1qc;0.011454
C1qc;0.007617;Interact;Laptm5;0.007617
Laptm5;0.011454;Interact;C1qc;0.011454
C1qc;0.007617;Interact;Ly86;0.007617
Ly86;0.011471;Interact;C1qc;0.011471
C1qc;0.007617;Interact;Ctsh;0.007617
Ctsh;0.011471;Interact;C1qc;0.011471
C1qc;0.007617;Interact;Ctss;0.007617
Ctss;0.012119;Interact;C1qc;0.012119
C1qc;0.007617;Interact;Cd52;0.007617
Cd52;0.019697;Interact;C1qc;0.019697
C1qc;0.007617;Interact;C3;0.007617
C3;0.042474;Interact;C1qc;0.042474
Capg;0.007617;Interact;S100a6;0.007617
S100a6;0.007617;Interact;Capg;0.007617
Capg;0.007617;Interact;S100a4;0.007617
S100a4;0.019697;Interact;Capg;0.019697
Cebpd;0.007617;Interact;Nfkbia;0.007617
Nfkbia;0.030998;Interact;Cebpd;0.030998
Cebpd;0.007617;Interact;Socs3;0.007617
