#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Aqp4	Gad2	10090.ENSMUSP00000078088	10090.ENSMUSP00000028123	0	0	0	0	0.092	0	0	0.465	0.494
Aqp4	Mbp	10090.ENSMUSP00000078088	10090.ENSMUSP00000046185	0	0	0	0	0.137	0	0	0.810	0.829
Aqp4	Bdnf	10090.ENSMUSP00000078088	10090.ENSMUSP00000057989	0	0	0	0	0.047	0	0	0.530	0.533
Aqp4	Gad1	10090.ENSMUSP00000078088	10090.ENSMUSP00000092539	0	0	0	0	0.120	0	0	0.444	0.490
Bcl2	Il4	10090.ENSMUSP00000108371	10090.ENSMUSP00000000889	0	0	0	0	0.052	0	0	0.646	0.650
Bcl2	Mapk14	10090.ENSMUSP00000108371	10090.ENSMUSP00000004990	0	0	0	0	0.052	0.066	0	0.775	0.784
Bcl2	Hmox1	10090.ENSMUSP00000108371	10090.ENSMUSP00000005548	0	0	0	0	0	0	0	0.841	0.841
Bcl2	Cd40	10090.ENSMUSP00000108371	10090.ENSMUSP00000017799	0	0	0	0	0	0	0	0.615	0.615
Bcl2	Mpo	10090.ENSMUSP00000108371	10090.ENSMUSP00000020779	0	0	0	0	0	0	0	0.574	0.574
Bcl2	Gdnf	10090.ENSMUSP00000108371	10090.ENSMUSP00000022744	0	0	0	0	0	0	0	0.503	0.503
Bcl2	Nr4a2	10090.ENSMUSP00000108371	10090.ENSMUSP00000028166	0	0	0	0	0.061	0.223	0	0.587	0.673
Bcl2	Il2	10090.ENSMUSP00000108371	10090.ENSMUSP00000029275	0	0	0	0	0	0	0	0.701	0.701
Bcl2	Ifnb1	10090.ENSMUSP00000108371	10090.ENSMUSP00000056720	0	0	0	0	0.052	0	0	0.490	0.495
Bcl2	Bdnf	10090.ENSMUSP00000108371	10090.ENSMUSP00000057989	0	0	0	0	0	0	0	0.823	0.823
Bcl2	Nfe2l2	10090.ENSMUSP00000108371	10090.ENSMUSP00000099733	0	0	0	0	0.046	0	0	0.716	0.717
Bcl2	Gap43	10090.ENSMUSP00000108371	10090.ENSMUSP00000099881	0	0	0	0	0	0	0	0.411	0.411
Bcl2	Ngf	10090.ENSMUSP00000108371	10090.ENSMUSP00000102538	0	0	0	0	0	0	0	0.659	0.659
Bcl2	Cdkn1c	10090.ENSMUSP00000108371	10090.ENSMUSP00000128828	0	0	0	0	0.087	0	0	0.416	0.444
Bcl2	Cd80	10090.ENSMUSP00000108371	10090.ENSMUSP00000156031	0	0	0	0	0	0.140	0	0.478	0.532
Bcl2	Keap1	10090.ENSMUSP00000108371	10090.ENSMUSP00000131029	0	0	0	0	0.042	0.093	0	0.805	0.816
Bdnf	Il4	10090.ENSMUSP00000057989	10090.ENSMUSP00000000889	0	0	0	0	0	0	0	0.606	0.606
Bdnf	Mapk14	10090.ENSMUSP00000057989	10090.ENSMUSP00000004990	0	0	0	0	0	0	0	0.555	0.555
Bdnf	Hmox1	10090.ENSMUSP00000057989	10090.ENSMUSP00000005548	0	0	0	0	0	0	0	0.639	0.639
Bdnf	Cd40	10090.ENSMUSP00000057989	10090.ENSMUSP00000017799	0	0	0	0	0	0	0	0.420	0.420
Bdnf	Mpo	10090.ENSMUSP00000057989	10090.ENSMUSP00000020779	0	0	0	0	0	0	0	0.455	0.455
Bdnf	Gdnf	10090.ENSMUSP00000057989	10090.ENSMUSP00000022744	0	0	0	0	0.047	0	0	0.949	0.949
Bdnf	Gad2	10090.ENSMUSP00000057989	10090.ENSMUSP00000028123	0	0	0	0	0.064	0	0	0.749	0.755
Bdnf	Nr4a2	10090.ENSMUSP00000057989	10090.ENSMUSP00000028166	0	0	0	0	0.065	0	0	0.607	0.617
Bdnf	Il2	10090.ENSMUSP00000057989	10090.ENSMUSP00000029275	0	0	0	0	0	0	0	0.475	0.475
Bdnf	Mbp	10090.ENSMUSP00000057989	10090.ENSMUSP00000046185	0	0	0	0	0	0	0	0.688	0.688
Bdnf	Ntf5	10090.ENSMUSP00000057989	10090.ENSMUSP00000057916	0	0	0	0.903	0.046	0.827	0.800	0.423	0.978
Bdnf	Nfe2l2	10090.ENSMUSP00000057989	10090.ENSMUSP00000099733	0	0	0	0	0	0	0	0.549	0.549
Bdnf	Gad1	10090.ENSMUSP00000057989	10090.ENSMUSP00000092539	0	0	0	0	0.085	0	0	0.698	0.712
Bdnf	Map2	10090.ENSMUSP00000057989	10090.ENSMUSP00000109646	0	0	0	0	0.063	0	0	0.733	0.739
Bdnf	Gap43	10090.ENSMUSP00000057989	10090.ENSMUSP00000099881	0	0	0	0	0.067	0	0	0.731	0.739
Bdnf	Syn1	10090.ENSMUSP00000057989	10090.ENSMUSP00000080568	0	0	0	0	0.065	0	0	0.756	0.762
Bdnf	Cntf	10090.ENSMUSP00000057989	10090.ENSMUSP00000108555	0	0	0	0	0.041	0	0	0.912	0.912
Bdnf	Ntf3	10090.ENSMUSP00000057989	10090.ENSMUSP00000107863	0	0	0.098	0.864	0.047	0.560	0.400	0.724	0.926
Bdnf	Ngf	10090.ENSMUSP00000057989	10090.ENSMUSP00000102538	0	0	0	0.812	0.080	0.560	0.400	0.738	0.927
Cd40	Il4	10090.ENSMUSP00000017799	10090.ENSMUSP00000000889	0	0	0	0	0.056	0	0	0.903	0.904
Cd40	Mapk14	10090.ENSMUSP00000017799	10090.ENSMUSP00000004990	0	0	0	0	0	0	0	0.695	0.695
Cd40	Ngf	10090.ENSMUSP00000017799	10090.ENSMUSP00000102538	0	0	0	0	0	0	0	0.554	0.554
Cd40	Cd46	10090.ENSMUSP00000017799	10090.ENSMUSP00000123931	0	0	0	0	0	0	0	0.561	0.561
