#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Arhgef2	Grb2	10090.ENSMUSP00000029694	10090.ENSMUSP00000021090	0	0	0	0	0.049	0	0	0.468	0.472
Arhgef2	Rac2	10090.ENSMUSP00000029694	10090.ENSMUSP00000036384	0	0	0	0	0.074	0.264	0	0.301	0.482
Asap2	Grb2	10090.ENSMUSP00000063217	10090.ENSMUSP00000021090	0	0	0	0	0	0.283	0	0.198	0.401
Brd4	Spi1	10090.ENSMUSP00000003726	10090.ENSMUSP00000002180	0	0	0	0	0	0	0	0.721	0.721
Brd4	Foxa1	10090.ENSMUSP00000003726	10090.ENSMUSP00000041118	0	0	0	0	0	0	0	0.412	0.412
Brd4	Esr1	10090.ENSMUSP00000003726	10090.ENSMUSP00000101215	0	0	0	0	0	0.077	0	0.503	0.522
Brd4	Top1	10090.ENSMUSP00000003726	10090.ENSMUSP00000105094	0	0	0	0	0.178	0.267	0	0.275	0.525
Brd4	Smad3	10090.ENSMUSP00000003726	10090.ENSMUSP00000034973	0	0	0	0	0.042	0	0	0.619	0.619
Brd4	Ctcf	10090.ENSMUSP00000003726	10090.ENSMUSP00000005841	0	0	0	0	0.133	0.093	0	0.604	0.661
Brd4	Myc	10090.ENSMUSP00000003726	10090.ENSMUSP00000022971	0	0	0	0	0.057	0.279	0	0.808	0.858
Cd4	Pparg	10090.ENSMUSP00000024044	10090.ENSMUSP00000000450	0	0	0	0	0	0	0	0.607	0.607
Cd4	Spi1	10090.ENSMUSP00000024044	10090.ENSMUSP00000002180	0	0	0	0	0.127	0	0	0.607	0.642
Cd4	Grb2	10090.ENSMUSP00000024044	10090.ENSMUSP00000021090	0	0	0	0	0.064	0	0	0.432	0.445
Cd4	Myc	10090.ENSMUSP00000024044	10090.ENSMUSP00000022971	0	0	0	0	0.047	0	0	0.630	0.632
Cd4	Esr1	10090.ENSMUSP00000024044	10090.ENSMUSP00000101215	0	0	0	0	0	0	0	0.553	0.553
Cd4	Smad3	10090.ENSMUSP00000024044	10090.ENSMUSP00000034973	0	0	0	0	0	0	0	0.604	0.604
Cd4	Cd93	10090.ENSMUSP00000024044	10090.ENSMUSP00000096876	0	0	0	0	0	0.103	0	0.606	0.631
Cd4	Irf8	10090.ENSMUSP00000024044	10090.ENSMUSP00000040245	0	0	0	0	0.107	0.060	0	0.609	0.643
Cd4	Rac2	10090.ENSMUSP00000024044	10090.ENSMUSP00000036384	0	0	0	0	0.176	0.076	0	0.584	0.655
Cd4	Il6ra	10090.ENSMUSP00000024044	10090.ENSMUSP00000029559	0	0	0	0	0.103	0.094	0	0.662	0.701
Cd4	Eomes	10090.ENSMUSP00000024044	10090.ENSMUSP00000035020	0	0	0	0	0	0	0	0.732	0.732
Cd4	Cxcr4	10090.ENSMUSP00000024044	10090.ENSMUSP00000053489	0	0	0	0	0	0.168	0	0.997	0.997
Cd93	Spi1	10090.ENSMUSP00000096876	10090.ENSMUSP00000002180	0	0	0	0	0.144	0	0	0.342	0.412
Cd93	Cxcr4	10090.ENSMUSP00000096876	10090.ENSMUSP00000053489	0	0	0	0	0.100	0	0	0.399	0.435
Cdt1	Top1	10090.ENSMUSP00000006760	10090.ENSMUSP00000105094	0	0	0	0	0.084	0.110	0	0.416	0.482
Cdt1	Myc	10090.ENSMUSP00000006760	10090.ENSMUSP00000022971	0	0	0	0	0.169	0.058	0	0.411	0.499
Chia1	Ctcf	10090.ENSMUSP00000078134	10090.ENSMUSP00000005841	0	0	0	0	0	0	0	0.770	0.770
Ctcf	Spi1	10090.ENSMUSP00000005841	10090.ENSMUSP00000002180	0	0	0	0	0	0	0	0.607	0.607
Ctcf	Smad3	10090.ENSMUSP00000005841	10090.ENSMUSP00000034973	0	0	0	0	0	0.093	0	0.575	0.598
Ctcf	Top1	10090.ENSMUSP00000005841	10090.ENSMUSP00000105094	0	0	0	0	0.216	0	0	0.547	0.629
Ctcf	Foxa1	10090.ENSMUSP00000005841	10090.ENSMUSP00000041118	0	0	0	0	0	0.052	0	0.639	0.643
Ctcf	Myc	10090.ENSMUSP00000005841	10090.ENSMUSP00000022971	0	0	0	0	0	0.080	0	0.630	0.645
Ctcf	Esr1	10090.ENSMUSP00000005841	10090.ENSMUSP00000101215	0	0	0	0	0	0.075	0	0.704	0.714
Cxcr4	Pparg	10090.ENSMUSP00000053489	10090.ENSMUSP00000000450	0	0	0	0	0.091	0	0	0.431	0.460
Cxcr4	Myc	10090.ENSMUSP00000053489	10090.ENSMUSP00000022971	0	0	0	0	0	0	0	0.606	0.606
Cxcr4	Il6ra	10090.ENSMUSP00000053489	10090.ENSMUSP00000029559	0	0	0	0	0.091	0	0	0.488	0.515
Cxcr4	Smad3	10090.ENSMUSP00000053489	10090.ENSMUSP00000034973	0	0	0	0	0.082	0	0	0.411	0.436
Cxcr4	Eomes	10090.ENSMUSP00000053489	10090.ENSMUSP00000035020	0	0	0	0	0.047	0	0	0.432	0.435
Cxcr4	Rac2	10090.ENSMUSP00000053489	10090.ENSMUSP00000036384	0	0	0	0	0.130	0.041	0	0.354	0.414
Cxcr4	Irf8	10090.ENSMUSP00000053489	10090.ENSMUSP00000040245	0	0	0	0	0.143	0	0	0.375	0.441
Cxcr4	Esr1	10090.ENSMUSP00000053489	10090.ENSMUSP00000101215	0	0	0	0	0	0	0	0.702	0.702
Dock2	Rac2	10090.ENSMUSP00000090884	10090.ENSMUSP00000036384	0	0	0	0	0.374	0.436	0.900	0.675	0.987
Eomes	Spi1	10090.ENSMUSP00000035020	10090.ENSMUSP00000002180	0	0	0	0	0	0.042	0	0.615	0.615
Eomes	Smad3	10090.ENSMUSP00000035020	10090.ENSMUSP00000034973	0	0	0	0	0.093	0.064	0.400	0.309	0.601
Eomes	Tfap2c	10090.ENSMUSP00000035020	10090.ENSMUSP00000129922	0	0	0	0	0.061	0	0	0.627	0.634
Esr1	Pparg	10090.ENSMUSP00000101215	10090.ENSMUSP00000000450	0	0	0	0.596	0.075	0	0	0.634	0.648
Esr1	Grb2	10090.ENSMUSP00000101215	10090.ENSMUSP00000021090	0	0	0	0	0.048	0.080	0	0.718	0.732
Esr1	Myc	10090.ENSMUSP00000101215	10090.ENSMUSP00000022971	0	0	0	0	0.049	0.237	0	0.768	0.817
Esr1	Smad3	10090.ENSMUSP00000101215	10090.ENSMUSP00000034973	0	0	0	0	0	0.132	0	0.780	0.801
Esr1	Foxa1	10090.ENSMUSP00000101215	10090.ENSMUSP00000041118	0	0	0	0	0	0.267	0.500	0.984	0.993
Esr1	Tfap2c	10090.ENSMUSP00000101215	10090.ENSMUSP00000129922	0	0	0	0	0	0.224	0	0.431	0.539
Esr1	Prkcd	10090.ENSMUSP00000101215	10090.ENSMUSP00000107830	0	0	0	0	0.050	0.047	0	0.563	0.569
Foxa1	Pparg	10090.ENSMUSP00000041118	10090.ENSMUSP00000000450	0	0	0	0	0	0.097	0	0.405	0.439
Foxa1	Spi1	10090.ENSMUSP00000041118	10090.ENSMUSP00000002180	0	0	0	0	0.054	0	0	0.443	0.450
Foxa1	Myc	10090.ENSMUSP00000041118	10090.ENSMUSP00000022971	0	0	0	0	0	0.068	0	0.502	0.516
Foxa1	Tfap2c	10090.ENSMUSP00000041118	10090.ENSMUSP00000129922	0	0	0	0	0.064	0.093	0	0.685	0.710
Grb2	Prkcd	10090.ENSMUSP00000021090	10090.ENSMUSP00000107830	0	0	0	0	0.095	0.054	0	0.380	0.424
Grb2	Myc	10090.ENSMUSP00000021090	10090.ENSMUSP00000022971	0	0	0	0	0.086	0.053	0	0.491	0.521
Grb2	Plec	10090.ENSMUSP00000021090	10090.ENSMUSP00000073124	0	0	0	0	0.044	0	0	0.533	0.534
Grb2	Ubash3b	10090.ENSMUSP00000021090	10090.ENSMUSP00000043865	0	0	0	0	0.133	0.253	0	0.535	0.673
Irf8	Spi1	10090.ENSMUSP00000040245	10090.ENSMUSP00000002180	0	0	0	0	0.307	0.196	0	0.996	0.997
Irf8	Rac2	10090.ENSMUSP00000040245	10090.ENSMUSP00000036384	0	0	0	0	0.251	0.051	0	0.235	0.410
Myc	Pparg	10090.ENSMUSP00000022971	10090.ENSMUSP00000000450	0	0	0	0	0.049	0.072	0	0.607	0.623
Myc	Spi1	10090.ENSMUSP00000022971	10090.ENSMUSP00000002180	0	0	0	0	0.052	0	0	0.498	0.504
Myc	Top1	10090.ENSMUSP00000022971	10090.ENSMUSP00000105094	0	0	0	0	0	0.095	0	0.531	0.557
Myc	Tfap2c	10090.ENSMUSP00000022971	10090.ENSMUSP00000129922	0	0	0	0	0.055	0.124	0.500	0.453	0.743
Myc	Smad3	10090.ENSMUSP00000022971	10090.ENSMUSP00000034973	0	0	0	0	0.044	0.123	0	0.948	0.952
Parp10	Plec	10090.ENSMUSP00000129765	10090.ENSMUSP00000073124	0	0.271	0	0	0	0	0	0.353	0.508
Pparg	Spi1	10090.ENSMUSP00000000450	10090.ENSMUSP00000002180	0	0	0	0	0	0	0	0.642	0.642
Pparg	Smad3	10090.ENSMUSP00000000450	10090.ENSMUSP00000034973	0	0	0	0	0.082	0.168	0	0.907	0.923
Ppp3r1	Ssh1	10090.ENSMUSP00000099944	10090.ENSMUSP00000124312	0	0	0	0	0	0.096	0.900	0.066	0.908
Prkcd	Rac2	10090.ENSMUSP00000107830	10090.ENSMUSP00000036384	0	0	0	0	0.125	0.240	0.900	0.252	0.943
Rac2	Spi1	10090.ENSMUSP00000036384	10090.ENSMUSP00000002180	0	0	0	0	0.314	0	0	0.239	0.456
