#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Atg5	Cd4	10090.ENSMUSP00000044769	10090.ENSMUSP00000024044	0	0	0	0	0	0	0	0.485	0.485
Atg5	Tnf	10090.ENSMUSP00000044769	10090.ENSMUSP00000025263	0	0	0	0	0	0	0	0.607	0.607
Atg5	Il6	10090.ENSMUSP00000044769	10090.ENSMUSP00000026845	0	0	0	0	0	0	0	0.558	0.558
Atg5	Gpx4	10090.ENSMUSP00000044769	10090.ENSMUSP00000094863	0	0	0	0	0	0	0	0.401	0.401
Atg5	Ifnb1	10090.ENSMUSP00000044769	10090.ENSMUSP00000056720	0	0	0	0	0	0	0	0.443	0.443
Atg5	Ifng	10090.ENSMUSP00000044769	10090.ENSMUSP00000063800	0	0	0	0	0	0	0	0.514	0.514
Atg5	Mtor	10090.ENSMUSP00000044769	10090.ENSMUSP00000099510	0	0	0	0	0.046	0.073	0	0.830	0.837
Atg5	Becn1	10090.ENSMUSP00000044769	10090.ENSMUSP00000119369	0	0	0	0	0.084	0	0.500	0.957	0.978
Becn1	Il10	10090.ENSMUSP00000119369	10090.ENSMUSP00000016673	0	0	0	0	0	0	0	0.505	0.505
Becn1	Cd4	10090.ENSMUSP00000119369	10090.ENSMUSP00000024044	0	0	0	0	0	0	0	0.459	0.459
Becn1	Tnf	10090.ENSMUSP00000119369	10090.ENSMUSP00000025263	0	0	0	0	0	0	0	0.668	0.668
Becn1	Il6	10090.ENSMUSP00000119369	10090.ENSMUSP00000026845	0	0	0	0	0	0	0	0.655	0.655
Becn1	Ifnb1	10090.ENSMUSP00000119369	10090.ENSMUSP00000056720	0	0	0	0	0	0	0	0.638	0.638
Becn1	Ifng	10090.ENSMUSP00000119369	10090.ENSMUSP00000063800	0	0	0	0	0	0	0	0.491	0.491
Becn1	Gpx4	10090.ENSMUSP00000119369	10090.ENSMUSP00000094863	0	0	0	0	0.054	0	0	0.477	0.484
Becn1	Mtor	10090.ENSMUSP00000119369	10090.ENSMUSP00000099510	0	0	0	0	0.057	0.082	0	0.868	0.876
Camp	Defb2	10090.ENSMUSP00000107653	10090.ENSMUSP00000006745	0	0	0	0	0.042	0	0	0.521	0.521
Camp	Tnf	10090.ENSMUSP00000107653	10090.ENSMUSP00000025263	0	0	0	0	0.093	0	0	0.449	0.480
Camp	Il6	10090.ENSMUSP00000107653	10090.ENSMUSP00000026845	0	0	0	0	0	0	0	0.424	0.424
Camp	Ifng	10090.ENSMUSP00000107653	10090.ENSMUSP00000063800	0	0	0	0	0.055	0	0	0.410	0.418
Camp	Cyp27b1	10090.ENSMUSP00000107653	10090.ENSMUSP00000130005	0	0	0	0	0	0	0	0.455	0.455
Ccl2	Mog	10090.ENSMUSP00000000193	10090.ENSMUSP00000099726	0	0	0	0	0	0	0	0.496	0.496
Ccl2	Mtor	10090.ENSMUSP00000000193	10090.ENSMUSP00000099510	0	0	0	0	0	0	0	0.531	0.531
Ccl2	Ido2	10090.ENSMUSP00000000193	10090.ENSMUSP00000113979	0	0	0	0	0.076	0	0	0.557	0.573
Ccl2	Sell	10090.ENSMUSP00000000193	10090.ENSMUSP00000027871	0	0	0	0	0.080	0	0	0.555	0.573
Ccl2	Stat5a	10090.ENSMUSP00000000193	10090.ENSMUSP00000102980	0	0	0	0	0.056	0	0	0.604	0.610
Ccl2	Ctla4	10090.ENSMUSP00000000193	10090.ENSMUSP00000027164	0	0	0	0	0.050	0	0	0.609	0.612
Ccl2	Il22	10090.ENSMUSP00000000193	10090.ENSMUSP00000094449	0	0	0	0	0	0	0	0.619	0.619
Ccl2	Foxp3	10090.ENSMUSP00000000193	10090.ENSMUSP00000111405	0	0	0	0	0	0	0	0.691	0.691
Ccl2	Ido1	10090.ENSMUSP00000000193	10090.ENSMUSP00000033956	0	0	0	0	0.105	0	0	0.685	0.706
Ccl2	Cd80	10090.ENSMUSP00000000193	10090.ENSMUSP00000156031	0	0	0	0	0.116	0.097	0	0.665	0.709
Ccl2	Cd274	10090.ENSMUSP00000000193	10090.ENSMUSP00000016640	0	0	0	0	0.111	0	0	0.693	0.715
Ccl2	Ifnb1	10090.ENSMUSP00000000193	10090.ENSMUSP00000056720	0	0	0	0	0.134	0	0	0.733	0.758
Ccl2	Il17a	10090.ENSMUSP00000000193	10090.ENSMUSP00000027061	0	0	0	0	0	0	0	0.842	0.842
Ccl2	Il4	10090.ENSMUSP00000000193	10090.ENSMUSP00000000889	0	0	0	0	0.042	0	0	0.851	0.851
Ccl2	Cd4	10090.ENSMUSP00000000193	10090.ENSMUSP00000024044	0	0	0	0	0.054	0.097	0	0.841	0.853
Ccl2	Csf2	10090.ENSMUSP00000000193	10090.ENSMUSP00000019060	0	0	0	0	0.161	0	0	0.853	0.872
Ccl2	Ifng	10090.ENSMUSP00000000193	10090.ENSMUSP00000063800	0	0	0	0	0.191	0	0	0.901	0.917
Ccl2	Il10	10090.ENSMUSP00000000193	10090.ENSMUSP00000016673	0	0	0	0	0.225	0	0	0.900	0.919
Ccl2	Tnf	10090.ENSMUSP00000000193	10090.ENSMUSP00000025263	0	0	0	0	0.392	0	0	0.930	0.956
Ccl2	Cxcl1	10090.ENSMUSP00000000193	10090.ENSMUSP00000031327	0	0	0	0	0.616	0.117	0	0.885	0.957
Ccl2	Il6	10090.ENSMUSP00000000193	10090.ENSMUSP00000026845	0	0	0	0	0.600	0	0	0.941	0.975
Cd274	Il4	10090.ENSMUSP00000016640	10090.ENSMUSP00000000889	0	0	0	0	0.044	0	0	0.740	0.740
Cd274	Mog	10090.ENSMUSP00000016640	10090.ENSMUSP00000099726	0	0	0	0	0	0	0	0.414	0.414
Cd274	Il22	10090.ENSMUSP00000016640	10090.ENSMUSP00000094449	0	0	0	0	0	0	0	0.488	0.487
Cd274	Cxcl1	10090.ENSMUSP00000016640	10090.ENSMUSP00000031327	0	0	0	0	0.125	0	0	0.576	0.613
Cd274	Mtor	10090.ENSMUSP00000016640	10090.ENSMUSP00000099510	0	0	0	0	0	0.096	0	0.607	0.629
Cd274	Stat5a	10090.ENSMUSP00000016640	10090.ENSMUSP00000102980	0	0	0	0	0.081	0	0	0.640	0.655
Cd274	Ifnb1	10090.ENSMUSP00000016640	10090.ENSMUSP00000056720	0	0	0	0	0.106	0	0	0.650	0.673
Cd274	Sell	10090.ENSMUSP00000016640	10090.ENSMUSP00000027871	0	0	0	0	0.065	0	0	0.672	0.680
Cd274	Il17a	10090.ENSMUSP00000016640	10090.ENSMUSP00000027061	0	0	0	0	0.070	0	0	0.709	0.718
Cd274	Csf2	10090.ENSMUSP00000016640	10090.ENSMUSP00000019060	0	0	0	0	0.091	0	0	0.770	0.781
Cd274	Ido2	10090.ENSMUSP00000016640	10090.ENSMUSP00000113979	0	0	0	0	0.078	0	0	0.785	0.793
Cd274	Tnfrsf18	10090.ENSMUSP00000016640	10090.ENSMUSP00000099462	0	0	0	0	0.053	0	0	0.801	0.803
Cd274	Il6	10090.ENSMUSP00000016640	10090.ENSMUSP00000026845	0	0	0	0	0.113	0	0	0.793	0.808
Cd274	Il10	10090.ENSMUSP00000016640	10090.ENSMUSP00000016673	0	0	0	0	0.065	0	0	0.850	0.854
Cd274	Tnf	10090.ENSMUSP00000016640	10090.ENSMUSP00000025263	0	0	0	0	0.244	0	0	0.824	0.861
Cd274	Ifng	10090.ENSMUSP00000016640	10090.ENSMUSP00000063800	0	0	0	0	0.210	0	0	0.879	0.900
Cd274	Foxp3	10090.ENSMUSP00000016640	10090.ENSMUSP00000111405	0	0	0	0	0.043	0	0	0.900	0.900
Cd274	Ido1	10090.ENSMUSP00000016640	10090.ENSMUSP00000033956	0	0	0	0	0.167	0	0	0.899	0.912
Cd274	Cd4	10090.ENSMUSP00000016640	10090.ENSMUSP00000024044	0	0	0	0	0	0	0.500	0.880	0.937
Cd274	Ctla4	10090.ENSMUSP00000016640	10090.ENSMUSP00000027164	0	0	0	0	0.053	0.098	0	0.999	0.999
Cd274	Cd80	10090.ENSMUSP00000016640	10090.ENSMUSP00000156031	0	0	0	0.615	0.138	0.952	0.900	0.988	0.999
Cd4	Il4	10090.ENSMUSP00000024044	10090.ENSMUSP00000000889	0	0	0	0	0	0	0	0.943	0.943
Cd4	Il10	10090.ENSMUSP00000024044	10090.ENSMUSP00000016673	0	0	0	0	0.089	0	0	0.959	0.961
Cd4	Csf2	10090.ENSMUSP00000024044	10090.ENSMUSP00000019060	0	0	0	0	0	0.104	0	0.878	0.886
Cd4	Mtor	10090.ENSMUSP00000024044	10090.ENSMUSP00000099510	0	0	0	0	0	0	0	0.677	0.677
Cd4	Cxcl1	10090.ENSMUSP00000024044	10090.ENSMUSP00000031327	0	0	0	0	0	0.165	0	0.710	0.747
Cd4	Ido2	10090.ENSMUSP00000024044	10090.ENSMUSP00000113979	0	0	0	0	0.055	0	0	0.761	0.764
Cd4	Ifnb1	10090.ENSMUSP00000024044	10090.ENSMUSP00000056720	0	0	0	0	0	0	0	0.798	0.798
Cd4	Stat5a	10090.ENSMUSP00000024044	10090.ENSMUSP00000102980	0	0	0	0	0.051	0.079	0	0.796	0.806
Cd4	Mog	10090.ENSMUSP00000024044	10090.ENSMUSP00000099726	0	0	0	0	0.067	0	0	0.808	0.813
Cd4	Tnfrsf18	10090.ENSMUSP00000024044	10090.ENSMUSP00000099462	0	0	0	0	0.061	0	0	0.834	0.838
Cd4	Ido1	10090.ENSMUSP00000024044	10090.ENSMUSP00000033956	0	0	0	0	0.084	0	0	0.835	0.843
Cd4	Il22	10090.ENSMUSP00000024044	10090.ENSMUSP00000094449	0	0	0	0	0	0	0	0.876	0.876
Cd4	Sell	10090.ENSMUSP00000024044	10090.ENSMUSP00000027871	0	0	0	0	0.063	0.091	0	0.894	0.902
Cd4	Ctla4	10090.ENSMUSP00000024044	10090.ENSMUSP00000027164	0	0	0	0	0.159	0.135	0	0.913	0.931
Cd4	Cd80	10090.ENSMUSP00000024044	10090.ENSMUSP00000156031	0	0	0	0	0.114	0.127	0	0.922	0.934
Cd4	Il17a	10090.ENSMUSP00000024044	10090.ENSMUSP00000027061	0	0	0	0	0	0.097	0	0.931	0.935
Cd4	Tnf	10090.ENSMUSP00000024044	10090.ENSMUSP00000025263	0	0	0	0	0.049	0	0	0.938	0.938
Cd4	Il6	10090.ENSMUSP00000024044	10090.ENSMUSP00000026845	0	0	0	0	0	0.104	0	0.944	0.948
