#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Bach2	Tbx21	10090.ENSMUSP00000103815	10090.ENSMUSP00000001484	0	0	0	0	0	0	0	0.495	0.495
Bach2	Spi1	10090.ENSMUSP00000103815	10090.ENSMUSP00000002180	0	0	0	0	0	0	0	0.411	0.411
Bach2	Ncor1	10090.ENSMUSP00000103815	10090.ENSMUSP00000018645	0	0	0	0	0.066	0.067	0	0.872	0.878
Bach2	Irf4	10090.ENSMUSP00000103815	10090.ENSMUSP00000021784	0	0	0	0	0.049	0	0	0.806	0.808
Bach2	Cd4	10090.ENSMUSP00000103815	10090.ENSMUSP00000024044	0	0	0	0	0	0	0	0.490	0.489
Bach2	Il2ra	10090.ENSMUSP00000103815	10090.ENSMUSP00000028111	0	0	0	0	0	0	0	0.408	0.408
Bach2	Il2	10090.ENSMUSP00000103815	10090.ENSMUSP00000029275	0	0	0	0	0	0.093	0	0.392	0.424
Bach2	Cd40lg	10090.ENSMUSP00000103815	10090.ENSMUSP00000033466	0	0	0	0	0	0	0	0.599	0.599
Bach2	Eomes	10090.ENSMUSP00000103815	10090.ENSMUSP00000035020	0	0	0	0	0.065	0	0	0.440	0.454
Bach2	Batf	10090.ENSMUSP00000103815	10090.ENSMUSP00000040706	0	0	0	0	0.051	0.074	0	0.781	0.791
Bach2	Bcl11b	10090.ENSMUSP00000103815	10090.ENSMUSP00000068258	0	0	0	0	0.104	0	0	0.470	0.505
Bach2	Ccr6	10090.ENSMUSP00000103815	10090.ENSMUSP00000095029	0	0	0	0	0.080	0	0	0.539	0.557
Bach2	Foxp3	10090.ENSMUSP00000103815	10090.ENSMUSP00000111405	0	0	0	0	0.043	0	0	0.647	0.647
Batf	Il4	10090.ENSMUSP00000040706	10090.ENSMUSP00000000889	0	0	0	0	0.086	0	0	0.520	0.542
Batf	Tbx21	10090.ENSMUSP00000040706	10090.ENSMUSP00000001484	0	0	0	0	0.108	0	0	0.692	0.714
Batf	Spi1	10090.ENSMUSP00000040706	10090.ENSMUSP00000002180	0	0	0	0	0.229	0.050	0	0.704	0.764
Batf	Ctcf	10090.ENSMUSP00000040706	10090.ENSMUSP00000005841	0	0	0	0	0	0.059	0	0.569	0.577
Batf	Il10	10090.ENSMUSP00000040706	10090.ENSMUSP00000016673	0	0	0	0	0.219	0.163	0	0.504	0.648
Batf	Csf2	10090.ENSMUSP00000040706	10090.ENSMUSP00000019060	0	0	0	0	0.140	0	0	0.349	0.416
Batf	Fos	10090.ENSMUSP00000040706	10090.ENSMUSP00000021674	0	0	0	0.741	0	0	0	0.497	0.497
Batf	Irf4	10090.ENSMUSP00000040706	10090.ENSMUSP00000021784	0	0	0	0	0.155	0.334	0	0.986	0.991
Batf	Cd4	10090.ENSMUSP00000040706	10090.ENSMUSP00000024044	0	0	0	0	0.051	0	0	0.651	0.654
Batf	Il6	10090.ENSMUSP00000040706	10090.ENSMUSP00000026845	0	0	0	0	0.144	0	0	0.487	0.542
Batf	Il17a	10090.ENSMUSP00000040706	10090.ENSMUSP00000027061	0	0	0	0	0.085	0.163	0	0.631	0.693
Batf	Ctla4	10090.ENSMUSP00000040706	10090.ENSMUSP00000027164	0	0	0	0	0.093	0	0	0.502	0.529
Batf	Zap70	10090.ENSMUSP00000040706	10090.ENSMUSP00000027291	0	0	0	0	0.153	0.097	0	0.299	0.418
Batf	Il2ra	10090.ENSMUSP00000040706	10090.ENSMUSP00000028111	0	0	0	0	0.161	0	0	0.455	0.523
Batf	Il2	10090.ENSMUSP00000040706	10090.ENSMUSP00000029275	0	0	0	0	0.079	0.078	0	0.528	0.564
Batf	Cd40lg	10090.ENSMUSP00000040706	10090.ENSMUSP00000033466	0	0	0	0	0.099	0	0	0.447	0.480
Batf	Eomes	10090.ENSMUSP00000040706	10090.ENSMUSP00000035020	0	0	0	0	0.086	0	0	0.615	0.633
Batf	Il22	10090.ENSMUSP00000040706	10090.ENSMUSP00000094449	0	0	0	0	0	0	0	0.447	0.447
Batf	Ccr6	10090.ENSMUSP00000040706	10090.ENSMUSP00000095029	0	0	0	0	0.065	0	0	0.467	0.480
Batf	Stat6	10090.ENSMUSP00000040706	10090.ENSMUSP00000089708	0	0	0	0	0.072	0.079	0	0.522	0.556
Batf	Stat1	10090.ENSMUSP00000040706	10090.ENSMUSP00000141132	0	0	0	0	0.104	0.079	0	0.515	0.565
Batf	Il23r	10090.ENSMUSP00000040706	10090.ENSMUSP00000113342	0	0	0	0	0.100	0	0	0.552	0.579
Batf	Bcl11b	10090.ENSMUSP00000040706	10090.ENSMUSP00000068258	0	0	0	0	0	0.059	0	0.576	0.584
Batf	Stat5a	10090.ENSMUSP00000040706	10090.ENSMUSP00000102980	0	0	0	0	0.102	0.079	0	0.541	0.587
Batf	Ifng	10090.ENSMUSP00000040706	10090.ENSMUSP00000063800	0	0	0	0	0.189	0	0	0.556	0.625
Batf	Foxp3	10090.ENSMUSP00000040706	10090.ENSMUSP00000111405	0	0	0	0	0.123	0	0	0.609	0.642
Batf	Stat3	10090.ENSMUSP00000040706	10090.ENSMUSP00000120152	0	0	0	0	0.103	0.079	0	0.764	0.788
Bcl11b	Tbx21	10090.ENSMUSP00000068258	10090.ENSMUSP00000001484	0	0	0	0	0.065	0.042	0	0.435	0.450
Bcl11b	Spi1	10090.ENSMUSP00000068258	10090.ENSMUSP00000002180	0	0	0	0	0.053	0	0	0.673	0.677
Bcl11b	Il10	10090.ENSMUSP00000068258	10090.ENSMUSP00000016673	0	0	0	0	0	0.292	0	0.195	0.405
Bcl11b	Cd4	10090.ENSMUSP00000068258	10090.ENSMUSP00000024044	0	0	0	0	0.169	0	0	0.458	0.530
Bcl11b	Eomes	10090.ENSMUSP00000068258	10090.ENSMUSP00000035020	0	0	0	0	0.054	0.042	0	0.761	0.765
Bcl11b	Sox2	10090.ENSMUSP00000068258	10090.ENSMUSP00000096755	0	0	0	0	0	0.087	0	0.572	0.592
Bcl11b	Foxp3	10090.ENSMUSP00000068258	10090.ENSMUSP00000111405	0	0	0	0	0.047	0.510	0	0.264	0.626
Brd4	Spi1	10090.ENSMUSP00000003726	10090.ENSMUSP00000002180	0	0	0	0	0	0	0	0.721	0.721
Brd4	Nanog	10090.ENSMUSP00000003726	10090.ENSMUSP00000012540	0	0	0	0	0	0	0	0.411	0.410
Brd4	Foxa1	10090.ENSMUSP00000003726	10090.ENSMUSP00000041118	0	0	0	0	0	0	0	0.412	0.412
Brd4	Il6	10090.ENSMUSP00000003726	10090.ENSMUSP00000026845	0	0	0	0	0	0	0	0.432	0.432
Brd4	Sox2	10090.ENSMUSP00000003726	10090.ENSMUSP00000096755	0	0	0	0	0	0.048	0	0.454	0.457
Brd4	Cdk4	10090.ENSMUSP00000003726	10090.ENSMUSP00000006911	0	0	0	0	0.049	0.090	0	0.454	0.486
Brd4	Ctnnb1	10090.ENSMUSP00000003726	10090.ENSMUSP00000007130	0	0	0	0	0.064	0.093	0	0.459	0.501
Brd4	Ncor1	10090.ENSMUSP00000003726	10090.ENSMUSP00000018645	0	0	0	0	0.256	0.093	0	0.332	0.510
Brd4	Esr1	10090.ENSMUSP00000003726	10090.ENSMUSP00000101215	0	0	0	0	0	0.077	0	0.503	0.522
Brd4	Creb1	10090.ENSMUSP00000003726	10090.ENSMUSP00000059973	0	0	0	0	0.059	0.065	0	0.572	0.590
Brd4	Smad3	10090.ENSMUSP00000003726	10090.ENSMUSP00000034973	0	0	0	0	0.042	0	0	0.619	0.619
