#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Anxa5	Il4	10090.ENSMUSP00000029266	10090.ENSMUSP00000000889	0	0	0	0	0	0	0	0.618	0.618
Anxa5	Il7r	10090.ENSMUSP00000029266	10090.ENSMUSP00000003981	0	0	0	0	0.100	0	0	0.604	0.628
Anxa5	Cd83	10090.ENSMUSP00000029266	10090.ENSMUSP00000015540	0	0	0	0	0.054	0	0	0.394	0.402
Anxa5	Il10	10090.ENSMUSP00000029266	10090.ENSMUSP00000016673	0	0	0	0	0	0	0	0.655	0.655
Anxa5	Cd40	10090.ENSMUSP00000029266	10090.ENSMUSP00000017799	0	0	0	0	0.053	0	0	0.711	0.714
Anxa5	Csf2	10090.ENSMUSP00000029266	10090.ENSMUSP00000019060	0	0	0	0	0	0	0	0.642	0.642
Anxa5	Cd4	10090.ENSMUSP00000029266	10090.ENSMUSP00000024044	0	0	0	0	0	0	0	0.781	0.781
Anxa5	Tnf	10090.ENSMUSP00000029266	10090.ENSMUSP00000025263	0	0	0	0	0.087	0	0	0.787	0.797
Anxa5	Il6	10090.ENSMUSP00000029266	10090.ENSMUSP00000026845	0	0	0	0	0.080	0	0	0.734	0.745
Anxa5	Il17a	10090.ENSMUSP00000029266	10090.ENSMUSP00000027061	0	0	0	0	0.054	0	0	0.555	0.561
Anxa5	Il1b	10090.ENSMUSP00000029266	10090.ENSMUSP00000028881	0	0	0	0	0.112	0	0	0.707	0.729
Anxa5	Ifnb1	10090.ENSMUSP00000029266	10090.ENSMUSP00000056720	0	0	0	0	0	0	0	0.435	0.435
Anxa5	Ccr7	10090.ENSMUSP00000029266	10090.ENSMUSP00000099423	0	0	0	0	0	0	0	0.497	0.497
Anxa5	Cd38	10090.ENSMUSP00000029266	10090.ENSMUSP00000030964	0	0	0	0	0	0	0	0.594	0.594
Anxa5	Cd80	10090.ENSMUSP00000029266	10090.ENSMUSP00000156031	0	0	0	0	0.081	0	0	0.615	0.631
Anxa5	Cd86	10090.ENSMUSP00000029266	10090.ENSMUSP00000087047	0	0	0	0	0.091	0	0	0.625	0.644
Anxa5	Foxp3	10090.ENSMUSP00000029266	10090.ENSMUSP00000111405	0	0	0	0	0	0	0	0.649	0.649
Anxa5	Il2	10090.ENSMUSP00000029266	10090.ENSMUSP00000029275	0	0	0	0	0	0	0	0.695	0.695
Anxa5	Ifng	10090.ENSMUSP00000029266	10090.ENSMUSP00000063800	0	0	0	0	0.054	0	0	0.724	0.728
Anxa5	Itgax	10090.ENSMUSP00000029266	10090.ENSMUSP00000033053	0	0	0	0	0.083	0	0	0.779	0.788
Anxa5	Ptprc	10090.ENSMUSP00000029266	10090.ENSMUSP00000138350	0	0	0	0	0.094	0	0	0.785	0.796
Atp9a	Cd4	10090.ENSMUSP00000029060	10090.ENSMUSP00000024044	0	0	0	0	0	0	0	0.453	0.453
Ccr6	Il4	10090.ENSMUSP00000095029	10090.ENSMUSP00000000889	0	0	0	0	0.054	0	0	0.716	0.719
Ccr6	Il7r	10090.ENSMUSP00000095029	10090.ENSMUSP00000003981	0	0	0	0	0.080	0	0	0.813	0.820
Ccr6	Cd83	10090.ENSMUSP00000095029	10090.ENSMUSP00000015540	0	0	0	0	0.104	0	0	0.473	0.508
Ccr6	Il10	10090.ENSMUSP00000095029	10090.ENSMUSP00000016673	0	0	0	0	0	0	0	0.707	0.707
Ccr6	Cd40	10090.ENSMUSP00000095029	10090.ENSMUSP00000017799	0	0	0	0	0.071	0.064	0	0.603	0.624
Ccr6	Csf2	10090.ENSMUSP00000095029	10090.ENSMUSP00000019060	0	0	0	0	0	0	0	0.644	0.644
Ccr6	Cd4	10090.ENSMUSP00000095029	10090.ENSMUSP00000024044	0	0	0	0	0.067	0.082	0	0.849	0.860
Ccr6	Tnf	10090.ENSMUSP00000095029	10090.ENSMUSP00000025263	0	0	0	0	0.046	0	0	0.691	0.692
Ccr6	Il6	10090.ENSMUSP00000095029	10090.ENSMUSP00000026845	0	0	0	0	0	0	0	0.675	0.675
Ccr6	Il17a	10090.ENSMUSP00000095029	10090.ENSMUSP00000027061	0	0	0	0	0.071	0	0	0.842	0.846
