#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Bmp4	Bmp7	10090.ENSMUSP00000073720	10090.ENSMUSP00000009143	0	0	0	0.782	0.085	0.239	0.400	0.877	0.941
Bmp4	Bmp5	10090.ENSMUSP00000073720	10090.ENSMUSP00000012281	0	0	0	0.764	0.077	0.239	0	0.272	0.444
Bmp4	Il10	10090.ENSMUSP00000073720	10090.ENSMUSP00000016673	0	0	0	0	0	0	0	0.400	0.400
Bmp4	Tnf	10090.ENSMUSP00000073720	10090.ENSMUSP00000025263	0	0	0	0	0.054	0	0	0.513	0.519
Bmp4	Smad4	10090.ENSMUSP00000073720	10090.ENSMUSP00000025393	0	0	0	0	0.041	0.306	0	0.865	0.902
Bmp4	Hras	10090.ENSMUSP00000073720	10090.ENSMUSP00000026572	0	0	0	0	0	0.054	0	0.394	0.403
Bmp4	Il6	10090.ENSMUSP00000073720	10090.ENSMUSP00000026845	0	0	0	0	0.052	0	0	0.695	0.698
Bmp4	Smad7	10090.ENSMUSP00000073720	10090.ENSMUSP00000026999	0	0	0	0	0.050	0.096	0	0.631	0.656
Bmp4	Kras	10090.ENSMUSP00000073720	10090.ENSMUSP00000032399	0	0	0	0	0	0.054	0	0.403	0.411
Bmp4	Smad3	10090.ENSMUSP00000073720	10090.ENSMUSP00000034973	0	0	0	0	0	0.172	0	0.641	0.690
Bmp4	Smad6	10090.ENSMUSP00000073720	10090.ENSMUSP00000036285	0	0	0	0	0.154	0.096	0	0.708	0.757
Bmp4	Mapk3	10090.ENSMUSP00000073720	10090.ENSMUSP00000051619	0	0	0	0	0	0.058	0	0.495	0.504
Bmp4	Jun	10090.ENSMUSP00000073720	10090.ENSMUSP00000102711	0	0	0	0	0.047	0	0	0.447	0.450
Bmp4	Gapdh	10090.ENSMUSP00000073720	10090.ENSMUSP00000113942	0	0	0	0	0	0	0	0.656	0.656
Bmp4	Smad2	10090.ENSMUSP00000073720	10090.ENSMUSP00000130115	0	0	0	0	0	0.172	0	0.721	0.759
Bmp4	Bmp6	10090.ENSMUSP00000073720	10090.ENSMUSP00000126999	0	0	0	0.778	0.136	0.239	0.900	0.553	0.966
Bmp4	Bmpr2	10090.ENSMUSP00000073720	10090.ENSMUSP00000084701	0	0	0	0	0.047	0.371	0.900	0.996	0.999
Bmp5	Smad2	10090.ENSMUSP00000012281	10090.ENSMUSP00000130115	0	0	0	0	0	0.096	0	0.404	0.439
Bmp5	Smad7	10090.ENSMUSP00000012281	10090.ENSMUSP00000026999	0	0	0	0	0	0.096	0	0.435	0.468
Bmp5	Smad6	10090.ENSMUSP00000012281	10090.ENSMUSP00000036285	0	0	0	0	0.069	0.096	0	0.512	0.553
Bmp5	Smad4	10090.ENSMUSP00000012281	10090.ENSMUSP00000025393	0	0	0	0	0	0.096	0	0.538	0.564
Bmp5	Bmpr2	10090.ENSMUSP00000012281	10090.ENSMUSP00000084701	0	0	0	0	0.058	0.132	0.900	0.906	0.991
Bmp6	Bmp7	10090.ENSMUSP00000126999	10090.ENSMUSP00000009143	0	0	0	0.959	0.066	0	0	0.401	0.416
Bmp6	Tnf	10090.ENSMUSP00000126999	10090.ENSMUSP00000025263	0	0	0	0	0.054	0	0	0.395	0.403
Bmp6	Smad4	10090.ENSMUSP00000126999	10090.ENSMUSP00000025393	0	0	0	0	0	0.096	0	0.806	0.817
Bmp6	Il6	10090.ENSMUSP00000126999	10090.ENSMUSP00000026845	0	0	0	0	0.052	0	0	0.533	0.538
Bmp6	Smad7	10090.ENSMUSP00000126999	10090.ENSMUSP00000026999	0	0	0	0	0.042	0.096	0	0.570	0.595
Bmp6	Smad3	10090.ENSMUSP00000126999	10090.ENSMUSP00000034973	0	0	0	0	0.071	0.096	0	0.480	0.525
Bmp6	Smad6	10090.ENSMUSP00000126999	10090.ENSMUSP00000036285	0	0	0	0	0.172	0.096	0	0.631	0.700
Bmp6	Bmpr2	10090.ENSMUSP00000126999	10090.ENSMUSP00000084701	0	0	0	0	0.101	0.121	0.900	0.989	0.999
Bmp6	Gapdh	10090.ENSMUSP00000126999	10090.ENSMUSP00000113942	0	0	0	0	0	0	0	0.429	0.429
Bmp6	Smad2	10090.ENSMUSP00000126999	10090.ENSMUSP00000130115	0	0	0	0	0	0.096	0	0.543	0.570
Bmp7	Jun	10090.ENSMUSP00000009143	10090.ENSMUSP00000102711	0	0	0	0	0.079	0	0	0.381	0.406
Bmp7	Tnf	10090.ENSMUSP00000009143	10090.ENSMUSP00000025263	0	0	0	0	0.054	0	0	0.490	0.496
Bmp7	Gapdh	10090.ENSMUSP00000009143	10090.ENSMUSP00000113942	0	0	0	0	0	0	0	0.504	0.504
Bmp7	Smad7	10090.ENSMUSP00000009143	10090.ENSMUSP00000026999	0	0	0	0	0	0.096	0	0.630	0.651
Bmp7	Il6	10090.ENSMUSP00000009143	10090.ENSMUSP00000026845	0	0	0	0	0.052	0	0	0.658	0.661
Bmp7	Smad3	10090.ENSMUSP00000009143	10090.ENSMUSP00000034973	0	0	0	0	0.046	0.096	0	0.660	0.681
Bmp7	Smad6	10090.ENSMUSP00000009143	10090.ENSMUSP00000036285	0	0	0	0	0.041	0.096	0	0.663	0.682
Bmp7	Smad2	10090.ENSMUSP00000009143	10090.ENSMUSP00000130115	0	0	0	0	0	0.096	0	0.694	0.712
Bmp7	Smad4	10090.ENSMUSP00000009143	10090.ENSMUSP00000025393	0	0	0	0	0	0.096	0	0.708	0.724
Bmp7	Bmpr2	10090.ENSMUSP00000009143	10090.ENSMUSP00000084701	0	0	0	0	0.047	0.168	0.900	0.995	0.999
Bmpr2	Tnf	10090.ENSMUSP00000084701	10090.ENSMUSP00000025263	0	0	0	0	0.075	0.071	0	0.638	0.661
Bmpr2	Smad4	10090.ENSMUSP00000084701	10090.ENSMUSP00000025393	0	0	0	0	0.083	0.117	0.500	0.851	0.932
Bmpr2	Il6	10090.ENSMUSP00000084701	10090.ENSMUSP00000026845	0	0	0	0	0	0	0	0.449	0.449
Bmpr2	Smad7	10090.ENSMUSP00000084701	10090.ENSMUSP00000026999	0	0	0	0	0.065	0.348	0.500	0.593	0.859
Bmpr2	Smad3	10090.ENSMUSP00000084701	10090.ENSMUSP00000034973	0	0	0	0	0.067	0.117	0.900	0.637	0.966
Bmpr2	Smad6	10090.ENSMUSP00000084701	10090.ENSMUSP00000036285	0	0	0	0	0.106	0.348	0.500	0.684	0.895
Bmpr2	Gapdh	10090.ENSMUSP00000084701	10090.ENSMUSP00000113942	0	0	0	0	0	0	0	0.439	0.439
