#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Apob	Il7r	10090.ENSMUSP00000036044	10090.ENSMUSP00000003981	0	0	0	0	0	0	0.500	0.090	0.525
Apob	Il10	10090.ENSMUSP00000036044	10090.ENSMUSP00000016673	0	0	0	0	0	0	0	0.458	0.457
Apob	Mpo	10090.ENSMUSP00000036044	10090.ENSMUSP00000020779	0	0	0	0	0.056	0	0	0.507	0.515
Apob	Cd4	10090.ENSMUSP00000036044	10090.ENSMUSP00000024044	0	0	0	0	0	0	0.500	0.412	0.693
Apob	Tnf	10090.ENSMUSP00000036044	10090.ENSMUSP00000025263	0	0	0	0	0	0	0	0.644	0.644
Apob	Cyp27a1	10090.ENSMUSP00000036044	10090.ENSMUSP00000027356	0	0	0	0	0.155	0	0	0.385	0.459
Apob	Il1b	10090.ENSMUSP00000036044	10090.ENSMUSP00000028881	0	0	0	0	0	0	0	0.517	0.517
Apob	Ifng	10090.ENSMUSP00000036044	10090.ENSMUSP00000063800	0	0	0	0	0.094	0	0	0.440	0.470
Apob	Gc	10090.ENSMUSP00000036044	10090.ENSMUSP00000046636	0	0	0	0	0.372	0	0	0.293	0.537
Apob	Apoc2	10090.ENSMUSP00000036044	10090.ENSMUSP00000115173	0	0	0	0	0.296	0.114	0.720	0.885	0.977
Apob	Apoc3	10090.ENSMUSP00000036044	10090.ENSMUSP00000113126	0	0	0	0	0.707	0	0.720	0.972	0.997
Apob	Apoe	10090.ENSMUSP00000036044	10090.ENSMUSP00000133302	0	0	0	0	0.154	0.114	0.800	0.997	0.999
Apoc2	Apoc3	10090.ENSMUSP00000115173	10090.ENSMUSP00000113126	0	0	0	0	0.264	0	0.900	0.986	0.998
Apoc2	Apoe	10090.ENSMUSP00000115173	10090.ENSMUSP00000133302	0	0	0	0	0.122	0.176	0.800	0.965	0.994
Apoc3	Tnf	10090.ENSMUSP00000113126	10090.ENSMUSP00000025263	0	0	0	0	0	0	0	0.413	0.413
Apoc3	Gc	10090.ENSMUSP00000113126	10090.ENSMUSP00000046636	0	0	0	0	0.365	0	0	0.277	0.521
Apoc3	Apoe	10090.ENSMUSP00000113126	10090.ENSMUSP00000133302	0	0	0	0	0.137	0	0.800	0.982	0.996
Apoe	Il4	10090.ENSMUSP00000133302	10090.ENSMUSP00000000889	0	0	0	0	0	0	0	0.569	0.569
Apoe	Il10	10090.ENSMUSP00000133302	10090.ENSMUSP00000016673	0	0	0	0	0.086	0	0	0.745	0.757
Apoe	Mpo	10090.ENSMUSP00000133302	10090.ENSMUSP00000020779	0	0	0	0	0.058	0	0	0.514	0.523
Apoe	Cd4	10090.ENSMUSP00000133302	10090.ENSMUSP00000024044	0	0	0	0	0	0	0	0.641	0.641
Apoe	Tnf	10090.ENSMUSP00000133302	10090.ENSMUSP00000025263	0	0	0	0	0	0	0	0.799	0.799
Apoe	Il17a	10090.ENSMUSP00000133302	10090.ENSMUSP00000027061	0	0	0	0	0.067	0	0	0.532	0.545
Apoe	Cyp27a1	10090.ENSMUSP00000133302	10090.ENSMUSP00000027356	0	0	0	0	0.126	0	0	0.492	0.537
Apoe	Il1b	10090.ENSMUSP00000133302	10090.ENSMUSP00000028881	0	0	0	0	0.074	0	0	0.752	0.761
Apoe	Gc	10090.ENSMUSP00000133302	10090.ENSMUSP00000046636	0	0	0	0	0.079	0	0	0.391	0.415
Apoe	Ifng	10090.ENSMUSP00000133302	10090.ENSMUSP00000063800	0	0	0	0	0	0	0	0.792	0.792
Apoe	Foxp3	10090.ENSMUSP00000133302	10090.ENSMUSP00000111405	0	0	0	0	0.077	0	0	0.469	0.488
Cd19	Il4	10090.ENSMUSP00000145803	10090.ENSMUSP00000000889	0	0	0	0	0.127	0	0	0.822	0.838
Cd19	Tbx21	10090.ENSMUSP00000145803	10090.ENSMUSP00000001484	0	0	0	0	0.127	0	0	0.696	0.723
Cd19	Il7r	10090.ENSMUSP00000145803	10090.ENSMUSP00000003981	0	0	0	0	0.080	0	0	0.824	0.831
Cd19	Il10	10090.ENSMUSP00000145803	10090.ENSMUSP00000016673	0	0	0	0	0	0	0	0.812	0.812
Cd19	Mpo	10090.ENSMUSP00000145803	10090.ENSMUSP00000020779	0	0	0	0	0.051	0	0	0.501	0.507
Cd19	Cd4	10090.ENSMUSP00000145803	10090.ENSMUSP00000024044	0	0	0	0	0.119	0	0	0.932	0.938
Cd19	Tnf	10090.ENSMUSP00000145803	10090.ENSMUSP00000025263	0	0	0	0	0	0	0	0.795	0.795
Cd19	Il17a	10090.ENSMUSP00000145803	10090.ENSMUSP00000027061	0	0	0	0	0	0	0	0.745	0.745
Cd19	Il1b	10090.ENSMUSP00000145803	10090.ENSMUSP00000028881	0	0	0	0	0.058	0	0	0.684	0.690
Cd19	Ifng	10090.ENSMUSP00000145803	10090.ENSMUSP00000063800	0	0	0	0	0.057	0	0	0.860	0.862
Cd19	Foxp3	10090.ENSMUSP00000145803	10090.ENSMUSP00000111405	0	0	0	0	0.043	0	0	0.854	0.854
Cd19	Entpd1	10090.ENSMUSP00000145803	10090.ENSMUSP00000116285	0	0	0	0	0.049	0	0	0.569	0.573
Cd19	Klrb1c	10090.ENSMUSP00000145803	10090.ENSMUSP00000134504	0	0	0	0	0.101	0.066	0	0.859	0.871
Cd4	Il4	10090.ENSMUSP00000024044	10090.ENSMUSP00000000889	0	0	0	0	0	0	0	0.943	0.943
Cd4	Tbx21	10090.ENSMUSP00000024044	10090.ENSMUSP00000001484	0	0	0	0	0.042	0	0	0.900	0.900
Cd4	Il7r	10090.ENSMUSP00000024044	10090.ENSMUSP00000003981	0	0	0	0	0.179	0	0.400	0.890	0.941
Cd4	Il10	10090.ENSMUSP00000024044	10090.ENSMUSP00000016673	0	0	0	0	0.089	0	0	0.959	0.961
Cd4	Mpo	10090.ENSMUSP00000024044	10090.ENSMUSP00000020779	0	0	0	0	0	0	0	0.667	0.667
Cd4	Entpd1	10090.ENSMUSP00000024044	10090.ENSMUSP00000116285	0	0	0	0	0	0	0	0.770	0.770
Cd4	Klrb1c	10090.ENSMUSP00000024044	10090.ENSMUSP00000134504	0	0	0	0	0.046	0.091	0	0.879	0.885
Cd4	Il1b	10090.ENSMUSP00000024044	10090.ENSMUSP00000028881	0	0	0.226	0	0.065	0.097	0	0.911	0.934
Cd4	Il17a	10090.ENSMUSP00000024044	10090.ENSMUSP00000027061	0	0	0	0	0	0.097	0	0.931	0.935
Cd4	Tnf	10090.ENSMUSP00000024044	10090.ENSMUSP00000025263	0	0	0	0	0.049	0	0	0.938	0.938
