#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Arg1	Il4	10090.ENSMUSP00000020161	10090.ENSMUSP00000000889	0	0	0	0	0	0	0	0.870	0.870
Arg1	Tgfb1	10090.ENSMUSP00000020161	10090.ENSMUSP00000002678	0	0	0	0	0	0	0	0.667	0.667
Arg1	Hmox1	10090.ENSMUSP00000020161	10090.ENSMUSP00000005548	0	0	0	0	0.057	0	0	0.490	0.498
Arg1	Il10	10090.ENSMUSP00000020161	10090.ENSMUSP00000016673	0	0	0	0	0.093	0	0	0.874	0.881
Arg1	Mmp9	10090.ENSMUSP00000020161	10090.ENSMUSP00000017881	0	0	0	0	0.074	0	0	0.660	0.672
Arg1	Bdnf	10090.ENSMUSP00000020161	10090.ENSMUSP00000057989	0	0	0	0	0	0	0	0.424	0.424
Arg1	Il34	10090.ENSMUSP00000020161	10090.ENSMUSP00000076120	0	0	0	0	0	0	0	0.438	0.438
Arg1	Gfap	10090.ENSMUSP00000020161	10090.ENSMUSP00000064691	0	0	0	0	0	0	0	0.441	0.441
Arg1	Gpx1	10090.ENSMUSP00000020161	10090.ENSMUSP00000081010	0	0	0	0	0.071	0	0	0.443	0.461
Arg1	Socs3	10090.ENSMUSP00000020161	10090.ENSMUSP00000059129	0	0	0	0	0.085	0	0	0.490	0.513
Arg1	Icam1	10090.ENSMUSP00000020161	10090.ENSMUSP00000083587	0	0	0	0	0	0	0	0.520	0.520
Arg1	Vcam1	10090.ENSMUSP00000020161	10090.ENSMUSP00000029574	0	0	0	0	0	0.239	0	0.474	0.582
Arg1	Tlr4	10090.ENSMUSP00000020161	10090.ENSMUSP00000045770	0	0	0	0	0.047	0	0	0.665	0.667
Arg1	Msr1	10090.ENSMUSP00000020161	10090.ENSMUSP00000026021	0	0	0	0	0.176	0.191	0	0.585	0.699
Arg1	Cd86	10090.ENSMUSP00000020161	10090.ENSMUSP00000087047	0	0	0	0	0.053	0	0	0.757	0.760
Arg1	Cd4	10090.ENSMUSP00000020161	10090.ENSMUSP00000024044	0	0	0	0	0.048	0.191	0	0.747	0.788
Arg1	Cd163	10090.ENSMUSP00000020161	10090.ENSMUSP00000108160	0	0	0	0	0.067	0.191	0	0.754	0.798
Arg1	Il1b	10090.ENSMUSP00000020161	10090.ENSMUSP00000028881	0	0	0	0	0.107	0	0	0.801	0.815
Arg1	Il6	10090.ENSMUSP00000020161	10090.ENSMUSP00000026845	0	0	0	0	0.100	0	0	0.812	0.824
Arg1	Tnf	10090.ENSMUSP00000020161	10090.ENSMUSP00000025263	0	0	0	0	0.046	0	0	0.826	0.826
Arg1	Ifng	10090.ENSMUSP00000020161	10090.ENSMUSP00000063800	0	0	0	0	0.048	0	0	0.830	0.831
Arg1	Mrc1	10090.ENSMUSP00000020161	10090.ENSMUSP00000028045	0	0	0	0	0.113	0	0	0.857	0.868
Bdnf	Il4	10090.ENSMUSP00000057989	10090.ENSMUSP00000000889	0	0	0	0	0	0	0	0.606	0.606
Bdnf	Tgfb1	10090.ENSMUSP00000057989	10090.ENSMUSP00000002678	0	0	0	0	0	0	0	0.558	0.558
Bdnf	Gpx6	10090.ENSMUSP00000057989	10090.ENSMUSP00000004453	0	0	0	0	0	0	0	0.538	0.538
