#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Actb	Ccnd2	10090.ENSMUSP00000098066	10090.ENSMUSP00000000188	0	0	0	0	0.086	0	0	0.511	0.534
Actb	Ccl2	10090.ENSMUSP00000098066	10090.ENSMUSP00000000193	0	0	0	0	0	0	0	0.708	0.708
Actb	Rdx	10090.ENSMUSP00000098066	10090.ENSMUSP00000000590	0	0	0	0	0.049	0.064	0.900	0.426	0.942
Actb	Smarcb1	10090.ENSMUSP00000098066	10090.ENSMUSP00000000925	0	0	0	0	0.083	0.298	0.650	0.585	0.894
Actb	Akt1	10090.ENSMUSP00000098066	10090.ENSMUSP00000001780	0	0	0	0	0.079	0.079	0	0.886	0.895
Actb	Pten	10090.ENSMUSP00000098066	10090.ENSMUSP00000013807	0	0	0	0	0.053	0.059	0	0.721	0.730
Actb	Psme3	10090.ENSMUSP00000098066	10090.ENSMUSP00000019470	0	0	0	0	0.068	0	0	0.412	0.428
Actb	Egfr	10090.ENSMUSP00000098066	10090.ENSMUSP00000020329	0	0	0	0	0	0.088	0	0.840	0.848
Actb	Mdm2	10090.ENSMUSP00000098066	10090.ENSMUSP00000020408	0	0	0	0	0	0	0	0.669	0.669
Actb	Ppp2ca	10090.ENSMUSP00000098066	10090.ENSMUSP00000020608	0	0	0.230	0	0.084	0.118	0	0.224	0.453
Actb	Rrm2	10090.ENSMUSP00000098066	10090.ENSMUSP00000020980	0	0	0	0	0.074	0	0	0.408	0.428
Actb	Smarcd2	10090.ENSMUSP00000098066	10090.ENSMUSP00000021052	0	0	0	0	0.078	0.257	0.800	0.157	0.869
Actb	Tert	10090.ENSMUSP00000098066	10090.ENSMUSP00000022104	0	0	0	0	0	0.079	0	0.582	0.599
Actb	Fgf10	10090.ENSMUSP00000098066	10090.ENSMUSP00000022246	0	0	0	0	0	0	0	0.558	0.558
Actb	Crebbp	10090.ENSMUSP00000098066	10090.ENSMUSP00000023165	0	0	0	0	0.086	0	0	0.607	0.625
Actb	Prkdc	10090.ENSMUSP00000098066	10090.ENSMUSP00000023352	0	0	0	0	0	0.041	0	0.697	0.697
Actb	Smarcd1	10090.ENSMUSP00000098066	10090.ENSMUSP00000023759	0	0	0	0	0.078	0.263	0.800	0.530	0.927
Actb	Phf10	10090.ENSMUSP00000098066	10090.ENSMUSP00000024657	0	0	0	0	0.060	0.263	0.800	0.426	0.909
Actb	Anxa1	10090.ENSMUSP00000098066	10090.ENSMUSP00000025561	0	0	0	0	0.096	0.066	0	0.465	0.509
Actb	Smarca2	10090.ENSMUSP00000098066	10090.ENSMUSP00000025862	0	0	0	0	0.052	0.298	0.650	0.496	0.867
Actb	Rptor	10090.ENSMUSP00000098066	10090.ENSMUSP00000026671	0	0	0	0	0	0	0	0.546	0.546
Actb	Actl6a	10090.ENSMUSP00000098066	10090.ENSMUSP00000029214	0	0	0	0.867	0.053	0.446	0.800	0.856	0.982
Actb	Pdpn	10090.ENSMUSP00000098066	10090.ENSMUSP00000030317	0	0	0	0	0.044	0	0	0.410	0.411
Actb	Smarcd3	10090.ENSMUSP00000098066	10090.ENSMUSP00000030791	0	0	0	0	0.078	0.257	0.800	0.217	0.878
Actb	Bcl7a	10090.ENSMUSP00000098066	10090.ENSMUSP00000031391	0	0	0	0	0	0.094	0.540	0.428	0.740
Actb	Bcl7b	10090.ENSMUSP00000098066	10090.ENSMUSP00000031692	0	0	0	0	0	0.094	0.540	0.087	0.586
Actb	Casp2	10090.ENSMUSP00000098066	10090.ENSMUSP00000031895	0	0	0	0	0.042	0.072	0	0.436	0.455
Actb	Brd7	10090.ENSMUSP00000098066	10090.ENSMUSP00000034085	0	0	0	0	0	0.263	0.800	0.212	0.873
Actb	Tjp3	10090.ENSMUSP00000098066	10090.ENSMUSP00000036438	0	0	0	0	0	0	0	0.519	0.519
Actb	Muc1	10090.ENSMUSP00000098066	10090.ENSMUSP00000041963	0	0	0	0	0	0.098	0	0.487	0.517
Actb	Dpf1	10090.ENSMUSP00000098066	10090.ENSMUSP00000054385	0	0	0	0	0.052	0.096	0.800	0.145	0.833
Actb	Cdkn1b	10090.ENSMUSP00000098066	10090.ENSMUSP00000065832	0	0	0	0	0.064	0	0	0.647	0.655
Actb	Ezh2	10090.ENSMUSP00000098066	10090.ENSMUSP00000080419	0	0	0	0	0.068	0.066	0	0.610	0.631
Actb	Smarcc1	10090.ENSMUSP00000098066	10090.ENSMUSP00000086094	0	0	0	0	0	0.257	0.650	0.583	0.882
Actb	Ccnd1	10090.ENSMUSP00000098066	10090.ENSMUSP00000091495	0	0	0	0	0.076	0	0	0.841	0.846
Actb	Arid2	10090.ENSMUSP00000098066	10090.ENSMUSP00000093969	0	0	0	0	0	0.195	0.800	0.221	0.863
Actb	Cdkn2b	10090.ENSMUSP00000098066	10090.ENSMUSP00000095595	0	0	0	0	0	0.093	0	0.391	0.424
Actb	Smarca4	10090.ENSMUSP00000098066	10090.ENSMUSP00000096547	0	0	0	0	0.063	0.298	0.650	0.683	0.917
Actb	Tcf3	10090.ENSMUSP00000098066	10090.ENSMUSP00000100979	0	0	0	0	0.047	0.065	0	0.393	0.411
Actb	Rpl26	10090.ENSMUSP00000098066	10090.ENSMUSP00000129072	0	0	0	0	0.146	0.161	0	0.248	0.415
Actb	Adam17	10090.ENSMUSP00000098066	10090.ENSMUSP00000099087	0	0	0	0	0.043	0	0	0.439	0.440
Actb	Dact1	10090.ENSMUSP00000098066	10090.ENSMUSP00000117169	0	0	0	0	0	0	0	0.490	0.489
Actb	Ccnd3	10090.ENSMUSP00000098066	10090.ENSMUSP00000126141	0	0	0	0	0.085	0	0	0.517	0.539
Actb	Cyp1a1	10090.ENSMUSP00000098066	10090.ENSMUSP00000150277	0	0	0	0	0.058	0	0	0.533	0.541
Actb	Bcl7c	10090.ENSMUSP00000098066	10090.ENSMUSP00000145743	0	0	0	0	0	0.099	0.540	0.086	0.588
Actb	E2f1	10090.ENSMUSP00000098066	10090.ENSMUSP00000099434	0	0	0	0	0	0	0	0.608	0.608
Actb	Klf4	10090.ENSMUSP00000098066	10090.ENSMUSP00000103245	0	0	0	0	0.043	0.074	0	0.607	0.621
Actb	Dpf2	10090.ENSMUSP00000098066	10090.ENSMUSP00000113465	0	0	0	0	0.060	0.096	0.540	0.180	0.636
Actb	Cdkn2a	10090.ENSMUSP00000098066	10090.ENSMUSP00000102748	0	0	0	0	0	0.093	0	0.643	0.663
Actb	Cdkn1a	10090.ENSMUSP00000098066	10090.ENSMUSP00000156559	0	0	0	0	0.064	0	0	0.698	0.705
Actb	Aif1	10090.ENSMUSP00000098066	10090.ENSMUSP00000133709	0	0	0	0	0.053	0.137	0	0.753	0.781
Actb	Dpf3	10090.ENSMUSP00000098066	10090.ENSMUSP00000136280	0	0	0	0	0.052	0.096	0.800	0.138	0.832
Actb	Trp53	10090.ENSMUSP00000098066	10090.ENSMUSP00000104298	0	0	0	0	0.080	0.053	0	0.849	0.857
Actb	Arid1b	10090.ENSMUSP00000098066	10090.ENSMUSP00000111463	0	0	0	0	0.042	0.138	0.800	0.242	0.858
Actb	Smarcc2	10090.ENSMUSP00000098066	10090.ENSMUSP00000100868	0	0	0	0	0	0.257	0.650	0.575	0.879
Actb	Bcl2	10090.ENSMUSP00000098066	10090.ENSMUSP00000108371	0	0	0	0	0	0	0	0.883	0.883
Actb	Pbrm1	10090.ENSMUSP00000098066	10090.ENSMUSP00000107727	0	0	0	0	0.058	0.295	0.800	0.264	0.889
Actb	Actl6b	10090.ENSMUSP00000098066	10090.ENSMUSP00000119356	0	0	0	0.873	0	0.326	0.800	0.421	0.915
Actb	Arid1a	10090.ENSMUSP00000098066	10090.ENSMUSP00000101517	0	0	0	0	0.073	0.363	0.800	0.598	0.946
Actb	Smarce1	10090.ENSMUSP00000098066	10090.ENSMUSP00000099422	0	0	0	0	0.050	0.291	0.800	0.652	0.946
Actl6a	Smarcb1	10090.ENSMUSP00000029214	10090.ENSMUSP00000000925	0	0	0	0	0.185	0.831	0.900	0.988	0.999
Actl6a	Cul4a	10090.ENSMUSP00000029214	10090.ENSMUSP00000016680	0	0	0	0	0.078	0	0.400	0.090	0.453
Actl6a	Smarcd2	10090.ENSMUSP00000029214	10090.ENSMUSP00000021052	0	0	0	0	0.132	0.558	0.800	0.820	0.984
Actl6a	Smarcd1	10090.ENSMUSP00000029214	10090.ENSMUSP00000023759	0	0	0	0	0.118	0.829	0.900	0.982	0.999
Actl6a	Phf10	10090.ENSMUSP00000029214	10090.ENSMUSP00000024657	0	0	0	0	0.132	0.766	0.900	0.997	0.999
Actl6a	Smarca2	10090.ENSMUSP00000029214	10090.ENSMUSP00000025862	0	0	0	0	0.048	0.823	0.900	0.893	0.997
Actl6a	Trp53	10090.ENSMUSP00000029214	10090.ENSMUSP00000104298	0	0	0	0	0.077	0.093	0	0.343	0.402
Actl6a	Rrm1	10090.ENSMUSP00000029214	10090.ENSMUSP00000033283	0	0	0	0	0.393	0.061	0	0	0.406
Actl6a	Ezh2	10090.ENSMUSP00000029214	10090.ENSMUSP00000080419	0	0	0	0	0.231	0.055	0	0.311	0.456
Actl6a	Cul4b	10090.ENSMUSP00000029214	10090.ENSMUSP00000110771	0	0	0	0	0.106	0	0.400	0.090	0.469
Actl6a	Ccnd1	10090.ENSMUSP00000029214	10090.ENSMUSP00000091495	0	0	0	0	0.057	0	0.500	0.235	0.608
Actl6a	Ino80	10090.ENSMUSP00000029214	10090.ENSMUSP00000051845	0	0	0	0	0.100	0.379	0.800	0.154	0.892
Actl6a	Actl6b	10090.ENSMUSP00000029214	10090.ENSMUSP00000119356	0	0	0.049	0.982	0	0	0.900	0.222	0.919
Actl6a	Bcl7b	10090.ENSMUSP00000029214	10090.ENSMUSP00000031692	0	0	0	0	0.079	0.202	0.900	0.280	0.940
Actl6a	Dpf2	10090.ENSMUSP00000029214	10090.ENSMUSP00000113465	0	0	0	0	0.159	0.558	0.540	0.806	0.962
Actl6a	Arid1b	10090.ENSMUSP00000029214	10090.ENSMUSP00000111463	0	0	0	0	0	0.421	0.800	0.710	0.963
Actl6a	Bcl7c	10090.ENSMUSP00000029214	10090.ENSMUSP00000145743	0	0	0	0	0.087	0.492	0.900	0.364	0.966
Actl6a	Dpf3	10090.ENSMUSP00000029214	10090.ENSMUSP00000136280	0	0	0	0	0.127	0.519	0.800	0.703	0.971
Actl6a	Dpf1	10090.ENSMUSP00000029214	10090.ENSMUSP00000054385	0	0	0	0	0.127	0.264	0.800	0.856	0.979
Actl6a	Bcl7a	10090.ENSMUSP00000029214	10090.ENSMUSP00000031391	0	0	0	0	0.074	0.364	0.900	0.770	0.984
Actl6a	Arid2	10090.ENSMUSP00000029214	10090.ENSMUSP00000093969	0	0	0	0	0.123	0.615	0.800	0.825	0.986
Actl6a	Smarcd3	10090.ENSMUSP00000029214	10090.ENSMUSP00000030791	0	0	0	0	0.118	0.558	0.900	0.691	0.986
Actl6a	Brd7	10090.ENSMUSP00000029214	10090.ENSMUSP00000034085	0	0	0	0	0.134	0.756	0.800	0.821	0.991
Actl6a	Pbrm1	10090.ENSMUSP00000029214	10090.ENSMUSP00000107727	0	0	0	0	0.154	0.766	0.800	0.832	0.992
Actl6a	Smarcc1	10090.ENSMUSP00000029214	10090.ENSMUSP00000086094	0	0	0	0	0.061	0.696	0.900	0.993	0.999
Actl6a	Arid1a	10090.ENSMUSP00000029214	10090.ENSMUSP00000101517	0	0	0	0	0.060	0.874	0.900	0.980	0.999
Actl6a	Smarcc2	10090.ENSMUSP00000029214	10090.ENSMUSP00000100868	0	0	0	0	0	0.877	0.900	0.986	0.999
Actl6a	Smarca4	10090.ENSMUSP00000029214	10090.ENSMUSP00000096547	0	0	0	0	0.063	0.941	0.900	0.990	0.999
Actl6a	Smarce1	10090.ENSMUSP00000029214	10090.ENSMUSP00000099422	0	0	0	0	0.061	0.829	0.900	0.992	0.999
Actl6b	Smarcb1	10090.ENSMUSP00000119356	10090.ENSMUSP00000000925	0	0	0	0	0.164	0.796	0.900	0.873	0.997
Actl6b	Smarcd2	10090.ENSMUSP00000119356	10090.ENSMUSP00000021052	0	0	0	0	0.118	0.558	0.800	0.623	0.966
Actl6b	Smarcd1	10090.ENSMUSP00000119356	10090.ENSMUSP00000023759	0	0	0	0	0.136	0.665	0.900	0.824	0.994
Actl6b	Phf10	10090.ENSMUSP00000119356	10090.ENSMUSP00000024657	0	0	0	0	0	0.654	0.800	0.863	0.989
Actl6b	Smarca2	10090.ENSMUSP00000119356	10090.ENSMUSP00000025862	0	0	0	0	0.067	0.723	0.900	0.753	0.992
