#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Alb	Tgfb1	10090.ENSMUSP00000031314	10090.ENSMUSP00000002678	0	0	0	0	0	0	0	0.787	0.787
Alb	Il10	10090.ENSMUSP00000031314	10090.ENSMUSP00000016673	0	0	0	0	0	0	0	0.775	0.775
Alb	Csf2	10090.ENSMUSP00000031314	10090.ENSMUSP00000019060	0	0	0	0	0	0	0	0.685	0.685
Alb	Tnf	10090.ENSMUSP00000031314	10090.ENSMUSP00000025263	0	0	0	0	0	0	0	0.860	0.860
Alb	Il6	10090.ENSMUSP00000031314	10090.ENSMUSP00000026845	0	0	0	0	0	0	0	0.921	0.921
Alb	Il17a	10090.ENSMUSP00000031314	10090.ENSMUSP00000027061	0	0	0	0	0	0	0	0.822	0.822
Alb	Il2ra	10090.ENSMUSP00000031314	10090.ENSMUSP00000028111	0	0	0	0	0	0	0	0.487	0.487
Alb	Il1b	10090.ENSMUSP00000031314	10090.ENSMUSP00000028881	0	0	0	0	0	0	0	0.844	0.844
Alb	Il2	10090.ENSMUSP00000031314	10090.ENSMUSP00000029275	0	0	0	0	0	0	0	0.716	0.716
Alb	Cyp27b1	10090.ENSMUSP00000031314	10090.ENSMUSP00000130005	0	0	0	0	0	0	0	0.437	0.437
Alb	Ifnb1	10090.ENSMUSP00000031314	10090.ENSMUSP00000056720	0	0	0	0	0	0	0	0.603	0.603
Alb	Foxp3	10090.ENSMUSP00000031314	10090.ENSMUSP00000111405	0	0	0	0	0	0.065	0	0.660	0.669
Csf2	Tgfb1	10090.ENSMUSP00000019060	10090.ENSMUSP00000002678	0	0	0	0	0.057	0	0	0.694	0.699
Csf2	Il10	10090.ENSMUSP00000019060	10090.ENSMUSP00000016673	0	0	0	0	0.103	0	0	0.897	0.903
Csf2	Foxp3	10090.ENSMUSP00000019060	10090.ENSMUSP00000111405	0	0	0	0	0	0	0	0.769	0.769
Csf2	Lta	10090.ENSMUSP00000019060	10090.ENSMUSP00000025266	0	0	0	0	0.093	0	0	0.800	0.810
Csf2	Ifnb1	10090.ENSMUSP00000019060	10090.ENSMUSP00000056720	0	0	0	0	0.085	0	0	0.838	0.845
Csf2	Il2ra	10090.ENSMUSP00000019060	10090.ENSMUSP00000028111	0	0	0	0	0.079	0	0.650	0.675	0.886
Csf2	Il17a	10090.ENSMUSP00000019060	10090.ENSMUSP00000027061	0	0	0	0	0.101	0	0	0.882	0.889
Csf2	Il6	10090.ENSMUSP00000019060	10090.ENSMUSP00000026845	0	0	0	0	0.221	0	0	0.915	0.931
Csf2	Tnf	10090.ENSMUSP00000019060	10090.ENSMUSP00000025263	0	0	0	0	0.375	0	0	0.908	0.940
Csf2	Il2	10090.ENSMUSP00000019060	10090.ENSMUSP00000029275	0	0	0	0	0.170	0	0	0.994	0.994
Csf2	Il1b	10090.ENSMUSP00000019060	10090.ENSMUSP00000028881	0	0	0	0	0.228	0	0	0.993	0.995
Cyp27b1	Il10	10090.ENSMUSP00000130005	10090.ENSMUSP00000016673	0	0	0	0	0.047	0	0	0.440	0.443
Cyp27b1	Tnf	10090.ENSMUSP00000130005	10090.ENSMUSP00000025263	0	0	0	0	0.044	0	0	0.460	0.461
Cyp27b1	Il6	10090.ENSMUSP00000130005	10090.ENSMUSP00000026845	0	0	0	0	0.052	0	0	0.440	0.446
Foxp3	Tgfb1	10090.ENSMUSP00000111405	10090.ENSMUSP00000002678	0	0	0	0	0	0.292	0	0.801	0.853
Foxp3	Il10	10090.ENSMUSP00000111405	10090.ENSMUSP00000016673	0	0	0	0	0.160	0	0	0.919	0.929
