#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Actb	Myf5	10090.ENSMUSP00000098066	10090.ENSMUSP00000000445	0	0	0	0	0	0	0	0.403	0.403
Actb	Smarcb1	10090.ENSMUSP00000098066	10090.ENSMUSP00000000925	0	0	0	0	0.083	0.298	0.650	0.585	0.894
Actb	Mapk14	10090.ENSMUSP00000098066	10090.ENSMUSP00000004990	0	0	0	0	0.073	0.093	0	0.832	0.846
Actb	Igfbp3	10090.ENSMUSP00000098066	10090.ENSMUSP00000020702	0	0	0	0	0	0.066	0	0.433	0.447
Actb	Smarcd2	10090.ENSMUSP00000098066	10090.ENSMUSP00000021052	0	0	0	0	0.078	0.257	0.800	0.157	0.869
Actb	Smarcd1	10090.ENSMUSP00000098066	10090.ENSMUSP00000023759	0	0	0	0	0.078	0.263	0.800	0.530	0.927
Actb	Phf10	10090.ENSMUSP00000098066	10090.ENSMUSP00000024657	0	0	0	0	0.060	0.263	0.800	0.426	0.909
Actb	Smarca2	10090.ENSMUSP00000098066	10090.ENSMUSP00000025862	0	0	0	0	0.052	0.298	0.650	0.496	0.867
Actb	Myog	10090.ENSMUSP00000098066	10090.ENSMUSP00000027730	0	0	0	0	0.056	0	0	0.520	0.527
Actb	Actl6a	10090.ENSMUSP00000098066	10090.ENSMUSP00000029214	0	0	0	0.867	0.053	0.446	0.800	0.856	0.982
Actb	Smarcd3	10090.ENSMUSP00000098066	10090.ENSMUSP00000030791	0	0	0	0	0.078	0.257	0.800	0.217	0.878
Actb	Ilk	10090.ENSMUSP00000098066	10090.ENSMUSP00000033182	0	0	0	0	0.058	0.093	0	0.467	0.505
Actb	Brd7	10090.ENSMUSP00000098066	10090.ENSMUSP00000034085	0	0	0	0	0	0.263	0.800	0.212	0.873
Actb	Pik3r1	10090.ENSMUSP00000098066	10090.ENSMUSP00000056774	0	0	0	0	0.051	0.062	0	0.452	0.469
Actb	Myod1	10090.ENSMUSP00000098066	10090.ENSMUSP00000072330	0	0	0	0	0	0	0	0.524	0.524
Actb	Smarcc1	10090.ENSMUSP00000098066	10090.ENSMUSP00000086094	0	0	0	0	0	0.257	0.650	0.583	0.882
Actb	Map3k5	10090.ENSMUSP00000098066	10090.ENSMUSP00000093485	0	0	0	0	0	0	0	0.459	0.459
Actb	Arid2	10090.ENSMUSP00000098066	10090.ENSMUSP00000093969	0	0	0	0	0	0.195	0.800	0.221	0.863
Actb	Smarca4	10090.ENSMUSP00000098066	10090.ENSMUSP00000096547	0	0	0	0	0.063	0.298	0.650	0.683	0.917
Actb	Flt3l	10090.ENSMUSP00000098066	10090.ENSMUSP00000123506	0	0	0	0	0.054	0.051	0	0.400	0.414
Actb	Mef2c	10090.ENSMUSP00000098066	10090.ENSMUSP00000143401	0	0	0	0	0.056	0	0	0.426	0.436
Actb	Cxcl9	10090.ENSMUSP00000098066	10090.ENSMUSP00000108716	0	0	0	0	0	0	0	0.456	0.456
Actb	Dpf3	10090.ENSMUSP00000098066	10090.ENSMUSP00000136280	0	0	0	0	0.052	0.096	0.800	0.138	0.832
Actb	Arid1b	10090.ENSMUSP00000098066	10090.ENSMUSP00000111463	0	0	0	0	0.042	0.138	0.800	0.242	0.858
Actb	Kat5	10090.ENSMUSP00000098066	10090.ENSMUSP00000109271	0	0	0	0	0.055	0.326	0.720	0.338	0.866
Actb	Smarcc2	10090.ENSMUSP00000098066	10090.ENSMUSP00000100868	0	0	0	0	0	0.257	0.650	0.575	0.879
Actb	Pbrm1	10090.ENSMUSP00000098066	10090.ENSMUSP00000107727	0	0	0	0	0.058	0.295	0.800	0.264	0.889
Actb	Actl6b	10090.ENSMUSP00000098066	10090.ENSMUSP00000119356	0	0	0	0.873	0	0.326	0.800	0.421	0.915
