#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Abi2	Pak2	10090.ENSMUSP00000140274	10090.ENSMUSP00000023467	0	0	0	0	0.053	0.054	0.400	0.089	0.445
Abi2	Actb	10090.ENSMUSP00000140274	10090.ENSMUSP00000098066	0	0	0	0	0	0.063	0.500	0.181	0.583
Actb	Ctnnb1	10090.ENSMUSP00000098066	10090.ENSMUSP00000007130	0	0	0	0	0.065	0.066	0	0.833	0.842
Actb	Vcl	10090.ENSMUSP00000098066	10090.ENSMUSP00000022369	0	0	0	0	0.065	0.184	0.900	0.837	0.985
Actb	Smad7	10090.ENSMUSP00000098066	10090.ENSMUSP00000026999	0	0	0	0	0.045	0.063	0	0.511	0.524
Ctnnb1	Fer	10090.ENSMUSP00000007130	10090.ENSMUSP00000000129	0	0	0	0	0.044	0.100	0.900	0.535	0.954
Ctnnb1	Dlg5	10090.ENSMUSP00000007130	10090.ENSMUSP00000087879	0	0	0	0	0.082	0.090	0	0.500	0.546
Ctnnb1	Pak2	10090.ENSMUSP00000007130	10090.ENSMUSP00000023467	0	0	0	0	0.078	0.067	0.500	0.203	0.611
Ctnnb1	Smad7	10090.ENSMUSP00000007130	10090.ENSMUSP00000026999	0	0	0	0	0.080	0.168	0	0.894	0.911
Ctnnb1	Vcl	10090.ENSMUSP00000007130	10090.ENSMUSP00000022369	0	0	0	0	0.162	0.394	0	0.991	0.995
Dlg5	Pak2	10090.ENSMUSP00000087879	10090.ENSMUSP00000023467	0	0	0	0	0.041	0	0.400	0	0.400
