#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Abcc8	Calm3	10090.ENSMUSP00000033123	10090.ENSMUSP00000019514	0	0	0	0	0.127	0	0	0.357	0.415
Abcc8	Kcnk3	10090.ENSMUSP00000033123	10090.ENSMUSP00000098987	0	0	0	0	0.079	0	0	0.457	0.479
Abcc8	Ank2	10090.ENSMUSP00000033123	10090.ENSMUSP00000138753	0	0	0	0	0.112	0.299	0	0.287	0.518
Abcc8	Kcnj11	10090.ENSMUSP00000033123	10090.ENSMUSP00000147439	0	0.038	0	0	0.338	0.983	0.720	0.999	0.999
Actn2	Casq1	10090.ENSMUSP00000067708	10090.ENSMUSP00000003554	0	0	0	0	0.358	0.054	0	0.330	0.557
Actn2	Jph2	10090.ENSMUSP00000067708	10090.ENSMUSP00000017961	0	0	0	0	0.176	0	0	0.392	0.477
Actn2	Calm3	10090.ENSMUSP00000067708	10090.ENSMUSP00000019514	0	0	0	0.770	0	0.075	0.400	0.701	0.820
Actn2	Calm2	10090.ENSMUSP00000067708	10090.ENSMUSP00000048857	0	0	0	0.770	0	0.075	0	0.471	0.489
Actn2	Cfl1	10090.ENSMUSP00000067708	10090.ENSMUSP00000147514	0	0	0	0	0	0.062	0	0.400	0.413
Actn2	Calm1	10090.ENSMUSP00000067708	10090.ENSMUSP00000158788	0	0	0	0.706	0	0.075	0	0.477	0.496
Actn2	Trdn	10090.ENSMUSP00000067708	10090.ENSMUSP00000093436	0	0	0	0	0.311	0.054	0	0.301	0.505
Actn2	Nppa	10090.ENSMUSP00000067708	10090.ENSMUSP00000099520	0	0	0	0	0.264	0	0	0.472	0.594
Actn2	Shank3	10090.ENSMUSP00000067708	10090.ENSMUSP00000104932	0	0	0	0	0.067	0.067	0	0.617	0.638
Adrb1	Calm3	10090.ENSMUSP00000040847	10090.ENSMUSP00000019514	0	0	0	0	0	0.070	0	0.551	0.565
Adrb1	Edn1	10090.ENSMUSP00000040847	10090.ENSMUSP00000021796	0	0	0	0	0	0.135	0	0.451	0.505
Adrb1	Akap5	10090.ENSMUSP00000040847	10090.ENSMUSP00000114495	0	0	0	0	0.167	0	0	0.378	0.459
Adrb1	Akap7	10090.ENSMUSP00000040847	10090.ENSMUSP00000043624	0	0	0	0	0.055	0	0	0.490	0.497
Adrb1	Adrb2	10090.ENSMUSP00000040847	10090.ENSMUSP00000062256	0	0	0	0.936	0.044	0.236	0.900	0.433	0.953
Adrb1	Nppa	10090.ENSMUSP00000040847	10090.ENSMUSP00000099520	0	0	0	0	0.048	0	0.900	0.606	0.959
Adrb2	Calm3	10090.ENSMUSP00000062256	10090.ENSMUSP00000019514	0	0	0	0	0	0.070	0	0.453	0.469
Adrb2	Ifngr1	10090.ENSMUSP00000062256	10090.ENSMUSP00000020188	0	0	0	0	0.150	0	0	0.346	0.420
Adrb2	Edn1	10090.ENSMUSP00000062256	10090.ENSMUSP00000021796	0	0	0	0	0	0.135	0.650	0.384	0.797
Adrb2	Ifngr2	10090.ENSMUSP00000062256	10090.ENSMUSP00000023687	0	0	0	0	0.064	0	0	0.386	0.401
Adrb2	Ntsr1	10090.ENSMUSP00000062256	10090.ENSMUSP00000029084	0	0	0	0.600	0	0.058	0	0.458	0.467
Adrb2	Ifng	10090.ENSMUSP00000062256	10090.ENSMUSP00000063800	0	0	0	0	0.068	0	0	0.410	0.426
Adrb2	Akap5	10090.ENSMUSP00000062256	10090.ENSMUSP00000114495	0	0	0	0	0.065	0	0	0.610	0.619
Akap5	Cacng2	10090.ENSMUSP00000114495	10090.ENSMUSP00000019290	0	0	0	0	0.094	0	0.400	0.377	0.631
Akap5	Calm3	10090.ENSMUSP00000114495	10090.ENSMUSP00000019514	0	0	0	0	0	0	0	0.667	0.667
Akap5	Cacng4	10090.ENSMUSP00000114495	10090.ENSMUSP00000021066	0	0	0	0	0.061	0	0.400	0	0.412
Akap5	Akap7	10090.ENSMUSP00000114495	10090.ENSMUSP00000043624	0	0	0	0	0	0	0	0.652	0.652
Akap5	Cacng3	10090.ENSMUSP00000114495	10090.ENSMUSP00000081664	0	0	0	0	0.101	0	0.400	0.081	0.460
Akap5	Pkd2	10090.ENSMUSP00000114495	10090.ENSMUSP00000084041	0	0	0	0	0	0	0	0.529	0.529
Akap5	Akap6	10090.ENSMUSP00000114495	10090.ENSMUSP00000093406	0	0	0	0	0.080	0	0	0.442	0.464
Akap5	Cacng8	10090.ENSMUSP00000114495	10090.ENSMUSP00000138618	0	0	0	0	0.061	0	0.400	0.231	0.528
Akap5	Ppp3cb	10090.ENSMUSP00000114495	10090.ENSMUSP00000125722	0	0	0	0	0	0.292	0.500	0.080	0.645
Akap6	Akap7	10090.ENSMUSP00000093406	10090.ENSMUSP00000043624	0	0	0	0	0	0	0	0.748	0.748
Ank2	Jph2	10090.ENSMUSP00000138753	10090.ENSMUSP00000017961	0	0	0	0	0	0.100	0	0.425	0.460
Ank2	Calm3	10090.ENSMUSP00000138753	10090.ENSMUSP00000019514	0	0	0	0	0.071	0.124	0	0.766	0.793
Ank2	Ehd3	10090.ENSMUSP00000138753	10090.ENSMUSP00000024860	0	0	0	0	0	0.293	0	0.253	0.449
Ank2	Kif5b	10090.ENSMUSP00000138753	10090.ENSMUSP00000025083	0	0	0	0	0.069	0.084	0	0.457	0.496
Ank2	Stim1	10090.ENSMUSP00000138753	10090.ENSMUSP00000033289	0	0	0	0	0	0	0	0.445	0.445
Ank2	Ikbkb	10090.ENSMUSP00000138753	10090.ENSMUSP00000033939	0	0	0	0	0	0.095	0	0.455	0.485
Ank2	Kcne2	10090.ENSMUSP00000138753	10090.ENSMUSP00000048849	0	0	0	0	0	0	0	0.503	0.503
Ank2	Kcne1	10090.ENSMUSP00000138753	10090.ENSMUSP00000052248	0	0	0	0	0	0	0	0.481	0.481
Ank2	Plcg2	10090.ENSMUSP00000138753	10090.ENSMUSP00000079991	0	0	0	0	0	0.055	0	0.396	0.405
Ank2	Pkd2	10090.ENSMUSP00000138753	10090.ENSMUSP00000084041	0	0	0	0	0.051	0.051	0	0.398	0.411
Ank2	Trdn	10090.ENSMUSP00000138753	10090.ENSMUSP00000093436	0	0	0	0	0.069	0.097	0	0.378	0.432
Ank2	Shank3	10090.ENSMUSP00000138753	10090.ENSMUSP00000104932	0	0	0	0.550	0.087	0.203	0	0.317	0.460
Ank2	Ank3	10090.ENSMUSP00000138753	10090.ENSMUSP00000138326	0	0	0.048	0.952	0.130	0	0.900	0.068	0.912
Ank2	Kcnj11	10090.ENSMUSP00000138753	10090.ENSMUSP00000147439	0	0	0	0	0.119	0.293	0	0.636	0.753
Ank3	Calm3	10090.ENSMUSP00000138326	10090.ENSMUSP00000019514	0	0	0	0	0.070	0.124	0	0.766	0.793
Ank3	Kif5b	10090.ENSMUSP00000138326	10090.ENSMUSP00000025083	0	0	0.231	0	0.069	0.084	0	0.308	0.486
Ank3	Stim1	10090.ENSMUSP00000138326	10090.ENSMUSP00000033289	0	0	0	0	0	0	0	0.434	0.434
Ank3	Ikbkb	10090.ENSMUSP00000138326	10090.ENSMUSP00000033939	0	0	0	0	0	0.095	0	0.454	0.484
Ank3	Kcna1	10090.ENSMUSP00000138326	10090.ENSMUSP00000055225	0	0	0	0	0.116	0.053	0	0.528	0.570
Ank3	Plcg2	10090.ENSMUSP00000138326	10090.ENSMUSP00000079991	0	0	0	0	0	0.055	0	0.402	0.411
Ank3	Pkd2	10090.ENSMUSP00000138326	10090.ENSMUSP00000084041	0	0	0	0	0	0.051	0	0.404	0.410
Ank3	Shank3	10090.ENSMUSP00000138326	10090.ENSMUSP00000104932	0	0	0	0.548	0.085	0.221	0	0.302	0.459
Ank3	Kcnc1	10090.ENSMUSP00000138326	10090.ENSMUSP00000124938	0	0	0	0	0.104	0.082	0	0.604	0.645
Arc	Cacng2	10090.ENSMUSP00000023268	10090.ENSMUSP00000019290	0	0	0	0	0.063	0	0	0.614	0.623
Arc	Calm3	10090.ENSMUSP00000023268	10090.ENSMUSP00000019514	0	0	0	0	0.080	0.071	0	0.381	0.425
Arc	Shank3	10090.ENSMUSP00000023268	10090.ENSMUSP00000104932	0	0	0	0	0.061	0.085	0	0.361	0.403
Asph	Casq1	10090.ENSMUSP00000077273	10090.ENSMUSP00000003554	0	0	0	0	0.156	0.042	0.900	0.977	0.997
Asph	Jph2	10090.ENSMUSP00000077273	10090.ENSMUSP00000017961	0	0	0	0	0.089	0	0	0.749	0.761
