#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
1700016K19Rik	Ate1	10090.ENSMUSP00000063358	10090.ENSMUSP00000033139	0	0	0	0	0	0.051	0	0.487	0.492
1700074P13Rik	Usp54	10090.ENSMUSP00000031935	10090.ENSMUSP00000022356	0	0	0	0	0	0	0	0.515	0.515
1700074P13Rik	Prss39	10090.ENSMUSP00000031935	10090.ENSMUSP00000027299	0	0	0.325	0	0.172	0	0	0	0.417
1700074P13Rik	Prss44	10090.ENSMUSP00000031935	10090.ENSMUSP00000095948	0	0	0.357	0	0.113	0	0	0	0.405
1700074P13Rik	Adam3	10090.ENSMUSP00000031935	10090.ENSMUSP00000033958	0	0	0	0	0.197	0	0	0.443	0.533
1810009J06Rik	Ctsb	10090.ENSMUSP00000075935	10090.ENSMUSP00000006235	0	0	0	0	0	0	0	0.558	0.558
1810009J06Rik	Cpb1	10090.ENSMUSP00000075935	10090.ENSMUSP00000011607	0	0	0	0	0.308	0.120	0	0.367	0.581
1810009J06Rik	Cpa1	10090.ENSMUSP00000075935	10090.ENSMUSP00000031806	0	0	0	0	0.305	0.120	0	0.337	0.559
1810009J06Rik	Ctrb1	10090.ENSMUSP00000075935	10090.ENSMUSP00000034435	0	0	0.122	0.835	0.283	0	0	0.461	0.631
1810009J06Rik	Ctrc	10090.ENSMUSP00000075935	10090.ENSMUSP00000039879	0	0	0.150	0.774	0.277	0	0	0.182	0.453
1810009J06Rik	Gm10053	10090.ENSMUSP00000075935	10090.ENSMUSP00000072829	0	0	0	0	0.053	0	0	0.569	0.574
1810009J06Rik	Ctsl	10090.ENSMUSP00000075935	10090.ENSMUSP00000152169	0	0	0	0	0	0	0	0.440	0.440
1810009J06Rik	Cpa2	10090.ENSMUSP00000075935	10090.ENSMUSP00000093771	0	0	0	0	0.296	0.120	0	0.337	0.553
1810009J06Rik	Gm2663	10090.ENSMUSP00000075935	10090.ENSMUSP00000130465	0	0	0.047	0.986	0.812	0	0	0.043	0.813
2210010C04Rik	Ctsb	10090.ENSMUSP00000031931	10090.ENSMUSP00000006235	0	0	0	0	0	0	0	0.638	0.638
2210010C04Rik	Cpb1	10090.ENSMUSP00000031931	10090.ENSMUSP00000011607	0	0	0	0	0.945	0.124	0	0.386	0.968
2210010C04Rik	Ctss	10090.ENSMUSP00000031931	10090.ENSMUSP00000015667	0	0	0	0	0	0	0	0.417	0.417
2210010C04Rik	Tmprss15	10090.ENSMUSP00000031931	10090.ENSMUSP00000023566	0	0	0.073	0.804	0.077	0.282	0	0.178	0.427
2210010C04Rik	Cela1	10090.ENSMUSP00000031931	10090.ENSMUSP00000023775	0	0	0.116	0.843	0.512	0	0	0.095	0.575
2210010C04Rik	Cpa1	10090.ENSMUSP00000031931	10090.ENSMUSP00000031806	0	0	0	0	0.968	0.124	0	0.586	0.987
2210010C04Rik	Ctsl	10090.ENSMUSP00000031931	10090.ENSMUSP00000152169	0	0	0	0	0	0	0	0.485	0.485
2210010C04Rik	Gm10053	10090.ENSMUSP00000031931	10090.ENSMUSP00000072829	0	0	0	0	0.053	0	0	0.569	0.574
2210010C04Rik	Prss3	10090.ENSMUSP00000031931	10090.ENSMUSP00000093702	0	0	0.052	0.977	0.593	0	0	0.044	0.599
2210010C04Rik	Cuzd1	10090.ENSMUSP00000031931	10090.ENSMUSP00000037168	0	0	0	0	0.548	0.109	0	0.114	0.612
2210010C04Rik	Ctrc	10090.ENSMUSP00000031931	10090.ENSMUSP00000039879	0	0	0.162	0.748	0.636	0	0	0.209	0.738
2210010C04Rik	Cpa2	10090.ENSMUSP00000031931	10090.ENSMUSP00000093771	0	0	0	0	0.642	0.124	0	0.417	0.801
2210010C04Rik	Try5	10090.ENSMUSP00000031931	10090.ENSMUSP00000064498	0	0	0.051	0.978	0.835	0	0	0.043	0.837
2210010C04Rik	Cela2a	10090.ENSMUSP00000031931	10090.ENSMUSP00000099539	0	0	0.132	0.811	0.809	0	0	0.102	0.838
2210010C04Rik	Ctrb1	10090.ENSMUSP00000031931	10090.ENSMUSP00000034435	0	0	0.108	0.862	0.874	0.297	0	0.458	0.951
2210010C04Rik	Cela3b	10090.ENSMUSP00000031931	10090.ENSMUSP00000099581	0	0	0.140	0.795	0.947	0	0	0.087	0.955
2210010C04Rik	Ctrl	10090.ENSMUSP00000031931	10090.ENSMUSP00000034368	0	0	0.109	0.860	0.943	0.251	0	0.108	0.961
2210010C04Rik	Prss2	10090.ENSMUSP00000031931	10090.ENSMUSP00000065393	0	0	0.052	0.977	0.967	0	0	0.051	0.967
2610002M06Rik	Chmp1a	10090.ENSMUSP00000113588	10090.ENSMUSP00000000759	0	0	0.066	0.948	0	0	0.900	0	0.902
2610002M06Rik	Chmp2b	10090.ENSMUSP00000113588	10090.ENSMUSP00000004965	0	0	0	0	0.148	0.479	0.900	0.148	0.957
2610002M06Rik	Chmp2a	10090.ENSMUSP00000113588	10090.ENSMUSP00000005711	0	0	0	0.724	0.123	0.804	0.900	0.360	0.987
2610002M06Rik	Snf8	10090.ENSMUSP00000113588	10090.ENSMUSP00000006217	0	0	0	0	0	0	0.720	0.340	0.807
2610002M06Rik	Tsg101	10090.ENSMUSP00000113588	10090.ENSMUSP00000014546	0	0	0	0	0.047	0	0.720	0.335	0.807
2610002M06Rik	Capn7	10090.ENSMUSP00000113588	10090.ENSMUSP00000022451	0	0	0	0	0.081	0	0	0.609	0.625
2610002M06Rik	Chmp6	10090.ENSMUSP00000113588	10090.ENSMUSP00000026434	0	0	0	0	0.115	0.236	0.720	0.360	0.862
2610002M06Rik	Chmp4c	10090.ENSMUSP00000113588	10090.ENSMUSP00000029049	0	0	0	0	0	0.552	0.540	0.250	0.831
2610002M06Rik	Chmp5	10090.ENSMUSP00000113588	10090.ENSMUSP00000030128	0	0	0	0	0.079	0.758	0	0.360	0.845
2610002M06Rik	Vps36	10090.ENSMUSP00000113588	10090.ENSMUSP00000033866	0	0	0	0	0.061	0	0.720	0.360	0.817
2610002M06Rik	Vps4a	10090.ENSMUSP00000113588	10090.ENSMUSP00000034388	0	0	0	0	0.110	0.556	0.900	0.248	0.966
2610002M06Rik	Chmp4b	10090.ENSMUSP00000113588	10090.ENSMUSP00000036206	0	0	0	0	0.053	0.680	0.720	0.250	0.928
2610002M06Rik	Chmp7	10090.ENSMUSP00000113588	10090.ENSMUSP00000047700	0	0	0	0	0.044	0.084	0.720	0.360	0.822
2610002M06Rik	Vps37b	10090.ENSMUSP00000113588	10090.ENSMUSP00000047980	0	0	0	0	0.102	0	0.720	0.270	0.800
2610002M06Rik	Vps37d	10090.ENSMUSP00000113588	10090.ENSMUSP00000063762	0	0	0	0	0.065	0	0.720	0.178	0.766
