#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
B2m	Ctss	10090.ENSMUSP00000099534	10090.ENSMUSP00000015667	0	0	0	0	0.320	0	0	0.375	0.556
B2m	H2-Oa	10090.ENSMUSP00000099534	10090.ENSMUSP00000025192	0	0	0	0.736	0.132	0	0.540	0.119	0.617
B2m	Fcgr2b	10090.ENSMUSP00000099534	10090.ENSMUSP00000027966	0	0	0	0	0.084	0	0	0.431	0.456
B2m	H2-DMa	10090.ENSMUSP00000099534	10090.ENSMUSP00000037088	0	0	0	0.719	0.079	0	0.540	0.113	0.591
B2m	H2-Ab1	10090.ENSMUSP00000099534	10090.ENSMUSP00000041008	0	0	0	0.765	0.171	0.094	0.540	0.144	0.664
B2m	H2-DMb2	10090.ENSMUSP00000099534	10090.ENSMUSP00000043526	0	0	0	0.759	0.088	0.094	0.540	0.059	0.594
B2m	H2-Aa	10090.ENSMUSP00000099534	10090.ENSMUSP00000046105	0	0	0	0.810	0.166	0	0.540	0.081	0.616
B2m	H2-Eb2	10090.ENSMUSP00000099534	10090.ENSMUSP00000056814	0	0	0	0.756	0	0.094	0.540	0.056	0.572
B2m	Fcer1g	10090.ENSMUSP00000099534	10090.ENSMUSP00000078875	0	0	0	0	0.200	0	0	0.328	0.439
B2m	H2-Ob	10090.ENSMUSP00000099534	10090.ENSMUSP00000092985	0	0	0	0.761	0.120	0.094	0.540	0.085	0.619
B2m	Cd74	10090.ENSMUSP00000099534	10090.ENSMUSP00000095171	0	0	0	0	0.272	0	0.540	0.524	0.826
B2m	H2-DMb1	10090.ENSMUSP00000099534	10090.ENSMUSP00000109870	0	0	0	0.759	0.144	0.094	0.540	0.052	0.616
B2m	H2-Eb1	10090.ENSMUSP00000099534	10090.ENSMUSP00000158533	0	0	0	0.761	0.193	0.094	0.540	0.088	0.652
Cd74	Ctss	10090.ENSMUSP00000095171	10090.ENSMUSP00000015667	0	0	0	0	0.391	0.173	0.900	0.637	0.979
Cd74	H2-Oa	10090.ENSMUSP00000095171	10090.ENSMUSP00000025192	0	0	0	0	0.658	0.649	0.900	0.370	0.991
Cd74	Fcgr2b	10090.ENSMUSP00000095171	10090.ENSMUSP00000027966	0	0	0	0	0.167	0	0	0.380	0.461
Cd74	H2-DMa	10090.ENSMUSP00000095171	10090.ENSMUSP00000037088	0	0	0	0	0.746	0.117	0.900	0.627	0.990
Cd74	H2-Ab1	10090.ENSMUSP00000095171	10090.ENSMUSP00000041008	0	0	0	0	0.997	0.555	0.900	0.378	0.999
Cd74	H2-DMb2	10090.ENSMUSP00000095171	10090.ENSMUSP00000043526	0	0	0	0	0.565	0.234	0.900	0.413	0.977
Cd74	H2-Aa	10090.ENSMUSP00000095171	10090.ENSMUSP00000046105	0	0	0	0	0.942	0.361	0.900	0.801	0.999
Cd74	H2-Eb2	10090.ENSMUSP00000095171	10090.ENSMUSP00000056814	0	0	0	0	0.087	0.234	0.900	0.197	0.936
Cd74	Ctse	10090.ENSMUSP00000095171	10090.ENSMUSP00000073072	0	0	0	0	0.085	0.068	0.400	0.222	0.549
Cd74	Fcer1g	10090.ENSMUSP00000095171	10090.ENSMUSP00000078875	0	0	0	0	0.241	0	0	0.398	0.524
Cd74	H2-Ob	10090.ENSMUSP00000095171	10090.ENSMUSP00000092985	0	0	0	0	0.310	0.550	0.900	0.304	0.975
Cd74	H2-DMb1	10090.ENSMUSP00000095171	10090.ENSMUSP00000109870	0	0	0	0	0.790	0.234	0.900	0.522	0.991
Cd74	H2-Eb1	10090.ENSMUSP00000095171	10090.ENSMUSP00000158533	0	0	0	0	0.999	0.671	0.900	0.800	0.999
Ctse	Ctss	10090.ENSMUSP00000073072	10090.ENSMUSP00000015667	0	0	0	0	0.096	0.065	0	0.677	0.703
Ctse	H2-Eb2	10090.ENSMUSP00000073072	10090.ENSMUSP00000056814	0	0	0	0	0.044	0.042	0.400	0.065	0.417
Ctse	H2-Eb1	10090.ENSMUSP00000073072	10090.ENSMUSP00000158533	0	0	0	0	0.061	0.042	0.400	0.174	0.494
Ctss	H2-Eb2	10090.ENSMUSP00000015667	10090.ENSMUSP00000056814	0	0	0	0	0	0	0.400	0.047	0.403
Ctss	Pikfyve	10090.ENSMUSP00000015667	10090.ENSMUSP00000095314	0	0	0	0	0	0	0	0.425	0.425
Ctss	Fcgr2b	10090.ENSMUSP00000015667	10090.ENSMUSP00000027966	0	0	0	0	0.299	0	0	0.295	0.485
Ctss	H2-DMa	10090.ENSMUSP00000015667	10090.ENSMUSP00000037088	0	0	0	0	0.240	0	0	0.368	0.499
Ctss	H2-Ab1	10090.ENSMUSP00000015667	10090.ENSMUSP00000041008	0	0	0	0	0.365	0	0	0.255	0.507
Ctss	H2-Aa	10090.ENSMUSP00000015667	10090.ENSMUSP00000046105	0	0	0	0	0.418	0	0	0.274	0.559
Ctss	Fcer1g	10090.ENSMUSP00000015667	10090.ENSMUSP00000078875	0	0	0	0	0.427	0	0	0.284	0.572
Ctss	Unc93b1	10090.ENSMUSP00000015667	10090.ENSMUSP00000124272	0	0	0	0	0.236	0	0	0.468	0.576
Ctss	H2-Eb1	10090.ENSMUSP00000015667	10090.ENSMUSP00000158533	0	0	0	0	0.326	0	0.400	0.256	0.673
Fcer1g	Fcgr2b	10090.ENSMUSP00000078875	10090.ENSMUSP00000027966	0	0	0	0	0.220	0	0	0.698	0.754
Fcgr2b	H2-Ab1	10090.ENSMUSP00000027966	10090.ENSMUSP00000041008	0	0	0	0	0.159	0	0	0.605	0.653
H2-Aa	H2-Oa	10090.ENSMUSP00000046105	10090.ENSMUSP00000025192	0	0	0.070	0.940	0.483	0	0.720	0.143	0.869
H2-Aa	H2-DMa	10090.ENSMUSP00000046105	10090.ENSMUSP00000037088	0	0	0.093	0.744	0.626	0.123	0.720	0.252	0.926
H2-Aa	H2-Ab1	10090.ENSMUSP00000046105	10090.ENSMUSP00000041008	0	0	0	0.653	0.977	0.989	0.900	0.255	0.999
H2-Aa	H2-DMb2	10090.ENSMUSP00000046105	10090.ENSMUSP00000043526	0	0	0	0.649	0.477	0.287	0.720	0.239	0.910
H2-Aa	H2-Eb2	10090.ENSMUSP00000046105	10090.ENSMUSP00000056814	0	0	0	0.700	0.103	0.287	0.720	0.172	0.831
H2-Aa	H2-Ob	10090.ENSMUSP00000046105	10090.ENSMUSP00000092985	0	0	0	0.678	0.383	0.287	0.720	0.257	0.896
H2-Aa	H2-DMb1	10090.ENSMUSP00000046105	10090.ENSMUSP00000109870	0	0	0	0.641	0.681	0.287	0.720	0.287	0.948
H2-Aa	H2-Eb1	10090.ENSMUSP00000046105	10090.ENSMUSP00000158533	0	0	0	0.655	0.949	0.287	0.720	0.569	0.995
H2-Ab1	H2-Oa	10090.ENSMUSP00000041008	10090.ENSMUSP00000025192	0	0	0	0.643	0.353	0.729	0.720	0.165	0.953
H2-Ab1	H2-DMa	10090.ENSMUSP00000041008	10090.ENSMUSP00000037088	0	0	0	0	0.714	0.428	0.720	0.407	0.969
H2-Ab1	H2-Eb2	10090.ENSMUSP00000041008	10090.ENSMUSP00000056814	0	0	0.074	0.933	0.082	0	0.720	0.045	0.742
H2-Ab1	H2-Ob	10090.ENSMUSP00000041008	10090.ENSMUSP00000092985	0	0	0.071	0.928	0.299	0	0.720	0.100	0.814
H2-Ab1	H2-DMb2	10090.ENSMUSP00000041008	10090.ENSMUSP00000043526	0	0	0	0.663	0.589	0.460	0.720	0.079	0.935
H2-Ab1	H2-DMb1	10090.ENSMUSP00000041008	10090.ENSMUSP00000109870	0	0	0	0.655	0.816	0.460	0.720	0.097	0.971
H2-Ab1	H2-Eb1	10090.ENSMUSP00000041008	10090.ENSMUSP00000158533	0	0	0.061	0.958	0.999	0	0.720	0.052	0.999
H2-DMa	H2-Oa	10090.ENSMUSP00000037088	10090.ENSMUSP00000025192	0	0	0.099	0.745	0.804	0.828	0.720	0.474	0.994
H2-DMa	H2-Eb2	10090.ENSMUSP00000037088	10090.ENSMUSP00000056814	0	0	0	0	0.121	0.139	0.720	0.397	0.855
H2-DMa	H2-Ob	10090.ENSMUSP00000037088	10090.ENSMUSP00000092985	0	0	0.210	0	0.348	0.556	0.720	0.693	0.976
H2-DMa	H2-Eb1	10090.ENSMUSP00000037088	10090.ENSMUSP00000158533	0	0	0	0	0.679	0.428	0.720	0.716	0.983
H2-DMa	H2-DMb2	10090.ENSMUSP00000037088	10090.ENSMUSP00000043526	0	0.407	0	0	0.916	0.968	0.720	0.810	0.999
H2-DMa	H2-DMb1	10090.ENSMUSP00000037088	10090.ENSMUSP00000109870	0	0.405	0	0	0.962	0.437	0.900	0.841	0.999
H2-DMb1	H2-Oa	10090.ENSMUSP00000109870	10090.ENSMUSP00000025192	0	0	0	0.617	0.635	0.758	0.720	0.293	0.980
H2-DMb1	H2-DMb2	10090.ENSMUSP00000109870	10090.ENSMUSP00000043526	0	0	0.048	0.984	0.569	0	0.720	0.051	0.876
H2-DMb1	H2-Eb2	10090.ENSMUSP00000109870	10090.ENSMUSP00000056814	0	0	0	0.659	0.065	0	0.720	0.150	0.758
H2-DMb1	H2-Ob	10090.ENSMUSP00000109870	10090.ENSMUSP00000092985	0	0	0	0.685	0.323	0.578	0.720	0.198	0.927
H2-DMb1	H2-Eb1	10090.ENSMUSP00000109870	10090.ENSMUSP00000158533	0	0	0	0.654	0.716	0.460	0.720	0.270	0.964
H2-DMb2	H2-Oa	10090.ENSMUSP00000043526	10090.ENSMUSP00000025192	0	0	0	0.618	0.753	0.758	0.720	0.314	0.987
H2-DMb2	H2-Eb2	10090.ENSMUSP00000043526	10090.ENSMUSP00000056814	0	0	0	0.675	0.176	0	0.720	0.187	0.796
H2-DMb2	H2-Eb1	10090.ENSMUSP00000043526	10090.ENSMUSP00000158533	0	0	0	0.662	0.582	0.460	0.720	0.235	0.945
H2-DMb2	H2-Ob	10090.ENSMUSP00000043526	10090.ENSMUSP00000092985	0	0	0	0.694	0.542	0.578	0.720	0.245	0.953
H2-Eb1	H2-Oa	10090.ENSMUSP00000158533	10090.ENSMUSP00000025192	0	0	0	0.644	0.326	0.729	0.720	0.314	0.960
H2-Eb1	H2-Eb2	10090.ENSMUSP00000158533	10090.ENSMUSP00000056814	0	0	0.058	0.965	0.116	0	0.800	0.061	0.822
H2-Eb1	H2-Ob	10090.ENSMUSP00000158533	10090.ENSMUSP00000092985	0	0	0.068	0.941	0.291	0	0.720	0.104	0.812
