#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Abcb10	Gata1	10090.ENSMUSP00000075011	10090.ENSMUSP00000033502	0	0	0	0	0.087	0	0	0.388	0.418
Abcb10	Fxn	10090.ENSMUSP00000075011	10090.ENSMUSP00000080081	0.065	0	0	0	0.051	0.049	0	0.459	0.482
Abcb1a	Pparg	10090.ENSMUSP00000041204	10090.ENSMUSP00000000450	0	0	0	0	0.057	0.050	0	0.416	0.431
Abcb1a	Akt1	10090.ENSMUSP00000041204	10090.ENSMUSP00000001780	0	0	0	0	0.047	0.062	0	0.653	0.663
Abcb1a	Braf	10090.ENSMUSP00000041204	10090.ENSMUSP00000002487	0	0	0	0	0.047	0.064	0	0.399	0.417
Abcb1a	Mapk14	10090.ENSMUSP00000041204	10090.ENSMUSP00000004990	0	0	0	0	0.080	0.042	0	0.414	0.438
Abcb1a	App	10090.ENSMUSP00000041204	10090.ENSMUSP00000005406	0	0	0	0	0.044	0	0	0.515	0.516
Abcb1a	Kit	10090.ENSMUSP00000041204	10090.ENSMUSP00000005815	0	0	0	0	0.109	0	0	0.367	0.412
Abcb1a	Sod2	10090.ENSMUSP00000041204	10090.ENSMUSP00000007012	0	0	0	0	0	0.288	0	0.256	0.448
Abcb1a	Ctnnb1	10090.ENSMUSP00000041204	10090.ENSMUSP00000007130	0	0	0	0	0.046	0	0	0.556	0.559
Abcb1a	Pten	10090.ENSMUSP00000041204	10090.ENSMUSP00000013807	0	0	0	0	0.059	0.042	0	0.490	0.500
Abcb1a	Il10	10090.ENSMUSP00000041204	10090.ENSMUSP00000016673	0	0	0	0	0.069	0	0	0.443	0.460
Abcb1a	Egfr	10090.ENSMUSP00000041204	10090.ENSMUSP00000020329	0	0	0	0	0.069	0.062	0	0.645	0.663
Abcb1a	Mdm2	10090.ENSMUSP00000041204	10090.ENSMUSP00000020408	0	0	0	0	0.093	0	0	0.428	0.459
Abcb1a	Hif1a	10090.ENSMUSP00000041204	10090.ENSMUSP00000021530	0	0	0	0	0.057	0.051	0	0.518	0.530
Abcb1a	Myc	10090.ENSMUSP00000041204	10090.ENSMUSP00000022971	0	0	0	0	0	0	0	0.482	0.482
Abcb1a	Cd4	10090.ENSMUSP00000041204	10090.ENSMUSP00000024044	0	0	0	0	0	0.127	0	0.400	0.453
