#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Adora2a	Tnf	10090.ENSMUSP00000101060	10090.ENSMUSP00000025263	0	0	0	0	0.093	0	0	0.606	0.627
Agt	Tgfbr1	10090.ENSMUSP00000066488	10090.ENSMUSP00000007757	0	0	0	0	0	0	0	0.438	0.438
Agt	Cav1	10090.ENSMUSP00000066488	10090.ENSMUSP00000007799	0	0	0	0	0	0	0	0.532	0.532
Agt	Pten	10090.ENSMUSP00000066488	10090.ENSMUSP00000013807	0	0	0	0	0	0	0	0.455	0.455
Agt	Timp3	10090.ENSMUSP00000066488	10090.ENSMUSP00000020234	0	0	0	0	0.063	0	0	0.462	0.474
Agt	Mapk8	10090.ENSMUSP00000066488	10090.ENSMUSP00000022504	0	0	0	0	0	0.042	0	0.479	0.479
Agt	Sod1	10090.ENSMUSP00000066488	10090.ENSMUSP00000023707	0	0	0	0	0.041	0	0	0.476	0.476
Agt	Tnf	10090.ENSMUSP00000066488	10090.ENSMUSP00000025263	0	0	0	0	0	0	0	0.826	0.826
Agt	Cyct	10090.ENSMUSP00000066488	10090.ENSMUSP00000028430	0	0	0	0	0	0	0	0.496	0.496
Agt	Nox1	10090.ENSMUSP00000066488	10090.ENSMUSP00000033610	0	0	0	0	0	0	0	0.723	0.723
Agt	Thbs1	10090.ENSMUSP00000066488	10090.ENSMUSP00000044903	0	0	0	0	0	0	0	0.457	0.457
Agt	Jak2	10090.ENSMUSP00000066488	10090.ENSMUSP00000064394	0	0	0	0	0	0	0	0.562	0.562
Agt	Tgfb2	10090.ENSMUSP00000066488	10090.ENSMUSP00000142149	0	0	0	0	0	0	0	0.412	0.412
Agt	Becn1	10090.ENSMUSP00000066488	10090.ENSMUSP00000119369	0	0	0	0	0	0	0	0.425	0.425
Agt	Ptprc	10090.ENSMUSP00000066488	10090.ENSMUSP00000138350	0	0	0	0	0	0	0	0.441	0.441
Agt	Trp53	10090.ENSMUSP00000066488	10090.ENSMUSP00000104298	0	0	0	0	0	0.075	0	0.555	0.570
Agt	Sirt1	10090.ENSMUSP00000066488	10090.ENSMUSP00000112595	0	0	0	0	0	0.042	0	0.650	0.651
Agt	Gper1	10090.ENSMUSP00000066488	10090.ENSMUSP00000080370	0	0	0	0	0	0	0.500	0.474	0.725
Agt	Agtr2	10090.ENSMUSP00000066488	10090.ENSMUSP00000086592	0	0	0	0	0.057	0.942	0.900	0.997	0.999
Agtr2	Timp3	10090.ENSMUSP00000086592	10090.ENSMUSP00000020234	0	0	0	0	0.057	0.093	0	0.798	0.812
Agtr2	Gper1	10090.ENSMUSP00000086592	10090.ENSMUSP00000080370	0	0	0	0.675	0.046	0	0.500	0.090	0.528
Apaf1	Bbc3	10090.ENSMUSP00000020157	10090.ENSMUSP00000002152	0	0	0	0	0	0	0	0.607	0.607
Apaf1	Bid	10090.ENSMUSP00000020157	10090.ENSMUSP00000004560	0	0	0	0	0.064	0	0	0.616	0.626
Apaf1	Pten	10090.ENSMUSP00000020157	10090.ENSMUSP00000013807	0	0	0	0	0.083	0	0	0.677	0.691
Apaf1	Pea15a	10090.ENSMUSP00000020157	10090.ENSMUSP00000013842	0	0	0	0	0	0.414	0	0.182	0.500
Apaf1	Fis1	10090.ENSMUSP00000020157	10090.ENSMUSP00000019198	0	0	0	0	0.056	0.237	0	0.337	0.481
Apaf1	Mapk8	10090.ENSMUSP00000020157	10090.ENSMUSP00000022504	0	0	0	0	0	0.055	0	0.401	0.409
Apaf1	Sirt1	10090.ENSMUSP00000020157	10090.ENSMUSP00000112595	0	0	0	0	0.095	0	0	0.392	0.427
Apaf1	Bad	10090.ENSMUSP00000020157	10090.ENSMUSP00000025910	0	0	0	0	0	0	0	0.454	0.454
Apaf1	Trp73	10090.ENSMUSP00000020157	10090.ENSMUSP00000101269	0	0	0	0	0.065	0.064	0	0.450	0.476
Apaf1	Becn1	10090.ENSMUSP00000020157	10090.ENSMUSP00000119369	0	0	0	0	0.047	0	0	0.485	0.488
Apaf1	Traf2	10090.ENSMUSP00000020157	10090.ENSMUSP00000109872	0	0	0	0	0.067	0	0	0.477	0.491
Apaf1	Dnm1l	10090.ENSMUSP00000020157	10090.ENSMUSP00000155155	0	0	0	0	0.050	0.139	0	0.438	0.500
Apaf1	Ripk3	10090.ENSMUSP00000020157	10090.ENSMUSP00000022830	0	0	0	0	0.078	0.089	0	0.456	0.504
Apaf1	Bcl2l14	10090.ENSMUSP00000020157	10090.ENSMUSP00000032321	0	0	0	0	0	0.301	0	0.326	0.509
Apaf1	Myc	10090.ENSMUSP00000020157	10090.ENSMUSP00000022971	0	0	0	0	0.058	0	0	0.500	0.510
Apaf1	Ripk1	10090.ENSMUSP00000020157	10090.ENSMUSP00000129831	0	0	0	0	0.077	0.089	0	0.474	0.519
Apaf1	Bmf	10090.ENSMUSP00000020157	10090.ENSMUSP00000087686	0	0	0	0	0.042	0	0	0.559	0.559
Apaf1	Cradd	10090.ENSMUSP00000020157	10090.ENSMUSP00000050295	0	0	0	0	0	0	0	0.573	0.573
Apaf1	Tnfsf10	10090.ENSMUSP00000020157	10090.ENSMUSP00000040271	0	0	0	0	0.041	0	0	0.604	0.604
Apaf1	Tnf	10090.ENSMUSP00000020157	10090.ENSMUSP00000025263	0	0	0	0	0	0	0	0.620	0.620
Apaf1	Fas	10090.ENSMUSP00000020157	10090.ENSMUSP00000025691	0	0	0	0	0.060	0	0	0.645	0.652
Apaf1	Bok	10090.ENSMUSP00000020157	10090.ENSMUSP00000027499	0	0	0	0	0	0.301	0	0.569	0.686
Apaf1	Pmaip1	10090.ENSMUSP00000020157	10090.ENSMUSP00000025399	0	0	0	0	0.065	0	0	0.716	0.723
Apaf1	Fadd	10090.ENSMUSP00000020157	10090.ENSMUSP00000033394	0	0	0	0	0.064	0.089	0	0.756	0.774
Apaf1	Mcl1	10090.ENSMUSP00000020157	10090.ENSMUSP00000044048	0	0	0	0	0.053	0.301	0	0.739	0.812
Apaf1	Htra2	10090.ENSMUSP00000020157	10090.ENSMUSP00000087073	0	0	0	0	0.049	0	0	0.828	0.829
Apaf1	Bcl2l11	10090.ENSMUSP00000020157	10090.ENSMUSP00000105970	0	0	0	0	0.172	0	0	0.833	0.856
