#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Acp5	Traf6	10090.ENSMUSP00000150903	10090.ENSMUSP00000004949	0	0	0	0	0	0	0	0.426	0.426
Acp5	Ctsk	10090.ENSMUSP00000150903	10090.ENSMUSP00000015664	0	0	0	0	0.085	0	0	0.827	0.835
Acp5	Tnfsf11	10090.ENSMUSP00000150903	10090.ENSMUSP00000022592	0	0	0	0	0	0	0	0.863	0.863
Acp5	Enpp1	10090.ENSMUSP00000150903	10090.ENSMUSP00000114273	0.042	0	0	0	0.050	0.049	0.900	0.212	0.919
Adrb2	Pth1r	10090.ENSMUSP00000062256	10090.ENSMUSP00000006005	0	0	0	0	0	0	0	0.428	0.428
Adrb2	Tnfsf11	10090.ENSMUSP00000062256	10090.ENSMUSP00000022592	0	0	0	0	0	0	0	0.409	0.409
Adrb2	Src	10090.ENSMUSP00000062256	10090.ENSMUSP00000090237	0	0	0	0	0.046	0.132	0	0.484	0.536
Cbl	Traf6	10090.ENSMUSP00000146244	10090.ENSMUSP00000004949	0	0	0	0	0.121	0.293	0	0.862	0.906
Cbl	Ctnnb1	10090.ENSMUSP00000146244	10090.ENSMUSP00000007130	0	0	0	0	0.042	0.267	0.720	0.785	0.952
Cbl	Ptk2b	10090.ENSMUSP00000146244	10090.ENSMUSP00000022622	0	0	0	0	0	0.371	0	0.839	0.894
Cbl	Src	10090.ENSMUSP00000146244	10090.ENSMUSP00000090237	0	0	0	0	0	0.847	0.500	0.880	0.990
Ctnnb1	Traf6	10090.ENSMUSP00000007130	10090.ENSMUSP00000004949	0	0	0	0	0.093	0.093	0	0.443	0.502
Ctnnb1	Pth1r	10090.ENSMUSP00000007130	10090.ENSMUSP00000006005	0	0	0	0	0	0.195	0	0.646	0.702
Ctnnb1	Il7	10090.ENSMUSP00000007130	10090.ENSMUSP00000141845	0	0	0	0	0.084	0	0	0.374	0.402
Ctnnb1	Nox4	10090.ENSMUSP00000007130	10090.ENSMUSP00000032781	0	0	0	0	0.045	0	0	0.417	0.420
Ctnnb1	Ptk2b	10090.ENSMUSP00000007130	10090.ENSMUSP00000022622	0	0	0	0	0.095	0	0	0.435	0.467
Ctnnb1	Ctsk	10090.ENSMUSP00000007130	10090.ENSMUSP00000015664	0	0	0	0	0.076	0	0	0.499	0.517
Ctnnb1	Hnf1a	10090.ENSMUSP00000007130	10090.ENSMUSP00000031535	0	0	0	0	0	0.225	0	0.482	0.581
Ctnnb1	Ihh	10090.ENSMUSP00000007130	10090.ENSMUSP00000128056	0	0	0	0	0	0	0	0.636	0.636
Ctnnb1	Tnfsf11	10090.ENSMUSP00000007130	10090.ENSMUSP00000022592	0	0	0	0	0	0	0	0.708	0.708
