#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Abcc1	Egfr	10090.ENSMUSP00000097743	10090.ENSMUSP00000020329	0	0	0	0	0.055	0.048	0	0.481	0.492
Ace	Egfr	10090.ENSMUSP00000001963	10090.ENSMUSP00000020329	0	0	0	0	0	0	0	0.406	0.406
Ace	Ccr2	10090.ENSMUSP00000001963	10090.ENSMUSP00000132453	0	0	0	0	0.051	0	0	0.405	0.411
Ace	Il18	10090.ENSMUSP00000001963	10090.ENSMUSP00000151002	0	0	0	0	0	0	0	0.457	0.457
Ace	Pde5a	10090.ENSMUSP00000001963	10090.ENSMUSP00000069011	0	0	0	0	0.046	0	0	0.459	0.462
Ace	Ctss	10090.ENSMUSP00000001963	10090.ENSMUSP00000015667	0	0	0	0	0.057	0	0	0.460	0.469
Ace	Ednra	10090.ENSMUSP00000001963	10090.ENSMUSP00000034029	0	0	0	0	0.080	0	0	0.471	0.492
Ace	Tlr4	10090.ENSMUSP00000001963	10090.ENSMUSP00000045770	0	0	0	0	0	0.052	0	0.532	0.537
Ace	Ptgs2	10090.ENSMUSP00000001963	10090.ENSMUSP00000035065	0	0	0	0	0.050	0	0	0.554	0.558
Ace	Tac1	10090.ENSMUSP00000001963	10090.ENSMUSP00000139347	0	0	0	0	0	0	0	0.573	0.573
Ace	Ifng	10090.ENSMUSP00000001963	10090.ENSMUSP00000063800	0	0	0	0	0	0	0	0.580	0.580
Ace	App	10090.ENSMUSP00000001963	10090.ENSMUSP00000005406	0	0	0	0	0.071	0.060	0	0.600	0.620
Ace	Il1b	10090.ENSMUSP00000001963	10090.ENSMUSP00000028881	0	0	0	0	0	0	0	0.661	0.661
Ace	Serpine1	10090.ENSMUSP00000001963	10090.ENSMUSP00000039586	0	0	0	0	0	0.095	0	0.656	0.676
Ace	Nppa	10090.ENSMUSP00000001963	10090.ENSMUSP00000099520	0	0	0	0	0.058	0	0	0.698	0.704
Ace	Tnf	10090.ENSMUSP00000001963	10090.ENSMUSP00000025263	0	0	0	0	0	0	0	0.740	0.740
Ace	Il6	10090.ENSMUSP00000001963	10090.ENSMUSP00000026845	0	0	0	0	0	0	0	0.803	0.803
Adam8	Mmp8	10090.ENSMUSP00000101684	10090.ENSMUSP00000018765	0	0	0	0	0.229	0	0	0.332	0.463
Adam8	Lilra5	10090.ENSMUSP00000101684	10090.ENSMUSP00000113091	0	0	0	0	0	0	0.400	0	0.400
Adora2b	Adora3	10090.ENSMUSP00000018644	10090.ENSMUSP00000000574	0	0	0	0.879	0.082	0.165	0	0.441	0.534
Adora2b	Fgfr1	10090.ENSMUSP00000018644	10090.ENSMUSP00000081041	0	0	0	0	0	0.085	0	0.389	0.417
