#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
2610528A11Rik	Gpr15	10090.ENSMUSP00000136426	10090.ENSMUSP00000086731	0	0	0	0	0	0	0	0.792	0.792
4833427G06Rik	Taf7l	10090.ENSMUSP00000126725	10090.ENSMUSP00000009740	0	0	0	0	0	0.479	0	0.187	0.558
4833427G06Rik	Tekt1	10090.ENSMUSP00000126725	10090.ENSMUSP00000021155	0	0	0	0	0.402	0	0	0.065	0.417
4833427G06Rik	Spag16	10090.ENSMUSP00000126725	10090.ENSMUSP00000069821	0	0	0	0	0.148	0.479	0	0.180	0.604
4833427G06Rik	Gapdhs	10090.ENSMUSP00000126725	10090.ENSMUSP00000138634	0	0	0	0	0.348	0	0	0.149	0.421
4833427G06Rik	Eno4	10090.ENSMUSP00000126725	10090.ENSMUSP00000144272	0	0	0	0	0.170	0	0	0.501	0.568
4930544G11Rik	Rnd1	10090.ENSMUSP00000045487	10090.ENSMUSP00000003451	0	0	0.073	0.921	0.050	0	0.900	0	0.904
4930544G11Rik	Vav1	10090.ENSMUSP00000045487	10090.ENSMUSP00000005889	0	0	0	0	0	0.139	0.900	0.118	0.917
4930544G11Rik	Rhoa	10090.ENSMUSP00000045487	10090.ENSMUSP00000007959	0	0	0.050	0.980	0	0	0.900	0	0.901
4930544G11Rik	Mapk8	10090.ENSMUSP00000045487	10090.ENSMUSP00000022504	0	0	0	0	0.075	0.238	0.900	0.107	0.928
4930544G11Rik	Ptk2b	10090.ENSMUSP00000045487	10090.ENSMUSP00000022622	0	0	0	0	0.056	0.051	0.900	0.044	0.902
4930544G11Rik	Vav3	10090.ENSMUSP00000045487	10090.ENSMUSP00000036270	0	0	0	0	0.044	0.135	0.900	0.118	0.917
4930544G11Rik	Pkn2	10090.ENSMUSP00000045487	10090.ENSMUSP00000039566	0	0	0	0	0.052	0.418	0.900	0.121	0.945
