#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score	ref	name
Ccl2	Cd86	10090.ENSMUSP00000000193	10090.ENSMUSP00000087047	0	0	0	0	0.167	0	0	0.700	0.740	PMID:36972442	Melatonin And Vitamin D Two Sides Of The Same Coin Better To Land On Its Edge To Improve Multiple Sclerosis
Ccl2	Nfkbia	10090.ENSMUSP00000000193	10090.ENSMUSP00000021413	0	0	0	0	0.193	0	0	0.703	0.750	PMID:36972442	Melatonin And Vitamin D Two Sides Of The Same Coin Better To Land On Its Edge To Improve Multiple Sclerosis
Ccl2	Ifng	10090.ENSMUSP00000000193	10090.ENSMUSP00000063800	0	0	0	0	0.191	0	0	0.901	0.917	PMID:36972442	Melatonin And Vitamin D Two Sides Of The Same Coin Better To Land On Its Edge To Improve Multiple Sclerosis
Ccl2	Tnf	10090.ENSMUSP00000000193	10090.ENSMUSP00000025263	0	0	0	0	0.392	0	0	0.930	0.956	PMID:36972442	Melatonin And Vitamin D Two Sides Of The Same Coin Better To Land On Its Edge To Improve Multiple Sclerosis
Ccl2	Il6	10090.ENSMUSP00000000193	10090.ENSMUSP00000026845	0	0	0	0	0.600	0	0	0.941	0.975	PMID:36972442	Melatonin And Vitamin D Two Sides Of The Same Coin Better To Land On Its Edge To Improve Multiple Sclerosis
Cd86	Nfkbia	10090.ENSMUSP00000087047	10090.ENSMUSP00000021413	0	0	0	0	0.113	0	0	0.490	0.528	PMID:36972442	Melatonin And Vitamin D Two Sides Of The Same Coin Better To Land On Its Edge To Improve Multiple Sclerosis
Cd86	Tnf	10090.ENSMUSP00000087047	10090.ENSMUSP00000025263	0	0	0	0	0.211	0	0	0.863	0.887	PMID:36972442	Melatonin And Vitamin D Two Sides Of The Same Coin Better To Land On Its Edge To Improve Multiple Sclerosis
Cd86	Il6	10090.ENSMUSP00000087047	10090.ENSMUSP00000026845	0	0	0	0	0.136	0	0	0.866	0.880	PMID:36972442	Melatonin And Vitamin D Two Sides Of The Same Coin Better To Land On Its Edge To Improve Multiple Sclerosis
Cd86	Ifng	10090.ENSMUSP00000087047	10090.ENSMUSP00000063800	0	0	0	0	0.230	0	0	0.899	0.919	PMID:36972442	Melatonin And Vitamin D Two Sides Of The Same Coin Better To Land On Its Edge To Improve Multiple Sclerosis
Ifng	Nfkbia	10090.ENSMUSP00000063800	10090.ENSMUSP00000021413	0	0	0	0	0.094	0	0	0.707	0.724	PMID:36972442	Melatonin And Vitamin D Two Sides Of The Same Coin Better To Land On Its Edge To Improve Multiple Sclerosis
Ifng	Tnf	10090.ENSMUSP00000063800	10090.ENSMUSP00000025263	0	0	0	0	0.181	0	0	0.965	0.970	PMID:36972442	Melatonin And Vitamin D Two Sides Of The Same Coin Better To Land On Its Edge To Improve Multiple Sclerosis
Ifng	Il6	10090.ENSMUSP00000063800	10090.ENSMUSP00000026845	0	0	0	0	0.124	0	0	0.966	0.969	PMID:36972442	Melatonin And Vitamin D Two Sides Of The Same Coin Better To Land On Its Edge To Improve Multiple Sclerosis
Il6	Nfkbia	10090.ENSMUSP00000026845	10090.ENSMUSP00000021413	0	0	0	0	0.171	0.041	0	0.869	0.887	PMID:36972442	Melatonin And Vitamin D Two Sides Of The Same Coin Better To Land On Its Edge To Improve Multiple Sclerosis
Il6	Tnf	10090.ENSMUSP00000026845	10090.ENSMUSP00000025263	0	0	0	0	0.301	0	0	0.962	0.972	PMID:36972442	Melatonin And Vitamin D Two Sides Of The Same Coin Better To Land On Its Edge To Improve Multiple Sclerosis
Nfkbia	Tnf	10090.ENSMUSP00000021413	10090.ENSMUSP00000025263	0	0	0	0	0.285	0.094	0	0.893	0.925	PMID:36972442	Melatonin And Vitamin D Two Sides Of The Same Coin Better To Land On Its Edge To Improve Multiple Sclerosis
Adam10	Kl	10090.ENSMUSP00000063839	10090.ENSMUSP00000077899	0	0	0	0	0	0	0	0.541	0.541	PMID:32542086	Klotho And Vitamin D In Multiple Sclerosis An Italian Study
Cyp24a1	Fgf23	10090.ENSMUSP00000047954	10090.ENSMUSP00000000186	0	0	0	0	0.073	0	0	0.827	0.832	PMID:32542086	Klotho And Vitamin D In Multiple Sclerosis An Italian Study
Cyp24a1	Cyp2r1	10090.ENSMUSP00000047954	10090.ENSMUSP00000032908	0	0	0.212	0.610	0.056	0	0.900	0.385	0.948	PMID:32542086	Klotho And Vitamin D In Multiple Sclerosis An Italian Study
Cyp24a1	Kl	10090.ENSMUSP00000047954	10090.ENSMUSP00000077899	0	0	0	0	0.085	0	0	0.722	0.735	PMID:32542086	Klotho And Vitamin D In Multiple Sclerosis An Italian Study
Cyp24a1	Cyp27b1	10090.ENSMUSP00000047954	10090.ENSMUSP00000130005	0	0	0.138	0.801	0.104	0.093	0.900	0.216	0.935	PMID:32542086	Klotho And Vitamin D In Multiple Sclerosis An Italian Study
Cyp27b1	Fgf23	10090.ENSMUSP00000130005	10090.ENSMUSP00000000186	0	0	0	0	0.059	0	0	0.853	0.856	PMID:32542086	Klotho And Vitamin D In Multiple Sclerosis An Italian Study
Cyp27b1	Cyp2r1	10090.ENSMUSP00000130005	10090.ENSMUSP00000032908	0	0	0.226	0.605	0.069	0.604	0.900	0.391	0.979	PMID:32542086	Klotho And Vitamin D In Multiple Sclerosis An Italian Study
Cyp27b1	Kl	10090.ENSMUSP00000130005	10090.ENSMUSP00000077899	0	0	0	0	0.053	0	0	0.754	0.758	PMID:32542086	Klotho And Vitamin D In Multiple Sclerosis An Italian Study
Cyp2r1	Fgf23	10090.ENSMUSP00000032908	10090.ENSMUSP00000000186	0	0	0	0	0.054	0	0	0.643	0.647	PMID:32542086	Klotho And Vitamin D In Multiple Sclerosis An Italian Study
Fgf23	Kl	10090.ENSMUSP00000000186	10090.ENSMUSP00000077899	0	0	0	0	0	0.834	0.800	0.998	0.999	PMID:32542086	Klotho And Vitamin D In Multiple Sclerosis An Italian Study
Cd4	Il4	10090.ENSMUSP00000024044	10090.ENSMUSP00000000889	0	0	0	0	0	0	0	0.943	0.943	PMID:32435244	A Brief Review Of The Effects Of Vitamin D On Multiple Sclerosis
Cd4	Il10	10090.ENSMUSP00000024044	10090.ENSMUSP00000016673	0	0	0	0	0.089	0	0	0.959	0.961	PMID:32435244	A Brief Review Of The Effects Of Vitamin D On Multiple Sclerosis
