#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Akt1	Il4	10090.ENSMUSP00000001780	10090.ENSMUSP00000000889	0	0	0	0	0.054	0.094	0	0.720	0.739
Akt1	Foxp3	10090.ENSMUSP00000001780	10090.ENSMUSP00000111405	0	0	0	0	0	0	0	0.661	0.661
Akt1	Casp1	10090.ENSMUSP00000001780	10090.ENSMUSP00000027015	0	0	0	0	0.068	0.064	0	0.643	0.661
Akt1	Cd274	10090.ENSMUSP00000001780	10090.ENSMUSP00000016640	0	0	0	0	0	0	0	0.720	0.720
Akt1	Nr3c1	10090.ENSMUSP00000001780	10090.ENSMUSP00000111229	0	0	0	0	0.094	0.093	0	0.693	0.726
Akt1	Il10	10090.ENSMUSP00000001780	10090.ENSMUSP00000016673	0	0	0	0	0	0	0	0.753	0.753
Akt1	Cd4	10090.ENSMUSP00000001780	10090.ENSMUSP00000024044	0	0	0	0	0	0.076	0	0.760	0.769
Akt1	Ifng	10090.ENSMUSP00000001780	10090.ENSMUSP00000063800	0	0	0	0	0.047	0	0	0.774	0.775
Akt1	Ctla4	10090.ENSMUSP00000001780	10090.ENSMUSP00000027164	0	0	0	0	0.067	0.054	0.500	0.660	0.829
Akt1	Tnf	10090.ENSMUSP00000001780	10090.ENSMUSP00000025263	0	0	0	0	0.073	0.071	0	0.880	0.888
Akt1	Il6	10090.ENSMUSP00000001780	10090.ENSMUSP00000026845	0	0	0	0	0	0	0	0.924	0.924
Akt1	Mtor	10090.ENSMUSP00000001780	10090.ENSMUSP00000099510	0	0	0	0	0.052	0.819	0.900	0.928	0.998
Casp1	Il4	10090.ENSMUSP00000027015	10090.ENSMUSP00000000889	0	0	0	0	0.047	0	0	0.648	0.651
Casp1	Cd274	10090.ENSMUSP00000027015	10090.ENSMUSP00000016640	0	0	0	0	0.226	0	0	0.393	0.510
Casp1	Il10	10090.ENSMUSP00000027015	10090.ENSMUSP00000016673	0	0	0	0	0.070	0	0	0.736	0.744
Casp1	Ciita	10090.ENSMUSP00000027015	10090.ENSMUSP00000023147	0	0	0	0	0.071	0	0	0.440	0.457
Casp1	Cd4	10090.ENSMUSP00000027015	10090.ENSMUSP00000024044	0	0	0	0	0	0	0	0.705	0.705
Casp1	Tnf	10090.ENSMUSP00000027015	10090.ENSMUSP00000025263	0	0	0	0	0.182	0.236	0	0.851	0.899
Casp1	Il6	10090.ENSMUSP00000027015	10090.ENSMUSP00000026845	0	0	0	0	0.101	0	0	0.849	0.859
Casp1	Foxp3	10090.ENSMUSP00000027015	10090.ENSMUSP00000111405	0	0	0	0	0	0	0	0.458	0.457
Casp1	Mtor	10090.ENSMUSP00000027015	10090.ENSMUSP00000099510	0	0	0	0	0	0.075	0	0.480	0.499
Casp1	Ifng	10090.ENSMUSP00000027015	10090.ENSMUSP00000063800	0	0	0	0	0.091	0	0	0.762	0.775
Cd274	Il4	10090.ENSMUSP00000016640	10090.ENSMUSP00000000889	0	0	0	0	0.044	0	0	0.740	0.740
Cd274	Mog	10090.ENSMUSP00000016640	10090.ENSMUSP00000099726	0	0	0	0	0	0	0	0.414	0.414
Cd274	Ciita	10090.ENSMUSP00000016640	10090.ENSMUSP00000023147	0	0	0	0	0.167	0	0	0.490	0.557
