#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
2610002M06Rik	Chmp1a	10090.ENSMUSP00000113588	10090.ENSMUSP00000000759	0	0	0.066	0.948	0	0	0.900	0	0.902
2610002M06Rik	Chmp2b	10090.ENSMUSP00000113588	10090.ENSMUSP00000004965	0	0	0	0	0.148	0.479	0.900	0.148	0.957
2610002M06Rik	Chmp2a	10090.ENSMUSP00000113588	10090.ENSMUSP00000005711	0	0	0	0.724	0.123	0.804	0.900	0.360	0.987
2610002M06Rik	Tsg101	10090.ENSMUSP00000113588	10090.ENSMUSP00000014546	0	0	0	0	0.047	0	0.720	0.335	0.807
2610002M06Rik	Spast	10090.ENSMUSP00000113588	10090.ENSMUSP00000024869	0	0	0	0	0.061	0.432	0	0.160	0.513
2610002M06Rik	Chmp6	10090.ENSMUSP00000113588	10090.ENSMUSP00000026434	0	0	0	0	0.115	0.236	0.720	0.360	0.862
2610002M06Rik	Chmp4c	10090.ENSMUSP00000113588	10090.ENSMUSP00000029049	0	0	0	0	0	0.552	0.540	0.250	0.831
2610002M06Rik	Chmp5	10090.ENSMUSP00000113588	10090.ENSMUSP00000030128	0	0	0	0	0.079	0.758	0	0.360	0.845
2610002M06Rik	Vps4a	10090.ENSMUSP00000113588	10090.ENSMUSP00000034388	0	0	0	0	0.110	0.556	0.900	0.248	0.966
2610002M06Rik	Chmp4b	10090.ENSMUSP00000113588	10090.ENSMUSP00000036206	0	0	0	0	0.053	0.680	0.720	0.250	0.928
2610002M06Rik	Chmp7	10090.ENSMUSP00000113588	10090.ENSMUSP00000047700	0	0	0	0	0.044	0.084	0.720	0.360	0.822
2610002M06Rik	Vps4b	10090.ENSMUSP00000113588	10090.ENSMUSP00000092230	0	0	0	0	0.088	0.556	0.900	0.248	0.965
2610002M06Rik	Chmp3	10090.ENSMUSP00000113588	10090.ENSMUSP00000109815	0	0.132	0	0	0.139	0.558	0.720	0.360	0.930
2610002M06Rik	Chmp1b	10090.ENSMUSP00000113588	10090.ENSMUSP00000147285	0	0	0.048	0.985	0.061	0	0.900	0	0.902
2610528A11Rik	Susd2	10090.ENSMUSP00000136426	10090.ENSMUSP00000093197	0	0	0	0	0	0	0	0.514	0.514
Aatf	Ddx3x	10090.ENSMUSP00000018841	10090.ENSMUSP00000000804	0	0	0	0	0.110	0.109	0	0.437	0.514
Aatf	Tada2a	10090.ENSMUSP00000018841	10090.ENSMUSP00000018795	0	0	0	0	0.102	0.093	0	0.406	0.474
Aatf	Bccip	10090.ENSMUSP00000018841	10090.ENSMUSP00000033282	0	0	0	0	0.384	0	0	0.099	0.422
Aatf	Myo19	10090.ENSMUSP00000018841	10090.ENSMUSP00000091502	0	0	0	0	0.058	0	0	0.433	0.443
Aatf	Trp53	10090.ENSMUSP00000018841	10090.ENSMUSP00000104298	0	0	0	0	0.048	0.093	0	0.472	0.504
Aatf	Ticrr	10090.ENSMUSP00000018841	10090.ENSMUSP00000041377	0	0	0	0	0.161	0.434	0	0	0.505
Aatf	Mdm2	10090.ENSMUSP00000018841	10090.ENSMUSP00000020408	0	0	0	0	0.050	0.168	0	0.426	0.506
Aatf	Nle1	10090.ENSMUSP00000018841	10090.ENSMUSP00000099502	0	0	0	0	0.487	0	0	0.101	0.519
Aatf	Nsun2	10090.ENSMUSP00000018841	10090.ENSMUSP00000105321	0	0	0	0	0.398	0.314	0	0.053	0.574
Aatf	Pinx1	10090.ENSMUSP00000018841	10090.ENSMUSP00000022528	0	0	0	0	0.449	0.260	0	0.069	0.588
Aatf	Riok2	10090.ENSMUSP00000018841	10090.ENSMUSP00000024620	0	0	0	0	0.613	0.061	0	0	0.621
Aatf	Rrp8	10090.ENSMUSP00000018841	10090.ENSMUSP00000095752	0	0	0	0	0.623	0	0	0	0.623
Aatf	Mybbp1a	10090.ENSMUSP00000018841	10090.ENSMUSP00000044827	0	0	0	0	0.413	0.272	0	0.191	0.624
Aatf	Dapk3	10090.ENSMUSP00000018841	10090.ENSMUSP00000137333	0	0	0	0	0.065	0.238	0	0.542	0.645
Aatf	Nop53	10090.ENSMUSP00000018841	10090.ENSMUSP00000043981	0	0	0	0	0.668	0	0	0.106	0.691
Aatf	Bop1	10090.ENSMUSP00000018841	10090.ENSMUSP00000023217	0	0	0	0	0.616	0	0	0.245	0.698
Aatf	Spdye4c	10090.ENSMUSP00000018841	10090.ENSMUSP00000135991	0	0	0	0	0	0.709	0	0	0.709
Aatf	Rps27l	10090.ENSMUSP00000018841	10090.ENSMUSP00000120518	0	0	0	0	0.047	0.719	0	0	0.720
Aatf	Rps15a	10090.ENSMUSP00000018841	10090.ENSMUSP00000119975	0	0	0	0	0	0.786	0	0	0.786
Aatf	Wdr12	10090.ENSMUSP00000018841	10090.ENSMUSP00000027173	0	0	0	0	0.784	0	0	0.101	0.797
Aatf	Pes1	10090.ENSMUSP00000018841	10090.ENSMUSP00000020705	0	0	0	0	0.806	0	0	0	0.806
Aatf	Mrnip	10090.ENSMUSP00000018841	10090.ENSMUSP00000020647	0	0	0	0	0.069	0.803	0	0.050	0.810
Aatf	Gtpbp4	10090.ENSMUSP00000018841	10090.ENSMUSP00000152412	0	0	0	0	0.840	0.272	0	0.098	0.886
Aatf	Nat10	10090.ENSMUSP00000018841	10090.ENSMUSP00000028608	0	0	0	0	0.812	0.978	0	0.718	0.998
Abl1	Ccnd2	10090.ENSMUSP00000075167	10090.ENSMUSP00000000188	0	0	0	0	0	0.072	0.400	0.234	0.536
Abl1	Ccl2	10090.ENSMUSP00000075167	10090.ENSMUSP00000000193	0	0	0	0	0.081	0	0	0.393	0.418
