#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Actb	Wdr1	10090.ENSMUSP00000098066	10090.ENSMUSP00000005234	0	0	0	0	0.146	0.271	0	0.281	0.513
Actb	Rhoa	10090.ENSMUSP00000098066	10090.ENSMUSP00000007959	0	0	0	0	0.578	0.068	0.900	0.675	0.985
Actb	Rpgrip1l	10090.ENSMUSP00000098066	10090.ENSMUSP00000042702	0	0	0	0	0	0.331	0	0.245	0.474
Actb	Cdc42	10090.ENSMUSP00000098066	10090.ENSMUSP00000054634	0	0	0	0	0.308	0.243	0.900	0.598	0.976
Actb	Wnt5a	10090.ENSMUSP00000098066	10090.ENSMUSP00000064878	0	0	0	0	0	0	0	0.467	0.467
Actb	Actg1	10090.ENSMUSP00000098066	10090.ENSMUSP00000071486	0	0	0.047	0.987	0.852	0.222	0.900	0.511	0.993
Actb	Erbb4	10090.ENSMUSP00000098066	10090.ENSMUSP00000114123	0	0	0	0	0	0.063	0	0.478	0.490
Actb	Trp63	10090.ENSMUSP00000098066	10090.ENSMUSP00000110965	0	0	0	0	0	0.041	0	0.615	0.615
Actb	Msn	10090.ENSMUSP00000098066	10090.ENSMUSP00000113071	0	0	0	0	0.089	0.064	0.900	0.504	0.952
Actg1	Wdr1	10090.ENSMUSP00000071486	10090.ENSMUSP00000005234	0	0	0	0	0.145	0.271	0.400	0.413	0.751
Actg1	Rhoa	10090.ENSMUSP00000071486	10090.ENSMUSP00000007959	0	0	0	0	0.356	0.068	0.900	0.344	0.955
Actg1	Cdc42	10090.ENSMUSP00000071486	10090.ENSMUSP00000054634	0	0	0	0	0.399	0.068	0.900	0.299	0.955
Actg1	Ctnnd1	10090.ENSMUSP00000071486	10090.ENSMUSP00000064518	0	0	0	0	0.048	0.064	0	0.465	0.482
Actg1	Msn	10090.ENSMUSP00000071486	10090.ENSMUSP00000113071	0	0	0	0	0.073	0.064	0.900	0.291	0.930
