#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Brd8	Med1	10090.ENSMUSP00000003876	10090.ENSMUSP00000103169	0	0	0	0	0.249	0.090	0	0.293	0.475
Brd8	Thrb	10090.ENSMUSP00000003876	10090.ENSMUSP00000022304	0	0	0	0	0	0.093	0	0.496	0.523
Ctsb	Ctsh	10090.ENSMUSP00000006235	10090.ENSMUSP00000034915	0	0	0.121	0.666	0.136	0	0	0.418	0.520
Ctsb	Ctss	10090.ENSMUSP00000006235	10090.ENSMUSP00000015667	0	0	0.129	0.657	0.232	0	0.900	0.388	0.953
Ctsh	Ctss	10090.ENSMUSP00000034915	10090.ENSMUSP00000015667	0	0	0.108	0.858	0.182	0.137	0	0.163	0.402
Gata1	Kit	10090.ENSMUSP00000033502	10090.ENSMUSP00000005815	0	0	0	0	0.047	0	0	0.653	0.655
Gata1	Med1	10090.ENSMUSP00000033502	10090.ENSMUSP00000103169	0	0	0	0	0	0.093	0	0.716	0.731
Gata1	Lmo2	10090.ENSMUSP00000033502	10090.ENSMUSP00000106770	0	0	0	0	0.057	0.822	0.500	0.996	0.999
Gclc	Gclm	10090.ENSMUSP00000034905	10090.ENSMUSP00000029769	0	0	0	0	0.397	0.858	0.900	0.999	0.999
Gh	Ghsr	10090.ENSMUSP00000099360	10090.ENSMUSP00000061153	0	0	0	0	0	0	0	0.691	0.691
Kit	Lmo2	10090.ENSMUSP00000005815	10090.ENSMUSP00000106770	0	0	0	0	0.041	0	0	0.530	0.530
Med1	Thrb	10090.ENSMUSP00000103169	10090.ENSMUSP00000022304	0	0	0	0	0	0.401	0.650	0.248	0.828
Med1	Ppargc1a	10090.ENSMUSP00000103169	10090.ENSMUSP00000117040	0	0	0	0	0.041	0.093	0.500	0.601	0.803
Ppargc1a	Thrb	10090.ENSMUSP00000117040	10090.ENSMUSP00000022304	0	0	0	0	0.121	0.248	0	0.346	0.530
