#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
1700016K19Rik	Ate1	10090.ENSMUSP00000063358	10090.ENSMUSP00000033139	0	0	0	0	0	0.051	0	0.487	0.492
2610002M06Rik	Chmp1a	10090.ENSMUSP00000113588	10090.ENSMUSP00000000759	0	0	0.066	0.948	0	0	0.900	0	0.902
2610002M06Rik	Chmp2b	10090.ENSMUSP00000113588	10090.ENSMUSP00000004965	0	0	0	0	0.148	0.479	0.900	0.148	0.957
2610002M06Rik	Chmp2a	10090.ENSMUSP00000113588	10090.ENSMUSP00000005711	0	0	0	0.724	0.123	0.804	0.900	0.360	0.987
2610002M06Rik	Snf8	10090.ENSMUSP00000113588	10090.ENSMUSP00000006217	0	0	0	0	0	0	0.720	0.340	0.807
2610002M06Rik	Tsg101	10090.ENSMUSP00000113588	10090.ENSMUSP00000014546	0	0	0	0	0.047	0	0.720	0.335	0.807
2610002M06Rik	Chmp6	10090.ENSMUSP00000113588	10090.ENSMUSP00000026434	0	0	0	0	0.115	0.236	0.720	0.360	0.862
2610002M06Rik	Chmp4c	10090.ENSMUSP00000113588	10090.ENSMUSP00000029049	0	0	0	0	0	0.552	0.540	0.250	0.831
2610002M06Rik	Chmp5	10090.ENSMUSP00000113588	10090.ENSMUSP00000030128	0	0	0	0	0.079	0.758	0	0.360	0.845
2610002M06Rik	Vps36	10090.ENSMUSP00000113588	10090.ENSMUSP00000033866	0	0	0	0	0.061	0	0.720	0.360	0.817
2610002M06Rik	Vps4a	10090.ENSMUSP00000113588	10090.ENSMUSP00000034388	0	0	0	0	0.110	0.556	0.900	0.248	0.966
2610002M06Rik	Chmp4b	10090.ENSMUSP00000113588	10090.ENSMUSP00000036206	0	0	0	0	0.053	0.680	0.720	0.250	0.928
2610002M06Rik	Chmp7	10090.ENSMUSP00000113588	10090.ENSMUSP00000047700	0	0	0	0	0.044	0.084	0.720	0.360	0.822
2610002M06Rik	Vps37b	10090.ENSMUSP00000113588	10090.ENSMUSP00000047980	0	0	0	0	0.102	0	0.720	0.270	0.800
2610002M06Rik	Vps37d	10090.ENSMUSP00000113588	10090.ENSMUSP00000063762	0	0	0	0	0.065	0	0.720	0.178	0.766
2610002M06Rik	Ubap1	10090.ENSMUSP00000113588	10090.ENSMUSP00000072643	0	0	0	0	0.076	0	0.720	0.116	0.751
2610002M06Rik	Vps28	10090.ENSMUSP00000113588	10090.ENSMUSP00000077856	0	0	0	0	0.091	0	0.720	0.360	0.822
2610002M06Rik	Vps4b	10090.ENSMUSP00000113588	10090.ENSMUSP00000092230	0	0	0	0	0.088	0.556	0.900	0.248	0.965
2610002M06Rik	Vps37a	10090.ENSMUSP00000113588	10090.ENSMUSP00000096415	0	0	0	0	0.080	0	0.720	0.216	0.780
2610002M06Rik	Stam	10090.ENSMUSP00000113588	10090.ENSMUSP00000100025	0	0	0	0	0.074	0	0.720	0.132	0.755
2610002M06Rik	Vps25	10090.ENSMUSP00000113588	10090.ENSMUSP00000102901	0	0	0	0	0.048	0	0.720	0.360	0.814
2610002M06Rik	Usp8	10090.ENSMUSP00000113588	10090.ENSMUSP00000106046	0	0	0	0	0.072	0.358	0	0.230	0.502
2610002M06Rik	Chmp3	10090.ENSMUSP00000113588	10090.ENSMUSP00000109815	0	0.132	0	0	0.139	0.558	0.720	0.360	0.930
2610002M06Rik	Ubap1l	10090.ENSMUSP00000113588	10090.ENSMUSP00000128815	0	0	0	0	0	0	0.540	0	0.540
2610002M06Rik	Vps37c	10090.ENSMUSP00000113588	10090.ENSMUSP00000158500	0	0	0	0	0.069	0	0.720	0.178	0.767
2610002M06Rik	Chmp1b	10090.ENSMUSP00000113588	10090.ENSMUSP00000147285	0	0	0.048	0.985	0.061	0	0.900	0	0.902
Adamts12	Adamts7	10090.ENSMUSP00000057796	10090.ENSMUSP00000108682	0	0	0.067	0.916	0.096	0.452	0	0.497	0.736
Adrm1	Uba1	10090.ENSMUSP00000050076	10090.ENSMUSP00000001989	0	0	0	0	0.168	0	0	0.447	0.521
Adrm1	Sgta	10090.ENSMUSP00000050076	10090.ENSMUSP00000005067	0	0	0	0	0.369	0.093	0	0.589	0.744
Adrm1	Psmb4	10090.ENSMUSP00000050076	10090.ENSMUSP00000005923	0	0	0	0	0.442	0.717	0.500	0.251	0.933
Adrm1	Psmd2	10090.ENSMUSP00000050076	10090.ENSMUSP00000007212	0	0	0	0	0.291	0.848	0.540	0.785	0.987
Adrm1	Ubqln4	10090.ENSMUSP00000050076	10090.ENSMUSP00000008748	0	0	0	0	0.077	0.494	0	0.431	0.711
Adrm1	Nedd8	10090.ENSMUSP00000050076	10090.ENSMUSP00000010520	0	0	0	0	0.110	0.288	0	0.441	0.615
Adrm1	Psmb1	10090.ENSMUSP00000050076	10090.ENSMUSP00000014913	0	0	0	0	0.201	0.828	0.500	0.575	0.967
Adrm1	Psmd3	10090.ENSMUSP00000050076	10090.ENSMUSP00000017365	0	0	0	0	0.626	0.717	0.540	0.455	0.969
Adrm1	Psmd11	10090.ENSMUSP00000050076	10090.ENSMUSP00000017572	0	0	0	0	0.280	0.856	0.540	0.735	0.985
Adrm1	Psmb6	10090.ENSMUSP00000050076	10090.ENSMUSP00000018430	0	0	0	0	0.355	0.633	0.500	0.249	0.899
Adrm1	Ubb	10090.ENSMUSP00000050076	10090.ENSMUSP00000019649	0	0	0	0	0.127	0.943	0	0.183	0.956
Adrm1	Ubxn6	10090.ENSMUSP00000050076	10090.ENSMUSP00000019722	0	0	0	0	0.115	0	0	0.381	0.429
