#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Adam15	Mmp14	10090.ENSMUSP00000029676	10090.ENSMUSP00000087119	0	0	0	0	0.053	0	0	0.460	0.467
Adamts2	Mmp13	10090.ENSMUSP00000040171	10090.ENSMUSP00000015394	0	0	0	0	0.064	0.059	0	0.396	0.422
Adamts2	Mmp23	10090.ENSMUSP00000040171	10090.ENSMUSP00000030937	0	0	0	0	0.342	0	0	0.152	0.418
Adamts2	Mmp2	10090.ENSMUSP00000040171	10090.ENSMUSP00000034187	0	0	0	0	0.358	0.320	0	0.128	0.586
Cts3	Ctsm	10090.ENSMUSP00000058359	10090.ENSMUSP00000153101	0	0	0.051	0.979	0.673	0	0	0.054	0.680
Cts8	Mmp1b	10090.ENSMUSP00000021891	10090.ENSMUSP00000047261	0	0	0	0	0.402	0	0	0.053	0.409
Ctsb	Mmp12	10090.ENSMUSP00000006235	10090.ENSMUSP00000005950	0	0	0	0	0.108	0	0.400	0.386	0.643
Ctsb	Mmp2	10090.ENSMUSP00000006235	10090.ENSMUSP00000034187	0	0	0	0	0.088	0	0	0.378	0.409
Ctsb	Mmp20	10090.ENSMUSP00000006235	10090.ENSMUSP00000034487	0	0	0	0	0.072	0	0.400	0.143	0.481
Ctsb	Mmp14	10090.ENSMUSP00000006235	10090.ENSMUSP00000087119	0	0	0	0	0.107	0.052	0	0.582	0.615
Ctsb	Mmp7	10090.ENSMUSP00000006235	10090.ENSMUSP00000018767	0	0	0	0	0.053	0.052	0.400	0.369	0.615
Ctsb	Mmp13	10090.ENSMUSP00000006235	10090.ENSMUSP00000015394	0	0	0	0	0.083	0	0.400	0.366	0.620
Ctsb	Mmp3	10090.ENSMUSP00000006235	10090.ENSMUSP00000034497	0	0	0	0	0.078	0	0.400	0.417	0.649
Ctsb	Ctsk	10090.ENSMUSP00000006235	10090.ENSMUSP00000015664	0	0	0.122	0.621	0.172	0	0.400	0.344	0.676
Ctsb	Mmp9	10090.ENSMUSP00000006235	10090.ENSMUSP00000017881	0	0	0	0	0.053	0.093	0.400	0.769	0.865
Ctsb	Ctss	10090.ENSMUSP00000006235	10090.ENSMUSP00000015667	0	0	0.129	0.657	0.232	0	0.900	0.388	0.953
Ctsb	Ctsl	10090.ENSMUSP00000006235	10090.ENSMUSP00000152169	0	0	0.150	0.614	0.198	0.345	0.900	0.421	0.969
