#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Actb	Smarcb1	10090.ENSMUSP00000098066	10090.ENSMUSP00000000925	0	0	0	0	0.083	0.298	0.650	0.585	0.894
Actb	Hdac2	10090.ENSMUSP00000098066	10090.ENSMUSP00000019911	0	0	0	0	0.068	0.096	0	0.605	0.638
Actb	Smarcd1	10090.ENSMUSP00000098066	10090.ENSMUSP00000023759	0	0	0	0	0.078	0.263	0.800	0.530	0.927
Actb	Phf10	10090.ENSMUSP00000098066	10090.ENSMUSP00000024657	0	0	0	0	0.060	0.263	0.800	0.426	0.909
Actb	Smarca2	10090.ENSMUSP00000098066	10090.ENSMUSP00000025862	0	0	0	0	0.052	0.298	0.650	0.496	0.867
Actb	Actl6a	10090.ENSMUSP00000098066	10090.ENSMUSP00000029214	0	0	0	0.867	0.053	0.446	0.800	0.856	0.982
Actb	Bcl7a	10090.ENSMUSP00000098066	10090.ENSMUSP00000031391	0	0	0	0	0	0.094	0.540	0.428	0.740
Actb	Bcl7b	10090.ENSMUSP00000098066	10090.ENSMUSP00000031692	0	0	0	0	0	0.094	0.540	0.087	0.586
Actb	Arid4a	10090.ENSMUSP00000098066	10090.ENSMUSP00000035512	0	0	0	0	0	0.376	0	0.142	0.442
Actb	Bicral	10090.ENSMUSP00000098066	10090.ENSMUSP00000044833	0	0	0	0	0	0.093	0.540	0.092	0.588
Actb	Ogt	10090.ENSMUSP00000098066	10090.ENSMUSP00000045409	0	0	0	0	0.053	0	0.720	0.220	0.775
Actb	Ss18	10090.ENSMUSP00000098066	10090.ENSMUSP00000046320	0	0	0	0	0.045	0.114	0.540	0.124	0.613
Actb	Yap1	10090.ENSMUSP00000098066	10090.ENSMUSP00000069554	0	0	0	0	0.054	0.091	0	0.503	0.535
Actb	Ncoa3	10090.ENSMUSP00000098066	10090.ENSMUSP00000085416	0	0	0	0	0.052	0.064	0	0.558	0.573
Actb	Smarcc1	10090.ENSMUSP00000098066	10090.ENSMUSP00000086094	0	0	0	0	0	0.257	0.650	0.583	0.882
Actb	Smarca4	10090.ENSMUSP00000098066	10090.ENSMUSP00000096547	0	0	0	0	0.063	0.298	0.650	0.683	0.917
Actb	Brd9	10090.ENSMUSP00000098066	10090.ENSMUSP00000096982	0	0	0	0	0.046	0.236	0.540	0.212	0.700
Actb	Arid4b	10090.ENSMUSP00000098066	10090.ENSMUSP00000106163	0	0	0	0	0.046	0.376	0	0.160	0.456
Actb	Sin3a	10090.ENSMUSP00000098066	10090.ENSMUSP00000130221	0	0	0	0	0.047	0.042	0	0.574	0.578
Actb	Bcl7c	10090.ENSMUSP00000098066	10090.ENSMUSP00000145743	0	0	0	0	0	0.099	0.540	0.086	0.588
Actb	Bicra	10090.ENSMUSP00000098066	10090.ENSMUSP00000148012	0	0	0	0	0	0.093	0.540	0.112	0.597
Actb	Trp63	10090.ENSMUSP00000098066	10090.ENSMUSP00000110965	0	0	0	0	0	0.041	0	0.615	0.615
Actb	Dpf2	10090.ENSMUSP00000098066	10090.ENSMUSP00000113465	0	0	0	0	0.060	0.096	0.540	0.180	0.636
