#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Cyp27a1	Cyp3a11	10090.ENSMUSP00000027356	10090.ENSMUSP00000037665	0	0	0.224	0.624	0.118	0	0	0.275	0.461
Cyp27a1	Cyp2r1	10090.ENSMUSP00000027356	10090.ENSMUSP00000032908	0	0	0.222	0.609	0.126	0	0	0.592	0.699
Cyp2r1	Cyp3a25	10090.ENSMUSP00000032908	10090.ENSMUSP00000065585	0	0	0.236	0.586	0.118	0.604	0	0.117	0.733
Cyp3a11	Cyp3a13	10090.ENSMUSP00000037665	10090.ENSMUSP00000031741	0	0	0.052	0.977	0.185	0	0.500	0.057	0.587
Cyp3a11	Cyp3a44	10090.ENSMUSP00000037665	10090.ENSMUSP00000069932	0	0	0.048	0.984	0.119	0	0.400	0.046	0.456
Cyp3a11	Cyp3a57	10090.ENSMUSP00000037665	10090.ENSMUSP00000078251	0	0	0.053	0.974	0.118	0	0.400	0.052	0.461
Cyp3a11	Cyp3a41b	10090.ENSMUSP00000037665	10090.ENSMUSP00000075234	0	0	0.048	0.985	0.100	0	0.500	0.051	0.539
Cyp3a11	Cyp3a59	10090.ENSMUSP00000037665	10090.ENSMUSP00000049494	0	0	0.053	0.974	0.798	0	0.400	0.052	0.876
Cyp3a11	Cyp3a25	10090.ENSMUSP00000037665	10090.ENSMUSP00000065585	0	0	0.052	0.976	0.942	0	0.500	0.057	0.970
Cyp3a13	Cyp3a57	10090.ENSMUSP00000031741	10090.ENSMUSP00000078251	0	0	0.053	0.974	0.099	0	0.400	0.053	0.450
Cyp3a13	Cyp3a44	10090.ENSMUSP00000031741	10090.ENSMUSP00000069932	0	0	0.054	0.973	0.104	0	0.400	0.056	0.455
Cyp3a13	Cyp3a59	10090.ENSMUSP00000031741	10090.ENSMUSP00000049494	0	0	0.053	0.974	0.121	0	0.400	0.051	0.463
Cyp3a13	Cyp3a41b	10090.ENSMUSP00000031741	10090.ENSMUSP00000075234	0	0	0.053	0.975	0.077	0	0.500	0.058	0.533
Cyp3a13	Cyp3a25	10090.ENSMUSP00000031741	10090.ENSMUSP00000065585	0	0	0.052	0.976	0.205	0	0.500	0.057	0.597
Cyp3a25	Cyp3a59	10090.ENSMUSP00000065585	10090.ENSMUSP00000049494	0	0	0.047	0.986	0.822	0	0.400	0.050	0.890
Cyp3a25	Cyp3a57	10090.ENSMUSP00000065585	10090.ENSMUSP00000078251	0	0	0.048	0.985	0.119	0	0.400	0.051	0.458
Cyp3a25	Cyp3a44	10090.ENSMUSP00000065585	10090.ENSMUSP00000069932	0	0	0.053	0.974	0.128	0	0.400	0.053	0.468
Cyp3a25	Cyp3a41b	10090.ENSMUSP00000065585	10090.ENSMUSP00000075234	0	0	0.053	0.975	0.115	0	0.500	0.058	0.552
Cyp3a41a	Cyp3a44	10090.ENSMUSP00000091659	10090.ENSMUSP00000069932	0	0	0.048	0.985	0.565	0	0	0.051	0.572
Cyp3a41a	Cyp3a41b	10090.ENSMUSP00000091659	10090.ENSMUSP00000075234	0	0	0.046	0.988	0.635	0	0	0	0.637
Cyp3a41b	Cyp3a59	10090.ENSMUSP00000075234	10090.ENSMUSP00000049494	0	0	0.054	0.973	0.118	0	0.400	0.056	0.464
Cyp3a41b	Cyp3a44	10090.ENSMUSP00000075234	10090.ENSMUSP00000069932	0	0	0.048	0.985	0.343	0	0.400	0.051	0.596
Cyp3a41b	Cyp3a57	10090.ENSMUSP00000075234	10090.ENSMUSP00000078251	0	0	0.054	0.973	0.079	0	0.400	0.057	0.441
Cyp3a44	Cyp3a59	10090.ENSMUSP00000069932	10090.ENSMUSP00000049494	0	0	0.055	0.971	0.127	0	0.400	0.053	0.468
Cyp3a44	Cyp3a57	10090.ENSMUSP00000069932	10090.ENSMUSP00000078251	0	0	0.054	0.972	0.100	0	0.400	0.054	0.452
Cyp3a57	Cyp3a59	10090.ENSMUSP00000078251	10090.ENSMUSP00000049494	0	0	0.048	0.984	0.118	0	0.400	0.053	0.459
