#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Cd4	Il4	10090.ENSMUSP00000024044	10090.ENSMUSP00000000889	0	0	0	0	0	0	0	0.943	0.943
Cd4	Ifnb1	10090.ENSMUSP00000024044	10090.ENSMUSP00000056720	0	0	0	0	0	0	0	0.798	0.798
Cd4	Mog	10090.ENSMUSP00000024044	10090.ENSMUSP00000099726	0	0	0	0	0.067	0	0	0.808	0.813
Cd4	Klrb1c	10090.ENSMUSP00000024044	10090.ENSMUSP00000134504	0	0	0	0	0.046	0.091	0	0.879	0.885
Cd4	Il17a	10090.ENSMUSP00000024044	10090.ENSMUSP00000027061	0	0	0	0	0	0.097	0	0.931	0.935
Cd4	Ifng	10090.ENSMUSP00000024044	10090.ENSMUSP00000063800	0	0	0	0	0.084	0	0	0.967	0.968
Cnp	Mog	10090.ENSMUSP00000099409	10090.ENSMUSP00000099726	0	0	0	0	0.170	0	0	0.815	0.840
Ifnb1	Il4	10090.ENSMUSP00000056720	10090.ENSMUSP00000000889	0	0	0	0	0	0	0	0.714	0.714
Ifnb1	Il17a	10090.ENSMUSP00000056720	10090.ENSMUSP00000027061	0	0	0	0	0.101	0	0	0.708	0.726
Ifnb1	Klrb1c	10090.ENSMUSP00000056720	10090.ENSMUSP00000134504	0	0	0	0	0	0	0	0.479	0.479
Ifnb1	Mog	10090.ENSMUSP00000056720	10090.ENSMUSP00000099726	0	0	0	0	0.053	0	0	0.559	0.564
Ifnb1	Ifng	10090.ENSMUSP00000056720	10090.ENSMUSP00000063800	0	0	0	0	0.126	0	0	0.884	0.894
Ifng	Il4	10090.ENSMUSP00000063800	10090.ENSMUSP00000000889	0	0	0	0	0.156	0	0	0.965	0.969
Ifng	Il17a	10090.ENSMUSP00000063800	10090.ENSMUSP00000027061	0	0	0	0	0.136	0	0	0.953	0.958
Ifng	Mog	10090.ENSMUSP00000063800	10090.ENSMUSP00000099726	0	0	0	0	0	0.065	0	0.779	0.784
Ifng	Klrb1c	10090.ENSMUSP00000063800	10090.ENSMUSP00000134504	0	0	0	0	0.138	0	0	0.848	0.863
Il17a	Il4	10090.ENSMUSP00000027061	10090.ENSMUSP00000000889	0	0	0	0	0.166	0	0	0.925	0.934
Il17a	Klrb1c	10090.ENSMUSP00000027061	10090.ENSMUSP00000134504	0	0	0	0	0.046	0	0	0.745	0.746
Il17a	Mog	10090.ENSMUSP00000027061	10090.ENSMUSP00000099726	0	0	0	0	0	0	0	0.785	0.785
Il4	Mog	10090.ENSMUSP00000000889	10090.ENSMUSP00000099726	0	0	0	0	0.086	0.053	0	0.666	0.686
Il4	Klrb1c	10090.ENSMUSP00000000889	10090.ENSMUSP00000134504	0	0	0	0	0.058	0	0	0.735	0.739
