#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Aqp4	Il10	10090.ENSMUSP00000078088	10090.ENSMUSP00000016673	0	0	0	0	0	0	0	0.411	0.411
Aqp4	Cd4	10090.ENSMUSP00000078088	10090.ENSMUSP00000024044	0	0	0	0	0	0.089	0	0.382	0.413
Aqp4	Tnf	10090.ENSMUSP00000078088	10090.ENSMUSP00000025263	0	0	0	0	0	0	0	0.577	0.577
Aqp4	Ifng	10090.ENSMUSP00000078088	10090.ENSMUSP00000063800	0	0	0	0	0.056	0	0	0.409	0.418
Cd4	Il7r	10090.ENSMUSP00000024044	10090.ENSMUSP00000003981	0	0	0	0	0.179	0	0.400	0.890	0.941
Cd4	Il10	10090.ENSMUSP00000024044	10090.ENSMUSP00000016673	0	0	0	0	0.089	0	0	0.959	0.961
Cd4	Il13	10090.ENSMUSP00000024044	10090.ENSMUSP00000020650	0	0	0	0	0.047	0.104	0	0.893	0.900
Cd4	Mapk3	10090.ENSMUSP00000024044	10090.ENSMUSP00000051619	0	0	0	0	0	0.066	0	0.653	0.662
Cd4	Il7	10090.ENSMUSP00000024044	10090.ENSMUSP00000141845	0	0	0	0	0	0	0	0.868	0.868
Cd4	Il2ra	10090.ENSMUSP00000024044	10090.ENSMUSP00000028111	0	0	0	0	0.103	0.120	0	0.896	0.911
Cd4	Ctla4	10090.ENSMUSP00000024044	10090.ENSMUSP00000027164	0	0	0	0	0.159	0.135	0	0.913	0.931
Cd4	Il17a	10090.ENSMUSP00000024044	10090.ENSMUSP00000027061	0	0	0	0	0	0.097	0	0.931	0.935
Cd4	Tnf	10090.ENSMUSP00000024044	10090.ENSMUSP00000025263	0	0	0	0	0.049	0	0	0.938	0.938
Cd4	Il2	10090.ENSMUSP00000024044	10090.ENSMUSP00000029275	0	0	0	0	0.048	0.094	0	0.952	0.955
Cd4	Ifng	10090.ENSMUSP00000024044	10090.ENSMUSP00000063800	0	0	0	0	0.084	0	0	0.967	0.968
Ctla4	Il7r	10090.ENSMUSP00000027164	10090.ENSMUSP00000003981	0	0	0	0	0.121	0	0	0.742	0.763
Ctla4	Il10	10090.ENSMUSP00000027164	10090.ENSMUSP00000016673	0	0	0	0	0.166	0	0	0.860	0.878
Ctla4	Il13	10090.ENSMUSP00000027164	10090.ENSMUSP00000020650	0	0	0	0	0.120	0	0	0.661	0.689
Ctla4	Tnf	10090.ENSMUSP00000027164	10090.ENSMUSP00000025263	0	0	0	0	0.081	0	0	0.798	0.806
Ctla4	Il17a	10090.ENSMUSP00000027164	10090.ENSMUSP00000027061	0	0	0	0	0.100	0	0	0.836	0.846
Ctla4	Mapk3	10090.ENSMUSP00000027164	10090.ENSMUSP00000051619	0	0	0	0	0	0	0	0.410	0.410
Ctla4	Il7	10090.ENSMUSP00000027164	10090.ENSMUSP00000141845	0	0	0	0	0.067	0	0	0.667	0.676
Ctla4	Il2ra	10090.ENSMUSP00000027164	10090.ENSMUSP00000028111	0	0	0	0	0.302	0	0	0.785	0.843
Ctla4	Il2	10090.ENSMUSP00000027164	10090.ENSMUSP00000029275	0	0	0	0	0.077	0	0	0.875	0.879
Ctla4	Ifng	10090.ENSMUSP00000027164	10090.ENSMUSP00000063800	0	0	0	0	0.221	0	0	0.883	0.905
Cyp19a1	Tnf	10090.ENSMUSP00000034811	10090.ENSMUSP00000025263	0	0	0	0	0	0	0	0.520	0.520
Cyp19a1	Mapk3	10090.ENSMUSP00000034811	10090.ENSMUSP00000051619	0	0	0	0	0.052	0.136	0	0.482	0.539
Cyp19a1	Cyp24a1	10090.ENSMUSP00000034811	10090.ENSMUSP00000047954	0	0	0.238	0.577	0.044	0	0	0.501	0.605
Cyp19a1	Dhrs11	10090.ENSMUSP00000034811	10090.ENSMUSP00000043467	0	0	0	0	0.088	0	0	0.770	0.781
Cyp24a1	Cyp2r1	10090.ENSMUSP00000047954	10090.ENSMUSP00000032908	0	0	0.212	0.610	0.056	0	0.900	0.385	0.948
Cyp24a1	Gc	10090.ENSMUSP00000047954	10090.ENSMUSP00000046636	0	0	0	0	0.050	0	0	0.870	0.871
Cyp24a1	Dhcr7	10090.ENSMUSP00000047954	10090.ENSMUSP00000073541	0	0	0	0	0	0.110	0	0.639	0.665
Cyp2r1	Dhcr7	10090.ENSMUSP00000032908	10090.ENSMUSP00000073541	0	0	0	0	0.060	0.110	0	0.771	0.792
Cyp2r1	Gc	10090.ENSMUSP00000032908	10090.ENSMUSP00000046636	0	0	0	0	0.115	0	0	0.870	0.880
Dhcr7	Gc	10090.ENSMUSP00000073541	10090.ENSMUSP00000046636	0	0	0	0	0	0	0	0.549	0.549
Ifng	Il7r	10090.ENSMUSP00000063800	10090.ENSMUSP00000003981	0	0	0	0	0.110	0	0.650	0.797	0.931
Ifng	Il10	10090.ENSMUSP00000063800	10090.ENSMUSP00000016673	0	0	0	0	0.587	0	0	0.967	0.986
Ifng	Il13	10090.ENSMUSP00000063800	10090.ENSMUSP00000020650	0	0	0	0	0.093	0	0	0.929	0.933
Ifng	Tnf	10090.ENSMUSP00000063800	10090.ENSMUSP00000025263	0	0	0	0	0.181	0	0	0.965	0.970
Ifng	Il17a	10090.ENSMUSP00000063800	10090.ENSMUSP00000027061	0	0	0	0	0.136	0	0	0.953	0.958
Ifng	Il2ra	10090.ENSMUSP00000063800	10090.ENSMUSP00000028111	0	0	0	0	0.378	0	0.650	0.844	0.963
Ifng	Il2	10090.ENSMUSP00000063800	10090.ENSMUSP00000029275	0	0	0	0	0.305	0	0	0.962	0.972
Ifng	Mapk3	10090.ENSMUSP00000063800	10090.ENSMUSP00000051619	0	0	0	0	0	0	0	0.795	0.795
Ifng	Il7	10090.ENSMUSP00000063800	10090.ENSMUSP00000141845	0	0	0	0	0.119	0	0	0.872	0.883
Il10	Il7r	10090.ENSMUSP00000016673	10090.ENSMUSP00000003981	0	0	0	0	0.061	0	0.650	0.796	0.927
Il10	Mapk3	10090.ENSMUSP00000016673	10090.ENSMUSP00000051619	0	0	0	0	0	0	0	0.670	0.670
Il10	Il13	10090.ENSMUSP00000016673	10090.ENSMUSP00000020650	0	0	0	0	0.061	0	0	0.925	0.926
Il10	Il2	10090.ENSMUSP00000016673	10090.ENSMUSP00000029275	0	0	0	0	0.079	0	0	0.941	0.944
Il10	Il17a	10090.ENSMUSP00000016673	10090.ENSMUSP00000027061	0	0	0	0	0.177	0	0	0.941	0.949
Il10	Il2ra	10090.ENSMUSP00000016673	10090.ENSMUSP00000028111	0	0	0	0	0.215	0	0.650	0.845	0.953
Il10	Tnf	10090.ENSMUSP00000016673	10090.ENSMUSP00000025263	0	0	0	0	0.307	0	0	0.960	0.971
Il10	Il7	10090.ENSMUSP00000016673	10090.ENSMUSP00000141845	0	0	0	0	0	0	0	0.988	0.988
Il13	Il7r	10090.ENSMUSP00000020650	10090.ENSMUSP00000003981	0	0	0	0	0	0	0.650	0.675	0.881
Il13	Mapk3	10090.ENSMUSP00000020650	10090.ENSMUSP00000051619	0	0	0	0	0.054	0	0	0.495	0.502
Il13	Il7	10090.ENSMUSP00000020650	10090.ENSMUSP00000141845	0	0	0	0	0	0	0	0.834	0.834
Il13	Tnf	10090.ENSMUSP00000020650	10090.ENSMUSP00000025263	0	0	0	0	0.073	0	0	0.893	0.897
Il13	Il2	10090.ENSMUSP00000020650	10090.ENSMUSP00000029275	0	0	0	0	0.176	0	0	0.890	0.905
Il13	Il2ra	10090.ENSMUSP00000020650	10090.ENSMUSP00000028111	0	0	0	0	0.165	0	0.650	0.709	0.907
Il13	Il17a	10090.ENSMUSP00000020650	10090.ENSMUSP00000027061	0	0	0	0	0.129	0	0	0.900	0.909
Il17a	Il7r	10090.ENSMUSP00000027061	10090.ENSMUSP00000003981	0	0	0	0	0	0	0	0.815	0.815
Il17a	Tnf	10090.ENSMUSP00000027061	10090.ENSMUSP00000025263	0	0	0	0	0.116	0	0	0.926	0.932
Il17a	Mapk3	10090.ENSMUSP00000027061	10090.ENSMUSP00000051619	0	0	0	0	0	0	0	0.726	0.726
Il17a	Il2ra	10090.ENSMUSP00000027061	10090.ENSMUSP00000028111	0	0	0	0	0.102	0	0	0.793	0.806
Il17a	Il7	10090.ENSMUSP00000027061	10090.ENSMUSP00000141845	0	0	0	0	0.043	0	0	0.828	0.829
Il17a	Il2	10090.ENSMUSP00000027061	10090.ENSMUSP00000029275	0	0	0	0	0.184	0.127	0	0.891	0.915
Il2	Il7r	10090.ENSMUSP00000029275	10090.ENSMUSP00000003981	0	0	0	0	0	0	0.650	0.892	0.960
