#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Cd4	Il4	10090.ENSMUSP00000024044	10090.ENSMUSP00000000889	0	0	0	0	0	0	0	0.943	0.943
Cd4	Il10	10090.ENSMUSP00000024044	10090.ENSMUSP00000016673	0	0	0	0	0.089	0	0	0.959	0.961
Cd4	Stat6	10090.ENSMUSP00000024044	10090.ENSMUSP00000089708	0	0	0	0	0.051	0.079	0	0.765	0.776
Cd4	Il17a	10090.ENSMUSP00000024044	10090.ENSMUSP00000027061	0	0	0	0	0	0.097	0	0.931	0.935
Cd4	Ifng	10090.ENSMUSP00000024044	10090.ENSMUSP00000063800	0	0	0	0	0.084	0	0	0.967	0.968
Cyp24a1	Cyp2r1	10090.ENSMUSP00000047954	10090.ENSMUSP00000032908	0	0	0.212	0.610	0.056	0	0.900	0.385	0.948
Cyp24a1	Dhcr7	10090.ENSMUSP00000047954	10090.ENSMUSP00000073541	0	0	0	0	0	0.110	0	0.639	0.665
Cyp24a1	Cyp27b1	10090.ENSMUSP00000047954	10090.ENSMUSP00000130005	0	0	0.138	0.801	0.104	0.093	0.900	0.216	0.935
Cyp27b1	Il10	10090.ENSMUSP00000130005	10090.ENSMUSP00000016673	0	0	0	0	0.047	0	0	0.440	0.443
Cyp27b1	Cyp2r1	10090.ENSMUSP00000130005	10090.ENSMUSP00000032908	0	0	0.226	0.605	0.069	0.604	0.900	0.391	0.979
Cyp27b1	Ifng	10090.ENSMUSP00000130005	10090.ENSMUSP00000063800	0	0	0	0	0	0	0	0.458	0.457
Cyp27b1	Dhcr7	10090.ENSMUSP00000130005	10090.ENSMUSP00000073541	0	0	0	0	0	0.110	0	0.522	0.556
Cyp2r1	Dhcr7	10090.ENSMUSP00000032908	10090.ENSMUSP00000073541	0	0	0	0	0.060	0.110	0	0.771	0.792
Ifng	Il4	10090.ENSMUSP00000063800	10090.ENSMUSP00000000889	0	0	0	0	0.156	0	0	0.965	0.969
Ifng	Il10	10090.ENSMUSP00000063800	10090.ENSMUSP00000016673	0	0	0	0	0.587	0	0	0.967	0.986
Ifng	Il17a	10090.ENSMUSP00000063800	10090.ENSMUSP00000027061	0	0	0	0	0.136	0	0	0.953	0.958
Ifng	Stat6	10090.ENSMUSP00000063800	10090.ENSMUSP00000089708	0	0	0	0	0.050	0.093	0	0.804	0.816
Il10	Il4	10090.ENSMUSP00000016673	10090.ENSMUSP00000000889	0	0	0	0	0.082	0	0	0.960	0.962
Il10	Stat6	10090.ENSMUSP00000016673	10090.ENSMUSP00000089708	0	0	0	0	0.046	0	0	0.758	0.759
Il10	Il17a	10090.ENSMUSP00000016673	10090.ENSMUSP00000027061	0	0	0	0	0.177	0	0	0.941	0.949
Il17a	Il4	10090.ENSMUSP00000027061	10090.ENSMUSP00000000889	0	0	0	0	0.166	0	0	0.925	0.934
Il17a	Stat6	10090.ENSMUSP00000027061	10090.ENSMUSP00000089708	0	0	0	0	0	0	0	0.690	0.690
Il4	Stat6	10090.ENSMUSP00000000889	10090.ENSMUSP00000089708	0	0	0	0	0	0	0.500	0.991	0.995
