#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Asic1	Scnn1g	10090.ENSMUSP00000023758	10090.ENSMUSP00000000221	0	0	0	0.627	0	0	0	0.500	0.499
Asic1	Asic2	10090.ENSMUSP00000023758	10090.ENSMUSP00000021045	0	0	0.050	0.954	0.087	0.305	0.500	0.837	0.942
Asic1	Pkd1l3	10090.ENSMUSP00000023758	10090.ENSMUSP00000104865	0	0	0	0	0	0	0	0.410	0.410
Asic1	Gpr4	10090.ENSMUSP00000023758	10090.ENSMUSP00000061243	0	0	0	0	0.045	0	0	0.454	0.457
Asic1	Pkd2l1	10090.ENSMUSP00000023758	10090.ENSMUSP00000045675	0	0	0	0	0.080	0	0	0.461	0.483
Asic1	Gpr65	10090.ENSMUSP00000023758	10090.ENSMUSP00000074581	0	0	0	0	0.100	0	0	0.491	0.522
Asic1	Scnn1b	10090.ENSMUSP00000023758	10090.ENSMUSP00000033161	0	0	0	0.638	0	0	0	0.592	0.592
Asic1	Slc9a1	10090.ENSMUSP00000023758	10090.ENSMUSP00000030669	0	0	0	0	0.046	0	0	0.614	0.616
Asic1	Trpv1	10090.ENSMUSP00000023758	10090.ENSMUSP00000099585	0	0	0	0	0	0	0	0.734	0.734
Asic1	Asic3	10090.ENSMUSP00000023758	10090.ENSMUSP00000143083	0	0	0.054	0.942	0	0.076	0.500	0.532	0.768
Asic2	Trpv1	10090.ENSMUSP00000021045	10090.ENSMUSP00000099585	0	0	0	0	0	0	0	0.516	0.516
Asic2	Asic3	10090.ENSMUSP00000021045	10090.ENSMUSP00000143083	0	0	0.056	0.925	0	0.093	0.500	0.180	0.602
Asic3	Pkd2l1	10090.ENSMUSP00000143083	10090.ENSMUSP00000045675	0	0	0	0	0	0	0	0.461	0.461
Asic3	Gpr4	10090.ENSMUSP00000143083	10090.ENSMUSP00000061243	0	0	0	0	0	0	0	0.473	0.473
Asic3	Gpr65	10090.ENSMUSP00000143083	10090.ENSMUSP00000074581	0	0	0	0	0.100	0	0	0.618	0.642
Asic3	Scnn1a	10090.ENSMUSP00000143083	10090.ENSMUSP00000080164	0	0	0	0.629	0.079	0	0	0.544	0.562
Asic3	Trpv1	10090.ENSMUSP00000143083	10090.ENSMUSP00000099585	0	0	0	0	0.043	0	0	0.834	0.835
