#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
4930544G11Rik	Rnd1	10090.ENSMUSP00000045487	10090.ENSMUSP00000003451	0	0	0.073	0.921	0.050	0	0.900	0	0.904
4930544G11Rik	Rhoa	10090.ENSMUSP00000045487	10090.ENSMUSP00000007959	0	0	0.050	0.980	0	0	0.900	0	0.901
4930544G11Rik	Rac3	10090.ENSMUSP00000045487	10090.ENSMUSP00000018156	0	0	0.063	0.949	0.102	0.199	0.900	0.065	0.925
4930544G11Rik	Arhgef2	10090.ENSMUSP00000045487	10090.ENSMUSP00000029694	0	0	0	0	0.068	0.527	0.900	0.047	0.952
4930544G11Rik	Rac2	10090.ENSMUSP00000045487	10090.ENSMUSP00000036384	0	0	0.064	0.948	0.102	0.199	0.900	0.065	0.925
4930544G11Rik	Myo9a	10090.ENSMUSP00000045487	10090.ENSMUSP00000122852	0	0	0	0	0	0.414	0	0.092	0.445
4930544G11Rik	Myo9b	10090.ENSMUSP00000045487	10090.ENSMUSP00000129220	0	0	0	0	0	0.492	0	0.092	0.519
4930544G11Rik	Actb	10090.ENSMUSP00000045487	10090.ENSMUSP00000098066	0	0	0	0	0.079	0.068	0.900	0.169	0.919
4930544G11Rik	Cdc42	10090.ENSMUSP00000045487	10090.ENSMUSP00000054634	0	0	0.063	0.949	0.102	0.199	0.900	0.124	0.930
4930544G11Rik	Arhgap35	10090.ENSMUSP00000045487	10090.ENSMUSP00000075242	0	0	0	0	0	0.578	0.900	0.101	0.958
Actb	Actr2	10090.ENSMUSP00000098066	10090.ENSMUSP00000000137	0	0	0.052	0.936	0.125	0.523	0.900	0.138	0.959
Actb	Rhoc	10090.ENSMUSP00000098066	10090.ENSMUSP00000002303	0	0	0	0	0.103	0.068	0.500	0.382	0.707
Actb	Shh	10090.ENSMUSP00000098066	10090.ENSMUSP00000002708	0	0	0	0	0	0	0	0.567	0.567
