#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Abi3	Picalm	10090.ENSMUSP00000061893	10090.ENSMUSP00000146501	0	0	0	0	0	0	0	0.501	0.501
Abi3	Trem2	10090.ENSMUSP00000061893	10090.ENSMUSP00000108863	0	0	0	0	0.070	0	0	0.665	0.675
Actb	Cdh1	10090.ENSMUSP00000098066	10090.ENSMUSP00000000312	0	0	0	0	0.057	0.067	0	0.847	0.854
Actb	Akt1	10090.ENSMUSP00000098066	10090.ENSMUSP00000001780	0	0	0	0	0.079	0.079	0	0.886	0.895
Actb	Tgfb1	10090.ENSMUSP00000098066	10090.ENSMUSP00000002678	0	0	0	0	0	0	0	0.770	0.770
Actb	Epha2	10090.ENSMUSP00000098066	10090.ENSMUSP00000006614	0	0	0	0	0.073	0.073	0	0.396	0.436
Actb	Ap2m1	10090.ENSMUSP00000098066	10090.ENSMUSP00000007216	0	0	0	0	0.126	0.064	0	0.481	0.539
Actb	Wnt3a	10090.ENSMUSP00000098066	10090.ENSMUSP00000010044	0	0	0	0	0	0	0	0.606	0.606
Actb	Egfr	10090.ENSMUSP00000098066	10090.ENSMUSP00000020329	0	0	0	0	0	0.088	0	0.840	0.848
Actb	Rack1	10090.ENSMUSP00000098066	10090.ENSMUSP00000020640	0	0	0	0	0.267	0.212	0	0.406	0.627
Actb	Tnf	10090.ENSMUSP00000098066	10090.ENSMUSP00000025263	0	0	0	0	0	0.108	0	0.876	0.884
Actb	Vil1	10090.ENSMUSP00000098066	10090.ENSMUSP00000027366	0	0	0	0	0	0.141	0	0.527	0.576
Actb	Cdk5	10090.ENSMUSP00000098066	10090.ENSMUSP00000030814	0	0.005	0	0	0	0	0	0.533	0.533
Actb	Ppp1r9b	10090.ENSMUSP00000098066	10090.ENSMUSP00000041732	0	0	0	0	0	0.514	0	0.259	0.625
Actb	Lrp1	10090.ENSMUSP00000098066	10090.ENSMUSP00000044004	0	0	0	0	0	0	0	0.404	0.404
Actb	Ar	10090.ENSMUSP00000098066	10090.ENSMUSP00000052648	0	0	0	0	0	0.054	0	0.649	0.654
Actb	Arf6	10090.ENSMUSP00000098066	10090.ENSMUSP00000055862	0	0	0	0	0.095	0.068	0	0.595	0.629
Actb	Pik3r1	10090.ENSMUSP00000098066	10090.ENSMUSP00000056774	0	0	0	0	0.051	0.062	0	0.452	0.469
Actb	Ezr	10090.ENSMUSP00000098066	10090.ENSMUSP00000063734	0	0	0	0	0.098	0.064	0.900	0.707	0.971
Actb	Myo5b	10090.ENSMUSP00000098066	10090.ENSMUSP00000073790	0	0	0	0	0	0.275	0	0.208	0.401
Actb	Mmp14	10090.ENSMUSP00000098066	10090.ENSMUSP00000087119	0	0	0	0	0.044	0.050	0	0.432	0.439
Actb	Itgb1	10090.ENSMUSP00000098066	10090.ENSMUSP00000087457	0	0	0	0	0.079	0.102	0.900	0.800	0.981
Actb	Prnp	10090.ENSMUSP00000098066	10090.ENSMUSP00000088833	0	0	0	0	0.073	0.104	0	0.708	0.737
Actb	Pls1	10090.ENSMUSP00000098066	10090.ENSMUSP00000091317	0	0	0	0	0.066	0.357	0	0.185	0.468
Actb	Csnk2a1	10090.ENSMUSP00000098066	10090.ENSMUSP00000096829	0	0	0	0	0.089	0	0	0.395	0.425
Actb	Camk2a	10090.ENSMUSP00000098066	10090.ENSMUSP00000099952	0	0	0	0	0.048	0	0	0.407	0.411
Actb	Myo5a	10090.ENSMUSP00000098066	10090.ENSMUSP00000116028	0	0	0	0	0	0.275	0	0.324	0.489
Actb	Rab11a	10090.ENSMUSP00000098066	10090.ENSMUSP00000129163	0	0	0	0	0.101	0.069	0	0.487	0.533
Actb	Lgals3	10090.ENSMUSP00000098066	10090.ENSMUSP00000118169	0	0	0	0	0.083	0.062	0	0.502	0.535
Actb	Cltc	10090.ENSMUSP00000098066	10090.ENSMUSP00000099475	0	0	0	0	0.117	0.102	0	0.473	0.546
Actb	Sqstm1	10090.ENSMUSP00000098066	10090.ENSMUSP00000099835	0	0	0	0	0.064	0	0	0.721	0.727
Actb	Itga3	10090.ENSMUSP00000098066	10090.ENSMUSP00000113556	0	0	0	0	0.046	0	0.650	0.366	0.769
Actb	Bcl2l1	10090.ENSMUSP00000098066	10090.ENSMUSP00000105445	0	0	0	0	0.042	0	0	0.771	0.772
Actb	Actr3	10090.ENSMUSP00000098066	10090.ENSMUSP00000137503	0	0	0	0.867	0.124	0.431	0.900	0.102	0.949
Actr3	Ezr	10090.ENSMUSP00000137503	10090.ENSMUSP00000063734	0	0	0	0	0.221	0.063	0	0.282	0.431
Actr3	Pls1	10090.ENSMUSP00000137503	10090.ENSMUSP00000091317	0	0	0	0	0.109	0.259	0	0.227	0.445
Actr3	Myo5a	10090.ENSMUSP00000137503	10090.ENSMUSP00000116028	0	0	0	0	0.101	0.206	0.500	0.174	0.666
Agr2	Sptbn1	10090.ENSMUSP00000020898	10090.ENSMUSP00000006629	0	0	0	0	0	0.051	0	0.434	0.440
Agr2	Egfr	10090.ENSMUSP00000020898	10090.ENSMUSP00000020329	0	0	0	0	0.056	0	0	0.596	0.602
Akap5	Akt1	10090.ENSMUSP00000114495	10090.ENSMUSP00000001780	0	0	0	0	0	0	0	0.485	0.485
Akap5	Ppp1r9b	10090.ENSMUSP00000114495	10090.ENSMUSP00000041732	0	0	0	0	0.044	0.510	0	0	0.511
Akap5	Dlg1	10090.ENSMUSP00000114495	10090.ENSMUSP00000064280	0	0	0	0	0	0	0.400	0.912	0.944
Akap5	Camk2g	10090.ENSMUSP00000114495	10090.ENSMUSP00000071720	0	0	0	0	0	0	0.400	0.138	0.460
Akap5	Camk2b	10090.ENSMUSP00000114495	10090.ENSMUSP00000087925	0	0	0	0	0.080	0	0.400	0	0.424
Akap5	Camk2a	10090.ENSMUSP00000114495	10090.ENSMUSP00000099952	0	0	0	0	0.087	0	0.400	0	0.428
Akap5	Camk2d	10090.ENSMUSP00000114495	10090.ENSMUSP00000143677	0	0	0	0	0	0	0.400	0	0.400
Akt1	Cdh1	10090.ENSMUSP00000001780	10090.ENSMUSP00000000312	0	0	0	0	0	0.065	0	0.851	0.855
Akt1	Cib1	10090.ENSMUSP00000001780	10090.ENSMUSP00000070901	0	0	0	0	0.043	0.099	0	0.397	0.434
Akt1	Csk	10090.ENSMUSP00000001780	10090.ENSMUSP00000034863	0	0	0.118	0.588	0.094	0.138	0	0.294	0.449
Akt1	Cdk5	10090.ENSMUSP00000001780	10090.ENSMUSP00000030814	0	0	0	0.635	0.051	0.053	0	0.443	0.455
Akt1	Numb	10090.ENSMUSP00000001780	10090.ENSMUSP00000119303	0	0	0	0	0.044	0.104	0	0.429	0.468
Akt1	Lrp1	10090.ENSMUSP00000001780	10090.ENSMUSP00000044004	0	0	0	0	0.061	0	0	0.460	0.471
Akt1	Rab11a	10090.ENSMUSP00000001780	10090.ENSMUSP00000129163	0	0	0	0	0.079	0.105	0	0.502	0.554
Akt1	Egfr	10090.ENSMUSP00000001780	10090.ENSMUSP00000020329	0	0	0	0.559	0	0.264	0	0.432	0.564
Akt1	Csnk2a1	10090.ENSMUSP00000001780	10090.ENSMUSP00000096829	0	0	0	0.582	0.043	0.088	0	0.541	0.565
Akt1	Lgals3	10090.ENSMUSP00000001780	10090.ENSMUSP00000118169	0	0	0	0	0.084	0.062	0	0.548	0.578
Akt1	Mmp14	10090.ENSMUSP00000001780	10090.ENSMUSP00000087119	0	0	0	0	0.084	0.051	0	0.556	0.581
