#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Actb	Actr2	10090.ENSMUSP00000098066	10090.ENSMUSP00000000137	0	0	0.052	0.936	0.125	0.523	0.900	0.138	0.959
Actb	Brd8	10090.ENSMUSP00000098066	10090.ENSMUSP00000003876	0	0	0	0	0.052	0.079	0.720	0.127	0.758
Actb	Vps72	10090.ENSMUSP00000098066	10090.ENSMUSP00000009102	0	0	0	0	0	0.263	0.720	0.302	0.843
Actb	Yeats4	10090.ENSMUSP00000098066	10090.ENSMUSP00000020382	0	0	0	0	0	0.253	0.720	0.150	0.806
Actb	Parp1	10090.ENSMUSP00000098066	10090.ENSMUSP00000027777	0	0	0	0	0.047	0	0	0.823	0.824
Actb	Epc1	10090.ENSMUSP00000098066	10090.ENSMUSP00000028100	0	0	0	0	0	0.283	0.720	0.091	0.801
Actb	Mrgbp	10090.ENSMUSP00000098066	10090.ENSMUSP00000029085	0	0	0	0	0	0.170	0.720	0.097	0.771
Actb	Actl6a	10090.ENSMUSP00000098066	10090.ENSMUSP00000029214	0	0	0	0.867	0.053	0.446	0.800	0.856	0.982
Actb	Ing3	10090.ENSMUSP00000098066	10090.ENSMUSP00000031680	0	0	0	0	0	0.239	0.720	0.120	0.796
Actb	Ruvbl1	10090.ENSMUSP00000098066	10090.ENSMUSP00000032165	0	0	0	0	0.055	0.357	0.720	0.293	0.863
Actb	Was	10090.ENSMUSP00000098066	10090.ENSMUSP00000033505	0	0	0	0	0.046	0.294	0.900	0.406	0.954
Actb	Morf4l2	10090.ENSMUSP00000098066	10090.ENSMUSP00000033797	0	0	0	0	0.069	0.138	0.720	0.120	0.776
Actb	Ep400	10090.ENSMUSP00000098066	10090.ENSMUSP00000049038	0	0	0	0	0.048	0.290	0.720	0.437	0.879
Actb	Meaf6	10090.ENSMUSP00000098066	10090.ENSMUSP00000053543	0	0	0	0	0	0.286	0.720	0.102	0.804
Actb	Morf4l1	10090.ENSMUSP00000098066	10090.ENSMUSP00000082346	0	0	0	0	0.220	0.138	0.720	0.107	0.809
Actb	Epc2	10090.ENSMUSP00000098066	10090.ENSMUSP00000089758	0	0	0	0	0	0.283	0.720	0.214	0.828
Actb	Arid2	10090.ENSMUSP00000098066	10090.ENSMUSP00000093969	0	0	0	0	0	0.195	0.800	0.221	0.863
Actb	Trrap	10090.ENSMUSP00000098066	10090.ENSMUSP00000098035	0	0	0	0	0.052	0.288	0.720	0.483	0.889
Actb	Fus	10090.ENSMUSP00000098066	10090.ENSMUSP00000101858	0	0	0	0	0.193	0	0	0.394	0.490
Actb	Mbtd1	10090.ENSMUSP00000098066	10090.ENSMUSP00000103485	0	0	0	0	0	0.066	0.720	0	0.727
Actb	Ruvbl2	10090.ENSMUSP00000098066	10090.ENSMUSP00000147502	0	0	0	0	0.069	0.303	0.720	0.262	0.848
Actb	Kat5	10090.ENSMUSP00000098066	10090.ENSMUSP00000109271	0	0	0	0	0.055	0.326	0.720	0.338	0.866
Actb	Dmap1	10090.ENSMUSP00000098066	10090.ENSMUSP00000099748	0	0	0	0	0.073	0.407	0.720	0.485	0.910
Actl6a	Brd8	10090.ENSMUSP00000029214	10090.ENSMUSP00000003876	0	0	0	0	0.141	0.249	0.720	0.704	0.939
Actl6a	Vps72	10090.ENSMUSP00000029214	10090.ENSMUSP00000009102	0	0	0	0	0.071	0.622	0.720	0.494	0.943
Actl6a	Yeats4	10090.ENSMUSP00000029214	10090.ENSMUSP00000020382	0	0	0	0	0.111	0.573	0.720	0.521	0.942
Actl6a	Epc1	10090.ENSMUSP00000029214	10090.ENSMUSP00000028100	0	0	0	0	0.046	0.650	0.720	0.277	0.923
Actl6a	Mrgbp	10090.ENSMUSP00000029214	10090.ENSMUSP00000029085	0	0	0	0	0.053	0.523	0.720	0.655	0.950
Actl6a	Mbtd1	10090.ENSMUSP00000029214	10090.ENSMUSP00000103485	0	0	0	0	0.194	0.093	0.720	0.127	0.797
Actl6a	Morf4l2	10090.ENSMUSP00000029214	10090.ENSMUSP00000033797	0	0	0	0	0.198	0.550	0.720	0.263	0.915
Actl6a	Kat5	10090.ENSMUSP00000029214	10090.ENSMUSP00000109271	0	0	0	0	0.101	0.594	0.720	0.477	0.939
Actl6a	Ing3	10090.ENSMUSP00000029214	10090.ENSMUSP00000031680	0	0	0	0	0.061	0.554	0.720	0.611	0.948
