#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Abcb1a	Ptgs2	10090.ENSMUSP00000041204	10090.ENSMUSP00000035065	0	0	0	0	0	0	0	0.474	0.474
Alpl	Fgf23	10090.ENSMUSP00000030551	10090.ENSMUSP00000000186	0	0	0	0	0	0	0	0.441	0.441
Alpl	Bmp7	10090.ENSMUSP00000030551	10090.ENSMUSP00000009143	0	0	0	0	0.087	0	0	0.378	0.408
Alpl	Pth	10090.ENSMUSP00000030551	10090.ENSMUSP00000078723	0	0	0	0	0	0	0	0.470	0.470
Alpl	Phex	10090.ENSMUSP00000030551	10090.ENSMUSP00000078863	0	0	0	0	0.059	0	0	0.623	0.630
Alpl	Spp1	10090.ENSMUSP00000030551	10090.ENSMUSP00000084043	0	0	0	0	0.061	0	0	0.678	0.685
Atp2b1	Cyp27b1	10090.ENSMUSP00000020107	10090.ENSMUSP00000130005	0	0	0	0	0	0.052	0	0.399	0.406
Atp2b1	Pth	10090.ENSMUSP00000020107	10090.ENSMUSP00000078723	0	0	0	0	0	0	0	0.416	0.416
Atp2b1	Vdr	10090.ENSMUSP00000020107	10090.ENSMUSP00000023119	0	0	0	0	0	0	0	0.472	0.472
Bmp7	Tgfb1	10090.ENSMUSP00000009143	10090.ENSMUSP00000002678	0	0	0	0.598	0	0	0	0.588	0.588
Bmp7	Sfrp1	10090.ENSMUSP00000009143	10090.ENSMUSP00000033952	0	0	0	0	0.077	0	0	0.390	0.413
Bmp7	Pth	10090.ENSMUSP00000009143	10090.ENSMUSP00000078723	0	0	0	0	0	0	0	0.473	0.473
Bmp7	Spp1	10090.ENSMUSP00000009143	10090.ENSMUSP00000084043	0	0	0	0	0.054	0	0	0.618	0.624
Casr	Fgf23	10090.ENSMUSP00000069080	10090.ENSMUSP00000000186	0	0	0	0	0.052	0	0	0.692	0.696
Casr	Stc1	10090.ENSMUSP00000069080	10090.ENSMUSP00000014957	0	0	0	0	0	0	0	0.452	0.452
Casr	Vdr	10090.ENSMUSP00000069080	10090.ENSMUSP00000023119	0	0	0	0	0.046	0	0	0.538	0.540
Casr	Cyp24a1	10090.ENSMUSP00000069080	10090.ENSMUSP00000047954	0	0	0	0	0.078	0	0	0.588	0.604
Casr	Spp1	10090.ENSMUSP00000069080	10090.ENSMUSP00000084043	0	0	0	0	0	0	0	0.432	0.432
Casr	Kl	10090.ENSMUSP00000069080	10090.ENSMUSP00000077899	0	0	0	0	0.053	0	0	0.608	0.613
Casr	Cyp27b1	10090.ENSMUSP00000069080	10090.ENSMUSP00000130005	0	0	0	0	0.053	0	0	0.637	0.642
Casr	Pth	10090.ENSMUSP00000069080	10090.ENSMUSP00000078723	0	0	0	0	0	0	0	0.846	0.846
Cyp24a1	Fgf23	10090.ENSMUSP00000047954	10090.ENSMUSP00000000186	0	0	0	0	0.073	0	0	0.827	0.832
Cyp24a1	Vdr	10090.ENSMUSP00000047954	10090.ENSMUSP00000023119	0	0	0	0	0.054	0.318	0	0.725	0.807
Cyp24a1	Phex	10090.ENSMUSP00000047954	10090.ENSMUSP00000078863	0	0	0	0	0	0	0	0.553	0.553
Cyp24a1	Kl	10090.ENSMUSP00000047954	10090.ENSMUSP00000077899	0	0	0	0	0.085	0	0	0.722	0.735
Cyp24a1	Pth	10090.ENSMUSP00000047954	10090.ENSMUSP00000078723	0	0	0	0	0.086	0	0	0.786	0.796
Cyp24a1	Cyp27b1	10090.ENSMUSP00000047954	10090.ENSMUSP00000130005	0	0	0.138	0.801	0.104	0.093	0.900	0.216	0.935
Cyp27b1	Fgf23	10090.ENSMUSP00000130005	10090.ENSMUSP00000000186	0	0	0	0	0.059	0	0	0.853	0.856
Cyp27b1	Vdr	10090.ENSMUSP00000130005	10090.ENSMUSP00000023119	0	0	0	0	0.071	0.077	0	0.751	0.768
Cyp27b1	Pdia3	10090.ENSMUSP00000130005	10090.ENSMUSP00000028683	0	0	0	0	0	0	0	0.514	0.514
Cyp27b1	Kl	10090.ENSMUSP00000130005	10090.ENSMUSP00000077899	0	0	0	0	0.053	0	0	0.754	0.758
Cyp27b1	Pth	10090.ENSMUSP00000130005	10090.ENSMUSP00000078723	0	0	0	0	0.057	0	0	0.859	0.861
Cyp27b1	Phex	10090.ENSMUSP00000130005	10090.ENSMUSP00000078863	0	0	0	0	0	0	0	0.651	0.651
Fgf23	Tgfb1	10090.ENSMUSP00000000186	10090.ENSMUSP00000002678	0	0	0	0	0.048	0	0	0.477	0.481
Fgf23	Vdr	10090.ENSMUSP00000000186	10090.ENSMUSP00000023119	0	0	0	0	0.054	0.068	0	0.577	0.594
Fgf23	Spp1	10090.ENSMUSP00000000186	10090.ENSMUSP00000084043	0	0	0	0	0	0	0	0.620	0.620
Fgf23	Pth	10090.ENSMUSP00000000186	10090.ENSMUSP00000078723	0	0	0	0	0.091	0	0	0.931	0.935
Fgf23	Phex	10090.ENSMUSP00000000186	10090.ENSMUSP00000078863	0	0	0	0	0.044	0.222	0	0.923	0.937
Fgf23	Kl	10090.ENSMUSP00000000186	10090.ENSMUSP00000077899	0	0	0	0	0	0.834	0.800	0.998	0.999
Il15	Tgfb1	10090.ENSMUSP00000034148	10090.ENSMUSP00000002678	0	0	0	0	0.092	0	0	0.573	0.595
Il15	Ptgs2	10090.ENSMUSP00000034148	10090.ENSMUSP00000035065	0	0	0	0	0.077	0	0	0.406	0.428
Kl	Tgfb1	10090.ENSMUSP00000077899	10090.ENSMUSP00000002678	0	0	0	0	0	0	0	0.546	0.546
Kl	Vdr	10090.ENSMUSP00000077899	10090.ENSMUSP00000023119	0	0	0	0	0.056	0	0	0.553	0.561
Kl	Spp1	10090.ENSMUSP00000077899	10090.ENSMUSP00000084043	0	0	0	0	0.049	0	0	0.490	0.494
Kl	Phex	10090.ENSMUSP00000077899	10090.ENSMUSP00000078863	0	0	0	0	0.057	0	0	0.746	0.751
Kl	Pth	10090.ENSMUSP00000077899	10090.ENSMUSP00000078723	0	0	0	0	0	0	0	0.860	0.860
Phex	Vdr	10090.ENSMUSP00000078863	10090.ENSMUSP00000023119	0	0	0	0	0.051	0	0	0.474	0.480
Phex	Pth	10090.ENSMUSP00000078863	10090.ENSMUSP00000078723	0	0	0	0	0	0	0	0.816	0.816
Phex	Spp1	10090.ENSMUSP00000078863	10090.ENSMUSP00000084043	0	0	0	0	0.107	0	0	0.621	0.647
Ptgs2	Tgfb1	10090.ENSMUSP00000035065	10090.ENSMUSP00000002678	0	0	0	0	0.051	0	0	0.675	0.678
Ptgs2	Tyr	10090.ENSMUSP00000035065	10090.ENSMUSP00000004770	0	0	0	0	0	0	0	0.561	0.561
Ptgs2	Spp1	10090.ENSMUSP00000035065	10090.ENSMUSP00000084043	0	0	0	0	0.091	0	0	0.505	0.531
Pth	Tgfb1	10090.ENSMUSP00000078723	10090.ENSMUSP00000002678	0	0	0	0	0	0	0	0.620	0.620
Pth	Vdr	10090.ENSMUSP00000078723	10090.ENSMUSP00000023119	0	0	0	0	0	0	0	0.610	0.610
Pth	Spp1	10090.ENSMUSP00000078723	10090.ENSMUSP00000084043	0	0	0	0	0	0	0	0.802	0.802
Spp1	Tgfb1	10090.ENSMUSP00000084043	10090.ENSMUSP00000002678	0	0	0	0	0.054	0	0	0.709	0.713
Tpcn2	Tyr	10090.ENSMUSP00000061308	10090.ENSMUSP00000004770	0	0	0	0	0	0	0	0.430	0.430
