#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Anxa1	Il10	10090.ENSMUSP00000025561	10090.ENSMUSP00000016673	0	0	0	0	0	0	0	0.536	0.536
Anxa1	Tnf	10090.ENSMUSP00000025561	10090.ENSMUSP00000025263	0	0	0	0	0.104	0	0	0.571	0.600
Anxa1	Cd86	10090.ENSMUSP00000025561	10090.ENSMUSP00000087047	0	0	0	0	0.077	0	0	0.412	0.434
Anxa1	Gapdh	10090.ENSMUSP00000025561	10090.ENSMUSP00000113942	0	0	0	0	0.058	0	0	0.470	0.479
Anxa1	Ifng	10090.ENSMUSP00000025561	10090.ENSMUSP00000063800	0	0	0	0	0.051	0	0	0.493	0.498
Anxa1	Il1b	10090.ENSMUSP00000025561	10090.ENSMUSP00000028881	0	0	0	0	0.119	0	0	0.582	0.616
Anxa1	Anxa5	10090.ENSMUSP00000025561	10090.ENSMUSP00000029266	0	0	0.089	0.902	0.274	0.095	0	0.450	0.627
Anxa1	Thbs1	10090.ENSMUSP00000025561	10090.ENSMUSP00000044903	0	0	0	0	0.282	0.050	0	0.546	0.663
Anxa5	Il4	10090.ENSMUSP00000029266	10090.ENSMUSP00000000889	0	0	0	0	0	0	0	0.618	0.618
Anxa5	Cd83	10090.ENSMUSP00000029266	10090.ENSMUSP00000015540	0	0	0	0	0.054	0	0	0.394	0.402
Anxa5	Gzmb	10090.ENSMUSP00000029266	10090.ENSMUSP00000015581	0	0	0	0	0	0.041	0	0.557	0.557
Anxa5	Il10	10090.ENSMUSP00000029266	10090.ENSMUSP00000016673	0	0	0	0	0	0	0	0.655	0.655
Anxa5	Cd40	10090.ENSMUSP00000029266	10090.ENSMUSP00000017799	0	0	0	0	0.053	0	0	0.711	0.714
Anxa5	Csf2	10090.ENSMUSP00000029266	10090.ENSMUSP00000019060	0	0	0	0	0	0	0	0.642	0.642
Anxa5	Tnf	10090.ENSMUSP00000029266	10090.ENSMUSP00000025263	0	0	0	0	0.087	0	0	0.787	0.797
Anxa5	Il2ra	10090.ENSMUSP00000029266	10090.ENSMUSP00000028111	0	0	0	0	0	0	0	0.552	0.552
Anxa5	Il1b	10090.ENSMUSP00000029266	10090.ENSMUSP00000028881	0	0	0	0	0.112	0	0	0.707	0.729
Anxa5	Cd80	10090.ENSMUSP00000029266	10090.ENSMUSP00000156031	0	0	0	0	0.081	0	0	0.615	0.631
Anxa5	Mtor	10090.ENSMUSP00000029266	10090.ENSMUSP00000099510	0	0	0	0	0	0	0	0.643	0.643
Anxa5	Cd86	10090.ENSMUSP00000029266	10090.ENSMUSP00000087047	0	0	0	0	0.091	0	0	0.625	0.644
Anxa5	Ifng	10090.ENSMUSP00000029266	10090.ENSMUSP00000063800	0	0	0	0	0.054	0	0	0.724	0.728
Anxa5	Itgax	10090.ENSMUSP00000029266	10090.ENSMUSP00000033053	0	0	0	0	0.083	0	0	0.779	0.788
Anxa5	Gapdh	10090.ENSMUSP00000029266	10090.ENSMUSP00000113942	0	0	0	0	0.080	0	0	0.884	0.889
Cd40	Il4	10090.ENSMUSP00000017799	10090.ENSMUSP00000000889	0	0	0	0	0.056	0	0	0.903	0.904
Cd40	Cd83	10090.ENSMUSP00000017799	10090.ENSMUSP00000015540	0	0	0	0	0.173	0	0	0.917	0.928
Cd40	Gzmb	10090.ENSMUSP00000017799	10090.ENSMUSP00000015581	0	0	0	0	0.045	0	0	0.753	0.754
Cd40	Il10	10090.ENSMUSP00000017799	10090.ENSMUSP00000016673	0	0	0	0	0.053	0	0	0.864	0.865
Cd40	Mtor	10090.ENSMUSP00000017799	10090.ENSMUSP00000099510	0	0	0	0	0	0	0	0.409	0.408
Cd40	Il1r1	10090.ENSMUSP00000017799	10090.ENSMUSP00000027241	0	0	0	0	0.045	0	0	0.435	0.437
Cd40	Gapdh	10090.ENSMUSP00000017799	10090.ENSMUSP00000113942	0	0	0	0	0	0	0	0.519	0.519
Cd40	Hand2	10090.ENSMUSP00000017799	10090.ENSMUSP00000044983	0	0	0	0	0.046	0	0	0.519	0.521
Cd40	Il2ra	10090.ENSMUSP00000017799	10090.ENSMUSP00000028111	0	0	0	0	0.064	0	0	0.671	0.679
Cd40	Ido1	10090.ENSMUSP00000017799	10090.ENSMUSP00000033956	0	0	0	0	0.089	0	0	0.698	0.713
Cd40	Csf2	10090.ENSMUSP00000017799	10090.ENSMUSP00000019060	0	0	0	0	0.114	0	0	0.807	0.822
Cd40	Itgax	10090.ENSMUSP00000017799	10090.ENSMUSP00000033053	0	0	0	0	0.073	0	0	0.850	0.855
Cd40	Il1b	10090.ENSMUSP00000017799	10090.ENSMUSP00000028881	0	0	0	0	0.211	0	0	0.876	0.898
Cd40	Ifng	10090.ENSMUSP00000017799	10090.ENSMUSP00000063800	0	0	0	0	0.079	0	0	0.908	0.911
Cd40	Cd86	10090.ENSMUSP00000017799	10090.ENSMUSP00000087047	0	0	0	0	0.334	0	0	0.970	0.979
Cd40	Tnf	10090.ENSMUSP00000017799	10090.ENSMUSP00000025263	0	0	0	0	0.208	0.068	0.500	0.963	0.984
Cd40	Cd80	10090.ENSMUSP00000017799	10090.ENSMUSP00000156031	0	0	0	0	0.145	0.095	0	0.998	0.998
Cd80	Il4	10090.ENSMUSP00000156031	10090.ENSMUSP00000000889	0	0	0	0	0.050	0	0	0.857	0.858
Cd80	Cd83	10090.ENSMUSP00000156031	10090.ENSMUSP00000015540	0	0	0	0	0.133	0	0	0.895	0.905
Cd80	Gzmb	10090.ENSMUSP00000156031	10090.ENSMUSP00000015581	0	0	0	0	0.051	0.117	0	0.806	0.823
Cd80	Il10	10090.ENSMUSP00000156031	10090.ENSMUSP00000016673	0	0	0	0	0.130	0	0	0.880	0.891
Cd80	Csf2	10090.ENSMUSP00000156031	10090.ENSMUSP00000019060	0	0	0	0	0.087	0.122	0	0.852	0.871
Cd80	Tnf	10090.ENSMUSP00000156031	10090.ENSMUSP00000025263	0	0	0	0	0.198	0.122	0	0.855	0.889
Cd80	Il2ra	10090.ENSMUSP00000156031	10090.ENSMUSP00000028111	0	0	0	0	0.110	0	0	0.696	0.718
Cd80	Il1b	10090.ENSMUSP00000156031	10090.ENSMUSP00000028881	0	0	0	0	0.143	0.104	0	0.771	0.809
Cd80	Itgax	10090.ENSMUSP00000156031	10090.ENSMUSP00000033053	0	0	0	0	0.096	0.094	0	0.879	0.892
Cd80	Ido1	10090.ENSMUSP00000156031	10090.ENSMUSP00000033956	0	0	0	0	0.086	0	0	0.795	0.804
Cd80	Hand2	10090.ENSMUSP00000156031	10090.ENSMUSP00000044983	0	0	0	0	0	0	0	0.551	0.551
