#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Cd40lg	Tnf	10090.ENSMUSP00000033466	10090.ENSMUSP00000025263	0	0	0	0	0.104	0	0.500	0.886	0.944
Cd40lg	Eomes	10090.ENSMUSP00000033466	10090.ENSMUSP00000035020	0	0	0	0	0.102	0	0	0.425	0.462
Cd40lg	Ifnb1	10090.ENSMUSP00000033466	10090.ENSMUSP00000056720	0	0	0	0	0.044	0	0	0.694	0.694
Cyp24a1	Cyp2r1	10090.ENSMUSP00000047954	10090.ENSMUSP00000032908	0	0	0.212	0.610	0.056	0	0.900	0.385	0.948
Cyp24a1	Cyp27b1	10090.ENSMUSP00000047954	10090.ENSMUSP00000130005	0	0	0.138	0.801	0.104	0.093	0.900	0.216	0.935
Cyp27b1	Tnf	10090.ENSMUSP00000130005	10090.ENSMUSP00000025263	0	0	0	0	0.044	0	0	0.460	0.461
Cyp27b1	Cyp2r1	10090.ENSMUSP00000130005	10090.ENSMUSP00000032908	0	0	0.226	0.605	0.069	0.604	0.900	0.391	0.979
Eomes	Tnf	10090.ENSMUSP00000035020	10090.ENSMUSP00000025263	0	0	0	0	0.041	0	0	0.604	0.604
Ifnb1	Tnf	10090.ENSMUSP00000056720	10090.ENSMUSP00000025263	0	0	0	0	0.301	0	0	0.863	0.900
Ptger4	Tnf	10090.ENSMUSP00000048736	10090.ENSMUSP00000025263	0	0	0	0	0.117	0	0	0.606	0.637
Rpl30	Rps6	10090.ENSMUSP00000106014	10090.ENSMUSP00000099878	0	0	0	0	0.968	0.990	0	0.676	0.999
Rps6	Tnf	10090.ENSMUSP00000099878	10090.ENSMUSP00000025263	0	0	0	0	0	0.097	0	0.363	0.400
