#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Aamdc	Zc3h8	10090.ENSMUSP00000115672	10090.ENSMUSP00000028866	0	0	0	0	0.061	0	0	0.391	0.404
Aamdc	Lrrk2	10090.ENSMUSP00000115672	10090.ENSMUSP00000052584	0	0	0	0	0	0	0	0.767	0.767
Aamdc	Snca	10090.ENSMUSP00000115672	10090.ENSMUSP00000109907	0	0	0	0	0.043	0	0	0.476	0.477
Aamdc	Gba	10090.ENSMUSP00000115672	10090.ENSMUSP00000130660	0	0	0	0	0	0	0	0.410	0.410
Aars	Qars	10090.ENSMUSP00000034441	10090.ENSMUSP00000006838	0.075	0	0	0	0.310	0.175	0	0.798	0.880
Aars	Bub1	10090.ENSMUSP00000034441	10090.ENSMUSP00000028858	0	0	0	0	0.058	0.553	0	0.212	0.639
Aars	Atf5	10090.ENSMUSP00000034441	10090.ENSMUSP00000047771	0	0	0	0	0.342	0	0	0.140	0.410
Aars	Tcp1	10090.ENSMUSP00000034441	10090.ENSMUSP00000116108	0.042	0.001	0	0	0.260	0	0	0.317	0.474
Aars	Mad2l1	10090.ENSMUSP00000034441	10090.ENSMUSP00000112304	0	0	0	0	0.079	0.527	0	0.210	0.625
Aars	Asns	10090.ENSMUSP00000034441	10090.ENSMUSP00000111204	0	0	0	0	0.235	0.305	0	0.392	0.648
Aatf	Ngfr	10090.ENSMUSP00000018841	10090.ENSMUSP00000000122	0	0	0	0	0	0	0.500	0	0.499
Aatf	Ddx3x	10090.ENSMUSP00000018841	10090.ENSMUSP00000000804	0	0	0	0	0.110	0.109	0	0.437	0.514
Aatf	Ndufs3	10090.ENSMUSP00000018841	10090.ENSMUSP00000005647	0	0	0	0	0.390	0	0	0.126	0.444
Aatf	Api5	10090.ENSMUSP00000018841	10090.ENSMUSP00000028617	0	0	0	0	0.067	0	0	0.421	0.436
Aatf	Rrp1b	10090.ENSMUSP00000018841	10090.ENSMUSP00000080085	0	0	0	0	0.425	0	0	0.125	0.475
Aatf	Ntf3	10090.ENSMUSP00000018841	10090.ENSMUSP00000107863	0	0	0	0	0	0	0.500	0	0.499
Aatf	Ntf5	10090.ENSMUSP00000018841	10090.ENSMUSP00000057916	0	0	0	0	0	0	0.500	0	0.499
Aatf	Bdnf	10090.ENSMUSP00000018841	10090.ENSMUSP00000057989	0	0	0	0	0	0	0.500	0	0.499
Aatf	Trp53	10090.ENSMUSP00000018841	10090.ENSMUSP00000104298	0	0	0	0	0.048	0.093	0	0.472	0.504
Aatf	Mdm2	10090.ENSMUSP00000018841	10090.ENSMUSP00000020408	0	0	0	0	0.050	0.168	0	0.426	0.506
Aatf	Ngf	10090.ENSMUSP00000018841	10090.ENSMUSP00000102538	0	0	0	0	0	0	0.500	0.059	0.509
Aatf	Nle1	10090.ENSMUSP00000018841	10090.ENSMUSP00000099502	0	0	0	0	0.487	0	0	0.101	0.519
Aatf	Mybbp1a	10090.ENSMUSP00000018841	10090.ENSMUSP00000044827	0	0	0	0	0.413	0.272	0	0.191	0.624
Aatf	Dapk3	10090.ENSMUSP00000018841	10090.ENSMUSP00000137333	0	0	0	0	0.065	0.238	0	0.542	0.645
Aatf	Nop53	10090.ENSMUSP00000018841	10090.ENSMUSP00000043981	0	0	0	0	0.668	0	0	0.106	0.691
Aatf	Maged1	10090.ENSMUSP00000018841	10090.ENSMUSP00000026142	0	0	0	0	0	0.293	0.500	0.359	0.754
Aatf	Arl6ip1	10090.ENSMUSP00000018841	10090.ENSMUSP00000032888	0	0	0	0	0	0.786	0	0	0.786
Aatf	Cd74	10090.ENSMUSP00000018841	10090.ENSMUSP00000095171	0	0	0	0	0	0.789	0	0.069	0.795
Aatf	Pa2g4	10090.ENSMUSP00000018841	10090.ENSMUSP00000114434	0	0	0	0	0.804	0	0	0.081	0.812
Aatf	Noc2l	10090.ENSMUSP00000018841	10090.ENSMUSP00000137253	0	0	0	0	0.775	0.136	0	0.186	0.828
Aatf	Rps7	10090.ENSMUSP00000018841	10090.ENSMUSP00000073880	0	0	0	0	0.065	0.972	0	0.065	0.973
Aatf	Rps3a1	10090.ENSMUSP00000018841	10090.ENSMUSP00000029722	0	0	0	0	0.044	0.977	0	0	0.977
Aatf	Rps6	10090.ENSMUSP00000018841	10090.ENSMUSP00000099878	0	0	0	0	0.108	0.978	0	0	0.979
Aatf	Rsl1d1	10090.ENSMUSP00000018841	10090.ENSMUSP00000113431	0	0	0	0	0.848	0.821	0	0.322	0.980
Aatf	Utp11	10090.ENSMUSP00000018841	10090.ENSMUSP00000030738	0	0	0	0	0.639	0.984	0	0.239	0.995
Abl1	Ccnd2	10090.ENSMUSP00000075167	10090.ENSMUSP00000000188	0	0	0	0	0	0.072	0.400	0.234	0.536
Abl1	Ccl2	10090.ENSMUSP00000075167	10090.ENSMUSP00000000193	0	0	0	0	0.081	0	0	0.393	0.418
Abl1	Pparg	10090.ENSMUSP00000075167	10090.ENSMUSP00000000450	0	0	0	0	0	0.321	0	0.260	0.477
Abl1	Raf1	10090.ENSMUSP00000075167	10090.ENSMUSP00000000451	0	0	0	0.592	0.061	0	0	0.473	0.483
Abl1	Il4	10090.ENSMUSP00000075167	10090.ENSMUSP00000000889	0	0	0	0	0	0.094	0	0.486	0.514
Abl1	Akt1	10090.ENSMUSP00000075167	10090.ENSMUSP00000001780	0	0	0	0.577	0.066	0	0	0.525	0.537
Abl1	Hck	10090.ENSMUSP00000075167	10090.ENSMUSP00000003370	0	0	0.072	0.877	0.056	0.111	0	0.343	0.420
Abl1	App	10090.ENSMUSP00000075167	10090.ENSMUSP00000005406	0	0	0	0	0.086	0.082	0	0.343	0.400
