#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Ap2m1	Sh3gl1	10090.ENSMUSP00000007216	10090.ENSMUSP00000003268	0	0	0	0	0.050	0	0.500	0.263	0.619
Ap2m1	Pip5k1c	10090.ENSMUSP00000007216	10090.ENSMUSP00000038225	0	0	0	0	0.065	0	0	0.406	0.421
Ap2m1	Vamp4	10090.ENSMUSP00000007216	10090.ENSMUSP00000121977	0	0	0	0	0.049	0	0.500	0.190	0.581
Ap2m1	Dnm1	10090.ENSMUSP00000007216	10090.ENSMUSP00000088618	0	0	0	0	0.067	0.100	0.500	0.478	0.751
Ap2m1	Snap91	10090.ENSMUSP00000007216	10090.ENSMUSP00000096096	0	0	0	0	0.057	0.393	0.540	0.509	0.853
Ap2m1	Picalm	10090.ENSMUSP00000007216	10090.ENSMUSP00000146501	0	0	0	0	0.052	0.133	0.720	0.446	0.855
Bcl2l1	Calm3	10090.ENSMUSP00000105445	10090.ENSMUSP00000019514	0	0	0	0	0.042	0.042	0	0.412	0.413
Bcl2l1	Dnm1l	10090.ENSMUSP00000105445	10090.ENSMUSP00000155155	0	0	0	0	0.053	0.331	0	0.737	0.819
Calm1	Calm3	10090.ENSMUSP00000158788	10090.ENSMUSP00000019514	0	0	0.048	0.985	0.079	0.900	0	0.414	0.941
Calm1	Calm2	10090.ENSMUSP00000158788	10090.ENSMUSP00000048857	0	0	0.048	0.985	0.085	0.900	0	0.431	0.943
Calm1	Ppp3cc	10090.ENSMUSP00000158788	10090.ENSMUSP00000077532	0	0	0	0	0	0.290	0	0.269	0.459
Calm1	Ppp3cb	10090.ENSMUSP00000158788	10090.ENSMUSP00000125722	0	0	0	0	0.053	0.290	0	0.343	0.520
Calm2	Calm3	10090.ENSMUSP00000048857	10090.ENSMUSP00000019514	0	0	0.048	0.985	0.105	0.900	0	0.424	0.944
Calm2	Ppp3cc	10090.ENSMUSP00000048857	10090.ENSMUSP00000077532	0	0.001	0	0	0	0.290	0	0.278	0.465
Calm2	Ppp3cb	10090.ENSMUSP00000048857	10090.ENSMUSP00000125722	0	0.001	0	0	0.070	0.290	0	0.374	0.551
Calm3	Lrrk2	10090.ENSMUSP00000019514	10090.ENSMUSP00000052584	0	0	0	0	0	0.336	0	0.171	0.426
Calm3	Dnm1l	10090.ENSMUSP00000019514	10090.ENSMUSP00000155155	0	0	0	0	0.073	0.068	0	0.394	0.430
Calm3	Dnm1	10090.ENSMUSP00000019514	10090.ENSMUSP00000088618	0	0	0	0	0.119	0.066	0	0.369	0.436
Calm3	Rock1	10090.ENSMUSP00000019514	10090.ENSMUSP00000069549	0	0	0	0	0	0.129	0	0.402	0.457
Calm3	Ppp3cc	10090.ENSMUSP00000019514	10090.ENSMUSP00000077532	0	0.001	0	0	0	0.290	0.900	0.431	0.956
Calm3	Ppp3cb	10090.ENSMUSP00000019514	10090.ENSMUSP00000125722	0	0.001	0	0	0.204	0.290	0.900	0.530	0.969
Dgkq	Syt11	10090.ENSMUSP00000057859	10090.ENSMUSP00000103129	0	0	0	0	0	0	0	0.571	0.571
Dnm1	Sh3gl1	10090.ENSMUSP00000088618	10090.ENSMUSP00000003268	0	0	0	0	0.091	0.418	0	0.555	0.744
Dnm1	Lrrk2	10090.ENSMUSP00000088618	10090.ENSMUSP00000052584	0	0	0	0	0.061	0.510	0	0.539	0.769
Dnm1	Slc17a7	10090.ENSMUSP00000088618	10090.ENSMUSP00000082489	0	0	0	0	0.159	0.042	0	0.332	0.415
Dnm1	Snap91	10090.ENSMUSP00000088618	10090.ENSMUSP00000096096	0	0	0	0	0.164	0.055	0	0.568	0.629
Dnm1l	Lrrk2	10090.ENSMUSP00000155155	10090.ENSMUSP00000052584	0	0	0	0	0.044	0.625	0	0.385	0.760
Dnm1l	Rock1	10090.ENSMUSP00000155155	10090.ENSMUSP00000069549	0	0	0	0	0.140	0.067	0	0.347	0.430
Lrrk2	Sh3gl1	10090.ENSMUSP00000052584	10090.ENSMUSP00000003268	0	0	0	0	0	0.119	0	0.565	0.601
Nlgn1	Slc17a7	10090.ENSMUSP00000142200	10090.ENSMUSP00000082489	0	0	0	0	0.099	0	0	0.609	0.633
Picalm	Sh3gl1	10090.ENSMUSP00000146501	10090.ENSMUSP00000003268	0	0	0	0	0.068	0	0.500	0.356	0.673
Picalm	Snap91	10090.ENSMUSP00000146501	10090.ENSMUSP00000096096	0	0	0.069	0.923	0	0	0.540	0.418	0.729
Picalm	Syt11	10090.ENSMUSP00000146501	10090.ENSMUSP00000103129	0	0	0	0	0.075	0.075	0.500	0.235	0.629
Picalm	Vamp4	10090.ENSMUSP00000146501	10090.ENSMUSP00000121977	0	0	0	0	0.044	0.069	0.500	0.171	0.582
Pip5k1c	Rock1	10090.ENSMUSP00000038225	10090.ENSMUSP00000069549	0	0	0	0	0	0.052	0.900	0.107	0.908
Ppp3cb	Ppp3cc	10090.ENSMUSP00000125722	10090.ENSMUSP00000077532	0	0	0.051	0.978	0.065	0.560	0.900	0.505	0.977
Sh3gl1	Slc17a7	10090.ENSMUSP00000003268	10090.ENSMUSP00000082489	0	0	0	0	0.056	0	0	0.453	0.461
Sh3gl1	Snap91	10090.ENSMUSP00000003268	10090.ENSMUSP00000096096	0	0	0	0	0.068	0	0.500	0.397	0.694
Slc17a7	Snap91	10090.ENSMUSP00000082489	10090.ENSMUSP00000096096	0	0	0	0	0.163	0.100	0	0.278	0.409
Snap91	Syt11	10090.ENSMUSP00000096096	10090.ENSMUSP00000103129	0	0	0	0	0.171	0.075	0.500	0.256	0.677
Snap91	Vamp4	10090.ENSMUSP00000096096	10090.ENSMUSP00000121977	0	0	0	0	0.057	0.069	0.500	0.401	0.702
Syt11	Vamp4	10090.ENSMUSP00000103129	10090.ENSMUSP00000121977	0	0	0	0	0.064	0.107	0	0.360	0.418
Syt7	Vamp4	10090.ENSMUSP00000153132	10090.ENSMUSP00000121977	0	0	0	0	0.047	0.107	0	0.533	0.568
