#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Abcc8	Tcf7l2	10090.ENSMUSP00000033123	10090.ENSMUSP00000107284	0	0	0	0	0	0	0	0.477	0.477
Abcc8	Iapp	10090.ENSMUSP00000033123	10090.ENSMUSP00000043956	0	0	0	0	0	0	0	0.504	0.504
Abcc8	Foxa2	10090.ENSMUSP00000033123	10090.ENSMUSP00000105590	0	0	0	0	0	0	0	0.532	0.532
Abcc8	Nkx2-2	10090.ENSMUSP00000033123	10090.ENSMUSP00000069666	0	0	0	0	0.097	0	0	0.553	0.579
Abcc8	Nkx6-1	10090.ENSMUSP00000033123	10090.ENSMUSP00000042716	0	0	0	0	0	0	0	0.642	0.642
Abcc8	Trpm4	10090.ENSMUSP00000033123	10090.ENSMUSP00000040367	0	0	0	0	0	0	0	0.880	0.880
Abcg1	Pparg	10090.ENSMUSP00000024829	10090.ENSMUSP00000000450	0	0	0	0	0	0.065	0	0.683	0.691
Abcg1	Ppard	10090.ENSMUSP00000024829	10090.ENSMUSP00000002320	0	0	0	0	0	0.065	0	0.435	0.449
Abcg1	Sirt1	10090.ENSMUSP00000024829	10090.ENSMUSP00000112595	0	0	0	0	0.063	0.060	0	0.373	0.400
Abcg1	Insig1	10090.ENSMUSP00000024829	10090.ENSMUSP00000061877	0	0	0	0	0.053	0.042	0	0.432	0.439
Abcg1	Actb	10090.ENSMUSP00000024829	10090.ENSMUSP00000098066	0	0	0	0	0	0	0	0.487	0.487
Abcg1	Il1b	10090.ENSMUSP00000024829	10090.ENSMUSP00000028881	0	0	0	0	0.047	0	0	0.492	0.495
Abcg1	Tnf	10090.ENSMUSP00000024829	10090.ENSMUSP00000025263	0	0	0	0	0	0	0	0.528	0.528
Abcg1	Ppara	10090.ENSMUSP00000024829	10090.ENSMUSP00000105049	0	0	0	0	0	0.065	0	0.579	0.590
Actb	Ccnd2	10090.ENSMUSP00000098066	10090.ENSMUSP00000000188	0	0	0	0	0.086	0	0	0.511	0.534
