#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Cd4	Il4	10090.ENSMUSP00000024044	10090.ENSMUSP00000000889	0	0	0	0	0	0	0	0.943	0.943
Cd4	Il10	10090.ENSMUSP00000024044	10090.ENSMUSP00000016673	0	0	0	0	0.089	0	0	0.959	0.961
Cd4	Mtor	10090.ENSMUSP00000024044	10090.ENSMUSP00000099510	0	0	0	0	0	0	0	0.677	0.677
Cd4	Ido2	10090.ENSMUSP00000024044	10090.ENSMUSP00000113979	0	0	0	0	0.055	0	0	0.761	0.764
Cd4	Ifnb1	10090.ENSMUSP00000024044	10090.ENSMUSP00000056720	0	0	0	0	0	0	0	0.798	0.798
Cd4	Ido1	10090.ENSMUSP00000024044	10090.ENSMUSP00000033956	0	0	0	0	0.084	0	0	0.835	0.843
Cd4	Il17a	10090.ENSMUSP00000024044	10090.ENSMUSP00000027061	0	0	0	0	0	0.097	0	0.931	0.935
Cd4	Il2	10090.ENSMUSP00000024044	10090.ENSMUSP00000029275	0	0	0	0	0.048	0.094	0	0.952	0.955
Cd4	Ifng	10090.ENSMUSP00000024044	10090.ENSMUSP00000063800	0	0	0	0	0.084	0	0	0.967	0.968
Cyp24a1	Cyp2r1	10090.ENSMUSP00000047954	10090.ENSMUSP00000032908	0	0	0.212	0.610	0.056	0	0.900	0.385	0.948
Cyp24a1	Cyp27b1	10090.ENSMUSP00000047954	10090.ENSMUSP00000130005	0	0	0.138	0.801	0.104	0.093	0.900	0.216	0.935
Cyp27b1	Rxrg	10090.ENSMUSP00000130005	10090.ENSMUSP00000015987	0	0	0	0	0	0.498	0	0.138	0.549
Cyp27b1	Il10	10090.ENSMUSP00000130005	10090.ENSMUSP00000016673	0	0	0	0	0.047	0	0	0.440	0.443
Cyp27b1	Cyp2r1	10090.ENSMUSP00000130005	10090.ENSMUSP00000032908	0	0	0.226	0.605	0.069	0.604	0.900	0.391	0.979
Cyp27b1	Ifng	10090.ENSMUSP00000130005	10090.ENSMUSP00000063800	0	0	0	0	0	0	0	0.458	0.457
Ido1	Il4	10090.ENSMUSP00000033956	10090.ENSMUSP00000000889	0	0	0	0	0.066	0	0	0.707	0.714
Ido1	Il10	10090.ENSMUSP00000033956	10090.ENSMUSP00000016673	0	0	0	0	0.063	0	0	0.873	0.876
Ido1	Il17a	10090.ENSMUSP00000033956	10090.ENSMUSP00000027061	0	0	0	0	0.057	0	0	0.696	0.702
Ido1	Il2	10090.ENSMUSP00000033956	10090.ENSMUSP00000029275	0	0	0	0	0.066	0.042	0	0.747	0.754
Ido1	Mtor	10090.ENSMUSP00000033956	10090.ENSMUSP00000099510	0	0	0	0	0	0	0	0.490	0.489
Ido1	Ifnb1	10090.ENSMUSP00000033956	10090.ENSMUSP00000056720	0	0	0	0	0.049	0	0	0.607	0.610
Ido1	Ifng	10090.ENSMUSP00000033956	10090.ENSMUSP00000063800	0	0	0	0	0.178	0	0	0.868	0.887
Ido1	Ido2	10090.ENSMUSP00000033956	10090.ENSMUSP00000113979	0	0	0.079	0.923	0	0	0.900	0.095	0.909
Ido2	Il4	10090.ENSMUSP00000113979	10090.ENSMUSP00000000889	0	0	0	0	0.086	0	0	0.650	0.666
