#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Actb	Actr2	10090.ENSMUSP00000098066	10090.ENSMUSP00000000137	0	0	0.052	0.936	0.125	0.523	0.900	0.138	0.959
Actb	Smarcb1	10090.ENSMUSP00000098066	10090.ENSMUSP00000000925	0	0	0	0	0.083	0.298	0.650	0.585	0.894
Actb	Brd8	10090.ENSMUSP00000098066	10090.ENSMUSP00000003876	0	0	0	0	0.052	0.079	0.720	0.127	0.758
Actb	Vps72	10090.ENSMUSP00000098066	10090.ENSMUSP00000009102	0	0	0	0	0	0.263	0.720	0.302	0.843
Actb	Yeats4	10090.ENSMUSP00000098066	10090.ENSMUSP00000020382	0	0	0	0	0	0.253	0.720	0.150	0.806
Actb	Smarcd2	10090.ENSMUSP00000098066	10090.ENSMUSP00000021052	0	0	0	0	0.078	0.257	0.800	0.157	0.869
Actb	Prkdc	10090.ENSMUSP00000098066	10090.ENSMUSP00000023352	0	0	0	0	0	0.041	0	0.697	0.697
Actb	Smarcd1	10090.ENSMUSP00000098066	10090.ENSMUSP00000023759	0	0	0	0	0.078	0.263	0.800	0.530	0.927
Actb	Phf10	10090.ENSMUSP00000098066	10090.ENSMUSP00000024657	0	0	0	0	0.060	0.263	0.800	0.426	0.909
Actb	Smarca2	10090.ENSMUSP00000098066	10090.ENSMUSP00000025862	0	0	0	0	0.052	0.298	0.650	0.496	0.867
Actb	Parp1	10090.ENSMUSP00000098066	10090.ENSMUSP00000027777	0	0	0	0	0.047	0	0	0.823	0.824
Actb	Epc1	10090.ENSMUSP00000098066	10090.ENSMUSP00000028100	0	0	0	0	0	0.283	0.720	0.091	0.801
Actb	Mrgbp	10090.ENSMUSP00000098066	10090.ENSMUSP00000029085	0	0	0	0	0	0.170	0.720	0.097	0.771
Actb	Actl6a	10090.ENSMUSP00000098066	10090.ENSMUSP00000029214	0	0	0	0.867	0.053	0.446	0.800	0.856	0.982
Actb	Smarcd3	10090.ENSMUSP00000098066	10090.ENSMUSP00000030791	0	0	0	0	0.078	0.257	0.800	0.217	0.878
Actb	Bcl7a	10090.ENSMUSP00000098066	10090.ENSMUSP00000031391	0	0	0	0	0	0.094	0.540	0.428	0.740
Actb	Ing3	10090.ENSMUSP00000098066	10090.ENSMUSP00000031680	0	0	0	0	0	0.239	0.720	0.120	0.796
Actb	Bcl7b	10090.ENSMUSP00000098066	10090.ENSMUSP00000031692	0	0	0	0	0	0.094	0.540	0.087	0.586
Actb	Ruvbl1	10090.ENSMUSP00000098066	10090.ENSMUSP00000032165	0	0	0	0	0.055	0.357	0.720	0.293	0.863
Actb	Was	10090.ENSMUSP00000098066	10090.ENSMUSP00000033505	0	0	0	0	0.046	0.294	0.900	0.406	0.954
Actb	Morf4l2	10090.ENSMUSP00000098066	10090.ENSMUSP00000033797	0	0	0	0	0.069	0.138	0.720	0.120	0.776
Actb	Brd7	10090.ENSMUSP00000098066	10090.ENSMUSP00000034085	0	0	0	0	0	0.263	0.800	0.212	0.873
Actb	Twist1	10090.ENSMUSP00000098066	10090.ENSMUSP00000040089	0	0	0	0	0.067	0	0	0.601	0.612
Actb	Ep400	10090.ENSMUSP00000098066	10090.ENSMUSP00000049038	0	0	0	0	0.048	0.290	0.720	0.437	0.879
Actb	Meaf6	10090.ENSMUSP00000098066	10090.ENSMUSP00000053543	0	0	0	0	0	0.286	0.720	0.102	0.804
Actb	Dpf1	10090.ENSMUSP00000098066	10090.ENSMUSP00000054385	0	0	0	0	0.052	0.096	0.800	0.145	0.833
Actb	Cgas	10090.ENSMUSP00000098066	10090.ENSMUSP00000063331	0	0	0	0	0	0	0	0.410	0.410
Actb	Hsf1	10090.ENSMUSP00000098066	10090.ENSMUSP00000072617	0	0	0	0	0.088	0.051	0	0.463	0.495
Actb	Foxm1	10090.ENSMUSP00000098066	10090.ENSMUSP00000073041	0	0	0	0	0	0.097	0	0.532	0.560
Actb	Mgmt	10090.ENSMUSP00000098066	10090.ENSMUSP00000080224	0	0	0	0	0	0.066	0	0.432	0.447
Actb	Morf4l1	10090.ENSMUSP00000098066	10090.ENSMUSP00000082346	0	0	0	0	0.220	0.138	0.720	0.107	0.809
Actb	Smarcc1	10090.ENSMUSP00000098066	10090.ENSMUSP00000086094	0	0	0	0	0	0.257	0.650	0.583	0.882
Actb	Epc2	10090.ENSMUSP00000098066	10090.ENSMUSP00000089758	0	0	0	0	0	0.283	0.720	0.214	0.828
Actb	Arid2	10090.ENSMUSP00000098066	10090.ENSMUSP00000093969	0	0	0	0	0	0.195	0.800	0.221	0.863
Actb	Smarca4	10090.ENSMUSP00000098066	10090.ENSMUSP00000096547	0	0	0	0	0.063	0.298	0.650	0.683	0.917
Actb	Trrap	10090.ENSMUSP00000098066	10090.ENSMUSP00000098035	0	0	0	0	0.052	0.288	0.720	0.483	0.889
Actb	Ppp4c	10090.ENSMUSP00000098066	10090.ENSMUSP00000146245	0	0	0.262	0	0.088	0.118	0	0.192	0.456
Actb	Fus	10090.ENSMUSP00000098066	10090.ENSMUSP00000101858	0	0	0	0	0.193	0	0	0.394	0.490
Actb	Kdm1a	10090.ENSMUSP00000098066	10090.ENSMUSP00000101473	0	0	0	0	0.183	0.048	0	0.432	0.520
Actb	Trp53bp1	10090.ENSMUSP00000098066	10090.ENSMUSP00000106278	0	0	0	0	0	0	0	0.547	0.547
Actb	Hmga2	10090.ENSMUSP00000098066	10090.ENSMUSP00000123998	0	0	0	0	0.063	0.292	0	0.410	0.574
Actb	Bcl7c	10090.ENSMUSP00000098066	10090.ENSMUSP00000145743	0	0	0	0	0	0.099	0.540	0.086	0.588
Actb	Dpf2	10090.ENSMUSP00000098066	10090.ENSMUSP00000113465	0	0	0	0	0.060	0.096	0.540	0.180	0.636
Actb	Chek1	10090.ENSMUSP00000098066	10090.ENSMUSP00000134388	0	0	0	0	0	0.065	0	0.679	0.687
Actb	Mbtd1	10090.ENSMUSP00000098066	10090.ENSMUSP00000103485	0	0	0	0	0	0.066	0.720	0	0.727
Actb	Dpf3	10090.ENSMUSP00000098066	10090.ENSMUSP00000136280	0	0	0	0	0.052	0.096	0.800	0.138	0.832
Actb	Ruvbl2	10090.ENSMUSP00000098066	10090.ENSMUSP00000147502	0	0	0	0	0.069	0.303	0.720	0.262	0.848
Actb	Arid1b	10090.ENSMUSP00000098066	10090.ENSMUSP00000111463	0	0	0	0	0.042	0.138	0.800	0.242	0.858
Actb	Kat5	10090.ENSMUSP00000098066	10090.ENSMUSP00000109271	0	0	0	0	0.055	0.326	0.720	0.338	0.866
Actb	Smarcc2	10090.ENSMUSP00000098066	10090.ENSMUSP00000100868	0	0	0	0	0	0.257	0.650	0.575	0.879
Actb	Pbrm1	10090.ENSMUSP00000098066	10090.ENSMUSP00000107727	0	0	0	0	0.058	0.295	0.800	0.264	0.889
Actb	Dmap1	10090.ENSMUSP00000098066	10090.ENSMUSP00000099748	0	0	0	0	0.073	0.407	0.720	0.485	0.910
Actb	Actl6b	10090.ENSMUSP00000098066	10090.ENSMUSP00000119356	0	0	0	0.873	0	0.326	0.800	0.421	0.915
Actb	Arid1a	10090.ENSMUSP00000098066	10090.ENSMUSP00000101517	0	0	0	0	0.073	0.363	0.800	0.598	0.946
Actb	Smarce1	10090.ENSMUSP00000098066	10090.ENSMUSP00000099422	0	0	0	0	0.050	0.291	0.800	0.652	0.946
Actl6a	Smarcb1	10090.ENSMUSP00000029214	10090.ENSMUSP00000000925	0	0	0	0	0.185	0.831	0.900	0.988	0.999
Actl6a	Brd8	10090.ENSMUSP00000029214	10090.ENSMUSP00000003876	0	0	0	0	0.141	0.249	0.720	0.704	0.939
Actl6a	Vps72	10090.ENSMUSP00000029214	10090.ENSMUSP00000009102	0	0	0	0	0.071	0.622	0.720	0.494	0.943
Actl6a	Yeats4	10090.ENSMUSP00000029214	10090.ENSMUSP00000020382	0	0	0	0	0.111	0.573	0.720	0.521	0.942
Actl6a	Smarcd2	10090.ENSMUSP00000029214	10090.ENSMUSP00000021052	0	0	0	0	0.132	0.558	0.800	0.820	0.984
Actl6a	Smarcd1	10090.ENSMUSP00000029214	10090.ENSMUSP00000023759	0	0	0	0	0.118	0.829	0.900	0.982	0.999
Actl6a	Phf10	10090.ENSMUSP00000029214	10090.ENSMUSP00000024657	0	0	0	0	0.132	0.766	0.900	0.997	0.999
Actl6a	Smarca2	10090.ENSMUSP00000029214	10090.ENSMUSP00000025862	0	0	0	0	0.048	0.823	0.900	0.893	0.997
Actl6a	Epc1	10090.ENSMUSP00000029214	10090.ENSMUSP00000028100	0	0	0	0	0.046	0.650	0.720	0.277	0.923
Actl6a	Mrgbp	10090.ENSMUSP00000029214	10090.ENSMUSP00000029085	0	0	0	0	0.053	0.523	0.720	0.655	0.950
Actl6a	Mbtd1	10090.ENSMUSP00000029214	10090.ENSMUSP00000103485	0	0	0	0	0.194	0.093	0.720	0.127	0.797
Actl6a	Morf4l2	10090.ENSMUSP00000029214	10090.ENSMUSP00000033797	0	0	0	0	0.198	0.550	0.720	0.263	0.915
Actl6a	Actl6b	10090.ENSMUSP00000029214	10090.ENSMUSP00000119356	0	0	0.049	0.982	0	0	0.900	0.222	0.919
Actl6a	Kat5	10090.ENSMUSP00000029214	10090.ENSMUSP00000109271	0	0	0	0	0.101	0.594	0.720	0.477	0.939
Actl6a	Bcl7b	10090.ENSMUSP00000029214	10090.ENSMUSP00000031692	0	0	0	0	0.079	0.202	0.900	0.280	0.940
Actl6a	Ing3	10090.ENSMUSP00000029214	10090.ENSMUSP00000031680	0	0	0	0	0.061	0.554	0.720	0.611	0.948
Actl6a	Morf4l1	10090.ENSMUSP00000029214	10090.ENSMUSP00000082346	0	0	0	0	0.187	0.550	0.720	0.553	0.948
Actl6a	Epc2	10090.ENSMUSP00000029214	10090.ENSMUSP00000089758	0	0	0	0	0.047	0.650	0.720	0.592	0.956
Actl6a	Dpf2	10090.ENSMUSP00000029214	10090.ENSMUSP00000113465	0	0	0	0	0.159	0.558	0.540	0.806	0.962
Actl6a	Arid1b	10090.ENSMUSP00000029214	10090.ENSMUSP00000111463	0	0	0	0	0	0.421	0.800	0.710	0.963
Actl6a	Meaf6	10090.ENSMUSP00000029214	10090.ENSMUSP00000053543	0	0	0	0	0.041	0.720	0.720	0.590	0.965
Actl6a	Bcl7c	10090.ENSMUSP00000029214	10090.ENSMUSP00000145743	0	0	0	0	0.087	0.492	0.900	0.364	0.966
Actl6a	Dpf3	10090.ENSMUSP00000029214	10090.ENSMUSP00000136280	0	0	0	0	0.127	0.519	0.800	0.703	0.971
Actl6a	Ep400	10090.ENSMUSP00000029214	10090.ENSMUSP00000049038	0	0	0	0	0.052	0.743	0.720	0.685	0.975
Actl6a	Dpf1	10090.ENSMUSP00000029214	10090.ENSMUSP00000054385	0	0	0	0	0.127	0.264	0.800	0.856	0.979
Actl6a	Bcl7a	10090.ENSMUSP00000029214	10090.ENSMUSP00000031391	0	0	0	0	0.074	0.364	0.900	0.770	0.984
Actl6a	Arid2	10090.ENSMUSP00000029214	10090.ENSMUSP00000093969	0	0	0	0	0.123	0.615	0.800	0.825	0.986
Actl6a	Smarcd3	10090.ENSMUSP00000029214	10090.ENSMUSP00000030791	0	0	0	0	0.118	0.558	0.900	0.691	0.986
Actl6a	Trrap	10090.ENSMUSP00000029214	10090.ENSMUSP00000098035	0	0	0	0	0.079	0.767	0.720	0.853	0.989
Actl6a	Brd7	10090.ENSMUSP00000029214	10090.ENSMUSP00000034085	0	0	0	0	0.134	0.756	0.800	0.821	0.991
