#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Adam10	Kl	10090.ENSMUSP00000063839	10090.ENSMUSP00000077899	0	0	0	0	0	0	0	0.541	0.541
Cyp24a1	Fgf23	10090.ENSMUSP00000047954	10090.ENSMUSP00000000186	0	0	0	0	0.073	0	0	0.827	0.832
Cyp24a1	Cyp2r1	10090.ENSMUSP00000047954	10090.ENSMUSP00000032908	0	0	0.212	0.610	0.056	0	0.900	0.385	0.948
Cyp24a1	Kl	10090.ENSMUSP00000047954	10090.ENSMUSP00000077899	0	0	0	0	0.085	0	0	0.722	0.735
Cyp24a1	Cyp27b1	10090.ENSMUSP00000047954	10090.ENSMUSP00000130005	0	0	0.138	0.801	0.104	0.093	0.900	0.216	0.935
Cyp27b1	Fgf23	10090.ENSMUSP00000130005	10090.ENSMUSP00000000186	0	0	0	0	0.059	0	0	0.853	0.856
Cyp27b1	Cyp2r1	10090.ENSMUSP00000130005	10090.ENSMUSP00000032908	0	0	0.226	0.605	0.069	0.604	0.900	0.391	0.979
Cyp27b1	Kl	10090.ENSMUSP00000130005	10090.ENSMUSP00000077899	0	0	0	0	0.053	0	0	0.754	0.758
Cyp2r1	Fgf23	10090.ENSMUSP00000032908	10090.ENSMUSP00000000186	0	0	0	0	0.054	0	0	0.643	0.647
Fgf23	Kl	10090.ENSMUSP00000000186	10090.ENSMUSP00000077899	0	0	0	0	0	0.834	0.800	0.998	0.999
