#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Actb	Akt1	10090.ENSMUSP00000098066	10090.ENSMUSP00000001780	0	0	0	0	0.079	0.079	0	0.886	0.895
Actb	Cd4	10090.ENSMUSP00000098066	10090.ENSMUSP00000024044	0	0	0	0	0	0.073	0	0.744	0.752
Actb	Hsp90ab1	10090.ENSMUSP00000098066	10090.ENSMUSP00000024739	0	0	0	0	0.792	0.210	0	0.816	0.967
Actb	Anxa5	10090.ENSMUSP00000098066	10090.ENSMUSP00000029266	0	0	0	0	0.046	0.063	0	0.884	0.887
Actb	Rheb	10090.ENSMUSP00000098066	10090.ENSMUSP00000030787	0	0	0	0	0.083	0.074	0	0.387	0.435
Actb	mt-Nd1	10090.ENSMUSP00000098066	10090.ENSMUSP00000080991	0	0	0	0	0.163	0	0	0.741	0.774
Actb	Hsp90aa1	10090.ENSMUSP00000098066	10090.ENSMUSP00000091921	0	0	0	0	0.154	0.094	0	0.827	0.855
Actb	Tsc2	10090.ENSMUSP00000098066	10090.ENSMUSP00000094986	0	0	0	0	0	0	0	0.512	0.512
Actb	Nr3c1	10090.ENSMUSP00000098066	10090.ENSMUSP00000111229	0	0	0	0	0	0.066	0	0.507	0.520
Actb	Lck	10090.ENSMUSP00000098066	10090.ENSMUSP00000125777	0	0	0	0	0.073	0.073	0	0.522	0.553
Actb	Mtor	10090.ENSMUSP00000098066	10090.ENSMUSP00000099510	0	0.026	0	0	0	0.041	0	0.757	0.757
Actb	Gm3839	10090.ENSMUSP00000098066	10090.ENSMUSP00000138396	0	0	0	0	0.203	0	0	0.854	0.879
Actb	Gm10358	10090.ENSMUSP00000098066	10090.ENSMUSP00000148326	0	0	0	0	0.203	0	0	0.854	0.879
Actb	Gapdh	10090.ENSMUSP00000098066	10090.ENSMUSP00000113942	0	0	0	0	0.405	0.225	0	0.935	0.967
Akt1	Il2rg	10090.ENSMUSP00000001780	10090.ENSMUSP00000033664	0	0	0	0	0	0.094	0	0.489	0.517
Akt1	Gm10358	10090.ENSMUSP00000001780	10090.ENSMUSP00000148326	0	0	0	0	0	0.047	0	0.704	0.706
Akt1	Gm3839	10090.ENSMUSP00000001780	10090.ENSMUSP00000138396	0	0	0	0	0	0.047	0	0.704	0.706
Akt1	Nr3c1	10090.ENSMUSP00000001780	10090.ENSMUSP00000111229	0	0	0	0	0.094	0.093	0	0.693	0.726
Akt1	Cd4	10090.ENSMUSP00000001780	10090.ENSMUSP00000024044	0	0	0	0	0	0.076	0	0.760	0.769
Akt1	Lck	10090.ENSMUSP00000001780	10090.ENSMUSP00000125777	0	0	0.156	0.565	0.069	0.076	0.500	0.554	0.808
Akt1	mt-Nd1	10090.ENSMUSP00000001780	10090.ENSMUSP00000080991	0	0	0	0	0	0.177	0	0.799	0.827
Akt1	Anxa5	10090.ENSMUSP00000001780	10090.ENSMUSP00000029266	0	0	0	0	0.057	0	0	0.828	0.830
Akt1	Gapdh	10090.ENSMUSP00000001780	10090.ENSMUSP00000113942	0	0	0	0	0.044	0.349	0	0.882	0.920
Akt1	Rheb	10090.ENSMUSP00000001780	10090.ENSMUSP00000030787	0	0	0	0	0.080	0.105	0.400	0.873	0.929
Akt1	Tsc2	10090.ENSMUSP00000001780	10090.ENSMUSP00000094986	0	0	0	0	0.050	0.102	0.900	0.880	0.988
Akt1	Mtor	10090.ENSMUSP00000001780	10090.ENSMUSP00000099510	0	0	0	0	0.052	0.819	0.900	0.928	0.998
Akt1	Hsp90aa1	10090.ENSMUSP00000001780	10090.ENSMUSP00000091921	0	0	0	0	0	0.637	0.900	0.996	0.999
Akt1	Hsp90ab1	10090.ENSMUSP00000001780	10090.ENSMUSP00000024739	0	0	0	0	0.050	0.476	0.900	0.996	0.999
Anxa5	Cd4	10090.ENSMUSP00000029266	10090.ENSMUSP00000024044	0	0	0	0	0	0	0	0.781	0.781
Anxa5	Hsp90ab1	10090.ENSMUSP00000029266	10090.ENSMUSP00000024739	0	0	0	0	0.067	0	0	0.613	0.624
Anxa5	Il2rg	10090.ENSMUSP00000029266	10090.ENSMUSP00000033664	0	0	0	0	0.103	0	0	0.398	0.437
Anxa5	Lck	10090.ENSMUSP00000029266	10090.ENSMUSP00000125777	0	0	0	0	0.055	0.042	0	0.609	0.615
Anxa5	Hsp90aa1	10090.ENSMUSP00000029266	10090.ENSMUSP00000091921	0	0	0	0	0.046	0	0	0.616	0.618
Anxa5	Mtor	10090.ENSMUSP00000029266	10090.ENSMUSP00000099510	0	0	0	0	0	0	0	0.643	0.643
Anxa5	Gm10358	10090.ENSMUSP00000029266	10090.ENSMUSP00000148326	0	0	0	0	0	0	0	0.714	0.714
Anxa5	Gm3839	10090.ENSMUSP00000029266	10090.ENSMUSP00000138396	0	0	0	0	0	0	0	0.714	0.714
