#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Ablim1	Ephb1	10090.ENSMUSP00000078336	10090.ENSMUSP00000035129	0	0	0	0	0.046	0	0	0.479	0.481
Ablim1	Rac2	10090.ENSMUSP00000078336	10090.ENSMUSP00000036384	0	0	0	0	0	0	0.900	0.129	0.909
Ablim1	Nexn	10090.ENSMUSP00000078336	10090.ENSMUSP00000037120	0	0	0	0	0	0	0	0.476	0.476
Ablim1	Rac1	10090.ENSMUSP00000078336	10090.ENSMUSP00000098058	0	0	0	0	0	0	0	0.458	0.458
Ablim1	Dpysl5	10090.ENSMUSP00000078336	10090.ENSMUSP00000110377	0	0	0	0	0.068	0	0	0.477	0.492
Ablim1	Syngap1	10090.ENSMUSP00000078336	10090.ENSMUSP00000141686	0	0	0	0	0	0.583	0	0.090	0.604
Actb	Ngfr	10090.ENSMUSP00000098066	10090.ENSMUSP00000000122	0	0	0	0	0	0	0	0.490	0.489
Actb	Flot1	10090.ENSMUSP00000098066	10090.ENSMUSP00000001569	0	0	0	0	0.043	0	0	0.485	0.486
Actb	Smo	10090.ENSMUSP00000098066	10090.ENSMUSP00000001812	0	0	0	0	0	0	0	0.456	0.456
Actb	Shh	10090.ENSMUSP00000098066	10090.ENSMUSP00000002708	0	0	0	0	0	0	0	0.567	0.567
Actb	Stk11	10090.ENSMUSP00000098066	10090.ENSMUSP00000003152	0	0	0	0	0.049	0.134	0	0.457	0.514
Actb	App	10090.ENSMUSP00000098066	10090.ENSMUSP00000005406	0	0	0	0	0.054	0.054	0	0.799	0.804
Actb	Igf1r	10090.ENSMUSP00000098066	10090.ENSMUSP00000005671	0	0	0	0	0.073	0.079	0	0.585	0.614
Actb	Epha2	10090.ENSMUSP00000098066	10090.ENSMUSP00000006614	0	0	0	0	0.073	0.073	0	0.396	0.436
Actb	Bmp7	10090.ENSMUSP00000098066	10090.ENSMUSP00000009143	0	0	0	0	0	0	0	0.431	0.431
Actb	Wnt3a	10090.ENSMUSP00000098066	10090.ENSMUSP00000010044	0	0	0	0	0	0	0	0.606	0.606
Actb	Pten	10090.ENSMUSP00000098066	10090.ENSMUSP00000013807	0	0	0	0	0.053	0.059	0	0.721	0.730
Actb	Limk1	10090.ENSMUSP00000098066	10090.ENSMUSP00000015137	0	0	0	0	0.091	0.073	0	0.376	0.429
Actb	Srf	10090.ENSMUSP00000098066	10090.ENSMUSP00000015749	0	0	0	0	0	0.083	0	0.419	0.445
Actb	Map1s	10090.ENSMUSP00000098066	10090.ENSMUSP00000019405	0	0	0	0	0	0.051	0	0.542	0.547
Actb	Evl	10090.ENSMUSP00000098066	10090.ENSMUSP00000021689	0	0	0	0	0.054	0.125	0.900	0.110	0.916
Actb	Edn1	10090.ENSMUSP00000098066	10090.ENSMUSP00000021796	0	0	0	0	0.043	0	0	0.517	0.518
Actb	Ptch1	10090.ENSMUSP00000098066	10090.ENSMUSP00000021921	0	0	0	0	0	0	0	0.495	0.495
Actb	Vcl	10090.ENSMUSP00000098066	10090.ENSMUSP00000022369	0	0	0	0	0.065	0.184	0.900	0.837	0.985
Actb	Nefl	10090.ENSMUSP00000098066	10090.ENSMUSP00000022639	0	0	0	0	0	0.104	0	0.416	0.454
Actb	Gdnf	10090.ENSMUSP00000098066	10090.ENSMUSP00000022744	0	0	0	0	0	0	0	0.534	0.534
Actb	Hsp90ab1	10090.ENSMUSP00000098066	10090.ENSMUSP00000024739	0	0	0	0	0.792	0.210	0	0.816	0.967
Actb	Smad4	10090.ENSMUSP00000098066	10090.ENSMUSP00000025393	0	0	0	0	0.045	0.063	0	0.607	0.617
Actb	Fgf8	10090.ENSMUSP00000098066	10090.ENSMUSP00000026241	0	0	0	0	0	0	0	0.556	0.556
Actb	Notch1	10090.ENSMUSP00000098066	10090.ENSMUSP00000028288	0	0	0	0	0.045	0.104	0	0.650	0.675
Actb	Ntrk1	10090.ENSMUSP00000098066	10090.ENSMUSP00000029712	0	0	0	0	0.073	0.073	0	0.425	0.463
Actb	Stmn1	10090.ENSMUSP00000098066	10090.ENSMUSP00000030636	0	0	0	0	0.111	0.098	0	0.377	0.457
