#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Anxa5	Il4	10090.ENSMUSP00000029266	10090.ENSMUSP00000000889	0	0	0	0	0	0	0	0.618	0.618
Anxa5	Il10	10090.ENSMUSP00000029266	10090.ENSMUSP00000016673	0	0	0	0	0	0	0	0.655	0.655
Anxa5	Cd40	10090.ENSMUSP00000029266	10090.ENSMUSP00000017799	0	0	0	0	0.053	0	0	0.711	0.714
Anxa5	Csf2	10090.ENSMUSP00000029266	10090.ENSMUSP00000019060	0	0	0	0	0	0	0	0.642	0.642
Anxa5	Cd4	10090.ENSMUSP00000029266	10090.ENSMUSP00000024044	0	0	0	0	0	0	0	0.781	0.781
Anxa5	Cd5	10090.ENSMUSP00000029266	10090.ENSMUSP00000025571	0	0	0	0	0	0	0	0.738	0.738
Anxa5	Cd1d1	10090.ENSMUSP00000029266	10090.ENSMUSP00000029717	0	0	0	0	0.052	0	0	0.398	0.404
Anxa5	Cd27	10090.ENSMUSP00000029266	10090.ENSMUSP00000032486	0	0	0	0	0	0	0	0.488	0.487
Anxa5	Klrb1c	10090.ENSMUSP00000029266	10090.ENSMUSP00000134504	0	0	0	0	0	0	0	0.604	0.604
Anxa5	Cd86	10090.ENSMUSP00000029266	10090.ENSMUSP00000087047	0	0	0	0	0.091	0	0	0.625	0.644
Anxa5	Foxp3	10090.ENSMUSP00000029266	10090.ENSMUSP00000111405	0	0	0	0	0	0	0	0.649	0.649
Anxa5	Cd19	10090.ENSMUSP00000029266	10090.ENSMUSP00000145803	0	0	0	0	0	0	0	0.718	0.718
Anxa5	Ifng	10090.ENSMUSP00000029266	10090.ENSMUSP00000063800	0	0	0	0	0.054	0	0	0.724	0.728
Cd19	Il4	10090.ENSMUSP00000145803	10090.ENSMUSP00000000889	0	0	0	0	0.127	0	0	0.822	0.838
Cd19	Ncr1	10090.ENSMUSP00000145803	10090.ENSMUSP00000006792	0	0	0	0	0.135	0	0	0.747	0.772
Cd19	Il10	10090.ENSMUSP00000145803	10090.ENSMUSP00000016673	0	0	0	0	0	0	0	0.812	0.812
Cd19	Cd40	10090.ENSMUSP00000145803	10090.ENSMUSP00000017799	0	0	0	0	0.159	0	0	0.827	0.848
Cd19	Csf2	10090.ENSMUSP00000145803	10090.ENSMUSP00000019060	0	0	0	0	0	0	0	0.757	0.757
Cd19	Cd4	10090.ENSMUSP00000145803	10090.ENSMUSP00000024044	0	0	0	0	0.119	0	0	0.932	0.938
Cd19	Cd5	10090.ENSMUSP00000145803	10090.ENSMUSP00000025571	0	0	0	0	0.189	0	0	0.931	0.942
Cd19	Cd1d1	10090.ENSMUSP00000145803	10090.ENSMUSP00000029717	0	0	0	0	0.076	0	0	0.749	0.758
Cd19	Cd27	10090.ENSMUSP00000145803	10090.ENSMUSP00000032486	0	0	0	0	0.171	0	0	0.894	0.908
Cd19	Ifng	10090.ENSMUSP00000145803	10090.ENSMUSP00000063800	0	0	0	0	0.057	0	0	0.860	0.862
Cd19	Cd86	10090.ENSMUSP00000145803	10090.ENSMUSP00000087047	0	0	0	0	0.053	0	0	0.840	0.842
Cd19	Mog	10090.ENSMUSP00000145803	10090.ENSMUSP00000099726	0	0	0	0	0.054	0	0	0.556	0.562
Cd19	Foxp3	10090.ENSMUSP00000145803	10090.ENSMUSP00000111405	0	0	0	0	0.043	0	0	0.854	0.854
Cd19	Klrb1c	10090.ENSMUSP00000145803	10090.ENSMUSP00000134504	0	0	0	0	0.101	0.066	0	0.859	0.871
Cd1d1	Il4	10090.ENSMUSP00000029717	10090.ENSMUSP00000000889	0	0	0	0	0.080	0	0	0.808	0.816
Cd1d1	Ncr1	10090.ENSMUSP00000029717	10090.ENSMUSP00000006792	0	0	0	0	0.053	0	0	0.522	0.527
Cd1d1	Il10	10090.ENSMUSP00000029717	10090.ENSMUSP00000016673	0	0	0	0	0.093	0	0	0.760	0.773
Cd1d1	Cd40	10090.ENSMUSP00000029717	10090.ENSMUSP00000017799	0	0	0	0	0	0	0	0.837	0.837
Cd1d1	Csf2	10090.ENSMUSP00000029717	10090.ENSMUSP00000019060	0	0	0	0	0.077	0	0	0.707	0.717
Cd1d1	Cd4	10090.ENSMUSP00000029717	10090.ENSMUSP00000024044	0	0	0	0	0	0	0	0.853	0.853
Cd1d1	Cd5	10090.ENSMUSP00000029717	10090.ENSMUSP00000025571	0	0	0	0	0.063	0	0	0.804	0.809
Cd1d1	Cd27	10090.ENSMUSP00000029717	10090.ENSMUSP00000032486	0	0	0	0	0.059	0	0	0.607	0.614
Cd1d1	Foxp3	10090.ENSMUSP00000029717	10090.ENSMUSP00000111405	0	0	0	0	0.084	0	0	0.712	0.725
Cd1d1	Cd86	10090.ENSMUSP00000029717	10090.ENSMUSP00000087047	0	0	0	0	0.096	0	0	0.775	0.788
Cd1d1	Klrb1c	10090.ENSMUSP00000029717	10090.ENSMUSP00000134504	0	0	0	0	0.061	0	0	0.821	0.824
Cd1d1	Ifng	10090.ENSMUSP00000029717	10090.ENSMUSP00000063800	0	0	0	0	0.123	0	0	0.811	0.827
Cd27	Il4	10090.ENSMUSP00000032486	10090.ENSMUSP00000000889	0	0	0	0	0.045	0	0	0.676	0.677
Cd27	Ncr1	10090.ENSMUSP00000032486	10090.ENSMUSP00000006792	0	0	0	0	0.106	0	0	0.810	0.822
Cd27	Il10	10090.ENSMUSP00000032486	10090.ENSMUSP00000016673	0	0	0	0	0	0	0	0.715	0.715
Cd27	Cd40	10090.ENSMUSP00000032486	10090.ENSMUSP00000017799	0	0	0	0	0.053	0	0	0.960	0.960
Cd27	Csf2	10090.ENSMUSP00000032486	10090.ENSMUSP00000019060	0	0	0	0	0	0	0	0.601	0.601
Cd27	Cd4	10090.ENSMUSP00000032486	10090.ENSMUSP00000024044	0	0	0	0	0.133	0	0	0.870	0.883
Cd27	Cd5	10090.ENSMUSP00000032486	10090.ENSMUSP00000025571	0	0	0	0	0.370	0	0	0.833	0.890
Cd27	Foxp3	10090.ENSMUSP00000032486	10090.ENSMUSP00000111405	0	0	0	0	0.061	0	0	0.748	0.754
Cd27	Klrb1c	10090.ENSMUSP00000032486	10090.ENSMUSP00000134504	0	0	0	0	0.104	0	0	0.741	0.758
Cd27	Ifng	10090.ENSMUSP00000032486	10090.ENSMUSP00000063800	0	0	0	0	0.101	0	0	0.810	0.822
Cd27	Cd86	10090.ENSMUSP00000032486	10090.ENSMUSP00000087047	0	0	0	0	0.088	0	0	0.992	0.992
Cd4	Il4	10090.ENSMUSP00000024044	10090.ENSMUSP00000000889	0	0	0	0	0	0	0	0.943	0.943
Cd4	Ncr1	10090.ENSMUSP00000024044	10090.ENSMUSP00000006792	0	0	0	0	0	0.104	0	0.770	0.785
Cd4	Il10	10090.ENSMUSP00000024044	10090.ENSMUSP00000016673	0	0	0	0	0.089	0	0	0.959	0.961
Cd4	Cd40	10090.ENSMUSP00000024044	10090.ENSMUSP00000017799	0	0	0	0	0	0	0	0.890	0.890
Cd4	Csf2	10090.ENSMUSP00000024044	10090.ENSMUSP00000019060	0	0	0	0	0	0.104	0	0.878	0.886
Cd4	Mog	10090.ENSMUSP00000024044	10090.ENSMUSP00000099726	0	0	0	0	0.067	0	0	0.808	0.813
Cd4	Klrb1c	10090.ENSMUSP00000024044	10090.ENSMUSP00000134504	0	0	0	0	0.046	0.091	0	0.879	0.885
Cd4	Cd5	10090.ENSMUSP00000024044	10090.ENSMUSP00000025571	0	0	0	0	0.174	0.264	0	0.856	0.905
Cd4	Cd86	10090.ENSMUSP00000024044	10090.ENSMUSP00000087047	0	0	0	0	0.105	0	0	0.931	0.936
Cd4	Foxp3	10090.ENSMUSP00000024044	10090.ENSMUSP00000111405	0	0	0	0	0.042	0	0	0.957	0.957
Cd4	Ifng	10090.ENSMUSP00000024044	10090.ENSMUSP00000063800	0	0	0	0	0.084	0	0	0.967	0.968
Cd40	Il4	10090.ENSMUSP00000017799	10090.ENSMUSP00000000889	0	0	0	0	0.056	0	0	0.903	0.904
Cd40	Ncr1	10090.ENSMUSP00000017799	10090.ENSMUSP00000006792	0	0	0	0	0.059	0	0	0.454	0.464
Cd40	Il10	10090.ENSMUSP00000017799	10090.ENSMUSP00000016673	0	0	0	0	0.053	0	0	0.864	0.865
Cd40	Mog	10090.ENSMUSP00000017799	10090.ENSMUSP00000099726	0	0	0	0	0	0	0	0.510	0.510
Cd40	Klrb1c	10090.ENSMUSP00000017799	10090.ENSMUSP00000134504	0	0	0	0	0	0	0	0.608	0.608
Cd40	Cd5	10090.ENSMUSP00000017799	10090.ENSMUSP00000025571	0	0	0	0	0.086	0	0	0.675	0.690
Cd40	Foxp3	10090.ENSMUSP00000017799	10090.ENSMUSP00000111405	0	0	0	0	0	0	0	0.785	0.785
Cd40	Csf2	10090.ENSMUSP00000017799	10090.ENSMUSP00000019060	0	0	0	0	0.114	0	0	0.807	0.822
Cd40	Ifng	10090.ENSMUSP00000017799	10090.ENSMUSP00000063800	0	0	0	0	0.079	0	0	0.908	0.911
Cd40	Cd86	10090.ENSMUSP00000017799	10090.ENSMUSP00000087047	0	0	0	0	0.334	0	0	0.970	0.979
Cd5	Il4	10090.ENSMUSP00000025571	10090.ENSMUSP00000000889	0	0	0	0	0.047	0	0	0.655	0.657
Cd5	Ncr1	10090.ENSMUSP00000025571	10090.ENSMUSP00000006792	0	0	0	0	0.135	0	0	0.587	0.628
Cd5	Il10	10090.ENSMUSP00000025571	10090.ENSMUSP00000016673	0	0	0	0	0.104	0	0	0.709	0.728
Cd5	Csf2	10090.ENSMUSP00000025571	10090.ENSMUSP00000019060	0	0	0	0	0	0	0	0.558	0.558
Cd5	Foxp3	10090.ENSMUSP00000025571	10090.ENSMUSP00000111405	0	0	0	0	0.089	0	0	0.702	0.717
Cd5	Klrb1c	10090.ENSMUSP00000025571	10090.ENSMUSP00000134504	0	0	0	0	0.084	0.046	0	0.710	0.724
Cd5	Ifng	10090.ENSMUSP00000025571	10090.ENSMUSP00000063800	0	0	0	0	0.143	0	0	0.694	0.727
Cd5	Cd86	10090.ENSMUSP00000025571	10090.ENSMUSP00000087047	0	0	0.244	0	0.102	0	0	0.684	0.767
Cd86	Il4	10090.ENSMUSP00000087047	10090.ENSMUSP00000000889	0	0	0	0	0.042	0	0	0.869	0.869
Cd86	Ncr1	10090.ENSMUSP00000087047	10090.ENSMUSP00000006792	0	0	0	0	0.047	0	0	0.515	0.518
Cd86	Il10	10090.ENSMUSP00000087047	10090.ENSMUSP00000016673	0	0	0	0	0.220	0	0	0.903	0.921
Cd86	Csf2	10090.ENSMUSP00000087047	10090.ENSMUSP00000019060	0	0	0	0	0.061	0	0	0.854	0.857
Cd86	Ifng	10090.ENSMUSP00000087047	10090.ENSMUSP00000063800	0	0	0	0	0.230	0	0	0.899	0.919
Cd86	Mog	10090.ENSMUSP00000087047	10090.ENSMUSP00000099726	0	0	0	0	0.048	0	0	0.554	0.558
Cd86	Klrb1c	10090.ENSMUSP00000087047	10090.ENSMUSP00000134504	0	0	0	0	0.086	0	0	0.691	0.705
Cd86	Foxp3	10090.ENSMUSP00000087047	10090.ENSMUSP00000111405	0	0	0	0	0.047	0	0	0.896	0.897
Csf2	Il4	10090.ENSMUSP00000019060	10090.ENSMUSP00000000889	0	0	0	0	0.179	0	0	0.922	0.934
Csf2	Ncr1	10090.ENSMUSP00000019060	10090.ENSMUSP00000006792	0	0	0	0	0.045	0	0	0.607	0.608
Csf2	Il10	10090.ENSMUSP00000019060	10090.ENSMUSP00000016673	0	0	0	0	0.103	0	0	0.897	0.903
Csf2	Mog	10090.ENSMUSP00000019060	10090.ENSMUSP00000099726	0	0	0	0	0.091	0	0	0.609	0.630
Csf2	Klrb1c	10090.ENSMUSP00000019060	10090.ENSMUSP00000134504	0	0	0	0	0.052	0	0	0.652	0.655
Csf2	Foxp3	10090.ENSMUSP00000019060	10090.ENSMUSP00000111405	0	0	0	0	0	0	0	0.769	0.769
Csf2	Ifng	10090.ENSMUSP00000019060	10090.ENSMUSP00000063800	0	0	0	0	0.191	0	0	0.985	0.987
Foxp3	Il4	10090.ENSMUSP00000111405	10090.ENSMUSP00000000889	0	0	0	0	0.116	0	0	0.890	0.899
Foxp3	Ncr1	10090.ENSMUSP00000111405	10090.ENSMUSP00000006792	0	0	0	0	0.043	0	0	0.675	0.675
Foxp3	Il10	10090.ENSMUSP00000111405	10090.ENSMUSP00000016673	0	0	0	0	0.160	0	0	0.919	0.929
Foxp3	Ifng	10090.ENSMUSP00000111405	10090.ENSMUSP00000063800	0	0	0	0	0.112	0.293	0	0.920	0.945
Foxp3	Mog	10090.ENSMUSP00000111405	10090.ENSMUSP00000099726	0	0	0	0	0	0	0	0.724	0.724
Foxp3	Klrb1c	10090.ENSMUSP00000111405	10090.ENSMUSP00000134504	0	0	0	0	0	0	0	0.786	0.786
Ifng	Il4	10090.ENSMUSP00000063800	10090.ENSMUSP00000000889	0	0	0	0	0.156	0	0	0.965	0.969
Ifng	Ncr1	10090.ENSMUSP00000063800	10090.ENSMUSP00000006792	0	0	0	0	0.314	0	0	0.802	0.858
Ifng	Il10	10090.ENSMUSP00000063800	10090.ENSMUSP00000016673	0	0	0	0	0.587	0	0	0.967	0.986
Ifng	Mog	10090.ENSMUSP00000063800	10090.ENSMUSP00000099726	0	0	0	0	0	0.065	0	0.779	0.784
Ifng	Klrb1c	10090.ENSMUSP00000063800	10090.ENSMUSP00000134504	0	0	0	0	0.138	0	0	0.848	0.863
Il10	Il4	10090.ENSMUSP00000016673	10090.ENSMUSP00000000889	0	0	0	0	0.082	0	0	0.960	0.962
Il10	Ncr1	10090.ENSMUSP00000016673	10090.ENSMUSP00000006792	0	0	0	0	0	0	0	0.607	0.607
Il10	Mog	10090.ENSMUSP00000016673	10090.ENSMUSP00000099726	0	0	0	0	0	0	0	0.709	0.709
Il10	Klrb1c	10090.ENSMUSP00000016673	10090.ENSMUSP00000134504	0	0	0	0	0.101	0	0	0.692	0.711
Il4	Ncr1	10090.ENSMUSP00000000889	10090.ENSMUSP00000006792	0	0	0	0	0.051	0	0	0.513	0.518
Il4	Mog	10090.ENSMUSP00000000889	10090.ENSMUSP00000099726	0	0	0	0	0.086	0.053	0	0.666	0.686
Il4	Klrb1c	10090.ENSMUSP00000000889	10090.ENSMUSP00000134504	0	0	0	0	0.058	0	0	0.735	0.739
Klrb1c	Ncr1	10090.ENSMUSP00000134504	10090.ENSMUSP00000006792	0	0	0	0	0.386	0	0	0.842	0.898
