#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Actb	Tbx21	10090.ENSMUSP00000098066	10090.ENSMUSP00000001484	0	0	0	0	0	0	0	0.512	0.512
Actb	Il10	10090.ENSMUSP00000098066	10090.ENSMUSP00000016673	0	0	0	0	0	0	0	0.748	0.748
Actb	Cd4	10090.ENSMUSP00000098066	10090.ENSMUSP00000024044	0	0	0	0	0	0.073	0	0.744	0.752
Actb	Smad4	10090.ENSMUSP00000098066	10090.ENSMUSP00000025393	0	0	0	0	0.045	0.063	0	0.607	0.617
Actb	Il6	10090.ENSMUSP00000098066	10090.ENSMUSP00000026845	0	0	0	0	0	0	0	0.855	0.855
Actb	Il17a	10090.ENSMUSP00000098066	10090.ENSMUSP00000027061	0	0	0	0	0	0	0	0.690	0.690
Actb	Ifng	10090.ENSMUSP00000098066	10090.ENSMUSP00000063800	0	0	0	0	0	0	0	0.790	0.790
Actb	Il22	10090.ENSMUSP00000098066	10090.ENSMUSP00000094449	0	0	0	0	0	0	0	0.465	0.465
Actb	Jak1	10090.ENSMUSP00000098066	10090.ENSMUSP00000099842	0	0	0	0	0.084	0.073	0	0.527	0.564
Actb	Foxp3	10090.ENSMUSP00000098066	10090.ENSMUSP00000111405	0	0	0	0	0	0	0	0.648	0.648
Actb	Stat5a	10090.ENSMUSP00000098066	10090.ENSMUSP00000102980	0	0	0	0	0	0	0	0.655	0.655
Actb	Stat1	10090.ENSMUSP00000098066	10090.ENSMUSP00000141132	0	0	0	0	0	0	0	0.706	0.706
Actb	Stat3	10090.ENSMUSP00000098066	10090.ENSMUSP00000120152	0	0	0	0	0.084	0	0	0.822	0.830
Cd4	Tbx21	10090.ENSMUSP00000024044	10090.ENSMUSP00000001484	0	0	0	0	0.042	0	0	0.900	0.900
Cd4	Il10	10090.ENSMUSP00000024044	10090.ENSMUSP00000016673	0	0	0	0	0.089	0	0	0.959	0.961
Cd4	Smad4	10090.ENSMUSP00000024044	10090.ENSMUSP00000025393	0	0	0	0	0	0	0	0.440	0.440
