#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
1700013H16Rik	Slx	10090.ENSMUSP00000063474	10090.ENSMUSP00000094676	0	0	0	0	0	0	0	0.744	0.744
1700024P04Rik	Supt6	10090.ENSMUSP00000053046	10090.ENSMUSP00000002121	0	0	0	0	0	0.305	0	0.271	0.471
1700024P04Rik	Macroh2a1	10090.ENSMUSP00000053046	10090.ENSMUSP00000016081	0	0	0	0	0.216	0.283	0.500	0.146	0.728
1700024P04Rik	H2bc4	10090.ENSMUSP00000053046	10090.ENSMUSP00000018246	0	0	0.102	0.875	0	0	0.400	0	0.438
1700024P04Rik	Hdac2	10090.ENSMUSP00000053046	10090.ENSMUSP00000019911	0	0	0	0	0	0.161	0.650	0.270	0.767
1700024P04Rik	Sycp3	10090.ENSMUSP00000053046	10090.ENSMUSP00000020252	0	0	0	0	0	0.099	0.500	0.082	0.550
1700024P04Rik	Macroh2a2	10090.ENSMUSP00000053046	10090.ENSMUSP00000020283	0	0	0	0	0.216	0.283	0.500	0.165	0.734
1700024P04Rik	Ruvbl1	10090.ENSMUSP00000053046	10090.ENSMUSP00000032165	0	0	0	0	0	0.406	0	0.338	0.590
1700024P04Rik	Rbbp7	10090.ENSMUSP00000053046	10090.ENSMUSP00000033720	0	0	0	0	0	0.264	0.500	0.094	0.637
1700024P04Rik	Hils1	10090.ENSMUSP00000053046	10090.ENSMUSP00000039866	0	0	0	0	0.313	0.140	0	0.336	0.574
1700024P04Rik	Supt16	10090.ENSMUSP00000053046	10090.ENSMUSP00000042283	0	0	0	0	0.055	0.400	0	0.249	0.537
1700024P04Rik	Smarca5	10090.ENSMUSP00000053046	10090.ENSMUSP00000044361	0	0	0	0	0.056	0.294	0.400	0.270	0.669
1700024P04Rik	H1f2	10090.ENSMUSP00000053046	10090.ENSMUSP00000045816	0	0	0	0	0.100	0.140	0	0.287	0.400
1700024P04Rik	Actr5	10090.ENSMUSP00000053046	10090.ENSMUSP00000046658	0	0	0	0	0	0.379	0	0.125	0.433
1700024P04Rik	Sirt6	10090.ENSMUSP00000053046	10090.ENSMUSP00000048971	0	0	0	0	0	0.107	0.500	0.130	0.578
1700024P04Rik	Setd2	10090.ENSMUSP00000053046	10090.ENSMUSP00000116313	0	0	0	0	0	0.299	0	0.195	0.411
1700024P04Rik	Ruvbl2	10090.ENSMUSP00000053046	10090.ENSMUSP00000147502	0	0	0	0	0	0.400	0	0.067	0.416
1700024P04Rik	Kat2a	10090.ENSMUSP00000053046	10090.ENSMUSP00000099407	0	0	0	0	0	0.205	0	0.311	0.428
1700024P04Rik	Actb	10090.ENSMUSP00000053046	10090.ENSMUSP00000098066	0	0	0	0	0	0.126	0	0.378	0.434
1700024P04Rik	H2bc3	10090.ENSMUSP00000053046	10090.ENSMUSP00000097294	0	0	0.101	0.878	0	0	0.400	0	0.437
1700024P04Rik	H2bc15	10090.ENSMUSP00000053046	10090.ENSMUSP00000089301	0	0	0.101	0.878	0	0	0.400	0	0.437
1700024P04Rik	H2bc14	10090.ENSMUSP00000053046	10090.ENSMUSP00000153457	0	0	0.102	0.875	0	0	0.400	0	0.438
1700024P04Rik	Hist1h2bp	10090.ENSMUSP00000053046	10090.ENSMUSP00000106099	0	0	0.103	0.874	0	0	0.400	0	0.438
1700024P04Rik	H2bc18	10090.ENSMUSP00000053046	10090.ENSMUSP00000135427	0	0	0.103	0.874	0	0	0.400	0	0.438
1700024P04Rik	H2bc12	10090.ENSMUSP00000053046	10090.ENSMUSP00000106085	0	0	0.102	0.876	0	0	0.400	0	0.438
1700024P04Rik	H2bc9	10090.ENSMUSP00000053046	10090.ENSMUSP00000153277	0	0	0.102	0.875	0	0	0.400	0	0.438
1700024P04Rik	H2bu2	10090.ENSMUSP00000053046	10090.ENSMUSP00000076397	0	0	0.103	0.873	0	0	0.400	0	0.439
1700024P04Rik	H2bc21	10090.ENSMUSP00000053046	10090.ENSMUSP00000088287	0	0	0.105	0.870	0	0	0.400	0	0.440
1700024P04Rik	H2bc1	10090.ENSMUSP00000053046	10090.ENSMUSP00000056604	0	0	0.103	0.874	0	0	0.400	0.047	0.442
1700024P04Rik	H4c9	10090.ENSMUSP00000053046	10090.ENSMUSP00000100042	0	0	0	0	0.263	0.236	0	0.091	0.443
1700024P04Rik	H4c8	10090.ENSMUSP00000053046	10090.ENSMUSP00000100037	0	0	0	0	0.263	0.236	0	0.091	0.443
1700024P04Rik	Hist1h4m	10090.ENSMUSP00000053046	10090.ENSMUSP00000100546	0	0	0	0	0.263	0.236	0	0.091	0.443
1700024P04Rik	Hist1h4n	10090.ENSMUSP00000053046	10090.ENSMUSP00000100044	0	0	0	0	0.263	0.236	0	0.091	0.443
1700024P04Rik	H4c1	10090.ENSMUSP00000053046	10090.ENSMUSP00000100029	0	0	0	0	0.263	0.242	0	0.091	0.447
1700024P04Rik	H4c6	10090.ENSMUSP00000053046	10090.ENSMUSP00000100036	0	0	0	0	0.263	0.242	0	0.091	0.447
1700024P04Rik	H4c12	10090.ENSMUSP00000053046	10090.ENSMUSP00000100048	0	0	0	0	0.263	0.242	0	0.091	0.447
1700024P04Rik	H4c3	10090.ENSMUSP00000053046	10090.ENSMUSP00000100032	0	0	0	0	0.263	0.242	0	0.091	0.447
1700024P04Rik	H4c4	10090.ENSMUSP00000053046	10090.ENSMUSP00000100033	0	0	0	0	0.263	0.242	0	0.091	0.447
1700024P04Rik	H4f16	10090.ENSMUSP00000053046	10090.ENSMUSP00000136357	0	0	0	0	0.263	0.242	0	0.091	0.447
1700024P04Rik	H4c14	10090.ENSMUSP00000053046	10090.ENSMUSP00000129930	0	0	0	0	0.263	0.242	0	0.091	0.447
1700024P04Rik	H4c2	10090.ENSMUSP00000053046	10090.ENSMUSP00000100030	0	0	0	0	0.263	0.236	0	0.108	0.453
1700024P04Rik	Baz2a	10090.ENSMUSP00000053046	10090.ENSMUSP00000151961	0	0	0	0	0	0.136	0.400	0	0.459
1700024P04Rik	Kdm6b	10090.ENSMUSP00000053046	10090.ENSMUSP00000091620	0	0	0	0	0	0.410	0	0.143	0.472
1700024P04Rik	H2al2a	10090.ENSMUSP00000053046	10090.ENSMUSP00000100618	0	0	0	0	0.287	0.167	0	0.363	0.589
1700024P04Rik	H1f0	10090.ENSMUSP00000053046	10090.ENSMUSP00000137309	0	0	0	0	0.104	0.268	0	0.477	0.627
1700024P04Rik	Rbbp4	10090.ENSMUSP00000053046	10090.ENSMUSP00000099658	0	0	0	0	0	0.264	0.500	0.128	0.651
1700024P04Rik	H2aw	10090.ENSMUSP00000053046	10090.ENSMUSP00000104445	0	0	0	0	0.216	0.167	0.500	0.068	0.654
1700024P04Rik	H2ac18	10090.ENSMUSP00000053046	10090.ENSMUSP00000077814	0	0	0	0	0.216	0.167	0.500	0.102	0.667
1700024P04Rik	Ezh2	10090.ENSMUSP00000053046	10090.ENSMUSP00000080419	0	0	0	0	0.065	0.266	0.500	0.243	0.705
1700024P04Rik	Kdm6a	10090.ENSMUSP00000053046	10090.ENSMUSP00000061539	0	0	0	0	0	0.410	0.500	0.191	0.740
1700024P04Rik	Hdac4	10090.ENSMUSP00000053046	10090.ENSMUSP00000095249	0	0	0	0	0	0.176	0.650	0.177	0.741
1700024P04Rik	Hdac1	10090.ENSMUSP00000053046	10090.ENSMUSP00000099657	0	0	0	0	0	0.161	0.650	0.295	0.774
1700024P04Rik	H4c11	10090.ENSMUSP00000053046	10090.ENSMUSP00000085006	0	0	0	0	0.263	0.242	0.400	0.709	0.889
1700024P04Rik	H3c8	10090.ENSMUSP00000053046	10090.ENSMUSP00000079670	0	0	0	0	0.165	0.231	0.400	0.797	0.911
1700024P04Rik	H3f3b	10090.ENSMUSP00000053046	10090.ENSMUSP00000102062	0	0	0	0	0.165	0.231	0.400	0.798	0.912
Actb	Sox9	10090.ENSMUSP00000098066	10090.ENSMUSP00000000579	0	0	0	0	0	0	0	0.627	0.627
Actb	Kat2b	10090.ENSMUSP00000098066	10090.ENSMUSP00000000724	0	0.029	0	0	0	0.072	0	0.582	0.596
Actb	Smarcb1	10090.ENSMUSP00000098066	10090.ENSMUSP00000000925	0	0	0	0	0.083	0.298	0.650	0.585	0.894
Actb	Brd4	10090.ENSMUSP00000098066	10090.ENSMUSP00000003726	0	0	0	0	0.107	0.140	0	0.455	0.545
Actb	Vps72	10090.ENSMUSP00000098066	10090.ENSMUSP00000009102	0	0	0	0	0	0.263	0.720	0.302	0.843
Actb	H2bc4	10090.ENSMUSP00000098066	10090.ENSMUSP00000018246	0	0	0	0	0.047	0.126	0	0.391	0.449
Actb	Hdac2	10090.ENSMUSP00000098066	10090.ENSMUSP00000019911	0	0	0	0	0.068	0.096	0	0.605	0.638
Actb	Yeats4	10090.ENSMUSP00000098066	10090.ENSMUSP00000020382	0	0	0	0	0	0.253	0.720	0.150	0.806
Actb	Smarcd2	10090.ENSMUSP00000098066	10090.ENSMUSP00000021052	0	0	0	0	0.078	0.257	0.800	0.157	0.869
Actb	Yy1	10090.ENSMUSP00000098066	10090.ENSMUSP00000021692	0	0	0	0	0	0.077	0	0.457	0.477
Actb	Myc	10090.ENSMUSP00000098066	10090.ENSMUSP00000022971	0	0	0	0	0	0.086	0	0.824	0.832
