#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Actb	Kat2b	10090.ENSMUSP00000098066	10090.ENSMUSP00000000724	0	0.029	0	0	0	0.072	0	0.582	0.596
Actb	Pten	10090.ENSMUSP00000098066	10090.ENSMUSP00000013807	0	0	0	0	0.053	0.059	0	0.721	0.730
Actb	Plk1	10090.ENSMUSP00000098066	10090.ENSMUSP00000033154	0	0	0	0	0.058	0	0	0.538	0.547
Actb	Cdkn1b	10090.ENSMUSP00000098066	10090.ENSMUSP00000065832	0	0	0	0	0.064	0	0	0.647	0.655
Actb	Cdkn2b	10090.ENSMUSP00000098066	10090.ENSMUSP00000095595	0	0	0	0	0	0.093	0	0.391	0.424
Actb	Lats1	10090.ENSMUSP00000098066	10090.ENSMUSP00000132078	0	0	0	0	0	0	0	0.452	0.452
Actb	Cdkn2a	10090.ENSMUSP00000098066	10090.ENSMUSP00000102748	0	0	0	0	0	0.093	0	0.643	0.663
Actb	Cdkn1a	10090.ENSMUSP00000098066	10090.ENSMUSP00000156559	0	0	0	0	0.064	0	0	0.698	0.705
Actb	Casp3	10090.ENSMUSP00000098066	10090.ENSMUSP00000147767	0	0	0	0	0	0.072	0.900	0.903	0.990
Apc	Pten	10090.ENSMUSP00000078337	10090.ENSMUSP00000013807	0	0	0	0	0.120	0	0	0.387	0.437
Apc	Casp3	10090.ENSMUSP00000078337	10090.ENSMUSP00000147767	0	0	0	0	0	0	0.750	0.266	0.808
Casp3	Pten	10090.ENSMUSP00000147767	10090.ENSMUSP00000013807	0	0	0	0	0	0	0	0.763	0.763
Casp3	Plk1	10090.ENSMUSP00000147767	10090.ENSMUSP00000033154	0	0	0	0	0.079	0.140	0	0.538	0.602
Casp3	Cdkn1b	10090.ENSMUSP00000147767	10090.ENSMUSP00000065832	0	0	0	0	0.065	0.315	0	0.665	0.767
Casp3	Cdkn2b	10090.ENSMUSP00000147767	10090.ENSMUSP00000095595	0	0	0	0	0	0.092	0	0.385	0.418
Casp3	Cdkn2a	10090.ENSMUSP00000147767	10090.ENSMUSP00000102748	0	0	0	0	0.044	0.092	0	0.604	0.626
Casp3	Cdkn1c	10090.ENSMUSP00000147767	10090.ENSMUSP00000128828	0	0	0	0	0.048	0.315	0	0.378	0.559
Casp3	Cdkn1a	10090.ENSMUSP00000147767	10090.ENSMUSP00000156559	0	0	0	0	0.048	0.137	0.900	0.814	0.982
Cdk5rap1	Cdk5rap3	10090.ENSMUSP00000105353	10090.ENSMUSP00000099441	0	0	0	0	0.061	0	0	0.504	0.515
Cdk5rap2	Plk1	10090.ENSMUSP00000119891	10090.ENSMUSP00000033154	0	0	0	0	0.100	0.198	0.800	0.343	0.892
Cdkn1a	Tfap4	10090.ENSMUSP00000156559	10090.ENSMUSP00000005862	0	0	0	0	0	0	0.900	0.194	0.916
Cdkn1a	Pten	10090.ENSMUSP00000156559	10090.ENSMUSP00000013807	0	0	0	0	0	0	0	0.721	0.721
Cdkn1a	Tnfaip3	10090.ENSMUSP00000156559	10090.ENSMUSP00000019997	0	0	0	0	0.158	0	0	0.330	0.412
Cdkn1a	Lats2	10090.ENSMUSP00000156559	10090.ENSMUSP00000022531	0	0	0	0	0	0.067	0	0.442	0.457
Cdkn1a	Plk1	10090.ENSMUSP00000156559	10090.ENSMUSP00000033154	0	0	0	0	0.047	0	0	0.684	0.686
Cdkn1a	Cdkn1b	10090.ENSMUSP00000156559	10090.ENSMUSP00000065832	0	0	0	0.725	0	0	0.900	0.687	0.967
Cdkn1a	Cdkn2c	10090.ENSMUSP00000156559	10090.ENSMUSP00000095534	0	0	0	0	0	0	0	0.820	0.820
Cdkn1a	Cdkn2b	10090.ENSMUSP00000156559	10090.ENSMUSP00000095595	0	0	0	0	0.094	0.060	0.500	0.802	0.904
Cdkn1a	Cdkn2a	10090.ENSMUSP00000156559	10090.ENSMUSP00000102748	0	0	0	0	0.071	0	0	0.825	0.830
Cdkn1a	Cdkn1c	10090.ENSMUSP00000156559	10090.ENSMUSP00000128828	0	0	0	0.696	0	0	0.400	0.657	0.785
Cdkn1a	Cdkn2d	10090.ENSMUSP00000156559	10090.ENSMUSP00000150701	0	0	0	0	0	0	0	0.720	0.720
Cdkn1b	Pten	10090.ENSMUSP00000065832	10090.ENSMUSP00000013807	0	0	0	0	0.045	0	0	0.736	0.737
Cdkn1b	Lats2	10090.ENSMUSP00000065832	10090.ENSMUSP00000022531	0	0	0	0	0.047	0.079	0	0.393	0.420
