#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Ada	P2rx7	10090.ENSMUSP00000017841	10090.ENSMUSP00000098303	0	0	0	0	0	0	0	0.410	0.410
Ada	Il6	10090.ENSMUSP00000017841	10090.ENSMUSP00000026845	0	0	0	0	0	0	0	0.412	0.412
Ada	Arg2	10090.ENSMUSP00000017841	10090.ENSMUSP00000021550	0	0	0	0	0	0	0	0.427	0.427
Ada	Ifng	10090.ENSMUSP00000017841	10090.ENSMUSP00000063800	0	0	0	0	0.086	0	0	0.435	0.462
Ada	Cd4	10090.ENSMUSP00000017841	10090.ENSMUSP00000024044	0	0	0	0	0.047	0	0	0.462	0.465
Ada	Hprt	10090.ENSMUSP00000017841	10090.ENSMUSP00000026723	0	0	0	0	0	0	0	0.544	0.544
Ada	Il2	10090.ENSMUSP00000017841	10090.ENSMUSP00000029275	0	0	0	0	0.055	0.141	0	0.504	0.562
Adam17	Tgfb1	10090.ENSMUSP00000099087	10090.ENSMUSP00000002678	0	0	0	0	0.046	0	0	0.413	0.416
Adam17	Ctss	10090.ENSMUSP00000099087	10090.ENSMUSP00000015667	0	0	0	0	0.070	0.053	0	0.451	0.475
Adam17	Arg1	10090.ENSMUSP00000099087	10090.ENSMUSP00000020161	0	0	0	0	0	0	0	0.653	0.653
Adam17	Havcr2	10090.ENSMUSP00000099087	10090.ENSMUSP00000020668	0	0	0	0	0	0	0	0.562	0.562
Adam17	Arg2	10090.ENSMUSP00000099087	10090.ENSMUSP00000021550	0	0	0	0	0	0	0	0.408	0.408
Adam17	Cd4	10090.ENSMUSP00000099087	10090.ENSMUSP00000024044	0	0	0	0	0	0	0	0.490	0.489
Adam17	Hras	10090.ENSMUSP00000099087	10090.ENSMUSP00000026572	0	0	0	0	0	0.059	0	0.404	0.416
Adam17	Il6	10090.ENSMUSP00000099087	10090.ENSMUSP00000026845	0	0	0	0	0	0	0	0.645	0.645
Adam17	Notch1	10090.ENSMUSP00000099087	10090.ENSMUSP00000028288	0	0	0	0	0.064	0.081	0.900	0.580	0.959
Adam17	Jag1	10090.ENSMUSP00000099087	10090.ENSMUSP00000028735	0	0	0	0	0.071	0.093	0	0.513	0.554
Adam17	Il2	10090.ENSMUSP00000099087	10090.ENSMUSP00000029275	0	0	0	0	0	0	0	0.412	0.412
Adam17	Il6ra	10090.ENSMUSP00000099087	10090.ENSMUSP00000029559	0	0	0	0	0.095	0	0	0.606	0.628
Adam17	Klrk1	10090.ENSMUSP00000099087	10090.ENSMUSP00000032252	0	0	0	0	0	0	0	0.450	0.450
Adam17	Ifng	10090.ENSMUSP00000099087	10090.ENSMUSP00000063800	0	0	0	0	0	0	0	0.517	0.517
Adam17	Jak2	10090.ENSMUSP00000099087	10090.ENSMUSP00000064394	0	0	0	0	0.105	0.075	0	0.340	0.406
Adam17	Icam1	10090.ENSMUSP00000099087	10090.ENSMUSP00000083587	0	0	0	0	0.066	0	0	0.479	0.492
Adam17	Il18	10090.ENSMUSP00000099087	10090.ENSMUSP00000151002	0	0	0	0	0	0	0	0.410	0.410
Adam17	Cx3cr1	10090.ENSMUSP00000099087	10090.ENSMUSP00000150463	0	0	0	0	0.065	0	0	0.447	0.460
Adam17	Stat3	10090.ENSMUSP00000099087	10090.ENSMUSP00000120152	0	0	0	0	0.093	0	0	0.490	0.517
Adgre1	Il4	10090.ENSMUSP00000083971	10090.ENSMUSP00000000889	0	0	0	0	0	0	0	0.765	0.765
Adgre1	Tbx21	10090.ENSMUSP00000083971	10090.ENSMUSP00000001484	0	0	0	0	0	0	0	0.524	0.524
Adgre1	Tgfb1	10090.ENSMUSP00000083971	10090.ENSMUSP00000002678	0	0	0	0	0.116	0	0	0.660	0.686
Adgre1	Il7r	10090.ENSMUSP00000083971	10090.ENSMUSP00000003981	0	0	0	0	0.095	0	0	0.606	0.628
Adgre1	Serpinb9b	10090.ENSMUSP00000083971	10090.ENSMUSP00000006392	0	0	0	0	0	0	0	0.608	0.608
Adgre1	Slamf1	10090.ENSMUSP00000083971	10090.ENSMUSP00000015460	0	0	0	0	0	0	0	0.457	0.457
Adgre1	Gzmb	10090.ENSMUSP00000083971	10090.ENSMUSP00000015581	0	0	0	0	0.051	0	0	0.604	0.608
Adgre1	Ctss	10090.ENSMUSP00000083971	10090.ENSMUSP00000015667	0	0	0	0	0.521	0	0	0.592	0.796
Adgre1	Cd274	10090.ENSMUSP00000083971	10090.ENSMUSP00000016640	0	0	0	0	0.073	0	0	0.676	0.687
Adgre1	Cd40	10090.ENSMUSP00000083971	10090.ENSMUSP00000017799	0	0	0	0	0.094	0	0	0.692	0.709
Adgre1	Arg1	10090.ENSMUSP00000083971	10090.ENSMUSP00000020161	0	0	0	0	0.066	0	0	0.783	0.788
Adgre1	Havcr2	10090.ENSMUSP00000083971	10090.ENSMUSP00000020668	0	0	0	0	0.077	0	0	0.457	0.477
Adgre1	Arg2	10090.ENSMUSP00000083971	10090.ENSMUSP00000021550	0	0	0	0	0	0	0	0.605	0.605
Adgre1	Irf4	10090.ENSMUSP00000083971	10090.ENSMUSP00000021784	0	0	0	0	0.104	0	0	0.452	0.488
Adgre1	Cd4	10090.ENSMUSP00000083971	10090.ENSMUSP00000024044	0	0	0	0	0	0	0	0.871	0.871
Adgre1	Clec4n	10090.ENSMUSP00000083971	10090.ENSMUSP00000024118	0	0	0	0	0.289	0.067	0	0.300	0.495
Adgre1	C3	10090.ENSMUSP00000083971	10090.ENSMUSP00000024988	0	0	0	0	0.119	0	0	0.348	0.401
Adgre1	Fas	10090.ENSMUSP00000083971	10090.ENSMUSP00000025691	0	0	0	0	0.075	0	0	0.489	0.507
Adgre1	Hprt	10090.ENSMUSP00000083971	10090.ENSMUSP00000026723	0	0	0	0	0.054	0	0	0.572	0.577
Adgre1	Il6	10090.ENSMUSP00000083971	10090.ENSMUSP00000026845	0	0	0	0	0.044	0	0	0.841	0.841
Adgre1	Il17a	10090.ENSMUSP00000083971	10090.ENSMUSP00000027061	0	0	0	0	0	0	0	0.710	0.710
Adgre1	Ctla4	10090.ENSMUSP00000083971	10090.ENSMUSP00000027164	0	0	0	0	0	0	0	0.579	0.579
Adgre1	Pdcd1	10090.ENSMUSP00000083971	10090.ENSMUSP00000027507	0	0	0	0	0.042	0	0	0.604	0.604
Adgre1	Cd55	10090.ENSMUSP00000083971	10090.ENSMUSP00000027650	0	0	0	0	0.042	0.407	0	0.324	0.582
Adgre1	Fcgr2b	10090.ENSMUSP00000083971	10090.ENSMUSP00000027966	0	0	0	0	0.286	0	0	0.796	0.848
Adgre1	Il2	10090.ENSMUSP00000083971	10090.ENSMUSP00000029275	0	0	0	0	0	0	0	0.643	0.643
