#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
0610010F05Rik	Ttll1	10090.ENSMUSP00000044265	10090.ENSMUSP00000016897	0	0	0	0	0.054	0.495	0	0	0.501
1300017J02Rik	F2	10090.ENSMUSP00000035163	10090.ENSMUSP00000028681	0	0	0	0	0.567	0.051	0	0.047	0.575
1300017J02Rik	Trf	10090.ENSMUSP00000035163	10090.ENSMUSP00000035158	0	0	0.061	0.959	0.104	0	0.900	0	0.908
1300017J02Rik	Fga	10090.ENSMUSP00000035163	10090.ENSMUSP00000133117	0	0	0	0	0.449	0	0	0.057	0.459
4930486L24Rik	Cst9	10090.ENSMUSP00000089157	10090.ENSMUSP00000028935	0	0	0	0	0	0	0	0.491	0.491
5430427O19Rik	Slc15a3	10090.ENSMUSP00000109609	10090.ENSMUSP00000025646	0	0	0	0	0.104	0.189	0	0.259	0.414
5430427O19Rik	Slc15a4	10090.ENSMUSP00000109609	10090.ENSMUSP00000031367	0	0	0	0	0	0.264	0	0.502	0.618
5430427O19Rik	Tlr7	10090.ENSMUSP00000109609	10090.ENSMUSP00000107787	0	0	0	0	0.281	0	0	0.205	0.404
A2m	Cfp	10090.ENSMUSP00000032203	10090.ENSMUSP00000001156	0	0	0	0	0.048	0.253	0	0.309	0.465
A2m	Tgfb1	10090.ENSMUSP00000032203	10090.ENSMUSP00000002678	0	0	0	0	0	0.075	0	0.907	0.910
A2m	App	10090.ENSMUSP00000032203	10090.ENSMUSP00000005406	0	0	0	0	0.076	0.075	0	0.703	0.723
A2m	Il10	10090.ENSMUSP00000032203	10090.ENSMUSP00000016673	0	0	0	0	0.055	0.138	0	0.601	0.646
A2m	Vtn	10090.ENSMUSP00000032203	10090.ENSMUSP00000017488	0	0	0	0	0.083	0.052	0	0.410	0.442
A2m	Mmp7	10090.ENSMUSP00000032203	10090.ENSMUSP00000018767	0	0	0	0	0	0.052	0.500	0.303	0.640
A2m	C9	10090.ENSMUSP00000032203	10090.ENSMUSP00000022749	0	0	0	0	0.054	0.212	0	0.282	0.418
A2m	Kng1	10090.ENSMUSP00000032203	10090.ENSMUSP00000023589	0	0	0	0	0.051	0	0	0.615	0.620
A2m	Hrg	10090.ENSMUSP00000032203	10090.ENSMUSP00000023590	0	0	0	0	0.068	0	0	0.614	0.625
A2m	Serping1	10090.ENSMUSP00000032203	10090.ENSMUSP00000023994	0	0	0	0	0.104	0.068	0	0.711	0.738
A2m	Cfb	10090.ENSMUSP00000032203	10090.ENSMUSP00000025229	0	0	0	0	0.068	0.141	0	0.611	0.661
A2m	Tnf	10090.ENSMUSP00000032203	10090.ENSMUSP00000025263	0	0	0	0	0	0	0	0.667	0.667
A2m	Il6	10090.ENSMUSP00000032203	10090.ENSMUSP00000026845	0	0	0	0	0.042	0	0	0.686	0.687
A2m	C4bp	10090.ENSMUSP00000032203	10090.ENSMUSP00000027657	0	0	0	0	0.051	0.136	0	0.552	0.601
A2m	Pigr	10090.ENSMUSP00000032203	10090.ENSMUSP00000027675	0	0	0	0	0.068	0.089	0	0.447	0.489
A2m	Apcs	10090.ENSMUSP00000032203	10090.ENSMUSP00000027824	0	0	0	0	0.089	0	0	0.457	0.484
A2m	Gsn	10090.ENSMUSP00000032203	10090.ENSMUSP00000028239	0	0	0	0	0	0	0	0.410	0.410
A2m	F2	10090.ENSMUSP00000032203	10090.ENSMUSP00000028681	0	0	0	0	0	0.131	0	0.912	0.920
A2m	Il1b	10090.ENSMUSP00000032203	10090.ENSMUSP00000028881	0	0	0	0	0.054	0.096	0	0.646	0.671
A2m	Il2	10090.ENSMUSP00000032203	10090.ENSMUSP00000029275	0	0	0	0	0	0	0	0.461	0.461
A2m	Cxcl15	10090.ENSMUSP00000032203	10090.ENSMUSP00000031322	0	0	0	0	0	0	0	0.531	0.531
A2m	Arl8b	10090.ENSMUSP00000032203	10090.ENSMUSP00000032196	0	0	0	0	0	0.421	0	0	0.420
A2m	Actg1	10090.ENSMUSP00000032203	10090.ENSMUSP00000071486	0	0	0	0	0	0	0	0.400	0.400
A2m	Lcn2	10090.ENSMUSP00000032203	10090.ENSMUSP00000053962	0	0	0	0	0.132	0.096	0	0.297	0.400
A2m	Apoa4	10090.ENSMUSP00000032203	10090.ENSMUSP00000034585	0	0	0	0	0.069	0	0	0.391	0.409
A2m	C1rb	10090.ENSMUSP00000032203	10090.ENSMUSP00000139376	0	0	0	0	0	0.131	0	0.360	0.420
A2m	C1ra	10090.ENSMUSP00000032203	10090.ENSMUSP00000063707	0	0	0	0	0	0.131	0	0.364	0.423
A2m	Elane	10090.ENSMUSP00000032203	10090.ENSMUSP00000038925	0	0	0	0	0	0.131	0	0.377	0.436
A2m	Cfi	10090.ENSMUSP00000032203	10090.ENSMUSP00000077074	0	0	0	0	0.082	0.202	0	0.325	0.462
A2m	C1s2	10090.ENSMUSP00000032203	10090.ENSMUSP00000151642	0	0	0	0	0	0.131	0	0.415	0.470
A2m	C1s1	10090.ENSMUSP00000032203	10090.ENSMUSP00000125531	0	0	0	0	0	0.131	0	0.415	0.470
A2m	Isg15	10090.ENSMUSP00000032203	10090.ENSMUSP00000082548	0	0	0	0	0.067	0.046	0	0.455	0.472
A2m	Kng2	10090.ENSMUSP00000032203	10090.ENSMUSP00000097623	0	0	0	0	0	0	0.400	0.191	0.493
A2m	Umod	10090.ENSMUSP00000032203	10090.ENSMUSP00000033263	0	0	0	0	0	0	0	0.495	0.495
A2m	C1qbp	10090.ENSMUSP00000032203	10090.ENSMUSP00000077612	0	0	0	0	0.054	0.075	0.500	0.046	0.526
