#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Cd4	Il10	10090.ENSMUSP00000024044	10090.ENSMUSP00000016673	0	0	0	0	0.089	0	0	0.959	0.961
Cd4	Cd40	10090.ENSMUSP00000024044	10090.ENSMUSP00000017799	0	0	0	0	0	0	0	0.890	0.890
Cd4	Ifnb1	10090.ENSMUSP00000024044	10090.ENSMUSP00000056720	0	0	0	0	0	0	0	0.798	0.798
Cd4	Cd80	10090.ENSMUSP00000024044	10090.ENSMUSP00000156031	0	0	0	0	0.114	0.127	0	0.922	0.934
Cd4	Il17a	10090.ENSMUSP00000024044	10090.ENSMUSP00000027061	0	0	0	0	0	0.097	0	0.931	0.935
Cd4	Cd86	10090.ENSMUSP00000024044	10090.ENSMUSP00000087047	0	0	0	0	0.105	0	0	0.931	0.936
Cd4	Il2	10090.ENSMUSP00000024044	10090.ENSMUSP00000029275	0	0	0	0	0.048	0.094	0	0.952	0.955
Cd4	Foxp3	10090.ENSMUSP00000024044	10090.ENSMUSP00000111405	0	0	0	0	0.042	0	0	0.957	0.957
Cd4	Ifng	10090.ENSMUSP00000024044	10090.ENSMUSP00000063800	0	0	0	0	0.084	0	0	0.967	0.968
Cd40	Il10	10090.ENSMUSP00000017799	10090.ENSMUSP00000016673	0	0	0	0	0.053	0	0	0.864	0.865
Cd40	Ifnb1	10090.ENSMUSP00000017799	10090.ENSMUSP00000056720	0	0	0	0	0.087	0	0	0.653	0.669
Cd40	Foxp3	10090.ENSMUSP00000017799	10090.ENSMUSP00000111405	0	0	0	0	0	0	0	0.785	0.785
Cd40	Il17a	10090.ENSMUSP00000017799	10090.ENSMUSP00000027061	0	0	0	0	0.050	0	0	0.823	0.824
Cd40	Il2	10090.ENSMUSP00000017799	10090.ENSMUSP00000029275	0	0	0	0	0.059	0	0	0.864	0.867
