#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Abcb1a	Mapk14	10090.ENSMUSP00000041204	10090.ENSMUSP00000004990	0	0	0	0	0.080	0.042	0	0.414	0.438
Abcb1a	Il10	10090.ENSMUSP00000041204	10090.ENSMUSP00000016673	0	0	0	0	0.069	0	0	0.443	0.460
Abcb1a	Mmp9	10090.ENSMUSP00000041204	10090.ENSMUSP00000017881	0	0	0	0	0.087	0	0	0.495	0.519
Abcb1a	Cd4	10090.ENSMUSP00000041204	10090.ENSMUSP00000024044	0	0	0	0	0	0.127	0	0.400	0.453
Abcb1a	Tnf	10090.ENSMUSP00000041204	10090.ENSMUSP00000025263	0	0	0	0	0.055	0	0	0.605	0.610
Abcb1a	Pdgfrb	10090.ENSMUSP00000041204	10090.ENSMUSP00000025522	0	0	0	0	0.046	0	0	0.403	0.406
Abcb1a	Il6	10090.ENSMUSP00000041204	10090.ENSMUSP00000026845	0	0	0	0	0.052	0	0	0.520	0.525
Abcb1a	Cyp27a1	10090.ENSMUSP00000041204	10090.ENSMUSP00000027356	0	0	0	0	0.080	0.042	0	0.400	0.425
Abcb1a	Il1b	10090.ENSMUSP00000041204	10090.ENSMUSP00000028881	0	0	0	0	0.064	0	0	0.468	0.480
Abcb1a	Il2	10090.ENSMUSP00000041204	10090.ENSMUSP00000029275	0	0	0	0	0.090	0.042	0	0.421	0.451
Abcb1a	Cdh5	10090.ENSMUSP00000041204	10090.ENSMUSP00000034339	0	0	0	0	0.096	0	0	0.387	0.422
Abcb1a	Ifng	10090.ENSMUSP00000041204	10090.ENSMUSP00000063800	0	0	0	0	0.055	0	0	0.432	0.440
Abcb1a	Vegfa	10090.ENSMUSP00000041204	10090.ENSMUSP00000115883	0	0	0	0	0	0	0	0.441	0.441
Abcb1a	Jun	10090.ENSMUSP00000041204	10090.ENSMUSP00000102711	0	0	0	0	0.079	0.042	0	0.460	0.481
Abcb1a	Stat3	10090.ENSMUSP00000041204	10090.ENSMUSP00000120152	0	0	0	0	0	0	0	0.511	0.511
Abcb1a	Abcc1	10090.ENSMUSP00000041204	10090.ENSMUSP00000097743	0	0	0	0.599	0.205	0	0	0.415	0.516
Abcb1a	Casp3	10090.ENSMUSP00000041204	10090.ENSMUSP00000147767	0	0	0	0	0	0	0	0.608	0.608
Abcb1a	Trp53	10090.ENSMUSP00000041204	10090.ENSMUSP00000104298	0	0	0	0	0	0.061	0	0.659	0.666
Abcb1a	Cldn5	10090.ENSMUSP00000041204	10090.ENSMUSP00000041925	0	0	0	0	0.122	0	0	0.641	0.671
Abcc1	Stat3	10090.ENSMUSP00000097743	10090.ENSMUSP00000120152	0	0	0	0	0.061	0	0	0.392	0.404
Abcc1	Casp3	10090.ENSMUSP00000097743	10090.ENSMUSP00000147767	0	0	0	0	0.049	0.051	0	0.434	0.444
Abcc1	Trp53	10090.ENSMUSP00000097743	10090.ENSMUSP00000104298	0	0	0	0	0.053	0.050	0	0.490	0.501
Ahr	Maf	10090.ENSMUSP00000112137	10090.ENSMUSP00000104732	0	0	0	0	0.053	0.335	0	0.174	0.434
Aif1	Ccl2	10090.ENSMUSP00000133709	10090.ENSMUSP00000000193	0	0	0	0	0.180	0	0	0.696	0.740
Aif1	Il4	10090.ENSMUSP00000133709	10090.ENSMUSP00000000889	0	0	0	0	0.064	0	0	0.630	0.638
Aif1	Ccl3	10090.ENSMUSP00000133709	10090.ENSMUSP00000001008	0	0	0	0	0.101	0	0	0.541	0.570
Aif1	Mapk14	10090.ENSMUSP00000133709	10090.ENSMUSP00000004990	0	0	0	0	0.055	0.103	0	0.532	0.569
Aif1	Il10	10090.ENSMUSP00000133709	10090.ENSMUSP00000016673	0	0	0	0	0.088	0	0	0.710	0.724
Aif1	Mmp9	10090.ENSMUSP00000133709	10090.ENSMUSP00000017881	0	0	0	0	0.057	0	0	0.514	0.522
Aif1	Csf2	10090.ENSMUSP00000133709	10090.ENSMUSP00000019060	0	0	0	0	0	0	0	0.466	0.466
Aif1	Arg1	10090.ENSMUSP00000133709	10090.ENSMUSP00000020161	0	0	0	0	0.059	0	0	0.679	0.685
Aif1	Nfkbia	10090.ENSMUSP00000133709	10090.ENSMUSP00000021413	0	0	0	0	0.057	0.102	0	0.483	0.524
Aif1	Fos	10090.ENSMUSP00000133709	10090.ENSMUSP00000021674	0	0	0	0	0	0.076	0	0.557	0.574
Aif1	Cd4	10090.ENSMUSP00000133709	10090.ENSMUSP00000024044	0	0	0	0	0.119	0	0	0.557	0.593
Aif1	Tnf	10090.ENSMUSP00000133709	10090.ENSMUSP00000025263	0	0	0	0	0.128	0.059	0	0.825	0.844
Aif1	Pdgfrb	10090.ENSMUSP00000133709	10090.ENSMUSP00000025522	0	0	0	0	0.064	0	0	0.456	0.469
Aif1	Msr1	10090.ENSMUSP00000133709	10090.ENSMUSP00000026021	0	0	0	0	0.212	0	0	0.433	0.534
Aif1	Il6	10090.ENSMUSP00000133709	10090.ENSMUSP00000026845	0	0	0	0	0.061	0	0	0.802	0.806
Aif1	Il17a	10090.ENSMUSP00000133709	10090.ENSMUSP00000027061	0	0	0	0	0.055	0.044	0	0.481	0.490
Aif1	Mrc1	10090.ENSMUSP00000133709	10090.ENSMUSP00000028045	0	0	0	0	0.204	0.061	0	0.714	0.767
Aif1	Il1b	10090.ENSMUSP00000133709	10090.ENSMUSP00000028881	0	0	0	0	0.197	0	0	0.868	0.890
Aif1	Il2	10090.ENSMUSP00000133709	10090.ENSMUSP00000029275	0	0	0	0	0.079	0	0	0.410	0.434
Aif1	Vcam1	10090.ENSMUSP00000133709	10090.ENSMUSP00000029574	0	0	0	0	0.104	0.043	0	0.377	0.419
Aif1	Cd69	10090.ENSMUSP00000133709	10090.ENSMUSP00000032259	0	0	0	0	0.099	0.061	0	0.467	0.509
Aif1	Itgax	10090.ENSMUSP00000133709	10090.ENSMUSP00000033053	0	0	0	0	0.175	0	0	0.494	0.565
Aif1	Cldn5	10090.ENSMUSP00000133709	10090.ENSMUSP00000041925	0	0	0	0	0.068	0	0	0.603	0.614
Aif1	Tlr4	10090.ENSMUSP00000133709	10090.ENSMUSP00000045770	0	0	0	0	0.057	0.101	0	0.685	0.709
Aif1	Mbp	10090.ENSMUSP00000133709	10090.ENSMUSP00000046185	0	0	0	0	0	0.100	0	0.782	0.795
Aif1	Ifnb1	10090.ENSMUSP00000133709	10090.ENSMUSP00000056720	0	0	0	0	0.056	0	0	0.426	0.435
Aif1	Bdnf	10090.ENSMUSP00000133709	10090.ENSMUSP00000057989	0	0	0	0	0	0	0	0.732	0.732
Aif1	Ifng	10090.ENSMUSP00000133709	10090.ENSMUSP00000063800	0	0	0	0	0.065	0	0	0.663	0.672
Aif1	Gfap	10090.ENSMUSP00000133709	10090.ENSMUSP00000064691	0	0	0	0	0.050	0	0	0.928	0.929
