#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Akt1	Ngfr	10090.ENSMUSP00000001780	10090.ENSMUSP00000000122	0	0	0	0	0	0.102	0	0.690	0.709
Akt1	Ccl3	10090.ENSMUSP00000001780	10090.ENSMUSP00000001008	0	0	0	0	0.079	0	0	0.693	0.706
Akt1	Tbx21	10090.ENSMUSP00000001780	10090.ENSMUSP00000001484	0	0	0	0	0.073	0	0	0.486	0.503
Akt1	Scap	10090.ENSMUSP00000001780	10090.ENSMUSP00000095953	0	0	0	0	0.084	0	0	0.392	0.419
Akt1	Cxcr3	10090.ENSMUSP00000001780	10090.ENSMUSP00000052444	0	0	0	0	0	0	0	0.432	0.432
Akt1	Cd276	10090.ENSMUSP00000001780	10090.ENSMUSP00000129418	0	0	0	0	0	0	0	0.490	0.489
Akt1	Mbp	10090.ENSMUSP00000001780	10090.ENSMUSP00000046185	0	0	0	0	0	0.088	0	0.500	0.525
Akt1	Scd1	10090.ENSMUSP00000001780	10090.ENSMUSP00000036936	0	0	0	0	0	0	0	0.606	0.606
Akt1	Foxp3	10090.ENSMUSP00000001780	10090.ENSMUSP00000111405	0	0	0	0	0	0	0	0.661	0.661
Akt1	Il17a	10090.ENSMUSP00000001780	10090.ENSMUSP00000027061	0	0	0	0	0	0	0	0.665	0.665
Akt1	Socs3	10090.ENSMUSP00000001780	10090.ENSMUSP00000059129	0	0	0	0	0	0.073	0	0.660	0.671
Akt1	Apoe	10090.ENSMUSP00000001780	10090.ENSMUSP00000133302	0	0	0	0	0	0.051	0	0.671	0.675
Akt1	Hmgcr	10090.ENSMUSP00000001780	10090.ENSMUSP00000022176	0	0	0	0	0.042	0.050	0	0.674	0.677
Akt1	Il2	10090.ENSMUSP00000001780	10090.ENSMUSP00000029275	0	0	0	0	0	0	0	0.708	0.708
Akt1	H3c8	10090.ENSMUSP00000001780	10090.ENSMUSP00000079670	0	0	0	0	0	0.095	0	0.700	0.716
Akt1	H3c7	10090.ENSMUSP00000001780	10090.ENSMUSP00000074994	0	0	0	0	0	0.095	0	0.701	0.717
Akt1	H3f3b	10090.ENSMUSP00000001780	10090.ENSMUSP00000102062	0	0	0	0	0	0.095	0	0.701	0.717
Akt1	Ngf	10090.ENSMUSP00000001780	10090.ENSMUSP00000102538	0	0	0	0	0	0.092	0	0.733	0.747
Akt1	Il10	10090.ENSMUSP00000001780	10090.ENSMUSP00000016673	0	0	0	0	0	0	0	0.753	0.753
Akt1	Cd4	10090.ENSMUSP00000001780	10090.ENSMUSP00000024044	0	0	0	0	0	0.076	0	0.760	0.769
Akt1	Cd80	10090.ENSMUSP00000001780	10090.ENSMUSP00000156031	0	0	0	0	0	0.103	0.500	0.576	0.793
Akt1	Cd86	10090.ENSMUSP00000001780	10090.ENSMUSP00000087047	0	0	0	0	0.073	0	0.500	0.604	0.800
Akt1	Bdnf	10090.ENSMUSP00000001780	10090.ENSMUSP00000057989	0	0	0	0	0	0.071	0	0.799	0.805
Akt1	Lep	10090.ENSMUSP00000001780	10090.ENSMUSP00000067046	0	0	0	0	0	0	0	0.827	0.827
Akt1	Ctla4	10090.ENSMUSP00000001780	10090.ENSMUSP00000027164	0	0	0	0	0.067	0.054	0.500	0.660	0.829
Akt1	Esr1	10090.ENSMUSP00000001780	10090.ENSMUSP00000101215	0	0	0	0	0.053	0.093	0	0.834	0.845
Akt1	Tnf	10090.ENSMUSP00000001780	10090.ENSMUSP00000025263	0	0	0	0	0.073	0.071	0	0.880	0.888
Akt1	Il6	10090.ENSMUSP00000001780	10090.ENSMUSP00000026845	0	0	0	0	0	0	0	0.924	0.924
Akt1	Nos2	10090.ENSMUSP00000001780	10090.ENSMUSP00000018610	0	0	0	0	0	0.166	0.900	0.675	0.970
Akt1	Mtor	10090.ENSMUSP00000001780	10090.ENSMUSP00000099510	0	0	0	0	0.052	0.819	0.900	0.928	0.998
Apoe	Ccl3	10090.ENSMUSP00000133302	10090.ENSMUSP00000001008	0	0	0	0	0.051	0	0	0.464	0.469
Apoe	Il10	10090.ENSMUSP00000133302	10090.ENSMUSP00000016673	0	0	0	0	0.086	0	0	0.745	0.757
Apoe	Nos2	10090.ENSMUSP00000133302	10090.ENSMUSP00000018610	0	0	0	0	0	0.069	0	0.503	0.517
Apoe	Hmgcr	10090.ENSMUSP00000133302	10090.ENSMUSP00000022176	0	0	0	0	0	0	0	0.731	0.731
Apoe	Cd4	10090.ENSMUSP00000133302	10090.ENSMUSP00000024044	0	0	0	0	0	0	0	0.641	0.641
Apoe	Tnf	10090.ENSMUSP00000133302	10090.ENSMUSP00000025263	0	0	0	0	0	0	0	0.799	0.799
Apoe	Il6	10090.ENSMUSP00000133302	10090.ENSMUSP00000026845	0	0	0	0	0	0	0	0.783	0.783
Apoe	Il17a	10090.ENSMUSP00000133302	10090.ENSMUSP00000027061	0	0	0	0	0.067	0	0	0.532	0.545
Apoe	Il2	10090.ENSMUSP00000133302	10090.ENSMUSP00000029275	0	0	0	0	0	0	0	0.436	0.436
Apoe	Scd1	10090.ENSMUSP00000133302	10090.ENSMUSP00000036936	0	0	0	0	0.171	0	0	0.530	0.593
Apoe	Gc	10090.ENSMUSP00000133302	10090.ENSMUSP00000046636	0	0	0	0	0.079	0	0	0.391	0.415
Apoe	Bdnf	10090.ENSMUSP00000133302	10090.ENSMUSP00000057989	0	0	0	0	0	0	0	0.806	0.806
Apoe	Lep	10090.ENSMUSP00000133302	10090.ENSMUSP00000067046	0	0	0	0	0	0	0	0.655	0.655
Apoe	Cd86	10090.ENSMUSP00000133302	10090.ENSMUSP00000087047	0	0	0	0	0.064	0	0	0.398	0.412
Apoe	Mtor	10090.ENSMUSP00000133302	10090.ENSMUSP00000099510	0	0	0	0	0	0	0	0.458	0.457
Apoe	Esr1	10090.ENSMUSP00000133302	10090.ENSMUSP00000101215	0	0	0	0	0	0	0	0.456	0.456
Apoe	Ngf	10090.ENSMUSP00000133302	10090.ENSMUSP00000102538	0	0	0	0	0	0	0	0.567	0.567
