#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Cyp24a1	Fgf23	10090.ENSMUSP00000047954	10090.ENSMUSP00000000186	0	0	0	0	0.073	0	0	0.827	0.832
Cyp24a1	Cyp27a1	10090.ENSMUSP00000047954	10090.ENSMUSP00000027356	0	0	0.136	0.805	0	0.317	0	0.186	0.477
Cyp24a1	Cyp2r1	10090.ENSMUSP00000047954	10090.ENSMUSP00000032908	0	0	0.212	0.610	0.056	0	0.900	0.385	0.948
Cyp24a1	Gc	10090.ENSMUSP00000047954	10090.ENSMUSP00000046636	0	0	0	0	0.050	0	0	0.870	0.871
Cyp24a1	Lrp2	10090.ENSMUSP00000047954	10090.ENSMUSP00000079752	0	0	0	0	0.054	0	0	0.517	0.523
Cyp24a1	Cyp27b1	10090.ENSMUSP00000047954	10090.ENSMUSP00000130005	0	0	0.138	0.801	0.104	0.093	0.900	0.216	0.935
Cyp27a1	Fgf23	10090.ENSMUSP00000027356	10090.ENSMUSP00000000186	0	0	0	0	0.054	0	0	0.394	0.402
Cyp27a1	Fgfr4	10090.ENSMUSP00000027356	10090.ENSMUSP00000005452	0	0	0	0	0.102	0	0	0.560	0.588
Cyp27a1	Cyp3a11	10090.ENSMUSP00000027356	10090.ENSMUSP00000037665	0	0	0.224	0.624	0.118	0	0	0.275	0.461
Cyp27a1	Cyp2r1	10090.ENSMUSP00000027356	10090.ENSMUSP00000032908	0	0	0.222	0.609	0.126	0	0	0.592	0.699
Cyp27a1	Gc	10090.ENSMUSP00000027356	10090.ENSMUSP00000046636	0	0	0	0	0.118	0	0	0.810	0.825
Cyp27b1	Fgf23	10090.ENSMUSP00000130005	10090.ENSMUSP00000000186	0	0	0	0	0.059	0	0	0.853	0.856
Cyp27b1	Cyp2r1	10090.ENSMUSP00000130005	10090.ENSMUSP00000032908	0	0	0.226	0.605	0.069	0.604	0.900	0.391	0.979
Cyp27b1	Gc	10090.ENSMUSP00000130005	10090.ENSMUSP00000046636	0	0	0	0	0.057	0	0	0.827	0.830
Cyp27b1	Cyp3a25	10090.ENSMUSP00000130005	10090.ENSMUSP00000065585	0	0	0.206	0.663	0	0.595	0	0.091	0.682
Cyp27b1	Lrp2	10090.ENSMUSP00000130005	10090.ENSMUSP00000079752	0	0	0	0	0	0	0	0.607	0.607
Cyp27b1	Fgfr1	10090.ENSMUSP00000130005	10090.ENSMUSP00000081041	0	0	0	0	0.045	0	0	0.410	0.412
Cyp2r1	Fgf23	10090.ENSMUSP00000032908	10090.ENSMUSP00000000186	0	0	0	0	0.054	0	0	0.643	0.647
Cyp2r1	Lrp2	10090.ENSMUSP00000032908	10090.ENSMUSP00000079752	0	0	0	0	0	0	0	0.499	0.499
Cyp2r1	Cyp3a25	10090.ENSMUSP00000032908	10090.ENSMUSP00000065585	0	0	0.236	0.586	0.118	0.604	0	0.117	0.733
Cyp2r1	Gc	10090.ENSMUSP00000032908	10090.ENSMUSP00000046636	0	0	0	0	0.115	0	0	0.870	0.880
Cyp3a11	Cyp3a13	10090.ENSMUSP00000037665	10090.ENSMUSP00000031741	0	0	0.052	0.977	0.185	0	0.500	0.057	0.587
Cyp3a11	Cyp3a44	10090.ENSMUSP00000037665	10090.ENSMUSP00000069932	0	0	0.048	0.984	0.119	0	0.400	0.046	0.456
Cyp3a11	Cyp3a57	10090.ENSMUSP00000037665	10090.ENSMUSP00000078251	0	0	0.053	0.974	0.118	0	0.400	0.052	0.461
Cyp3a11	Cyp3a41b	10090.ENSMUSP00000037665	10090.ENSMUSP00000075234	0	0	0.048	0.985	0.100	0	0.500	0.051	0.539
Cyp3a11	Cyp3a59	10090.ENSMUSP00000037665	10090.ENSMUSP00000049494	0	0	0.053	0.974	0.798	0	0.400	0.052	0.876
Cyp3a11	Ugt1a5	10090.ENSMUSP00000037665	10090.ENSMUSP00000095263	0	0	0	0	0.153	0.083	0.650	0.646	0.891
Cyp3a11	Cyp3a25	10090.ENSMUSP00000037665	10090.ENSMUSP00000065585	0	0	0.052	0.976	0.942	0	0.500	0.057	0.970
Cyp3a13	Cyp3a57	10090.ENSMUSP00000031741	10090.ENSMUSP00000078251	0	0	0.053	0.974	0.099	0	0.400	0.053	0.450
Cyp3a13	Cyp3a44	10090.ENSMUSP00000031741	10090.ENSMUSP00000069932	0	0	0.054	0.973	0.104	0	0.400	0.056	0.455
Cyp3a13	Cyp3a59	10090.ENSMUSP00000031741	10090.ENSMUSP00000049494	0	0	0.053	0.974	0.121	0	0.400	0.051	0.463
Cyp3a13	Cyp3a41b	10090.ENSMUSP00000031741	10090.ENSMUSP00000075234	0	0	0.053	0.975	0.077	0	0.500	0.058	0.533
Cyp3a13	Cyp3a25	10090.ENSMUSP00000031741	10090.ENSMUSP00000065585	0	0	0.052	0.976	0.205	0	0.500	0.057	0.597
Cyp3a13	Ugt1a5	10090.ENSMUSP00000031741	10090.ENSMUSP00000095263	0	0	0	0	0.140	0.083	0.650	0.181	0.743
Cyp3a25	Cyp3a59	10090.ENSMUSP00000065585	10090.ENSMUSP00000049494	0	0	0.047	0.986	0.822	0	0.400	0.050	0.890
Cyp3a25	Cyp3a57	10090.ENSMUSP00000065585	10090.ENSMUSP00000078251	0	0	0.048	0.985	0.119	0	0.400	0.051	0.458
Cyp3a25	Cyp3a44	10090.ENSMUSP00000065585	10090.ENSMUSP00000069932	0	0	0.053	0.974	0.128	0	0.400	0.053	0.468
Cyp3a25	Cyp3a41b	10090.ENSMUSP00000065585	10090.ENSMUSP00000075234	0	0	0.053	0.975	0.115	0	0.500	0.058	0.552
Cyp3a25	Ugt1a5	10090.ENSMUSP00000065585	10090.ENSMUSP00000095263	0	0	0	0	0.164	0.083	0.650	0.149	0.741
Cyp3a41a	Cyp3a44	10090.ENSMUSP00000091659	10090.ENSMUSP00000069932	0	0	0.048	0.985	0.565	0	0	0.051	0.572
Cyp3a41a	Cyp3a41b	10090.ENSMUSP00000091659	10090.ENSMUSP00000075234	0	0	0.046	0.988	0.635	0	0	0	0.637
Cyp3a41b	Cyp3a59	10090.ENSMUSP00000075234	10090.ENSMUSP00000049494	0	0	0.054	0.973	0.118	0	0.400	0.056	0.464
