#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Hand2	Tgfb1	10090.ENSMUSP00000044983	10090.ENSMUSP00000002678	0	0	0	0	0.101	0	0	0.515	0.545
Hand2	Il13	10090.ENSMUSP00000044983	10090.ENSMUSP00000020650	0	0	0	0	0	0	0	0.841	0.841
Hand2	Tnf	10090.ENSMUSP00000044983	10090.ENSMUSP00000025263	0	0	0	0	0	0	0	0.740	0.740
Hand2	Ifnb1	10090.ENSMUSP00000044983	10090.ENSMUSP00000056720	0	0	0	0	0	0	0	0.455	0.455
Hand2	Ifng	10090.ENSMUSP00000044983	10090.ENSMUSP00000063800	0	0	0	0	0	0	0	0.841	0.841
Ifnb1	Tgfb1	10090.ENSMUSP00000056720	10090.ENSMUSP00000002678	0	0	0	0	0	0	0	0.500	0.500
Ifnb1	Il13	10090.ENSMUSP00000056720	10090.ENSMUSP00000020650	0	0	0	0	0	0	0	0.647	0.647
Ifnb1	Tnf	10090.ENSMUSP00000056720	10090.ENSMUSP00000025263	0	0	0	0	0.301	0	0	0.863	0.900
Ifnb1	Ifng	10090.ENSMUSP00000056720	10090.ENSMUSP00000063800	0	0	0	0	0.126	0	0	0.884	0.894
Ifng	Tgfb1	10090.ENSMUSP00000063800	10090.ENSMUSP00000002678	0	0	0	0	0.054	0	0	0.845	0.848
Ifng	Il13	10090.ENSMUSP00000063800	10090.ENSMUSP00000020650	0	0	0	0	0.093	0	0	0.929	0.933
Ifng	Tnf	10090.ENSMUSP00000063800	10090.ENSMUSP00000025263	0	0	0	0	0.181	0	0	0.965	0.970
Il13	Tgfb1	10090.ENSMUSP00000020650	10090.ENSMUSP00000002678	0	0	0	0	0.050	0	0	0.755	0.758
Il13	Tnf	10090.ENSMUSP00000020650	10090.ENSMUSP00000025263	0	0	0	0	0.073	0	0	0.893	0.897
Pth	Tgfb1	10090.ENSMUSP00000078723	10090.ENSMUSP00000002678	0	0	0	0	0	0	0	0.620	0.620
Pth	Tnf	10090.ENSMUSP00000078723	10090.ENSMUSP00000025263	0	0	0	0	0.043	0	0	0.610	0.610
Tgfb1	Tnf	10090.ENSMUSP00000002678	10090.ENSMUSP00000025263	0	0	0	0	0.140	0	0	0.893	0.904
