#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Agmat	Arg1	10090.ENSMUSP00000040853	10090.ENSMUSP00000020161	0	0	0.184	0.589	0.178	0	0	0.362	0.535
Agmat	Arg2	10090.ENSMUSP00000040853	10090.ENSMUSP00000021550	0	0	0.190	0.584	0.090	0	0	0.397	0.517
Arg1	Ccl2	10090.ENSMUSP00000020161	10090.ENSMUSP00000000193	0	0	0	0	0.064	0	0	0.743	0.749
Arg1	Mmp9	10090.ENSMUSP00000020161	10090.ENSMUSP00000017881	0	0	0	0	0.074	0	0	0.660	0.672
Arg1	Bdnf	10090.ENSMUSP00000020161	10090.ENSMUSP00000057989	0	0	0	0	0	0	0	0.424	0.424
Arg1	Jun	10090.ENSMUSP00000020161	10090.ENSMUSP00000102711	0	0	0	0	0.079	0	0	0.423	0.446
Arg1	Gm10358	10090.ENSMUSP00000020161	10090.ENSMUSP00000148326	0	0	0	0	0.051	0	0	0.460	0.465
Arg1	Gm3839	10090.ENSMUSP00000020161	10090.ENSMUSP00000138396	0	0	0	0	0.051	0	0	0.460	0.465
Arg1	Ins2	10090.ENSMUSP00000020161	10090.ENSMUSP00000147425	0	0	0	0	0.058	0	0	0.519	0.528
Arg1	Ins1	10090.ENSMUSP00000020161	10090.ENSMUSP00000049095	0	0	0	0	0.058	0	0	0.519	0.528
Arg1	Il1a	10090.ENSMUSP00000020161	10090.ENSMUSP00000028882	0	0	0	0	0.116	0	0	0.502	0.541
Arg1	Igf1	10090.ENSMUSP00000020161	10090.ENSMUSP00000100937	0	0	0	0	0.145	0	0	0.562	0.609
Arg1	Gapdh	10090.ENSMUSP00000020161	10090.ENSMUSP00000113942	0	0	0	0	0.080	0	0	0.678	0.692
Arg1	Il1b	10090.ENSMUSP00000020161	10090.ENSMUSP00000028881	0	0	0	0	0.107	0	0	0.801	0.815
Arg1	Il6	10090.ENSMUSP00000020161	10090.ENSMUSP00000026845	0	0	0	0	0.100	0	0	0.812	0.824
Arg1	Tnf	10090.ENSMUSP00000020161	10090.ENSMUSP00000025263	0	0	0	0	0.046	0	0	0.826	0.826
Arg1	Arg2	10090.ENSMUSP00000020161	10090.ENSMUSP00000021550	0	0	0.060	0.961	0.041	0.096	0.900	0.060	0.909
Arg1	Nos1	10090.ENSMUSP00000020161	10090.ENSMUSP00000120421	0	0	0	0	0	0.067	0.900	0.483	0.947
Arg1	Nos3	10090.ENSMUSP00000020161	10090.ENSMUSP00000030834	0	0	0	0	0	0.067	0.900	0.517	0.951
Arg2	Ccl2	10090.ENSMUSP00000021550	10090.ENSMUSP00000000193	0	0	0	0	0.060	0	0	0.606	0.613
Arg2	Mmp9	10090.ENSMUSP00000021550	10090.ENSMUSP00000017881	0	0	0	0	0.084	0	0	0.506	0.528
Arg2	Il1a	10090.ENSMUSP00000021550	10090.ENSMUSP00000028882	0	0	0	0	0.091	0	0	0.368	0.401
Arg2	Ins1	10090.ENSMUSP00000021550	10090.ENSMUSP00000049095	0	0	0	0	0.078	0	0	0.412	0.435
Arg2	Ins2	10090.ENSMUSP00000021550	10090.ENSMUSP00000147425	0	0	0	0	0.078	0	0	0.416	0.439
Arg2	Gapdh	10090.ENSMUSP00000021550	10090.ENSMUSP00000113942	0	0	0	0	0.051	0	0	0.470	0.476
Arg2	Il1b	10090.ENSMUSP00000021550	10090.ENSMUSP00000028881	0	0	0	0	0.160	0	0	0.631	0.677
Arg2	Tnf	10090.ENSMUSP00000021550	10090.ENSMUSP00000025263	0	0	0	0	0.065	0	0	0.692	0.699
Arg2	Il6	10090.ENSMUSP00000021550	10090.ENSMUSP00000026845	0	0	0	0	0.143	0	0	0.676	0.711
Arg2	Nos3	10090.ENSMUSP00000021550	10090.ENSMUSP00000030834	0	0	0	0	0	0.067	0.900	0.553	0.954
Arg2	Nos1	10090.ENSMUSP00000021550	10090.ENSMUSP00000120421	0	0	0	0	0	0.102	0.900	0.540	0.955
Bdnf	Ccl2	10090.ENSMUSP00000057989	10090.ENSMUSP00000000193	0	0	0	0	0.044	0	0	0.613	0.615
Bdnf	Igf1r	10090.ENSMUSP00000057989	10090.ENSMUSP00000005671	0	0	0	0	0.052	0.071	0.650	0.642	0.874
Bdnf	Mmp9	10090.ENSMUSP00000057989	10090.ENSMUSP00000017881	0	0	0	0	0	0	0	0.744	0.744
Bdnf	Tnf	10090.ENSMUSP00000057989	10090.ENSMUSP00000025263	0	0	0	0	0	0	0	0.786	0.786
Bdnf	Il6	10090.ENSMUSP00000057989	10090.ENSMUSP00000026845	0	0	0	0	0.048	0	0	0.858	0.859
Bdnf	Il1b	10090.ENSMUSP00000057989	10090.ENSMUSP00000028881	0	0	0	0	0	0	0	0.841	0.841
Bdnf	Il1a	10090.ENSMUSP00000057989	10090.ENSMUSP00000028882	0	0	0	0	0	0	0	0.567	0.567
Bdnf	Mbp	10090.ENSMUSP00000057989	10090.ENSMUSP00000046185	0	0	0	0	0	0	0	0.688	0.688
Bdnf	Ins1	10090.ENSMUSP00000057989	10090.ENSMUSP00000049095	0	0	0	0	0	0	0	0.749	0.749
Bdnf	Nos1	10090.ENSMUSP00000057989	10090.ENSMUSP00000120421	0	0	0	0	0	0	0	0.514	0.514
Bdnf	Igf2	10090.ENSMUSP00000057989	10090.ENSMUSP00000114076	0	0	0	0	0	0	0	0.533	0.533
Bdnf	Gm3839	10090.ENSMUSP00000057989	10090.ENSMUSP00000138396	0	0	0	0	0	0	0	0.544	0.544
Bdnf	Gm10358	10090.ENSMUSP00000057989	10090.ENSMUSP00000148326	0	0	0	0	0	0	0	0.544	0.544
Bdnf	Jun	10090.ENSMUSP00000057989	10090.ENSMUSP00000102711	0	0	0	0	0.045	0	0	0.649	0.650
Bdnf	Gapdh	10090.ENSMUSP00000057989	10090.ENSMUSP00000113942	0	0	0	0	0	0	0	0.721	0.721
Bdnf	Ins2	10090.ENSMUSP00000057989	10090.ENSMUSP00000147425	0	0	0	0	0	0	0	0.749	0.749
Bdnf	Igf1	10090.ENSMUSP00000057989	10090.ENSMUSP00000100937	0	0	0	0	0	0	0	0.885	0.885
Ccl2	S1pr1	10090.ENSMUSP00000000193	10090.ENSMUSP00000050897	0	0	0	0	0	0	0	0.412	0.412
Ccl2	Mbp	10090.ENSMUSP00000000193	10090.ENSMUSP00000046185	0	0	0	0	0	0	0	0.419	0.419
Ccl2	Gm10358	10090.ENSMUSP00000000193	10090.ENSMUSP00000148326	0	0	0	0	0	0	0	0.615	0.615
Ccl2	Gm3839	10090.ENSMUSP00000000193	10090.ENSMUSP00000138396	0	0	0	0	0	0	0	0.615	0.615
Ccl2	Igf1	10090.ENSMUSP00000000193	10090.ENSMUSP00000100937	0	0	0	0	0.069	0	0	0.736	0.744
Ccl2	Gapdh	10090.ENSMUSP00000000193	10090.ENSMUSP00000113942	0	0	0	0	0	0	0	0.747	0.747
Ccl2	Ins2	10090.ENSMUSP00000000193	10090.ENSMUSP00000147425	0	0	0	0	0.077	0	0	0.759	0.768
Ccl2	Ins1	10090.ENSMUSP00000000193	10090.ENSMUSP00000049095	0	0	0	0	0.077	0	0	0.759	0.768
Ccl2	Il1rn	10090.ENSMUSP00000000193	10090.ENSMUSP00000110126	0	0	0	0	0.313	0	0	0.731	0.807
Ccl2	Mmp9	10090.ENSMUSP00000000193	10090.ENSMUSP00000017881	0	0	0	0	0.071	0	0	0.806	0.812
Ccl2	Il1a	10090.ENSMUSP00000000193	10090.ENSMUSP00000028882	0	0	0	0	0.200	0	0	0.886	0.905
Ccl2	Il1b	10090.ENSMUSP00000000193	10090.ENSMUSP00000028881	0	0	0	0	0.325	0	0	0.912	0.938
Ccl2	Tnf	10090.ENSMUSP00000000193	10090.ENSMUSP00000025263	0	0	0	0	0.392	0	0	0.930	0.956
Ccl2	Jun	10090.ENSMUSP00000000193	10090.ENSMUSP00000102711	0	0	0	0	0.066	0	0.900	0.725	0.972
Ccl2	Il6	10090.ENSMUSP00000000193	10090.ENSMUSP00000026845	0	0	0	0	0.600	0	0	0.941	0.975
Gapdh	Igf1r	10090.ENSMUSP00000113942	10090.ENSMUSP00000005671	0	0	0	0	0	0	0	0.612	0.612
Gapdh	Mmp9	10090.ENSMUSP00000113942	10090.ENSMUSP00000017881	0	0	0	0	0.053	0	0	0.812	0.815
Gapdh	Tnf	10090.ENSMUSP00000113942	10090.ENSMUSP00000025263	0	0	0	0	0	0	0	0.882	0.882
Gapdh	Il6	10090.ENSMUSP00000113942	10090.ENSMUSP00000026845	0	0	0	0	0	0	0	0.865	0.865
Gapdh	Il1b	10090.ENSMUSP00000113942	10090.ENSMUSP00000028881	0	0	0	0	0.047	0	0	0.857	0.858
Gapdh	Il1a	10090.ENSMUSP00000113942	10090.ENSMUSP00000028882	0	0	0	0	0	0	0	0.629	0.629
Gapdh	Mbp	10090.ENSMUSP00000113942	10090.ENSMUSP00000046185	0	0	0	0	0.046	0	0	0.614	0.616
Gapdh	Ins1	10090.ENSMUSP00000113942	10090.ENSMUSP00000049095	0	0	0	0	0	0	0	0.838	0.838
Gapdh	S1pr1	10090.ENSMUSP00000113942	10090.ENSMUSP00000050897	0	0	0	0	0	0	0	0.408	0.408
Gapdh	Igf1	10090.ENSMUSP00000113942	10090.ENSMUSP00000100937	0	0	0	0	0	0	0	0.701	0.701
Gapdh	Jun	10090.ENSMUSP00000113942	10090.ENSMUSP00000102711	0	0	0	0	0.073	0	0	0.783	0.790
Gapdh	Nos1	10090.ENSMUSP00000113942	10090.ENSMUSP00000120421	0	0	0	0	0.041	0.063	0	0.502	0.514
Gapdh	Igf2	10090.ENSMUSP00000113942	10090.ENSMUSP00000114076	0	0	0	0	0.045	0	0	0.568	0.569
Gapdh	Ins2	10090.ENSMUSP00000113942	10090.ENSMUSP00000147425	0	0	0	0	0	0	0	0.838	0.838
Gm10358	Mmp9	10090.ENSMUSP00000148326	10090.ENSMUSP00000017881	0	0	0	0	0	0	0	0.631	0.631
Gm10358	Tnf	10090.ENSMUSP00000148326	10090.ENSMUSP00000025263	0	0	0	0	0	0	0	0.755	0.755
Gm10358	Il6	10090.ENSMUSP00000148326	10090.ENSMUSP00000026845	0	0	0	0	0	0	0	0.759	0.759
Gm10358	Il1b	10090.ENSMUSP00000148326	10090.ENSMUSP00000028881	0	0	0	0	0	0	0	0.732	0.732
Gm10358	Il1a	10090.ENSMUSP00000148326	10090.ENSMUSP00000028882	0	0	0	0	0	0	0	0.428	0.428
Gm10358	Mbp	10090.ENSMUSP00000148326	10090.ENSMUSP00000046185	0	0	0	0	0	0	0	0.406	0.406
Gm10358	Ins1	10090.ENSMUSP00000148326	10090.ENSMUSP00000049095	0	0	0	0	0	0	0	0.715	0.715
Gm10358	Igf1	10090.ENSMUSP00000148326	10090.ENSMUSP00000100937	0	0	0	0	0	0	0	0.505	0.505
Gm10358	Jun	10090.ENSMUSP00000148326	10090.ENSMUSP00000102711	0	0	0	0	0.069	0	0	0.628	0.639
Gm10358	Nos1	10090.ENSMUSP00000148326	10090.ENSMUSP00000120421	0	0	0	0	0	0.063	0	0.386	0.400
Gm10358	Ins2	10090.ENSMUSP00000148326	10090.ENSMUSP00000147425	0	0	0	0	0	0	0	0.715	0.715
Gm3839	Mmp9	10090.ENSMUSP00000138396	10090.ENSMUSP00000017881	0	0	0	0	0	0	0	0.631	0.631
Gm3839	Tnf	10090.ENSMUSP00000138396	10090.ENSMUSP00000025263	0	0	0	0	0	0	0	0.755	0.755
Gm3839	Il6	10090.ENSMUSP00000138396	10090.ENSMUSP00000026845	0	0	0	0	0	0	0	0.759	0.759
Gm3839	Il1b	10090.ENSMUSP00000138396	10090.ENSMUSP00000028881	0	0	0	0	0	0	0	0.732	0.732
Gm3839	Il1a	10090.ENSMUSP00000138396	10090.ENSMUSP00000028882	0	0	0	0	0	0	0	0.428	0.428
Gm3839	Mbp	10090.ENSMUSP00000138396	10090.ENSMUSP00000046185	0	0	0	0	0	0	0	0.406	0.406
Gm3839	Ins1	10090.ENSMUSP00000138396	10090.ENSMUSP00000049095	0	0	0	0	0	0	0	0.715	0.715
Gm3839	Igf1	10090.ENSMUSP00000138396	10090.ENSMUSP00000100937	0	0	0	0	0	0	0	0.505	0.505
Gm3839	Jun	10090.ENSMUSP00000138396	10090.ENSMUSP00000102711	0	0	0	0	0.069	0	0	0.628	0.639
Gm3839	Nos1	10090.ENSMUSP00000138396	10090.ENSMUSP00000120421	0	0	0	0	0	0.063	0	0.386	0.400
Gm3839	Ins2	10090.ENSMUSP00000138396	10090.ENSMUSP00000147425	0	0	0	0	0	0	0	0.715	0.715
Igf1	Igf1r	10090.ENSMUSP00000100937	10090.ENSMUSP00000005671	0	0	0	0	0	0.968	0.900	0.998	0.999
Igf1	Mmp9	10090.ENSMUSP00000100937	10090.ENSMUSP00000017881	0	0	0	0	0	0	0	0.696	0.696
Igf1	Vdr	10090.ENSMUSP00000100937	10090.ENSMUSP00000023119	0	0	0	0	0	0	0	0.557	0.557
Igf1	Tnf	10090.ENSMUSP00000100937	10090.ENSMUSP00000025263	0	0	0	0	0	0	0	0.867	0.867
Igf1	Il6	10090.ENSMUSP00000100937	10090.ENSMUSP00000026845	0	0	0	0	0	0	0	0.878	0.878
Igf1	Il1b	10090.ENSMUSP00000100937	10090.ENSMUSP00000028881	0	0	0	0	0.061	0	0	0.810	0.814
