#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Batf	Il10	10090.ENSMUSP00000040706	10090.ENSMUSP00000016673	0	0	0	0	0.219	0.163	0	0.504	0.648
Batf	Cd4	10090.ENSMUSP00000040706	10090.ENSMUSP00000024044	0	0	0	0	0.051	0	0	0.651	0.654
Batf	Rela	10090.ENSMUSP00000040706	10090.ENSMUSP00000025867	0	0	0	0	0.057	0.097	0	0.361	0.409
Batf	Cd28	10090.ENSMUSP00000040706	10090.ENSMUSP00000027165	0	0	0	0	0.079	0.163	0	0.299	0.412
Batf	Il2ra	10090.ENSMUSP00000040706	10090.ENSMUSP00000028111	0	0	0	0	0.161	0	0	0.455	0.523
Batf	Il2	10090.ENSMUSP00000040706	10090.ENSMUSP00000029275	0	0	0	0	0.079	0.078	0	0.528	0.564
Batf	Tcf7	10090.ENSMUSP00000040706	10090.ENSMUSP00000084055	0	0	0	0	0.082	0	0	0.580	0.598
Batf	Ifng	10090.ENSMUSP00000040706	10090.ENSMUSP00000063800	0	0	0	0	0.189	0	0	0.556	0.625
Batf	Stat3	10090.ENSMUSP00000040706	10090.ENSMUSP00000120152	0	0	0	0	0.103	0.079	0	0.764	0.788
Cd28	Il10	10090.ENSMUSP00000027165	10090.ENSMUSP00000016673	0	0	0	0	0.113	0	0	0.696	0.719
Cd28	Cd4	10090.ENSMUSP00000027165	10090.ENSMUSP00000024044	0	0	0	0	0.123	0	0	0.849	0.861
Cd28	Cd5	10090.ENSMUSP00000027165	10090.ENSMUSP00000025571	0	0	0	0	0.275	0	0	0.474	0.602
Cd28	Gapdh	10090.ENSMUSP00000027165	10090.ENSMUSP00000113942	0	0	0	0	0	0	0	0.478	0.478
Cd28	Stat3	10090.ENSMUSP00000027165	10090.ENSMUSP00000120152	0	0	0	0	0	0	0	0.483	0.483
Cd28	Il2	10090.ENSMUSP00000027165	10090.ENSMUSP00000029275	0	0	0	0	0.054	0	0	0.840	0.842
Cd28	Il2ra	10090.ENSMUSP00000027165	10090.ENSMUSP00000028111	0	0	0	0	0.058	0	0	0.842	0.844
Cd28	Ifng	10090.ENSMUSP00000027165	10090.ENSMUSP00000063800	0	0	0	0	0.220	0	0	0.822	0.855
Cd4	Il10	10090.ENSMUSP00000024044	10090.ENSMUSP00000016673	0	0	0	0	0.089	0	0	0.959	0.961
Cd4	Rela	10090.ENSMUSP00000024044	10090.ENSMUSP00000025867	0	0	0	0	0	0.103	0	0.574	0.601
Cd4	Tyk2	10090.ENSMUSP00000024044	10090.ENSMUSP00000150354	0	0	0	0	0	0.076	0	0.605	0.619
Cd4	Tnfrsf25	10090.ENSMUSP00000024044	10090.ENSMUSP00000025706	0	0	0	0	0.071	0	0	0.642	0.653
Cd4	Tcf7	10090.ENSMUSP00000024044	10090.ENSMUSP00000084055	0	0	0	0	0.183	0	0	0.640	0.693
Cd4	Cd6	10090.ENSMUSP00000024044	10090.ENSMUSP00000079172	0	0	0	0	0.310	0	0	0.656	0.752
Cd4	Gapdh	10090.ENSMUSP00000024044	10090.ENSMUSP00000113942	0	0	0	0	0	0	0	0.752	0.752
Cd4	Pxdn	10090.ENSMUSP00000024044	10090.ENSMUSP00000113703	0	0	0	0	0	0	0	0.759	0.759
Cd4	Ifnb1	10090.ENSMUSP00000024044	10090.ENSMUSP00000056720	0	0	0	0	0	0	0	0.798	0.798
Cd4	Stat3	10090.ENSMUSP00000024044	10090.ENSMUSP00000120152	0	0	0	0	0.055	0.079	0	0.845	0.853
