#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Aamdc	Zc3h8	10090.ENSMUSP00000115672	10090.ENSMUSP00000028866	0	0	0	0	0.061	0	0	0.391	0.404
Aatf	Ngfr	10090.ENSMUSP00000018841	10090.ENSMUSP00000000122	0	0	0	0	0	0	0.500	0	0.499
Aatf	Ddx3x	10090.ENSMUSP00000018841	10090.ENSMUSP00000000804	0	0	0	0	0.110	0.109	0	0.437	0.514
Aatf	Pwp1	10090.ENSMUSP00000018841	10090.ENSMUSP00000001836	0	0	0	0	0.594	0	0	0	0.594
Aatf	Nol11	10090.ENSMUSP00000018841	10090.ENSMUSP00000018577	0	0	0	0	0.098	0.534	0	0	0.561
Aatf	Tada2a	10090.ENSMUSP00000018841	10090.ENSMUSP00000018795	0	0	0	0	0.102	0.093	0	0.406	0.474
Aatf	Med12	10090.ENSMUSP00000018841	10090.ENSMUSP00000085260	0	0	0	0	0.054	0	0	0.394	0.402
Aatf	Ddx5	10090.ENSMUSP00000018841	10090.ENSMUSP00000021062	0	0	0	0	0.394	0.109	0	0.082	0.461
Aatf	Rrp1b	10090.ENSMUSP00000018841	10090.ENSMUSP00000080085	0	0	0	0	0.425	0	0	0.125	0.475
Aatf	Ntf3	10090.ENSMUSP00000018841	10090.ENSMUSP00000107863	0	0	0	0	0	0	0.500	0	0.499
Aatf	Trp53	10090.ENSMUSP00000018841	10090.ENSMUSP00000104298	0	0	0	0	0.048	0.093	0	0.472	0.504
Aatf	Ddx17	10090.ENSMUSP00000018841	10090.ENSMUSP00000055535	0	0	0	0	0.394	0.271	0	0.058	0.547
Aatf	Ddx21	10090.ENSMUSP00000018841	10090.ENSMUSP00000042691	0	0	0	0	0.443	0.109	0	0.211	0.574
Aatf	Lyar	10090.ENSMUSP00000018841	10090.ENSMUSP00000084791	0	0	0	0	0.516	0	0	0.211	0.602
Aatf	Exosc9	10090.ENSMUSP00000018841	10090.ENSMUSP00000029269	0	0	0	0	0.226	0.534	0	0	0.624
Aatf	Mybbp1a	10090.ENSMUSP00000018841	10090.ENSMUSP00000044827	0	0	0	0	0.413	0.272	0	0.191	0.624
Aatf	Eif4a3	10090.ENSMUSP00000018841	10090.ENSMUSP00000026667	0	0	0	0	0.607	0.109	0	0.161	0.681
Aatf	Gnl3	10090.ENSMUSP00000018841	10090.ENSMUSP00000047119	0	0	0	0	0.646	0.248	0	0.098	0.739
Aatf	Maged1	10090.ENSMUSP00000018841	10090.ENSMUSP00000026142	0	0	0	0	0	0.293	0.500	0.359	0.754
Aatf	Cd74	10090.ENSMUSP00000018841	10090.ENSMUSP00000095171	0	0	0	0	0	0.789	0	0.069	0.795
Aatf	Cebpz	10090.ENSMUSP00000018841	10090.ENSMUSP00000024885	0	0	0	0	0.783	0.258	0	0.114	0.845
Aatf	Ncoa6	10090.ENSMUSP00000018841	10090.ENSMUSP00000105295	0	0	0	0	0.594	0.729	0	0.223	0.907
Aatf	Utp15	10090.ENSMUSP00000018841	10090.ENSMUSP00000048204	0	0	0	0	0.450	0.978	0	0	0.987
Aatf	Wdr75	10090.ENSMUSP00000018841	10090.ENSMUSP00000027139	0	0	0	0	0.558	0.978	0	0.117	0.990
Aatf	Heatr1	10090.ENSMUSP00000018841	10090.ENSMUSP00000054084	0	0	0	0	0.532	0.978	0	0.118	0.990
Aatf	Wdr43	10090.ENSMUSP00000018841	10090.ENSMUSP00000048337	0	0	0	0	0.850	0.983	0	0.180	0.997
Abhd14b	Taf1	10090.ENSMUSP00000038755	10090.ENSMUSP00000114765	0	0	0	0	0	0	0	0.526	0.526
Ablim1	Fosl2	10090.ENSMUSP00000078336	10090.ENSMUSP00000031017	0	0	0	0	0	0	0	0.428	0.428
Ablim1	Ablim3	10090.ENSMUSP00000078336	10090.ENSMUSP00000041243	0	0	0	0.937	0.096	0	0.900	0.137	0.915
Ablim1	Abra	10090.ENSMUSP00000078336	10090.ENSMUSP00000051973	0	0	0	0	0	0.093	0	0.449	0.479
Ablim1	Ablim2	10090.ENSMUSP00000078336	10090.ENSMUSP00000123525	0	0	0.052	0.936	0.063	0.418	0	0.085	0.464
Ablim2	Supt6	10090.ENSMUSP00000123525	10090.ENSMUSP00000002121	0	0	0	0	0	0	0	0.428	0.428
Ablim2	Abra	10090.ENSMUSP00000123525	10090.ENSMUSP00000051973	0	0	0	0	0.061	0.093	0	0.724	0.744
Ablim2	Meaf6	10090.ENSMUSP00000123525	10090.ENSMUSP00000053543	0	0	0	0	0	0	0	0.428	0.428
Ablim3	Abra	10090.ENSMUSP00000041243	10090.ENSMUSP00000051973	0	0	0	0	0.047	0.093	0	0.724	0.740
Actb	Ngfr	10090.ENSMUSP00000098066	10090.ENSMUSP00000000122	0	0	0	0	0	0	0	0.490	0.489
Actb	Actr2	10090.ENSMUSP00000098066	10090.ENSMUSP00000000137	0	0	0.052	0.936	0.125	0.523	0.900	0.138	0.959
Actb	Cdh1	10090.ENSMUSP00000098066	10090.ENSMUSP00000000312	0	0	0	0	0.057	0.067	0	0.847	0.854
Actb	Myf5	10090.ENSMUSP00000098066	10090.ENSMUSP00000000445	0	0	0	0	0	0	0	0.403	0.403
Actb	Pparg	10090.ENSMUSP00000098066	10090.ENSMUSP00000000450	0	0	0	0	0	0.052	0.900	0.746	0.973
Actb	Raf1	10090.ENSMUSP00000098066	10090.ENSMUSP00000000451	0	0	0	0	0.077	0.073	0	0.493	0.528
Actb	Acvr1b	10090.ENSMUSP00000098066	10090.ENSMUSP00000000544	0	0	0	0	0.073	0.073	0	0.477	0.511
Actb	Sox9	10090.ENSMUSP00000098066	10090.ENSMUSP00000000579	0	0	0	0	0	0	0	0.627	0.627
Actb	Kat2b	10090.ENSMUSP00000098066	10090.ENSMUSP00000000724	0	0.029	0	0	0	0.072	0	0.582	0.596
Actb	Il4	10090.ENSMUSP00000098066	10090.ENSMUSP00000000889	0	0	0	0	0.055	0.042	0	0.707	0.711
Actb	Smarcb1	10090.ENSMUSP00000098066	10090.ENSMUSP00000000925	0	0	0	0	0.083	0.298	0.650	0.585	0.894
Actb	Ccl3	10090.ENSMUSP00000098066	10090.ENSMUSP00000001008	0	0	0	0	0	0	0	0.512	0.512
Actb	Sp1	10090.ENSMUSP00000098066	10090.ENSMUSP00000001326	0	0	0	0	0.042	0.074	0	0.461	0.480
Actb	Tbx21	10090.ENSMUSP00000098066	10090.ENSMUSP00000001484	0	0	0	0	0	0	0	0.512	0.512
Actb	Col1a1	10090.ENSMUSP00000098066	10090.ENSMUSP00000001547	0	0	0	0	0.057	0.100	0	0.654	0.680
Actb	Jup	10090.ENSMUSP00000098066	10090.ENSMUSP00000001592	0	0	0	0	0	0.053	0	0.407	0.415
Actb	Akt1	10090.ENSMUSP00000098066	10090.ENSMUSP00000001780	0	0	0	0	0.079	0.079	0	0.886	0.895
Actb	Smo	10090.ENSMUSP00000098066	10090.ENSMUSP00000001812	0	0	0	0	0	0	0	0.456	0.456
Actb	Spi1	10090.ENSMUSP00000098066	10090.ENSMUSP00000002180	0	0	0	0	0	0	0	0.440	0.440
Actb	Ppard	10090.ENSMUSP00000098066	10090.ENSMUSP00000002320	0	0	0	0	0	0.052	0	0.493	0.499
Actb	Tgfb1	10090.ENSMUSP00000098066	10090.ENSMUSP00000002678	0	0	0	0	0	0	0	0.770	0.770
Actb	Shh	10090.ENSMUSP00000098066	10090.ENSMUSP00000002708	0	0	0	0	0	0	0	0.567	0.567
Actb	Irf3	10090.ENSMUSP00000098066	10090.ENSMUSP00000003284	0	0	0	0	0.044	0.086	0	0.656	0.673
Actb	Tgfb3	10090.ENSMUSP00000098066	10090.ENSMUSP00000003687	0	0	0	0	0	0	0	0.492	0.492
Actb	Brd4	10090.ENSMUSP00000098066	10090.ENSMUSP00000003726	0	0	0	0	0.107	0.140	0	0.455	0.545
Actb	Brd8	10090.ENSMUSP00000098066	10090.ENSMUSP00000003876	0	0	0	0	0.052	0.079	0.720	0.127	0.758
Actb	Ikbkg	10090.ENSMUSP00000098066	10090.ENSMUSP00000004330	0	0	0	0	0	0.092	0	0.398	0.430
Actb	Traf6	10090.ENSMUSP00000098066	10090.ENSMUSP00000004949	0	0	0	0	0.066	0.182	0	0.618	0.682
Actb	Mapk14	10090.ENSMUSP00000098066	10090.ENSMUSP00000004990	0	0	0	0	0.073	0.093	0	0.832	0.846
Actb	Hdgf	10090.ENSMUSP00000098066	10090.ENSMUSP00000005017	0	0	0	0	0.080	0.239	0	0.238	0.420
Actb	Map2k1	10090.ENSMUSP00000098066	10090.ENSMUSP00000005066	0	0	0	0	0.044	0.062	0	0.671	0.679
Actb	App	10090.ENSMUSP00000098066	10090.ENSMUSP00000005406	0	0	0	0	0.054	0.054	0	0.799	0.804
Actb	Igf1r	10090.ENSMUSP00000098066	10090.ENSMUSP00000005671	0	0	0	0	0.073	0.079	0	0.585	0.614
Actb	Ctcf	10090.ENSMUSP00000098066	10090.ENSMUSP00000005841	0	0	0	0	0.044	0.074	0	0.401	0.423
Actb	Ctnnb1	10090.ENSMUSP00000098066	10090.ENSMUSP00000007130	0	0	0	0	0.065	0.066	0	0.833	0.842
Actb	Tgfbr1	10090.ENSMUSP00000098066	10090.ENSMUSP00000007757	0	0	0	0	0.073	0.073	0	0.493	0.526
Actb	Hdac5	10090.ENSMUSP00000098066	10090.ENSMUSP00000008999	0	0	0	0	0.064	0.096	0	0.674	0.700
Actb	Vps72	10090.ENSMUSP00000098066	10090.ENSMUSP00000009102	0	0	0	0	0	0.263	0.720	0.302	0.843
Actb	Bmp7	10090.ENSMUSP00000098066	10090.ENSMUSP00000009143	0	0	0	0	0	0	0	0.431	0.431
Actb	Cdk9	10090.ENSMUSP00000098066	10090.ENSMUSP00000009699	0	0.001	0	0	0.058	0.292	0	0.396	0.562
Actb	Eng	10090.ENSMUSP00000098066	10090.ENSMUSP00000009705	0	0	0	0	0	0	0	0.742	0.742
Actb	Wnt3a	10090.ENSMUSP00000098066	10090.ENSMUSP00000010044	0	0	0	0	0	0	0	0.606	0.606
Actb	Wnt2	10090.ENSMUSP00000098066	10090.ENSMUSP00000010941	0	0	0	0	0	0	0	0.643	0.643
Actb	Nanog	10090.ENSMUSP00000098066	10090.ENSMUSP00000012540	0	0	0	0	0.057	0.044	0	0.694	0.700
Actb	Tsg101	10090.ENSMUSP00000098066	10090.ENSMUSP00000014546	0	0	0	0	0.059	0.068	0	0.630	0.647
Actb	Dll1	10090.ENSMUSP00000098066	10090.ENSMUSP00000014917	0	0	0	0	0	0.104	0	0.408	0.447
Actb	Gata2	10090.ENSMUSP00000098066	10090.ENSMUSP00000015197	0	0	0	0	0	0.052	0	0.406	0.413
Actb	Srf	10090.ENSMUSP00000098066	10090.ENSMUSP00000015749	0	0	0	0	0	0.083	0	0.419	0.445
Actb	Ncf1	10090.ENSMUSP00000098066	10090.ENSMUSP00000016094	0	0	0	0	0.050	0.102	0	0.564	0.596
Actb	Il10	10090.ENSMUSP00000098066	10090.ENSMUSP00000016673	0	0	0	0	0	0	0	0.748	0.748
Actb	Prl5a1	10090.ENSMUSP00000098066	10090.ENSMUSP00000017208	0	0	0	0	0	0	0	0.403	0.403
Actb	Brca1	10090.ENSMUSP00000098066	10090.ENSMUSP00000017290	0	0	0	0	0	0	0	0.607	0.607
Actb	Cd40	10090.ENSMUSP00000098066	10090.ENSMUSP00000017799	0	0	0	0	0.051	0	0	0.518	0.523
Actb	Hnf4a	10090.ENSMUSP00000098066	10090.ENSMUSP00000018094	0	0	0	0	0	0	0	0.477	0.477
Actb	Pfn1	10090.ENSMUSP00000098066	10090.ENSMUSP00000018437	0	0	0	0	0.223	0.689	0.900	0.676	0.991
Actb	Ywhah	10090.ENSMUSP00000098066	10090.ENSMUSP00000019109	0	0	0.309	0	0.090	0.088	0	0.275	0.528
Actb	Hdac2	10090.ENSMUSP00000098066	10090.ENSMUSP00000019911	0	0	0	0	0.068	0.096	0	0.605	0.638
Actb	Tbk1	10090.ENSMUSP00000098066	10090.ENSMUSP00000020316	0	0	0	0	0.073	0.073	0	0.554	0.584
Actb	Egfr	10090.ENSMUSP00000098066	10090.ENSMUSP00000020329	0	0	0	0	0	0.088	0	0.840	0.848
Actb	Yeats4	10090.ENSMUSP00000098066	10090.ENSMUSP00000020382	0	0	0	0	0	0.253	0.720	0.150	0.806
Actb	Srebf1	10090.ENSMUSP00000098066	10090.ENSMUSP00000020846	0	0	0	0	0	0.064	0	0.692	0.700
Actb	Nampt	10090.ENSMUSP00000098066	10090.ENSMUSP00000020886	0	0	0	0	0	0	0	0.410	0.410
Actb	Ddx5	10090.ENSMUSP00000098066	10090.ENSMUSP00000021062	0	0	0	0	0.357	0.070	0	0.311	0.552
Actb	Nme2	10090.ENSMUSP00000098066	10090.ENSMUSP00000021217	0	0	0	0	0.123	0	0	0.398	0.450
Actb	Nfkbia	10090.ENSMUSP00000098066	10090.ENSMUSP00000021413	0	0	0	0	0.052	0.093	0	0.842	0.852
Actb	Hif1a	10090.ENSMUSP00000098066	10090.ENSMUSP00000021530	0	0	0	0	0.042	0.059	0	0.795	0.799
Actb	Actn1	10090.ENSMUSP00000098066	10090.ENSMUSP00000021554	0	0	0	0	0.068	0.187	0.900	0.600	0.965
Actb	Fos	10090.ENSMUSP00000098066	10090.ENSMUSP00000021674	0	0	0	0	0.056	0.059	0	0.702	0.712
Actb	Yy1	10090.ENSMUSP00000098066	10090.ENSMUSP00000021692	0	0	0	0	0	0.077	0	0.457	0.477
Actb	Irf4	10090.ENSMUSP00000098066	10090.ENSMUSP00000021784	0	0	0	0	0	0.097	0	0.441	0.474
Actb	Edn1	10090.ENSMUSP00000098066	10090.ENSMUSP00000021796	0	0	0	0	0.043	0	0	0.517	0.518
Actb	Ptch1	10090.ENSMUSP00000098066	10090.ENSMUSP00000021921	0	0	0	0	0	0	0	0.495	0.495
Actb	Tert	10090.ENSMUSP00000098066	10090.ENSMUSP00000022104	0	0	0	0	0	0.079	0	0.582	0.599
Actb	Ap3b1	10090.ENSMUSP00000098066	10090.ENSMUSP00000022196	0	0	0	0	0.053	0	0	0.469	0.475
Actb	Fgf10	10090.ENSMUSP00000098066	10090.ENSMUSP00000022246	0	0	0	0	0	0	0	0.558	0.558
Actb	Fgf9	10090.ENSMUSP00000098066	10090.ENSMUSP00000022545	0	0	0	0	0	0	0	0.569	0.569
Actb	Tnfsf11	10090.ENSMUSP00000098066	10090.ENSMUSP00000022592	0	0	0	0	0	0	0	0.661	0.661
Actb	Gdnf	10090.ENSMUSP00000098066	10090.ENSMUSP00000022744	0	0	0	0	0	0	0	0.534	0.534
