#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Cd4	Il4	10090.ENSMUSP00000024044	10090.ENSMUSP00000000889	0	0	0	0	0	0	0	0.943	0.943
Cd4	Il10	10090.ENSMUSP00000024044	10090.ENSMUSP00000016673	0	0	0	0	0.089	0	0	0.959	0.961
Cd4	Csf2	10090.ENSMUSP00000024044	10090.ENSMUSP00000019060	0	0	0	0	0	0.104	0	0.878	0.886
Cd4	Fos	10090.ENSMUSP00000024044	10090.ENSMUSP00000021674	0	0	0	0	0	0	0	0.535	0.535
Cd4	Nfatc2	10090.ENSMUSP00000024044	10090.ENSMUSP00000074198	0	0	0	0	0.065	0	0	0.620	0.629
Cd4	Jun	10090.ENSMUSP00000024044	10090.ENSMUSP00000102711	0	0	0	0	0	0	0	0.672	0.672
Cd4	Ifnb1	10090.ENSMUSP00000024044	10090.ENSMUSP00000056720	0	0	0	0	0	0	0	0.798	0.798
Cd4	Il12b	10090.ENSMUSP00000024044	10090.ENSMUSP00000125867	0	0	0	0	0.054	0.108	0	0.781	0.799
Cd4	Rag1	10090.ENSMUSP00000024044	10090.ENSMUSP00000077584	0	0	0	0	0.047	0	0	0.864	0.865
Cd4	Il2	10090.ENSMUSP00000024044	10090.ENSMUSP00000029275	0	0	0	0	0.048	0.094	0	0.952	0.955
Cd4	Ifng	10090.ENSMUSP00000024044	10090.ENSMUSP00000063800	0	0	0	0	0.084	0	0	0.967	0.968
Csf2	Il4	10090.ENSMUSP00000019060	10090.ENSMUSP00000000889	0	0	0	0	0.179	0	0	0.922	0.934
Csf2	Il10	10090.ENSMUSP00000019060	10090.ENSMUSP00000016673	0	0	0	0	0.103	0	0	0.897	0.903
Csf2	Fos	10090.ENSMUSP00000019060	10090.ENSMUSP00000021674	0	0	0	0	0.091	0	0	0.502	0.528
Csf2	Rag1	10090.ENSMUSP00000019060	10090.ENSMUSP00000077584	0	0	0	0	0	0	0	0.548	0.548
Csf2	Jun	10090.ENSMUSP00000019060	10090.ENSMUSP00000102711	0	0	0	0	0	0	0	0.610	0.610
Csf2	Ghr	10090.ENSMUSP00000019060	10090.ENSMUSP00000069457	0	0	0	0	0	0	0.650	0.101	0.671
Csf2	Il12b	10090.ENSMUSP00000019060	10090.ENSMUSP00000125867	0	0	0	0	0.209	0	0	0.781	0.819
Csf2	Ifnb1	10090.ENSMUSP00000019060	10090.ENSMUSP00000056720	0	0	0	0	0.085	0	0	0.838	0.845
Csf2	Ifng	10090.ENSMUSP00000019060	10090.ENSMUSP00000063800	0	0	0	0	0.191	0	0	0.985	0.987
Csf2	Il2	10090.ENSMUSP00000019060	10090.ENSMUSP00000029275	0	0	0	0	0.170	0	0	0.994	0.994
Cyp27b1	Il10	10090.ENSMUSP00000130005	10090.ENSMUSP00000016673	0	0	0	0	0.047	0	0	0.440	0.443
Cyp27b1	Gc	10090.ENSMUSP00000130005	10090.ENSMUSP00000046636	0	0	0	0	0.057	0	0	0.827	0.830
Cyp27b1	Ifng	10090.ENSMUSP00000130005	10090.ENSMUSP00000063800	0	0	0	0	0	0	0	0.458	0.457
Cyp27b1	Ncoa3	10090.ENSMUSP00000130005	10090.ENSMUSP00000085416	0	0	0	0	0	0.549	0	0.227	0.636
