#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Alcam	Il10	10090.ENSMUSP00000023312	10090.ENSMUSP00000016673	0	0	0	0	0.102	0	0	0.382	0.421
Alcam	Cd4	10090.ENSMUSP00000023312	10090.ENSMUSP00000024044	0	0	0	0	0	0.133	0	0.391	0.449
Alcam	Ifng	10090.ENSMUSP00000023312	10090.ENSMUSP00000063800	0	0	0	0	0.091	0	0	0.425	0.455
Alcam	Cdcp1	10090.ENSMUSP00000023312	10090.ENSMUSP00000042057	0	0	0.426	0	0.062	0	0	0.375	0.634
Alcam	Itgb1	10090.ENSMUSP00000023312	10090.ENSMUSP00000087457	0	0	0	0	0.048	0	0	0.814	0.815
Alcam	Cd6	10090.ENSMUSP00000023312	10090.ENSMUSP00000079172	0	0	0	0	0	0.527	0.900	0.996	0.999
Cd226	Itgb2	10090.ENSMUSP00000158324	10090.ENSMUSP00000000299	0	0	0	0	0.085	0.088	0.900	0.400	0.943
Cd226	Il7r	10090.ENSMUSP00000158324	10090.ENSMUSP00000003981	0	0	0	0	0.081	0	0	0.458	0.480
Cd226	Il10	10090.ENSMUSP00000158324	10090.ENSMUSP00000016673	0	0	0	0	0	0	0	0.509	0.509
Cd226	Cd4	10090.ENSMUSP00000158324	10090.ENSMUSP00000024044	0	0	0	0	0.061	0	0	0.612	0.620
Cd226	Il2	10090.ENSMUSP00000158324	10090.ENSMUSP00000029275	0	0	0	0	0.061	0	0	0.655	0.662
Cd226	Cd69	10090.ENSMUSP00000158324	10090.ENSMUSP00000032259	0	0	0	0	0.067	0.051	0	0.613	0.627
Cd226	Cxcr3	10090.ENSMUSP00000158324	10090.ENSMUSP00000052444	0	0	0	0	0.121	0	0	0.451	0.496
Cd226	Ifng	10090.ENSMUSP00000158324	10090.ENSMUSP00000063800	0	0	0	0	0.084	0	0	0.668	0.682
Cd226	Tigit	10090.ENSMUSP00000158324	10090.ENSMUSP00000093770	0	0	0	0	0	0.097	0	0.945	0.948
Cd226	Itgal	10090.ENSMUSP00000158324	10090.ENSMUSP00000101913	0	0	0	0	0.103	0	0.900	0.477	0.949
Cd226	Foxp3	10090.ENSMUSP00000158324	10090.ENSMUSP00000111405	0	0	0	0	0.060	0	0	0.485	0.495
Cd226	Rpl13a	10090.ENSMUSP00000158324	10090.ENSMUSP00000115722	0	0	0	0	0.271	0.275	0	0	0.448
Cd4	Itgb2	10090.ENSMUSP00000024044	10090.ENSMUSP00000000299	0	0	0	0	0.126	0.072	0	0.771	0.798
Cd4	Il7r	10090.ENSMUSP00000024044	10090.ENSMUSP00000003981	0	0	0	0	0.179	0	0.400	0.890	0.941
Cd4	Il10	10090.ENSMUSP00000024044	10090.ENSMUSP00000016673	0	0	0	0	0.089	0	0	0.959	0.961
Cd4	Selplg	10090.ENSMUSP00000024044	10090.ENSMUSP00000098436	0	0	0	0	0.118	0.103	0	0.490	0.561
Cd4	Fbn2	10090.ENSMUSP00000024044	10090.ENSMUSP00000025497	0	0	0	0	0	0.103	0	0.604	0.629
Cd4	Itgb1	10090.ENSMUSP00000024044	10090.ENSMUSP00000087457	0	0	0	0	0.121	0.072	0	0.609	0.653
Cd4	Itga4	10090.ENSMUSP00000024044	10090.ENSMUSP00000099718	0	0	0	0	0.057	0.086	0	0.716	0.733
Cd4	Cd6	10090.ENSMUSP00000024044	10090.ENSMUSP00000079172	0	0	0	0	0.310	0	0	0.656	0.752
Cd4	Cd46	10090.ENSMUSP00000024044	10090.ENSMUSP00000123931	0	0	0	0	0	0.091	0	0.741	0.754
Cd4	Tigit	10090.ENSMUSP00000024044	10090.ENSMUSP00000093770	0	0	0	0	0.090	0	0	0.746	0.759
Cd4	Itgal	10090.ENSMUSP00000024044	10090.ENSMUSP00000101913	0	0	0	0	0.184	0.086	0	0.738	0.788
